DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,303.0,303.35,292.2,294.4,519.0,292.2,5PAISA
2025-11-07,306.3,315.95,298.9,302.25,524.65,298.9,5PAISA
2025-11-06,308.0,308.25,305.0,306.3,524.65,305.0,5PAISA
2025-11-04,313.4,313.4,307.85,309.05,524.65,307.85,5PAISA
2025-11-03,313.3,315.0,311.15,311.8,524.65,310.0,5PAISA
2025-10-31,312.0,315.3,310.5,311.7,525.0,310.0,5PAISA
2025-10-30,315.0,318.85,310.0,313.0,525.0,310.0,5PAISA
2025-10-29,318.6,319.05,314.35,317.25,525.0,311.0,5PAISA
2025-10-28,318.0,321.0,315.0,316.6,525.0,311.0,5PAISA
2025-10-27,313.6,319.65,313.3,316.5,525.0,311.0,5PAISA
2025-10-24,316.0,318.45,311.05,312.4,536.4,311.0,5PAISA
2025-10-23,320.0,320.0,314.25,315.1,536.4,311.0,5PAISA
2025-10-21,311.55,316.5,311.55,315.75,536.4,311.0,5PAISA
2025-10-20,314.4,316.95,311.1,312.45,536.4,311.0,5PAISA
2025-10-17,314.8,317.0,311.0,312.8,607.05,311.0,5PAISA
2025-10-16,316.0,320.5,313.1,314.8,607.05,311.65,5PAISA
2025-10-15,317.85,322.95,315.0,316.65,607.05,311.65,5PAISA
2025-10-14,324.3,326.0,312.0,316.15,607.05,311.65,5PAISA
2025-10-13,330.0,335.0,318.0,320.05,607.05,311.65,5PAISA
2025-10-10,331.0,397.0,316.25,328.7,607.05,311.65,5PAISA
2025-10-09,349.5,354.0,345.0,345.25,607.05,311.65,5PAISA
2025-10-08,352.2,353.15,345.0,347.65,607.05,311.65,5PAISA
2025-10-07,351.0,354.75,349.3,352.2,607.05,311.65,5PAISA
2025-10-06,354.6,358.75,346.5,349.4,607.05,311.65,5PAISA
2025-10-03,349.3,357.0,349.2,354.65,607.05,311.65,5PAISA
2025-10-01,341.3,351.6,341.3,349.2,607.05,311.65,5PAISA
2025-09-30,346.9,350.65,341.0,343.2,607.05,311.65,5PAISA
2025-09-29,350.85,351.1,344.1,345.05,607.05,311.65,5PAISA
2025-09-26,355.5,357.3,344.1,349.05,607.05,311.65,5PAISA
2025-09-25,362.0,364.35,355.0,357.2,607.05,311.65,5PAISA
2025-09-24,360.0,368.8,360.0,362.0,607.05,311.65,5PAISA
2025-09-23,360.05,365.45,360.0,361.25,607.05,311.65,5PAISA
2025-09-22,368.0,368.55,361.9,363.2,607.05,311.65,5PAISA
2025-09-19,368.75,374.0,364.7,366.6,607.05,311.65,5PAISA
2025-09-18,369.0,373.85,361.2,368.0,607.05,311.65,5PAISA
2025-09-17,364.5,369.7,364.5,365.5,607.05,311.65,5PAISA
2025-09-16,365.0,367.35,362.6,365.65,607.05,311.65,5PAISA
2025-09-15,372.2,372.2,363.3,365.45,607.05,311.65,5PAISA
2025-09-12,366.1,373.0,365.5,369.95,607.05,311.65,5PAISA
2025-09-11,366.1,372.9,363.35,367.9,607.05,311.65,5PAISA
2025-09-10,374.6,376.4,366.35,369.5,607.05,311.65,5PAISA
2025-09-09,370.6,376.6,368.0,372.2,607.05,311.65,5PAISA
2025-09-08,364.25,381.6,364.25,368.7,607.05,311.65,5PAISA
2025-09-05,360.75,366.4,360.0,362.55,607.05,311.65,5PAISA
2025-09-04,362.05,366.95,359.55,360.75,607.05,311.65,5PAISA
2025-09-03,362.3,369.9,358.6,362.55,607.05,311.65,5PAISA
2025-09-02,356.5,367.0,356.5,362.3,607.05,311.65,5PAISA
