DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,509.3,510.95,501.0,503.7,547.8,346.05,AADHARHFC
2025-10-16,514.45,514.45,506.0,508.1,547.8,346.05,AADHARHFC
2025-10-15,516.0,516.2,510.0,510.6,547.8,346.05,AADHARHFC
2025-10-14,514.0,519.0,509.15,516.25,547.8,346.05,AADHARHFC
2025-10-13,514.5,518.5,507.05,513.8,547.8,346.05,AADHARHFC
2025-10-10,514.7,520.55,513.5,515.5,547.8,346.05,AADHARHFC
2025-10-09,515.25,522.95,512.1,513.75,547.8,346.05,AADHARHFC
2025-10-08,512.0,516.95,506.0,513.25,547.8,346.05,AADHARHFC
2025-10-07,519.8,520.0,511.0,512.9,547.8,346.05,AADHARHFC
2025-10-06,509.9,527.5,509.35,517.8,547.8,346.05,AADHARHFC
2025-10-03,510.0,512.5,503.45,509.95,547.8,346.05,AADHARHFC
2025-10-01,512.65,517.1,508.95,510.0,547.8,346.05,AADHARHFC
2025-09-30,513.55,519.15,506.6,510.25,547.8,346.05,AADHARHFC
2025-09-29,515.0,526.0,510.1,511.55,547.8,346.05,AADHARHFC
2025-09-26,525.05,529.45,509.3,511.85,547.8,346.05,AADHARHFC
2025-09-25,539.95,541.45,524.4,526.8,547.8,346.05,AADHARHFC
2025-09-24,537.6,547.8,531.05,539.85,547.8,346.05,AADHARHFC
2025-09-23,529.9,538.5,522.55,535.35,546.05,346.05,AADHARHFC
2025-09-22,539.15,539.95,523.5,527.55,546.05,346.05,AADHARHFC
2025-09-19,538.6,542.0,530.3,539.15,546.05,346.05,AADHARHFC
2025-09-18,541.15,541.85,534.1,538.55,546.05,346.05,AADHARHFC
2025-09-17,544.0,546.05,532.1,538.3,546.05,346.05,AADHARHFC
2025-09-16,523.95,544.5,521.0,537.8,544.5,346.05,AADHARHFC
2025-09-15,507.0,519.95,504.65,518.8,537.5,346.05,AADHARHFC
2025-09-12,507.5,509.5,497.15,506.65,537.5,346.05,AADHARHFC
2025-09-11,518.0,519.0,505.05,505.55,537.5,346.05,AADHARHFC
2025-09-10,515.0,522.4,513.4,517.8,537.5,346.05,AADHARHFC
2025-09-09,510.0,518.95,507.0,512.4,537.5,346.05,AADHARHFC
2025-09-08,510.6,515.9,506.2,510.45,537.5,346.05,AADHARHFC
2025-09-05,507.5,520.45,507.0,513.55,537.5,346.05,AADHARHFC
2025-09-04,518.0,519.6,505.3,506.5,537.5,346.05,AADHARHFC
2025-09-03,505.5,518.9,505.5,515.4,537.5,346.05,AADHARHFC
2025-09-02,507.4,515.95,501.8,507.9,537.5,346.05,AADHARHFC
2025-09-01,500.0,507.9,495.05,501.85,537.5,346.05,AADHARHFC
2025-08-29,497.0,508.35,495.7,502.95,537.5,346.05,AADHARHFC
2025-08-28,501.05,504.55,495.1,497.0,537.5,346.05,AADHARHFC
2025-08-26,517.2,519.95,500.05,503.45,537.5,346.05,AADHARHFC
2025-08-25,524.75,530.0,516.0,517.25,537.5,346.05,AADHARHFC
2025-08-22,517.0,523.95,514.9,521.85,537.5,346.05,AADHARHFC
2025-08-21,517.0,522.0,514.25,517.45,537.5,346.05,AADHARHFC
2025-08-20,504.95,518.65,500.6,515.5,537.5,346.05,AADHARHFC
2025-08-19,507.95,507.95,497.05,502.45,537.5,346.05,AADHARHFC
2025-08-18,504.95,510.3,500.2,505.05,537.5,346.05,AADHARHFC
2025-08-14,498.9,504.3,495.6,501.1,537.5,346.05,AADHARHFC
2025-08-13,506.0,508.5,493.3,496.7,537.5,346.05,AADHARHFC
2025-08-12,508.9,509.3,501.55,506.2,537.5,346.05,AADHARHFC
2025-08-11,504.25,515.55,503.3,506.75,537.5,346.05,AADHARHFC
2025-08-08,508.0,509.15,500.2,503.8,537.5,346.05,AADHARHFC
2025-08-07,494.0,507.0,491.0,505.3,537.5,346.05,AADHARHFC
2025-08-06,499.45,501.4,494.05,495.55,537.5,346.05,AADHARHFC
2025-08-05,500.95,503.75,495.05,499.45,537.5,346.05,AADHARHFC
2025-08-04,497.9,505.0,494.7,500.1,537.5,346.05,AADHARHFC
2025-08-01,507.0,509.55,496.85,499.5,537.5,346.05,AADHARHFC
2025-07-31,501.0,509.55,499.55,507.05,537.5,346.05,AADHARHFC
2025-07-30,509.1,519.85,504.05,507.55,537.5,346.05,AADHARHFC
2025-07-29,514.0,515.7,500.4,509.1,537.5,346.05,AADHARHFC
2025-07-28,525.0,537.5,513.3,516.55,537.5,346.05,AADHARHFC
2025-07-25,511.75,512.65,494.95,496.4,531.35,346.05,AADHARHFC
2025-07-24,518.75,518.8,508.2,511.7,531.35,346.05,AADHARHFC
2025-07-23,520.0,524.9,510.2,516.75,531.35,346.05,AADHARHFC
2025-07-22,521.0,531.35,516.35,519.6,531.35,346.05,AADHARHFC
2025-07-21,520.0,525.65,507.65,516.35,525.65,346.05,AADHARHFC
2025-07-18,504.55,508.0,494.0,504.7,516.8,346.05,AADHARHFC
2025-07-17,505.2,505.85,491.8,502.75,516.8,346.05,AADHARHFC
2025-07-16,477.0,509.4,475.0,504.65,516.8,346.05,AADHARHFC
2025-07-15,459.5,488.65,454.6,477.9,516.8,346.05,AADHARHFC
2025-07-14,455.75,461.05,448.5,459.95,516.8,346.05,AADHARHFC
2025-07-11,454.5,461.45,449.15,451.7,516.8,346.05,AADHARHFC
2025-07-10,457.95,462.5,448.0,453.1,516.8,346.05,AADHARHFC
2025-07-09,451.65,454.0,448.1,449.35,516.8,346.05,AADHARHFC
2025-07-08,455.05,459.35,447.0,450.65,516.8,346.05,AADHARHFC
2025-07-07,460.0,462.45,451.2,455.05,516.8,346.05,AADHARHFC
2025-07-04,464.95,468.5,453.65,460.25,516.8,346.05,AADHARHFC
2025-07-03,465.05,467.95,458.1,463.65,516.8,346.05,AADHARHFC
2025-07-02,464.2,469.7,455.6,465.05,516.8,346.05,AADHARHFC
2025-07-01,455.15,468.0,452.95,463.9,516.8,346.05,AADHARHFC
2025-06-30,449.85,460.0,446.1,454.6,516.8,346.05,AADHARHFC
2025-06-27,445.0,451.15,443.1,444.2,516.8,346.05,AADHARHFC
2025-06-26,440.0,445.9,438.5,444.0,516.8,346.05,AADHARHFC
2025-06-25,434.25,443.8,430.3,441.5,516.8,346.05,AADHARHFC
2025-06-24,449.6,449.6,411.3,434.25,516.8,346.05,AADHARHFC
2025-06-23,435.0,448.0,434.0,442.9,516.8,346.05,AADHARHFC
2025-06-20,435.05,440.9,432.55,437.5,516.8,346.05,AADHARHFC
2025-06-19,442.3,445.95,435.0,436.35,516.8,346.05,AADHARHFC
2025-06-18,445.7,445.9,438.6,440.15,516.8,346.05,AADHARHFC
2025-06-17,445.5,447.2,441.5,445.7,516.8,346.05,AADHARHFC
2025-06-16,435.0,447.0,432.0,443.65,516.8,346.05,AADHARHFC
2025-06-13,433.0,439.0,433.0,437.8,516.8,346.05,AADHARHFC
2025-06-12,447.0,448.15,440.4,442.05,516.8,346.05,AADHARHFC
2025-06-11,454.7,455.6,442.05,445.95,516.8,346.05,AADHARHFC
2025-06-10,456.6,457.15,450.9,452.55,516.8,346.05,AADHARHFC
2025-06-09,455.2,460.9,449.2,452.95,516.8,346.05,AADHARHFC
