DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,122.46,122.99,119.04,119.9,156.19,88.0,AARVI
2025-10-21,117.4,122.2,117.4,119.96,156.19,88.0,AARVI
2025-10-20,119.0,121.18,116.01,118.11,156.19,88.0,AARVI
2025-10-17,118.15,122.79,118.15,120.08,168.0,88.0,AARVI
2025-10-16,120.11,122.94,120.11,121.04,168.0,88.0,AARVI
2025-10-15,124.0,124.0,120.0,120.47,168.0,88.0,AARVI
2025-10-14,120.2,122.5,120.2,120.52,168.0,88.0,AARVI
2025-10-13,121.83,123.98,121.15,122.64,168.0,88.0,AARVI
2025-10-10,123.55,125.19,122.09,123.83,168.0,88.0,AARVI
2025-10-09,123.33,124.04,122.82,123.54,168.0,88.0,AARVI
2025-10-08,129.99,129.99,123.25,123.42,168.0,88.0,AARVI
2025-10-07,122.99,126.62,121.02,124.97,168.0,88.0,AARVI
2025-10-06,118.45,123.6,118.45,122.56,168.0,88.0,AARVI
2025-10-03,124.29,124.99,120.0,120.47,168.0,88.0,AARVI
2025-10-01,123.17,125.5,120.69,122.81,168.0,88.0,AARVI
2025-09-30,119.36,121.81,118.1,119.72,168.0,88.0,AARVI
2025-09-29,123.85,123.99,119.3,120.07,168.0,88.0,AARVI
2025-09-26,124.16,125.0,122.03,122.57,168.0,88.0,AARVI
2025-09-25,124.5,126.58,123.96,124.16,168.0,88.0,AARVI
2025-09-24,123.6,129.37,123.6,126.63,168.0,88.0,AARVI
2025-09-23,123.55,126.99,123.55,126.11,168.0,88.0,AARVI
2025-09-22,125.8,127.98,123.0,124.4,168.0,88.0,AARVI
2025-09-19,122.85,126.99,122.85,125.8,168.0,88.0,AARVI
2025-09-18,123.0,130.01,121.93,122.85,168.0,88.0,AARVI
2025-09-17,127.0,127.32,122.0,122.79,168.0,88.0,AARVI
2025-09-16,123.52,128.79,123.42,125.95,168.0,88.0,AARVI
2025-09-15,122.05,125.75,121.59,123.52,168.0,88.0,AARVI
2025-09-12,123.0,126.09,120.05,122.56,168.0,88.0,AARVI
2025-09-11,127.98,127.98,124.1,124.3,168.0,88.0,AARVI
2025-09-10,126.13,127.63,123.15,124.41,168.0,88.0,AARVI
2025-09-09,122.14,126.0,122.1,124.63,168.0,88.0,AARVI
2025-09-08,122.7,125.48,122.7,123.22,168.0,88.0,AARVI
2025-09-05,124.97,126.5,121.95,123.22,168.0,88.0,AARVI
2025-09-04,128.99,128.99,124.1,124.97,168.0,88.0,AARVI
2025-09-03,123.5,129.25,121.08,126.34,168.0,88.0,AARVI
2025-09-02,131.52,133.7,122.0,122.89,168.0,88.0,AARVI
2025-09-01,130.9,133.97,128.55,131.52,168.0,88.0,AARVI
2025-08-29,120.8,135.99,120.79,128.83,168.0,88.0,AARVI
2025-08-28,121.6,121.6,114.81,116.71,168.0,88.0,AARVI
2025-08-26,121.0,124.48,119.31,121.65,168.0,88.0,AARVI
2025-08-25,121.65,123.79,116.26,122.06,168.0,88.0,AARVI
2025-08-22,115.25,128.0,114.95,121.54,168.0,88.0,AARVI
2025-08-21,115.35,116.97,115.01,115.74,168.0,88.0,AARVI
2025-08-20,114.01,117.9,114.01,115.34,168.0,88.0,AARVI
2025-08-19,114.25,117.45,111.9,114.31,168.0,88.0,AARVI
2025-08-18,119.5,122.0,114.0,115.29,168.0,88.0,AARVI
2025-08-14,134.0,137.9,121.35,124.12,168.0,88.0,AARVI
2025-08-13,108.2,120.55,108.05,120.55,168.0,88.0,AARVI
2025-08-12,103.6,104.18,97.3,100.46,168.0,88.0,AARVI
2025-08-11,101.75,104.4,96.99,103.14,168.0,88.0,AARVI
2025-08-08,103.49,103.49,100.25,100.49,168.0,88.0,AARVI
2025-08-07,102.0,103.39,101.32,101.81,168.0,88.0,AARVI
2025-08-06,101.4,107.0,101.24,102.0,168.0,88.0,AARVI
2025-08-05,101.25,104.3,101.25,101.39,168.0,88.0,AARVI
2025-08-04,105.81,105.81,100.6,102.99,168.0,88.0,AARVI
2025-08-01,107.63,107.63,102.2,103.32,168.0,88.0,AARVI
2025-07-31,105.07,106.1,103.0,104.05,168.0,88.0,AARVI
2025-07-30,106.11,106.7,105.0,105.07,168.0,88.0,AARVI
2025-07-29,102.2,106.7,102.2,105.06,168.0,88.0,AARVI
2025-07-28,107.95,107.95,102.25,103.08,168.0,88.0,AARVI
2025-07-25,104.56,105.92,104.21,104.5,168.0,88.0,AARVI
2025-07-24,107.84,107.89,104.0,104.56,168.0,88.0,AARVI
2025-07-23,106.66,107.37,105.71,106.09,168.0,88.0,AARVI
2025-07-22,107.98,107.98,106.0,106.31,168.0,88.0,AARVI
2025-07-21,106.25,109.74,105.55,106.74,168.0,88.0,AARVI
2025-07-18,107.13,108.39,106.0,106.48,168.0,88.0,AARVI
