DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,338.9,338.95,332.95,333.55,345.4,149.01,ABCAPITAL
2025-11-07,324.15,345.4,322.6,338.1,345.4,149.01,ABCAPITAL
2025-11-06,331.05,332.35,324.6,327.05,336.0,149.01,ABCAPITAL
2025-11-04,335.4,336.0,330.15,331.45,336.0,149.01,ABCAPITAL
2025-11-03,325.65,335.7,325.0,334.25,335.7,149.01,ABCAPITAL
2025-10-31,326.95,333.3,322.25,324.2,333.3,149.01,ABCAPITAL
2025-10-30,310.8,328.8,309.6,326.8,328.8,149.01,ABCAPITAL
2025-10-29,313.0,313.5,307.5,310.8,318.3,149.01,ABCAPITAL
2025-10-28,316.1,318.3,308.7,312.6,318.3,149.01,ABCAPITAL
2025-10-27,306.15,311.9,305.5,310.75,311.9,149.01,ABCAPITAL
2025-10-24,308.85,309.95,303.95,306.15,311.8,149.01,ABCAPITAL
2025-10-23,304.95,311.8,303.7,308.0,311.8,149.01,ABCAPITAL
2025-10-21,306.2,306.8,302.4,304.85,307.8,149.01,ABCAPITAL
2025-10-20,301.0,306.4,300.3,305.35,307.8,149.01,ABCAPITAL
2025-10-17,300.0,301.8,296.8,299.3,307.8,149.01,ABCAPITAL
2025-10-16,303.5,305.2,299.4,300.0,307.8,149.01,ABCAPITAL
2025-10-15,298.0,305.35,298.0,303.5,307.8,149.01,ABCAPITAL
2025-10-14,300.45,302.4,295.1,298.0,307.8,149.01,ABCAPITAL
2025-10-13,292.0,300.4,289.9,299.05,307.8,149.01,ABCAPITAL
2025-10-10,297.95,299.2,292.55,293.35,307.8,149.01,ABCAPITAL
2025-10-09,296.9,299.0,294.95,297.95,307.8,149.01,ABCAPITAL
2025-10-08,300.5,303.0,294.2,295.25,307.8,149.01,ABCAPITAL
2025-10-07,304.85,307.8,302.25,303.5,307.8,149.01,ABCAPITAL
2025-10-06,305.0,305.0,297.9,304.05,305.0,149.01,ABCAPITAL
2025-10-03,300.6,304.95,297.6,303.95,304.95,149.01,ABCAPITAL
