DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,82.59,83.3,82.05,83.03,98.0,70.55,ABFRL
2025-10-17,83.56,83.69,81.57,82.28,98.0,70.55,ABFRL
2025-10-16,83.45,84.19,82.81,83.69,98.0,70.55,ABFRL
2025-10-15,80.67,83.65,80.22,83.45,98.0,70.55,ABFRL
2025-10-14,82.14,82.93,79.95,80.14,98.0,70.55,ABFRL
2025-10-13,83.44,83.55,81.81,81.97,98.0,70.55,ABFRL
2025-10-10,84.55,85.18,83.0,83.19,98.0,70.55,ABFRL
2025-10-09,85.0,85.6,84.25,84.57,98.0,70.55,ABFRL
2025-10-08,85.6,86.3,84.6,84.81,98.0,70.55,ABFRL
2025-10-07,85.9,86.67,85.2,85.7,98.0,70.55,ABFRL
2025-10-06,88.1,88.4,85.93,86.24,98.0,70.55,ABFRL
2025-10-03,86.69,88.99,86.4,87.99,98.0,70.55,ABFRL
2025-10-01,84.81,87.2,83.92,86.39,98.0,70.55,ABFRL
2025-09-30,85.01,85.36,84.15,84.49,98.0,70.55,ABFRL
2025-09-29,85.75,85.76,83.15,85.01,98.0,70.55,ABFRL
2025-09-26,87.25,88.8,84.32,84.9,98.0,70.55,ABFRL
2025-09-25,91.58,91.58,86.55,87.31,98.0,70.55,ABFRL
2025-09-24,92.52,92.74,90.6,91.13,98.0,70.55,ABFRL
2025-09-23,93.21,93.43,90.85,92.03,98.0,70.55,ABFRL
2025-09-22,92.11,94.95,91.18,93.48,98.0,70.55,ABFRL
2025-09-19,90.2,93.15,89.31,92.11,98.0,70.55,ABFRL
2025-09-18,90.5,90.88,89.6,89.88,98.0,70.55,ABFRL
2025-09-17,89.5,91.6,88.05,90.17,98.0,70.55,ABFRL
2025-09-16,87.77,88.64,86.51,86.68,98.0,70.55,ABFRL
2025-09-15,88.58,88.7,87.0,87.34,98.0,70.55,ABFRL
2025-09-12,89.53,89.55,86.36,88.38,98.0,70.55,ABFRL
2025-09-11,89.0,89.79,88.01,89.15,98.0,70.55,ABFRL
2025-09-10,91.2,91.35,87.9,88.82,98.0,70.55,ABFRL
2025-09-09,91.9,92.48,89.5,91.08,98.0,70.55,ABFRL
2025-09-08,86.2,93.48,85.43,88.86,98.0,70.55,ABFRL
2025-09-05,83.33,86.5,82.82,85.92,98.0,70.55,ABFRL
2025-09-04,82.55,85.6,82.3,82.88,98.0,70.55,ABFRL
2025-09-03,83.2,83.23,80.9,81.41,98.0,70.55,ABFRL
2025-09-02,83.61,85.4,82.75,83.32,98.0,70.55,ABFRL
2025-09-01,77.79,83.99,76.43,83.35,98.0,70.55,ABFRL
2025-08-29,78.39,78.83,77.01,77.35,98.0,70.55,ABFRL
2025-08-28,82.56,82.57,77.85,78.08,98.0,70.55,ABFRL
2025-08-26,82.0,83.36,81.81,82.56,98.0,70.55,ABFRL
2025-08-25,81.44,83.4,80.86,81.98,98.0,70.55,ABFRL
2025-08-22,75.65,81.99,75.6,81.25,98.0,70.55,ABFRL
2025-08-21,76.9,76.9,74.97,75.65,98.0,70.55,ABFRL
2025-08-20,77.49,77.49,76.08,76.26,98.0,70.55,ABFRL
2025-08-19,76.84,77.87,75.82,77.18,98.0,70.55,ABFRL
2025-08-18,75.66,78.46,75.66,76.46,98.0,70.55,ABFRL
2025-08-14,74.5,76.58,74.21,75.0,98.0,70.55,ABFRL
2025-08-13,74.06,75.5,74.05,74.68,98.0,70.55,ABFRL
2025-08-12,74.65,75.11,73.8,74.02,98.0,70.55,ABFRL
2025-08-11,74.2,75.05,73.5,74.65,98.0,70.55,ABFRL
2025-08-08,76.12,76.19,73.65,74.19,98.0,70.55,ABFRL
2025-08-07,76.01,76.35,75.0,76.12,98.0,70.55,ABFRL
2025-08-06,75.8,77.6,75.04,76.46,98.0,70.55,ABFRL
2025-08-05,75.9,76.14,74.93,75.17,98.0,70.55,ABFRL
2025-08-04,73.99,76.1,72.68,75.85,98.0,70.55,ABFRL
2025-08-01,72.87,74.44,72.72,73.78,98.0,70.55,ABFRL
