DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,130.11,131.87,129.15,129.6,168.0,124.5,ABLBL
2025-11-28,131.95,133.4,129.1,130.17,168.0,124.5,ABLBL
2025-11-27,132.24,133.85,131.05,132.23,168.0,124.5,ABLBL
2025-11-26,130.0,132.97,130.0,132.65,168.0,124.5,ABLBL
2025-11-25,127.06,129.99,126.56,129.15,168.0,124.5,ABLBL
2025-11-24,127.95,128.11,124.5,127.06,168.0,124.5,ABLBL
2025-11-21,132.0,132.0,127.71,127.95,168.0,126.79,ABLBL
2025-11-20,136.5,137.7,131.1,132.23,168.0,126.79,ABLBL
2025-11-19,140.0,140.0,137.01,137.31,168.0,126.79,ABLBL
2025-11-18,138.05,142.35,136.91,139.92,168.0,126.79,ABLBL
2025-11-17,132.55,139.7,132.55,138.55,168.0,126.79,ABLBL
2025-11-14,133.05,138.25,132.12,134.47,168.0,126.79,ABLBL
2025-11-13,129.75,136.0,128.51,134.42,168.0,126.79,ABLBL
2025-11-12,128.79,131.2,128.0,129.96,168.0,126.79,ABLBL
2025-11-11,129.99,130.44,126.79,127.87,168.0,126.79,ABLBL
2025-11-10,130.45,130.88,127.98,129.99,168.0,127.98,ABLBL
2025-11-07,132.42,132.43,128.73,130.45,168.0,128.73,ABLBL
2025-11-06,139.39,139.39,130.51,132.42,168.0,129.5,ABLBL
2025-11-04,136.89,138.18,135.99,137.13,168.0,129.5,ABLBL
2025-11-03,133.9,136.7,132.92,136.2,168.0,129.5,ABLBL
2025-10-31,134.65,136.0,133.18,133.6,168.0,129.5,ABLBL
2025-10-30,136.0,136.16,134.15,134.56,168.0,129.5,ABLBL
2025-10-29,136.9,137.41,135.36,135.62,168.0,129.5,ABLBL
2025-10-28,136.37,138.0,135.7,136.36,168.0,129.5,ABLBL
2025-10-27,138.85,138.94,135.46,136.37,168.0,129.5,ABLBL
2025-10-24,140.0,140.71,137.7,138.44,168.0,129.5,ABLBL
2025-10-23,140.0,141.01,137.95,140.12,168.0,129.5,ABLBL
