DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,25.49,25.49,24.1,24.55,37.34,20.0,ACEINTEG
2025-10-21,24.85,25.0,24.55,24.86,37.34,20.0,ACEINTEG
2025-10-20,24.98,24.98,24.5,24.84,37.34,20.0,ACEINTEG
2025-10-17,26.48,26.5,23.76,24.3,37.34,20.0,ACEINTEG
2025-10-16,25.0,26.79,24.66,25.76,37.34,20.0,ACEINTEG
2025-10-15,23.51,27.29,23.11,25.13,37.34,20.0,ACEINTEG
2025-10-14,24.2,24.2,23.1,23.67,37.34,20.0,ACEINTEG
2025-10-13,23.6,24.0,23.5,23.9,37.34,20.0,ACEINTEG
2025-10-10,24.18,24.18,23.54,23.63,37.34,20.0,ACEINTEG
2025-10-09,24.2,24.2,23.62,23.66,37.34,20.0,ACEINTEG
2025-10-08,23.67,23.99,23.53,23.73,37.34,20.0,ACEINTEG
2025-10-07,24.18,24.18,23.4,23.66,37.34,20.0,ACEINTEG
2025-10-06,23.71,24.44,23.11,23.75,37.34,20.0,ACEINTEG
2025-10-03,24.98,24.98,23.9,24.32,39.9,20.0,ACEINTEG
2025-10-01,24.0,24.29,23.63,23.96,39.9,20.0,ACEINTEG
2025-09-30,24.01,24.65,23.6,23.6,39.9,20.0,ACEINTEG
2025-09-29,24.22,25.44,23.58,23.88,39.9,20.0,ACEINTEG
2025-09-26,25.15,25.7,23.5,24.44,39.9,20.0,ACEINTEG
2025-09-25,24.8,26.0,24.45,25.15,39.9,20.0,ACEINTEG
2025-09-24,26.4,26.4,23.67,24.17,39.9,20.0,ACEINTEG
2025-09-23,26.49,26.49,25.3,25.55,39.9,20.0,ACEINTEG
2025-09-22,26.65,26.65,25.61,25.76,39.9,20.0,ACEINTEG
2025-09-19,25.02,26.9,25.02,26.1,39.9,20.0,ACEINTEG
2025-09-18,25.91,25.91,25.01,25.2,39.9,20.0,ACEINTEG
2025-09-17,26.85,27.9,25.12,25.28,39.9,20.0,ACEINTEG
2025-09-16,25.23,27.43,24.7,26.51,39.9,20.0,ACEINTEG
2025-09-15,25.94,26.91,24.15,25.22,39.9,20.0,ACEINTEG
2025-09-12,25.5,26.59,25.01,25.94,40.0,20.0,ACEINTEG
2025-09-11,26.4,27.4,25.4,26.03,40.0,20.0,ACEINTEG
2025-09-10,27.09,29.94,25.66,26.23,40.0,20.0,ACEINTEG
2025-09-09,24.1,28.1,23.8,27.09,40.0,20.0,ACEINTEG
2025-09-08,24.52,24.65,23.51,24.1,40.0,20.0,ACEINTEG
2025-09-05,23.69,24.39,23.5,23.93,40.0,20.0,ACEINTEG
2025-09-04,24.99,24.99,23.6,23.8,40.0,20.0,ACEINTEG
2025-09-03,24.37,24.37,23.18,23.6,40.0,20.0,ACEINTEG
2025-09-02,23.8,24.4,23.6,23.89,40.0,20.0,ACEINTEG
2025-09-01,24.39,24.58,23.5,23.76,40.0,20.0,ACEINTEG
2025-08-29,23.6,24.98,23.5,23.8,40.0,20.0,ACEINTEG
2025-08-28,23.85,24.26,23.13,23.71,40.0,20.0,ACEINTEG
2025-08-26,24.8,24.8,23.61,23.85,40.0,20.0,ACEINTEG
2025-08-25,25.2,25.2,23.8,24.04,40.0,20.0,ACEINTEG
2025-08-22,24.23,25.0,23.66,24.17,40.0,20.0,ACEINTEG
2025-08-21,23.81,25.19,23.33,23.64,40.0,20.0,ACEINTEG
2025-08-20,24.06,24.3,23.1,23.92,40.0,20.0,ACEINTEG
2025-08-19,24.7,24.7,23.51,24.02,40.0,20.0,ACEINTEG
2025-08-18,25.84,25.84,23.2,23.87,40.0,20.0,ACEINTEG
2025-08-14,24.3,25.3,23.34,24.18,40.0,20.0,ACEINTEG
2025-08-13,24.01,25.99,24.01,24.3,40.0,20.0,ACEINTEG
2025-08-12,24.6,24.6,23.61,23.99,40.0,20.0,ACEINTEG
2025-08-11,24.74,24.74,23.31,24.1,40.0,20.0,ACEINTEG
2025-08-08,24.11,24.89,23.82,24.13,40.0,20.0,ACEINTEG
2025-08-07,24.54,25.42,23.25,24.11,40.0,20.0,ACEINTEG
2025-08-06,24.36,26.03,23.42,24.05,40.0,20.0,ACEINTEG
2025-08-05,25.42,25.42,24.32,24.52,40.0,20.0,ACEINTEG
2025-08-04,24.94,26.03,23.83,24.8,40.0,20.0,ACEINTEG
2025-08-01,24.88,25.44,23.38,24.34,44.34,20.0,ACEINTEG
2025-07-31,24.51,25.5,23.81,24.51,44.34,20.0,ACEINTEG
2025-07-30,24.93,25.5,24.51,24.68,44.34,20.0,ACEINTEG
2025-07-29,25.0,26.2,24.52,24.92,44.34,20.0,ACEINTEG
2025-07-28,24.51,26.2,24.32,25.0,44.34,20.0,ACEINTEG
2025-07-25,26.07,26.69,24.61,24.9,44.34,20.0,ACEINTEG
2025-07-24,27.29,27.29,25.8,26.3,44.34,20.0,ACEINTEG
2025-07-23,26.0,26.6,25.53,26.3,44.34,20.0,ACEINTEG
2025-07-22,25.73,26.89,25.5,25.61,44.34,20.0,ACEINTEG
2025-07-21,26.4,26.47,25.21,25.73,44.34,20.0,ACEINTEG
2025-07-18,25.6,26.48,25.6,26.05,44.34,20.0,ACEINTEG
2025-07-17,26.4,26.4,26.02,26.36,44.34,20.0,ACEINTEG
2025-07-16,26.33,26.54,25.6,26.12,44.34,20.0,ACEINTEG
2025-07-15,26.76,26.76,25.17,25.93,44.34,20.0,ACEINTEG
2025-07-14,26.81,26.99,25.57,26.11,44.34,20.0,ACEINTEG
2025-07-11,26.29,26.29,25.99,26.16,44.34,20.0,ACEINTEG
2025-07-10,26.0,26.3,25.7,25.81,44.34,20.0,ACEINTEG
2025-07-09,26.0,26.84,25.8,26.04,44.34,20.0,ACEINTEG
2025-07-08,26.94,26.94,25.81,25.97,44.34,20.0,ACEINTEG
2025-07-07,27.0,27.22,26.31,26.41,44.34,20.0,ACEINTEG
2025-07-04,26.5,27.89,26.5,27.06,44.34,20.0,ACEINTEG
2025-07-03,27.69,28.99,26.84,26.96,44.34,20.0,ACEINTEG
2025-07-02,27.0,27.79,26.62,26.77,44.34,20.0,ACEINTEG
2025-07-01,28.11,28.12,26.61,27.15,44.34,20.0,ACEINTEG
2025-06-30,28.39,28.49,27.01,27.56,44.34,20.0,ACEINTEG
2025-06-27,25.92,29.1,25.84,27.39,44.34,20.0,ACEINTEG
2025-06-26,25.55,26.25,25.53,25.73,44.34,20.0,ACEINTEG
2025-06-25,25.16,26.68,25.16,25.53,44.34,20.0,ACEINTEG
2025-06-24,26.9,26.9,24.9,25.16,44.34,20.0,ACEINTEG
2025-06-23,25.08,25.49,24.75,24.92,44.34,20.0,ACEINTEG
2025-06-20,25.61,25.99,24.6,25.08,44.34,20.0,ACEINTEG
2025-06-19,27.51,27.51,25.3,25.48,44.34,20.0,ACEINTEG
2025-06-18,27.74,28.29,26.36,26.97,44.34,20.0,ACEINTEG
2025-06-17,28.66,28.66,27.01,27.39,44.34,20.0,ACEINTEG
2025-06-16,27.0,29.77,27.0,28.1,44.34,20.0,ACEINTEG
2025-06-13,26.12,28.0,26.12,27.59,44.34,20.0,ACEINTEG
2025-06-12,28.2,28.34,26.31,26.79,44.34,20.0,ACEINTEG
2025-06-11,26.8,27.93,26.2,26.82,44.34,20.0,ACEINTEG
2025-06-10,28.74,28.74,26.25,26.83,44.34,20.0,ACEINTEG
2025-06-09,28.79,28.79,27.35,28.15,44.34,20.0,ACEINTEG
