DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,1203.0,1215.0,1185.7,1206.2,1649.0,917.45,ACE
2025-04-25,1245.0,1253.2,1183.1,1203.3,1649.0,917.45,ACE
2025-04-24,1245.0,1260.0,1238.1,1243.7,1649.0,917.45,ACE
2025-04-23,1268.0,1273.3,1242.2,1245.9,1649.0,917.45,ACE
2025-04-22,1270.0,1273.9,1253.3,1256.0,1649.0,917.45,ACE
2025-04-21,1248.0,1277.8,1237.8,1265.4,1649.0,917.45,ACE
2025-04-17,1242.0,1254.0,1221.0,1231.2,1649.0,917.45,ACE
2025-04-16,1248.4,1260.7,1240.0,1246.4,1649.0,917.45,ACE
2025-04-15,1260.0,1267.9,1243.0,1248.4,1649.0,917.45,ACE
2025-04-11,1250.0,1250.0,1206.9,1230.75,1649.0,917.45,ACE
2025-04-09,1190.75,1209.2,1185.0,1194.6,1649.0,917.45,ACE
2025-04-08,1205.1,1237.2,1187.0,1199.6,1649.0,917.45,ACE
2025-04-07,1065.0,1208.45,1060.05,1187.15,1649.0,917.45,ACE
2025-04-04,1290.0,1292.0,1245.05,1263.4,1695.0,917.45,ACE
2025-04-03,1264.95,1302.0,1250.05,1298.7,1695.0,917.45,ACE
2025-04-02,1259.95,1282.9,1233.55,1276.45,1695.0,917.45,ACE
2025-04-01,1254.0,1265.9,1233.1,1256.1,1695.0,917.45,ACE
2025-03-28,1268.95,1278.5,1244.95,1257.1,1695.0,917.45,ACE
2025-03-27,1193.0,1274.45,1186.3,1259.0,1695.0,917.45,ACE
2025-03-26,1215.0,1222.65,1195.0,1198.25,1695.0,917.45,ACE
2025-03-25,1259.75,1259.75,1201.0,1210.55,1695.0,917.45,ACE
2025-03-24,1242.05,1294.35,1228.6,1242.9,1695.0,917.45,ACE
2025-03-21,1223.8,1262.7,1213.05,1250.85,1695.0,917.45,ACE
2025-03-20,1227.4,1237.25,1208.2,1223.8,1695.0,917.45,ACE
2025-03-19,1205.0,1220.7,1196.05,1212.95,1695.0,917.45,ACE
2025-03-18,1172.25,1212.95,1160.7,1192.8,1695.0,917.45,ACE
2025-03-17,1155.05,1171.1,1146.65,1154.7,1695.0,917.45,ACE
2025-03-13,1173.55,1177.6,1144.15,1151.25,1695.0,917.45,ACE
2025-03-12,1180.0,1231.2,1144.0,1168.7,1695.0,917.45,ACE
2025-03-11,1105.0,1188.0,1096.85,1169.3,1695.0,917.45,ACE
2025-03-10,1145.25,1151.25,1104.5,1134.2,1695.0,917.45,ACE
2025-03-07,1112.2,1166.95,1094.1,1136.3,1695.0,917.45,ACE
2025-03-06,1099.3,1117.55,1091.3,1103.6,1695.0,917.45,ACE
2025-03-05,1078.95,1095.5,1048.05,1088.5,1695.0,917.45,ACE
2025-03-04,1009.05,1075.9,995.0,1068.8,1695.0,917.45,ACE
2025-03-03,1052.55,1061.45,917.45,1026.5,1695.0,917.45,ACE
2025-02-28,1107.95,1111.95,1042.05,1050.3,1695.0,1042.05,ACE
2025-02-27,1153.0,1155.0,1109.0,1112.5,1695.0,1044.3,ACE
2025-02-25,1193.0,1206.7,1138.55,1145.55,1695.0,1044.3,ACE
2025-02-24,1194.2,1213.7,1182.25,1192.5,1695.0,1044.3,ACE
2025-02-21,1258.0,1258.95,1195.0,1218.25,1695.0,1044.3,ACE
2025-02-20,1195.0,1272.25,1175.5,1247.25,1695.0,1044.3,ACE
2025-02-19,1115.0,1205.15,1106.05,1192.9,1695.0,1044.3,ACE
2025-02-18,1164.05,1165.45,1105.2,1119.45,1695.0,1044.3,ACE
2025-02-17,1172.05,1199.55,1149.5,1165.55,1695.0,1044.3,ACE
2025-02-14,1232.0,1238.8,1177.45,1203.55,1695.0,1044.3,ACE
2025-02-13,1207.2,1242.85,1198.55,1225.65,1695.0,1044.3,ACE
2025-02-12,1214.0,1214.0,1146.75,1194.0,1695.0,1044.3,ACE
2025-02-11,1233.0,1249.95,1190.15,1204.55,1695.0,1044.3,ACE
2025-02-10,1283.1,1319.85,1221.95,1249.9,1695.0,1044.3,ACE
2025-02-07,1247.8,1266.4,1232.0,1260.65,1695.0,956.65,ACE
2025-02-06,1239.95,1250.95,1222.95,1246.6,1695.0,956.65,ACE
2025-02-05,1232.55,1252.9,1223.15,1228.55,1695.0,956.65,ACE
2025-02-04,1250.0,1268.25,1223.7,1231.55,1695.0,956.65,ACE
2025-02-03,1267.9,1276.8,1244.5,1251.75,1695.0,956.65,ACE
2025-02-01,1287.95,1299.0,1252.45,1269.35,1695.0,900.95,ACE
2025-01-31,1281.0,1292.6,1266.0,1288.0,1695.0,900.95,ACE
2025-01-30,1318.0,1321.4,1280.0,1293.6,1695.0,900.95,ACE
2025-01-29,1240.0,1315.0,1237.1,1306.35,1695.0,900.95,ACE
2025-01-28,1256.0,1279.5,1205.35,1237.1,1695.0,900.95,ACE
2025-01-27,1232.0,1268.95,1163.4,1246.4,1695.0,900.95,ACE
2025-01-24,1295.0,1301.85,1228.0,1236.15,1695.0,855.0,ACE
2025-01-23,1271.0,1304.95,1261.9,1295.2,1695.0,855.0,ACE
