DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,62.05,62.05,59.49,60.12,110.14,52.01,ACLGATI
2025-10-16,58.58,62.15,58.0,61.77,110.14,52.01,ACLGATI
2025-10-15,57.41,58.2,57.07,57.78,110.14,52.01,ACLGATI
2025-10-14,58.57,59.94,57.0,57.18,110.14,52.01,ACLGATI
2025-10-13,58.95,59.39,56.97,57.71,110.14,52.01,ACLGATI
2025-10-10,58.45,60.0,58.25,58.72,110.14,52.01,ACLGATI
2025-10-09,58.18,58.49,57.84,58.22,110.14,52.01,ACLGATI
2025-10-08,59.29,59.37,58.0,58.18,110.14,52.01,ACLGATI
2025-10-07,59.45,59.98,58.85,59.08,110.14,52.01,ACLGATI
2025-10-06,60.85,60.85,58.81,59.45,110.14,52.01,ACLGATI
2025-10-03,60.2,60.32,59.42,60.14,115.79,52.01,ACLGATI
2025-10-01,60.7,61.25,59.52,59.96,115.79,52.01,ACLGATI
2025-09-30,60.08,61.6,60.08,60.76,115.79,52.01,ACLGATI
2025-09-29,59.44,60.44,58.74,59.14,115.79,52.01,ACLGATI
2025-09-26,58.57,62.4,58.0,58.97,119.85,52.01,ACLGATI
2025-09-25,60.0,60.9,58.2,58.5,119.85,52.01,ACLGATI
2025-09-24,61.1,61.65,59.5,59.69,119.85,52.01,ACLGATI
2025-09-23,62.37,62.6,60.59,60.7,119.85,52.01,ACLGATI
2025-09-22,62.32,63.3,61.7,61.84,119.85,52.01,ACLGATI
2025-09-19,62.65,63.1,61.91,62.32,119.85,52.01,ACLGATI
2025-09-18,63.25,63.25,62.2,62.45,119.85,52.01,ACLGATI
2025-09-17,62.7,63.33,62.24,62.44,119.85,52.01,ACLGATI
2025-09-16,62.13,63.85,61.85,62.46,119.85,52.01,ACLGATI
2025-09-15,61.65,62.24,61.3,61.47,119.85,52.01,ACLGATI
2025-09-12,61.81,62.5,61.52,61.64,119.85,52.01,ACLGATI
2025-09-11,62.48,62.84,61.57,61.81,119.85,52.01,ACLGATI
2025-09-10,62.0,63.54,61.73,62.3,119.85,52.01,ACLGATI
2025-09-09,62.2,62.25,61.0,61.21,119.85,52.01,ACLGATI
2025-09-08,62.08,62.53,61.05,61.32,119.85,52.01,ACLGATI
2025-09-05,62.25,62.9,61.86,62.05,119.85,52.01,ACLGATI
2025-09-04,62.9,63.14,62.0,62.47,119.85,52.01,ACLGATI
2025-09-03,62.09,63.7,61.66,62.28,119.85,52.01,ACLGATI
2025-09-02,61.9,62.5,61.31,61.64,119.85,52.01,ACLGATI
2025-09-01,61.25,62.19,60.91,61.13,119.85,52.01,ACLGATI
2025-08-29,61.11,62.94,61.05,61.25,119.85,52.01,ACLGATI
2025-08-28,62.4,62.48,61.11,61.69,119.85,52.01,ACLGATI
2025-08-26,63.0,63.0,61.35,62.35,119.85,52.01,ACLGATI
2025-08-25,62.89,63.84,62.2,62.54,119.85,52.01,ACLGATI
2025-08-22,63.31,63.76,62.2,62.85,119.85,52.01,ACLGATI
2025-08-21,63.25,65.25,62.76,63.18,119.85,52.01,ACLGATI
2025-08-20,63.38,63.72,62.43,62.72,119.85,52.01,ACLGATI
2025-08-19,63.4,63.94,62.16,62.95,119.85,52.01,ACLGATI
2025-08-18,63.95,64.2,62.1,62.75,119.85,52.01,ACLGATI
2025-08-14,62.9,62.98,61.51,61.98,119.85,52.01,ACLGATI
2025-08-13,62.76,63.15,62.16,62.59,119.85,52.01,ACLGATI
2025-08-12,62.5,63.52,61.99,62.76,119.85,52.01,ACLGATI
2025-08-11,62.84,62.99,61.05,61.56,119.85,52.01,ACLGATI
2025-08-08,63.4,63.87,62.6,62.84,119.85,52.01,ACLGATI
2025-08-07,64.7,64.93,62.03,63.02,119.85,52.01,ACLGATI
2025-08-06,67.51,67.9,64.06,64.46,119.85,52.01,ACLGATI
2025-08-05,67.5,69.99,66.52,66.95,119.85,52.01,ACLGATI
2025-08-04,67.78,67.78,65.45,66.75,119.85,52.01,ACLGATI
2025-08-01,64.9,68.0,64.9,66.03,119.85,52.01,ACLGATI
2025-07-31,66.25,66.25,64.46,64.9,119.85,52.01,ACLGATI
2025-07-30,66.55,66.81,65.85,66.42,119.85,52.01,ACLGATI
2025-07-29,65.45,67.87,65.06,65.91,119.85,52.01,ACLGATI
2025-07-28,67.0,67.34,65.1,65.45,119.85,52.01,ACLGATI
2025-07-25,68.0,68.8,66.95,67.24,119.85,52.01,ACLGATI
2025-07-24,70.5,70.5,68.89,69.12,119.85,52.01,ACLGATI
2025-07-23,69.7,70.34,68.74,69.82,119.85,52.01,ACLGATI
2025-07-22,71.64,71.64,69.3,69.55,119.85,52.01,ACLGATI
2025-07-21,72.21,72.21,70.53,70.95,119.85,52.01,ACLGATI
2025-07-18,72.0,73.39,71.97,72.19,119.85,52.01,ACLGATI
2025-07-17,74.85,74.9,70.56,71.73,119.85,52.01,ACLGATI
2025-07-16,69.3,73.25,69.3,72.74,119.85,52.01,ACLGATI
2025-07-15,68.59,71.09,68.26,69.31,119.85,52.01,ACLGATI
2025-07-14,68.5,69.22,67.6,67.8,119.85,52.01,ACLGATI
2025-07-11,68.6,69.02,67.8,68.45,119.85,52.01,ACLGATI
2025-07-10,68.84,69.65,68.3,68.94,119.85,52.01,ACLGATI
2025-07-09,67.86,68.68,67.56,68.23,119.85,52.01,ACLGATI
2025-07-08,68.5,68.78,67.51,67.83,119.85,52.01,ACLGATI
2025-07-07,69.8,69.8,67.68,68.16,119.85,52.01,ACLGATI
2025-07-04,69.16,69.73,68.3,69.25,119.85,52.01,ACLGATI
2025-07-03,69.8,70.27,68.72,69.11,119.85,52.01,ACLGATI
2025-07-02,70.93,71.95,69.76,70.16,119.85,52.01,ACLGATI
2025-07-01,67.3,72.4,67.3,70.58,119.85,52.01,ACLGATI
2025-06-30,68.0,68.55,65.98,67.36,119.85,52.01,ACLGATI
2025-06-27,68.0,68.9,67.5,67.74,119.85,52.01,ACLGATI
2025-06-26,68.78,69.25,67.41,67.84,119.85,52.01,ACLGATI
2025-06-25,66.45,68.88,66.44,68.32,119.85,52.01,ACLGATI
2025-06-24,66.44,68.25,65.76,66.34,119.85,52.01,ACLGATI
