DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,1769.9,1789.7,1736.7,1764.4,2644.0,1040.5,ACUTAAS
2025-11-07,1769.8,1797.0,1742.0,1765.0,2644.0,1040.5,ACUTAAS
2025-11-06,1817.6,1819.1,1755.0,1769.9,2644.0,1040.5,ACUTAAS
2025-11-04,1818.0,1867.5,1816.3,1834.3,2644.0,1040.5,ACUTAAS
2025-11-03,1732.6,1827.5,1724.8,1810.4,2644.0,1040.5,ACUTAAS
2025-10-31,1703.5,1771.0,1701.1,1727.7,2644.0,1040.5,ACUTAAS
2025-10-30,1687.0,1737.5,1682.0,1703.5,2644.0,1040.5,ACUTAAS
2025-10-29,1727.3,1742.0,1680.0,1689.3,2644.0,1040.5,ACUTAAS
2025-10-28,1730.1,1747.4,1696.2,1714.6,2644.0,1040.5,ACUTAAS
2025-10-27,1685.0,1738.0,1674.2,1731.3,2644.0,1040.5,ACUTAAS
2025-10-24,1740.2,1745.9,1675.5,1683.3,2644.0,1040.5,ACUTAAS
2025-10-23,1790.0,1790.7,1691.0,1740.2,2644.0,1040.5,ACUTAAS
2025-10-21,1765.0,1838.0,1763.6,1788.6,2644.0,1040.5,ACUTAAS
2025-10-20,1700.0,1868.2,1632.0,1763.6,2644.0,1040.5,ACUTAAS
2025-10-17,1559.9,1666.2,1551.0,1646.9,2644.0,1040.5,ACUTAAS
2025-10-16,1550.0,1582.7,1528.0,1553.4,2644.0,1040.5,ACUTAAS
2025-10-15,1498.0,1565.1,1476.1,1548.8,2644.0,1040.5,ACUTAAS
2025-10-14,1498.1,1501.0,1470.0,1496.9,2644.0,1040.5,ACUTAAS
2025-10-13,1467.5,1518.9,1467.5,1498.4,2644.0,1040.5,ACUTAAS
2025-10-10,1431.0,1486.8,1418.6,1467.5,2644.0,1040.5,ACUTAAS
2025-10-09,1404.3,1435.9,1380.1,1421.4,2644.0,1040.5,ACUTAAS
2025-10-08,1400.2,1428.0,1391.0,1401.5,2644.0,1040.5,ACUTAAS
2025-10-07,1400.5,1407.0,1381.8,1401.5,2644.0,1040.5,ACUTAAS
2025-10-06,1380.2,1413.7,1374.0,1403.4,2644.0,1040.5,ACUTAAS
2025-10-03,1383.0,1399.1,1373.1,1386.7,2644.0,1040.5,ACUTAAS
2025-10-01,1302.0,1388.0,1302.0,1381.5,2644.0,1040.5,ACUTAAS
2025-09-30,1350.0,1354.9,1305.6,1317.8,2644.0,1040.5,ACUTAAS
2025-09-29,1355.0,1369.2,1328.0,1348.3,2644.0,1040.5,ACUTAAS
2025-09-26,1402.9,1405.2,1350.0,1358.1,2644.0,1040.5,ACUTAAS
2025-09-25,1455.0,1456.4,1392.2,1411.1,2644.0,1040.5,ACUTAAS
2025-09-24,1450.0,1462.0,1442.5,1449.2,2644.0,1040.5,ACUTAAS
2025-09-23,1455.0,1471.4,1431.1,1450.1,2644.0,1040.5,ACUTAAS
2025-09-22,1461.0,1466.4,1450.0,1460.3,2644.0,1040.5,ACUTAAS
2025-09-19,1476.9,1507.1,1436.6,1458.1,2644.0,1040.5,ACUTAAS
2025-09-18,1475.0,1475.7,1461.0,1471.0,2644.0,1040.5,ACUTAAS
2025-09-17,1459.6,1485.0,1452.1,1474.7,2644.0,1040.5,ACUTAAS
2025-09-16,1460.1,1477.9,1451.1,1459.6,2644.0,1040.5,ACUTAAS
2025-09-15,1448.0,1466.1,1422.4,1459.5,2644.0,1040.5,ACUTAAS
2025-09-12,1480.0,1481.4,1436.4,1442.1,2644.0,1040.5,ACUTAAS
2025-09-11,1470.0,1480.9,1463.1,1472.8,2644.0,1040.5,ACUTAAS
2025-09-10,1498.1,1509.4,1453.6,1458.3,2644.0,1040.5,ACUTAAS
2025-09-09,1465.0,1530.3,1464.0,1503.9,2644.0,1040.5,ACUTAAS
2025-09-08,1488.0,1510.0,1460.5,1469.7,2644.0,1040.5,ACUTAAS
2025-09-05,1435.0,1498.0,1412.0,1474.6,2644.0,1040.5,ACUTAAS
2025-09-04,1421.0,1442.1,1403.0,1424.6,2644.0,1040.5,ACUTAAS
2025-09-03,1415.0,1433.9,1397.8,1412.2,2644.0,1040.5,ACUTAAS
2025-09-02,1415.0,1428.9,1397.0,1406.1,2644.0,1040.5,ACUTAAS
2025-09-01,1418.0,1420.0,1395.7,1413.6,2644.0,1040.5,ACUTAAS
2025-08-29,1400.0,1427.0,1393.0,1406.0,2644.0,1040.5,ACUTAAS
2025-08-28,1419.0,1434.4,1385.8,1402.0,2644.0,1040.5,ACUTAAS
2025-08-26,1415.5,1432.0,1395.0,1413.6,2644.0,1040.5,ACUTAAS
2025-08-25,1423.9,1445.0,1413.0,1429.6,2644.0,1040.5,ACUTAAS
2025-08-22,1400.0,1430.0,1391.4,1423.9,2644.0,1040.5,ACUTAAS
2025-08-21,1404.2,1410.4,1377.8,1400.6,2644.0,1040.5,ACUTAAS
2025-08-20,1395.0,1410.9,1364.0,1398.9,2644.0,1040.5,ACUTAAS
2025-08-19,1337.0,1404.0,1319.4,1396.3,2644.0,1040.5,ACUTAAS
2025-08-18,1322.0,1360.0,1321.0,1330.5,2644.0,1040.5,ACUTAAS
2025-08-14,1316.8,1319.3,1287.8,1300.0,2644.0,1040.5,ACUTAAS
2025-08-13,1310.0,1326.6,1304.1,1316.8,2644.0,1040.5,ACUTAAS
2025-08-12,1282.7,1329.7,1282.7,1304.0,2644.0,1040.5,ACUTAAS
2025-08-11,1275.0,1293.1,1261.2,1282.5,2644.0,1040.5,ACUTAAS
2025-08-08,1294.8,1304.0,1273.9,1280.7,2644.0,1040.5,ACUTAAS
2025-08-07,1300.0,1311.7,1276.5,1294.8,2644.0,1040.5,ACUTAAS
2025-08-06,1337.0,1337.0,1298.0,1315.6,2644.0,1040.5,ACUTAAS
2025-08-05,1334.0,1350.5,1305.3,1342.1,2644.0,1040.5,ACUTAAS
2025-08-04,1306.0,1330.0,1291.4,1324.2,2644.0,1040.5,ACUTAAS
2025-08-01,1351.9,1378.3,1288.2,1296.5,2644.0,1040.5,ACUTAAS
2025-07-31,1177.3,1350.0,1171.2,1327.4,2644.0,1040.5,ACUTAAS
2025-07-30,1170.0,1230.0,1125.0,1220.3,2644.0,1040.5,ACUTAAS
2025-07-29,1142.0,1175.5,1133.7,1167.1,2644.0,1040.5,ACUTAAS
2025-07-28,1155.0,1178.3,1131.6,1148.1,2644.0,1040.5,ACUTAAS
2025-07-25,1184.1,1185.0,1155.0,1158.5,2644.0,1040.5,ACUTAAS
2025-07-24,1196.1,1197.2,1175.0,1178.0,2644.0,1040.5,ACUTAAS
2025-07-23,1185.0,1208.0,1175.1,1187.2,2644.0,1040.5,ACUTAAS
2025-07-22,1194.9,1199.8,1172.8,1177.6,2644.0,1040.5,ACUTAAS
2025-07-21,1212.6,1220.0,1181.6,1191.6,2644.0,1040.5,ACUTAAS
2025-07-18,1210.9,1230.6,1188.0,1203.2,2644.0,1040.5,ACUTAAS
2025-07-17,1221.0,1234.0,1200.0,1208.6,2644.0,1040.5,ACUTAAS
2025-07-16,1199.9,1231.0,1181.0,1224.9,2644.0,1040.5,ACUTAAS
2025-07-15,1158.9,1195.3,1149.9,1190.0,2644.0,1040.5,ACUTAAS
2025-07-14,1141.6,1173.2,1125.0,1148.2,2644.0,1040.5,ACUTAAS
2025-07-11,1136.1,1155.9,1124.4,1146.4,2644.0,1040.5,ACUTAAS
2025-07-10,1121.1,1144.7,1117.6,1134.2,2644.0,1040.5,ACUTAAS
2025-07-09,1098.0,1135.0,1095.4,1126.6,2644.0,1040.5,ACUTAAS
2025-07-08,1135.0,1136.0,1098.7,1101.3,2644.0,1040.5,ACUTAAS
2025-07-07,1122.1,1139.6,1122.1,1129.7,2644.0,1040.5,ACUTAAS
2025-07-07,1122.1,1139.6,1122.1,1129.7,2644.0,1040.5,ACUTAAS
2025-07-04,1100.0,1128.0,1094.9,1122.1,2644.0,1040.5,ACUTAAS
2025-07-03,1101.7,1115.0,1086.1,1100.7,2644.0,1040.5,ACUTAAS
2025-07-02,1125.5,1128.4,1084.7,1095.8,2644.0,1040.5,ACUTAAS
2025-07-01,1130.0,1147.7,1117.1,1121.9,2644.0,1040.5,ACUTAAS
2025-06-30,1150.0,1169.0,1130.9,1144.4,2644.0,1040.5,ACUTAAS
2025-06-27,1105.0,1146.4,1100.1,1141.4,2644.0,1040.5,ACUTAAS
2025-06-26,1083.0,1108.8,1059.0,1105.7,2644.0,1040.5,ACUTAAS
2025-06-25,1090.0,1103.1,1082.0,1086.4,2644.0,1040.5,ACUTAAS
2025-06-24,1104.0,1112.8,1089.2,1093.2,2644.0,1040.5,ACUTAAS
2025-06-23,1130.0,1130.0,1091.5,1097.6,2644.0,1040.5,ACUTAAS
2025-06-20,1086.9,1155.9,1075.5,1132.2,2644.0,1040.5,ACUTAAS
2025-06-19,1100.0,1111.1,1072.0,1091.4,2644.0,1040.5,ACUTAAS
2025-06-18,1098.0,1115.2,1087.8,1107.6,2644.0,1040.5,ACUTAAS
2025-06-17,1084.1,1108.8,1084.1,1096.5,2644.0,1040.5,ACUTAAS
2025-06-16,1104.7,1114.6,1075.2,1093.6,2644.0,1040.5,ACUTAAS
2025-06-13,1091.1,1113.0,1086.5,1104.7,2644.0,1040.5,ACUTAAS
2025-06-12,1104.0,1132.5,1098.4,1102.8,2644.0,1040.5,ACUTAAS
2025-06-11,1123.2,1131.7,1096.0,1105.0,2644.0,1040.5,ACUTAAS
2025-06-10,1120.9,1127.9,1101.1,1123.2,2644.0,1040.5,ACUTAAS
2025-06-09,1141.8,1149.9,1111.4,1118.0,2644.0,1040.5,ACUTAAS
2025-06-06,1129.9,1163.8,1121.6,1140.5,2644.0,1008.0,ACUTAAS
2025-06-05,1113.7,1155.0,1108.3,1130.0,2644.0,1008.0,ACUTAAS
2025-06-04,1126.8,1130.0,1102.7,1113.1,2644.0,1008.0,ACUTAAS
2025-06-03,1131.1,1159.9,1119.8,1126.8,2644.0,1008.0,ACUTAAS
2025-06-02,1170.0,1194.0,1120.5,1124.5,2644.0,1008.0,ACUTAAS
2025-05-30,1179.9,1184.8,1170.1,1176.3,2644.0,1008.0,AMIORG
2025-05-29,1189.0,1194.2,1174.7,1179.9,2644.0,1008.0,AMIORG
2025-05-28,1169.4,1190.0,1165.2,1180.3,2644.0,1008.0,AMIORG
2025-05-27,1198.9,1209.9,1161.1,1167.4,2644.0,1008.0,AMIORG
2025-05-26,1178.0,1207.9,1168.8,1191.2,2644.0,1008.0,AMIORG
2025-05-23,1188.8,1208.0,1154.0,1168.8,2644.0,1008.0,AMIORG
2025-05-22,1190.0,1212.9,1178.4,1188.6,2644.0,1008.0,AMIORG
