DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,163.7,164.22,161.1,162.33,723.0,142.1,ADANIPOWER
2025-10-27,168.5,169.77,162.0,162.96,723.0,142.1,ADANIPOWER
2025-10-24,164.45,169.18,164.0,167.72,723.0,142.1,ADANIPOWER
2025-10-23,171.05,172.36,164.25,165.26,723.0,142.1,ADANIPOWER
2025-10-21,171.5,174.39,168.0,170.78,723.0,142.1,ADANIPOWER
2025-10-20,168.05,172.2,166.7,170.3,723.0,142.1,ADANIPOWER
2025-10-17,157.26,168.0,156.77,165.98,723.0,142.1,ADANIPOWER
2025-10-16,158.1,158.69,155.5,157.37,723.0,142.1,ADANIPOWER
2025-10-15,154.85,158.0,150.43,157.51,723.0,142.1,ADANIPOWER
2025-10-14,155.01,157.5,152.8,154.9,723.0,142.1,ADANIPOWER
2025-10-13,148.0,155.75,147.52,154.43,723.0,142.1,ADANIPOWER
2025-10-10,149.1,150.79,147.84,149.7,723.0,142.1,ADANIPOWER
2025-10-09,149.4,149.98,147.44,148.91,723.0,142.1,ADANIPOWER
2025-10-08,151.7,152.5,148.42,148.78,723.0,142.1,ADANIPOWER
2025-10-07,151.99,155.4,150.35,151.48,723.0,142.1,ADANIPOWER
2025-10-06,148.0,152.99,147.38,151.99,723.0,142.1,ADANIPOWER
2025-10-03,152.9,153.0,143.15,147.38,723.0,142.1,ADANIPOWER
2025-10-01,144.95,153.3,144.81,152.51,723.0,142.1,ADANIPOWER
2025-09-30,148.0,148.25,143.9,144.65,723.0,142.1,ADANIPOWER
2025-09-29,148.7,149.6,144.2,146.65,723.0,142.1,ADANIPOWER
2025-09-26,151.35,152.9,144.7,146.25,723.0,142.1,ADANIPOWER
2025-09-25,145.5,153.9,145.5,149.0,723.0,142.1,ADANIPOWER
2025-09-24,163.25,163.7,142.1,144.5,723.0,142.1,ADANIPOWER
2025-09-23,179.9,182.7,160.25,162.35,723.0,147.3,ADANIPOWER
2025-09-22,148.2,170.25,147.3,170.25,723.0,147.3,ADANIPOWER
2025-09-19,676.0,723.0,665.35,709.4,723.0,432.0,ADANIPOWER
2025-09-18,633.45,635.3,626.0,631.35,681.55,432.0,ADANIPOWER
2025-09-17,639.9,640.25,628.6,630.5,681.55,432.0,ADANIPOWER
2025-09-16,647.0,648.3,635.8,637.35,681.55,432.0,ADANIPOWER
2025-09-15,656.5,666.8,640.4,644.15,681.55,432.0,ADANIPOWER
2025-09-12,628.0,650.5,627.8,648.55,681.55,432.0,ADANIPOWER
2025-09-11,638.5,653.0,600.0,624.65,681.55,432.0,ADANIPOWER
2025-09-10,647.0,658.55,632.5,634.45,681.55,432.0,ADANIPOWER
2025-09-09,638.0,648.0,635.85,643.65,681.55,432.0,ADANIPOWER
2025-09-08,617.0,649.6,614.05,633.85,681.55,432.0,ADANIPOWER
2025-09-05,607.95,614.4,602.0,609.7,684.45,432.0,ADANIPOWER
2025-09-04,613.0,615.6,606.55,608.7,684.45,432.0,ADANIPOWER
2025-09-03,611.0,616.0,604.7,609.3,684.45,432.0,ADANIPOWER
2025-09-02,611.7,611.7,601.5,608.35,684.45,432.0,ADANIPOWER
2025-09-01,605.9,615.0,603.2,606.85,684.45,432.0,ADANIPOWER
2025-08-29,598.4,603.2,583.5,600.65,684.45,432.0,ADANIPOWER
2025-08-28,590.0,606.9,585.2,594.95,684.45,432.0,ADANIPOWER
2025-08-26,604.9,605.0,590.0,592.1,684.45,432.0,ADANIPOWER
2025-08-25,595.15,608.0,590.1,605.65,684.45,432.0,ADANIPOWER
2025-08-22,597.0,602.95,592.0,594.3,706.75,432.0,ADANIPOWER
2025-08-21,600.9,604.0,595.25,596.2,706.75,432.0,ADANIPOWER
2025-08-20,603.95,607.35,595.1,599.95,706.75,432.0,ADANIPOWER
2025-08-19,599.0,608.0,596.3,606.0,706.75,432.0,ADANIPOWER
2025-08-18,590.1,601.5,586.5,598.75,706.75,432.0,ADANIPOWER
2025-08-14,586.9,589.45,581.1,584.05,706.75,432.0,ADANIPOWER
2025-08-13,594.8,594.8,583.5,585.6,706.75,432.0,ADANIPOWER
2025-08-12,595.25,598.4,589.2,591.5,706.75,432.0,ADANIPOWER
2025-08-11,576.9,599.0,571.2,593.9,706.75,432.0,ADANIPOWER
2025-08-08,582.0,583.3,574.0,576.9,719.2,432.0,ADANIPOWER
2025-08-07,561.1,582.0,552.25,578.95,719.2,432.0,ADANIPOWER
2025-08-06,579.95,581.95,565.6,567.45,719.2,432.0,ADANIPOWER
2025-08-05,584.0,584.1,575.8,579.5,719.2,432.0,ADANIPOWER
2025-08-04,567.0,587.7,564.15,584.0,719.2,432.0,ADANIPOWER
2025-08-01,588.0,592.95,564.0,567.0,752.9,432.0,ADANIPOWER
2025-07-31,580.0,591.9,577.3,588.1,752.9,432.0,ADANIPOWER
2025-07-30,594.0,602.3,587.1,589.7,752.9,432.0,ADANIPOWER
2025-07-29,570.0,594.7,566.3,592.55,752.9,432.0,ADANIPOWER
2025-07-28,569.8,576.95,561.0,570.65,752.9,432.0,ADANIPOWER
2025-07-25,583.9,584.4,568.0,570.0,752.9,432.0,ADANIPOWER
