DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,177.9,178.78,172.5,173.91,272.0,148.01,AEROFLEX
2025-11-21,183.13,183.13,177.5,178.85,272.0,148.01,AEROFLEX
2025-11-20,184.1,185.28,181.4,183.13,272.0,148.01,AEROFLEX
2025-11-19,182.7,185.48,181.0,183.95,272.0,148.01,AEROFLEX
2025-11-18,184.9,185.14,180.6,181.76,272.0,148.01,AEROFLEX
2025-11-17,188.34,190.39,183.91,184.75,272.0,148.01,AEROFLEX
2025-11-14,184.59,189.72,183.82,188.34,272.0,148.01,AEROFLEX
2025-11-13,184.1,188.0,183.0,184.59,272.0,148.01,AEROFLEX
2025-11-12,184.9,188.8,183.1,183.81,272.0,148.01,AEROFLEX
2025-11-11,186.0,186.15,182.9,183.5,272.0,148.01,AEROFLEX
2025-11-10,182.6,189.0,182.59,186.34,272.0,148.01,AEROFLEX
2025-11-07,180.22,188.8,177.82,186.16,272.0,148.01,AEROFLEX
2025-11-06,182.1,184.79,177.64,180.22,272.0,148.01,AEROFLEX
2025-11-04,190.9,190.9,181.3,182.82,272.0,148.01,AEROFLEX
2025-11-03,189.77,194.4,186.0,189.87,272.0,148.01,AEROFLEX
2025-10-31,180.76,190.49,178.28,187.13,272.0,148.01,AEROFLEX
2025-10-30,184.81,184.81,179.0,179.33,272.0,148.01,AEROFLEX
2025-10-29,185.95,192.7,183.6,185.26,272.0,148.01,AEROFLEX
2025-10-28,173.0,189.79,173.0,184.53,272.0,148.01,AEROFLEX
2025-10-27,173.3,176.0,170.24,173.16,272.0,148.01,AEROFLEX
2025-10-24,171.6,174.17,171.5,172.33,272.0,148.01,AEROFLEX
2025-10-23,173.45,176.67,169.98,172.43,272.0,148.01,AEROFLEX
2025-10-21,168.9,172.0,168.0,170.99,272.0,148.01,AEROFLEX
2025-10-20,170.8,170.95,166.1,167.43,272.0,148.01,AEROFLEX
2025-10-17,170.8,170.8,169.0,169.43,272.0,148.01,AEROFLEX
2025-10-16,169.95,172.42,169.5,170.06,272.0,148.01,AEROFLEX
2025-10-15,169.93,170.7,168.49,169.24,272.0,148.01,AEROFLEX
2025-10-14,170.84,172.3,167.95,169.3,272.0,148.01,AEROFLEX
2025-10-13,172.78,172.78,170.0,170.84,272.0,148.01,AEROFLEX
2025-10-10,173.5,176.0,172.0,173.01,272.0,148.01,AEROFLEX
2025-10-09,173.7,176.95,172.1,173.05,272.0,148.01,AEROFLEX
2025-10-08,176.4,177.94,173.51,174.28,272.0,148.01,AEROFLEX
2025-10-07,176.38,177.29,174.41,175.74,272.0,148.01,AEROFLEX
2025-10-06,179.95,181.25,175.5,176.12,272.0,148.01,AEROFLEX
2025-10-03,176.0,180.5,175.0,179.53,272.0,148.01,AEROFLEX
2025-10-01,174.99,175.84,173.51,174.61,272.0,148.01,AEROFLEX
2025-09-30,176.3,178.4,173.0,174.24,272.0,148.01,AEROFLEX
2025-09-29,183.0,183.0,175.0,175.51,272.0,148.01,AEROFLEX
2025-09-26,184.0,184.97,178.8,179.81,272.0,148.01,AEROFLEX
2025-09-25,185.5,188.46,184.99,185.49,272.0,148.01,AEROFLEX
2025-09-24,192.4,193.4,184.99,185.81,272.0,148.01,AEROFLEX
2025-09-23,192.99,194.99,191.37,192.74,272.0,148.01,AEROFLEX
2025-09-22,188.5,198.75,186.57,192.39,272.0,148.01,AEROFLEX
2025-09-19,189.99,194.1,188.01,189.28,272.0,148.01,AEROFLEX
2025-09-18,187.36,194.3,185.84,190.13,272.0,148.01,AEROFLEX
2025-09-17,188.55,190.8,185.21,185.87,272.0,148.01,AEROFLEX
2025-09-16,179.95,188.54,178.0,187.63,272.0,148.01,AEROFLEX
2025-09-15,175.9,179.78,175.9,179.08,272.0,148.01,AEROFLEX
2025-09-12,178.9,179.8,175.1,175.9,272.0,148.01,AEROFLEX
2025-09-11,178.29,180.74,177.0,177.58,272.0,148.01,AEROFLEX
2025-09-10,176.49,181.15,175.73,176.69,272.0,148.01,AEROFLEX
2025-09-09,178.5,179.63,175.0,175.44,272.0,148.01,AEROFLEX
2025-09-08,178.79,181.71,177.56,178.43,272.0,148.01,AEROFLEX
2025-09-05,176.96,180.69,175.6,178.32,272.0,148.01,AEROFLEX
2025-09-04,182.0,183.29,175.49,176.1,272.0,148.01,AEROFLEX
2025-09-03,175.68,182.5,174.99,180.1,272.0,148.01,AEROFLEX
2025-09-02,175.47,177.91,174.0,174.62,272.0,148.01,AEROFLEX
2025-09-01,171.0,176.0,170.0,174.77,272.0,148.01,AEROFLEX
2025-08-29,175.0,177.99,169.5,170.42,272.0,148.01,AEROFLEX
2025-08-28,177.42,179.93,168.1,172.82,272.0,148.01,AEROFLEX
2025-08-26,179.5,181.65,174.16,176.07,272.0,148.01,AEROFLEX
2025-08-25,181.45,183.5,178.99,179.68,272.0,148.01,AEROFLEX
2025-08-22,183.77,185.04,179.54,181.01,272.0,148.01,AEROFLEX
2025-08-21,187.0,187.0,182.92,183.86,272.0,148.01,AEROFLEX
2025-08-20,186.65,189.4,185.3,186.27,272.0,148.01,AEROFLEX
2025-08-19,183.29,187.45,182.39,186.84,272.0,148.01,AEROFLEX
2025-08-18,187.0,187.9,182.0,182.85,272.0,148.01,AEROFLEX
2025-08-14,186.05,187.44,182.01,184.4,272.0,148.01,AEROFLEX
2025-08-13,181.62,186.9,180.61,185.99,272.0,148.01,AEROFLEX
2025-08-12,183.95,183.99,179.84,181.62,272.0,148.01,AEROFLEX
2025-08-11,174.28,185.0,172.99,183.26,272.0,148.01,AEROFLEX
2025-08-08,178.56,181.94,171.4,173.42,272.0,148.01,AEROFLEX
2025-08-07,178.0,180.69,174.5,177.76,272.0,148.01,AEROFLEX
2025-08-06,189.5,189.59,180.0,181.81,272.0,147.1,AEROFLEX
2025-08-05,189.9,191.54,186.2,189.22,272.0,147.1,AEROFLEX
2025-08-04,188.11,192.0,183.06,190.2,272.0,147.1,AEROFLEX
2025-08-01,188.11,194.09,186.11,186.82,272.0,147.1,AEROFLEX
2025-07-31,192.99,193.64,187.0,189.03,272.0,147.1,AEROFLEX
2025-07-30,189.6,195.79,188.16,193.05,272.0,147.1,AEROFLEX
2025-07-29,188.75,194.0,186.25,186.98,272.0,147.1,AEROFLEX
2025-07-28,205.97,211.9,202.0,205.98,272.0,147.1,AEROFLEX
2025-07-25,210.1,210.1,204.66,205.93,272.0,147.1,AEROFLEX
2025-07-24,216.24,216.94,210.1,211.79,272.0,144.25,AEROFLEX
2025-07-23,214.45,217.47,210.01,215.92,272.0,144.25,AEROFLEX
2025-07-22,207.66,227.0,206.52,212.87,272.0,144.25,AEROFLEX
2025-07-21,214.95,214.95,204.45,205.9,272.0,144.25,AEROFLEX
2025-07-18,212.72,219.4,210.31,214.3,272.0,144.25,AEROFLEX
2025-07-17,216.7,218.4,210.1,211.38,272.0,144.25,AEROFLEX
2025-07-16,213.73,220.0,212.53,216.7,272.0,144.25,AEROFLEX
2025-07-15,210.0,222.0,210.0,214.83,272.0,144.25,AEROFLEX
2025-07-14,196.7,210.0,195.2,207.26,272.0,144.25,AEROFLEX
2025-07-11,199.31,204.1,196.92,198.25,272.0,144.25,AEROFLEX
2025-07-10,197.5,201.79,194.29,199.32,272.0,144.25,AEROFLEX
2025-07-09,197.45,200.85,196.0,196.88,272.0,144.25,AEROFLEX
2025-07-08,197.2,199.75,194.45,196.49,272.0,144.25,AEROFLEX
2025-07-07,201.35,206.61,192.25,197.78,272.0,144.25,AEROFLEX
2025-07-04,203.76,204.6,201.0,201.39,272.0,144.25,AEROFLEX
2025-07-03,203.98,205.77,202.5,203.47,272.0,144.25,AEROFLEX
2025-07-02,204.81,208.15,201.99,203.4,272.0,144.25,AEROFLEX
2025-07-01,213.95,214.6,205.11,206.36,272.0,144.25,AEROFLEX
2025-06-30,211.5,217.45,208.22,212.76,272.0,144.25,AEROFLEX
2025-06-27,206.95,213.95,203.0,209.6,272.0,144.25,AEROFLEX
2025-06-26,202.9,209.19,201.2,204.56,272.0,144.25,AEROFLEX
2025-06-25,203.0,205.25,197.61,201.19,272.0,144.25,AEROFLEX
2025-06-24,208.59,211.15,196.36,199.09,272.0,144.25,AEROFLEX
2025-06-23,205.38,212.0,201.0,204.5,272.0,144.25,AEROFLEX
2025-06-20,192.0,216.84,191.0,204.47,272.0,144.25,AEROFLEX
2025-06-19,175.0,206.29,174.9,194.87,272.0,144.25,AEROFLEX
2025-06-18,167.95,178.24,165.02,174.85,272.0,143.28,AEROFLEX
2025-06-17,172.0,174.15,167.1,167.54,272.0,141.9,AEROFLEX
2025-06-16,170.0,173.45,167.5,171.2,272.0,141.07,AEROFLEX
2025-06-13,168.25,174.33,168.25,171.02,272.0,140.75,AEROFLEX
2025-06-12,174.5,177.8,171.8,174.31,272.0,134.05,AEROFLEX
2025-06-11,164.25,179.0,164.06,173.48,272.0,132.45,AEROFLEX
2025-06-10,166.8,171.27,163.8,164.4,272.0,125.5,AEROFLEX
2025-06-09,164.65,170.2,164.1,165.77,272.0,122.5,AEROFLEX
2025-06-06,163.5,164.25,162.06,163.01,272.0,122.5,AEROFLEX
2025-06-05,163.1,165.65,162.5,163.26,272.0,122.5,AEROFLEX
2025-06-04,161.5,163.8,161.07,163.04,272.0,122.5,AEROFLEX
2025-06-03,164.93,165.33,161.15,161.9,272.0,122.5,AEROFLEX
2025-06-02,166.25,166.3,163.55,164.31,272.0,122.5,AEROFLEX
2025-05-30,165.9,169.25,164.92,165.88,272.0,122.5,AEROFLEX
2025-05-29,167.81,168.3,165.51,165.79,272.0,122.5,AEROFLEX
2025-05-28,167.95,168.99,166.82,167.02,272.0,122.5,AEROFLEX
2025-05-27,167.0,168.73,166.7,167.81,272.0,122.5,AEROFLEX
2025-05-26,168.4,171.48,167.43,168.58,272.0,122.5,AEROFLEX
2025-05-23,166.54,168.49,165.3,166.89,272.0,122.5,AEROFLEX
2025-05-22,167.2,168.79,165.0,166.54,272.0,122.5,AEROFLEX
2025-05-21,166.8,168.74,164.99,167.4,272.0,122.5,AEROFLEX
2025-05-20,170.75,171.59,166.0,166.63,272.0,122.5,AEROFLEX
2025-05-19,168.22,173.02,167.65,169.08,272.0,122.5,AEROFLEX
2025-05-16,167.95,169.6,166.05,167.39,272.0,122.5,AEROFLEX
2025-05-15,167.5,169.15,166.67,166.9,272.0,122.5,AEROFLEX
2025-05-14,166.95,169.32,166.0,166.96,272.0,122.5,AEROFLEX
2025-05-13,163.65,168.65,162.92,166.03,272.0,122.5,AEROFLEX
2025-05-12,164.39,164.5,161.1,162.88,272.0,122.5,AEROFLEX
2025-05-09,152.1,158.72,152.1,157.44,272.0,122.5,AEROFLEX
2025-05-08,161.9,165.18,156.01,157.53,272.0,122.5,AEROFLEX
2025-05-07,159.5,162.3,158.31,159.91,272.0,122.5,AEROFLEX
2025-05-06,165.89,169.2,160.1,162.04,272.0,122.5,AEROFLEX
2025-05-05,165.39,166.67,161.5,164.78,272.0,122.5,AEROFLEX
2025-05-02,171.5,171.5,164.0,165.11,272.0,122.5,AEROFLEX
2025-04-30,178.15,179.5,174.25,175.72,272.0,122.5,AEROFLEX
2025-04-29,178.45,180.25,175.33,177.63,272.0,122.5,AEROFLEX
2025-04-28,173.79,177.85,170.55,176.78,272.0,122.5,AEROFLEX
2025-04-25,181.6,181.99,170.75,172.52,272.0,122.5,AEROFLEX
2025-04-24,182.0,185.25,180.25,180.81,272.0,122.5,AEROFLEX
2025-04-23,181.6,183.8,176.75,181.03,272.0,122.5,AEROFLEX
2025-04-22,180.95,182.45,177.23,180.31,272.0,122.5,AEROFLEX
2025-04-21,176.68,182.4,176.3,179.61,272.0,122.5,AEROFLEX
2025-04-17,176.6,180.4,174.15,175.64,272.0,122.5,AEROFLEX
2025-04-16,174.39,177.0,173.0,175.76,272.0,122.5,AEROFLEX
2025-04-15,170.28,173.99,168.89,173.03,272.0,122.5,AEROFLEX
2025-04-11,168.4,170.19,163.96,165.14,272.0,122.5,AEROFLEX
2025-04-09,170.13,172.29,160.85,162.96,272.0,122.5,AEROFLEX
2025-04-08,171.49,175.0,170.0,173.02,272.0,122.5,AEROFLEX
2025-04-07,148.01,168.51,148.01,166.55,272.0,122.5,AEROFLEX
2025-04-04,180.0,181.44,169.08,175.49,272.0,122.5,AEROFLEX
