DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,284.9,297.0,278.12,282.33,788.5,218.0,AFFORDABLE
2025-10-15,288.95,288.95,274.41,283.89,788.5,218.0,AFFORDABLE
2025-10-14,264.0,289.0,263.99,284.02,788.5,218.0,AFFORDABLE
2025-10-13,267.0,272.81,261.0,263.13,788.5,218.0,AFFORDABLE
2025-10-10,249.45,253.84,244.28,248.01,788.5,218.0,AFFORDABLE
2025-10-09,250.1,250.1,238.79,246.43,788.5,218.0,AFFORDABLE
2025-10-08,254.26,256.0,244.0,247.01,788.5,218.0,AFFORDABLE
2025-10-07,245.0,258.79,239.5,254.26,788.5,218.0,AFFORDABLE
2025-10-06,247.0,253.99,238.15,243.64,788.5,218.0,AFFORDABLE
2025-10-03,242.89,247.29,236.16,240.84,788.5,218.0,AFFORDABLE
2025-10-01,230.85,250.0,227.98,242.89,788.5,218.0,AFFORDABLE
2025-09-30,232.55,237.75,218.0,229.75,788.5,218.0,AFFORDABLE
2025-09-29,248.0,248.0,221.0,226.9,788.5,221.0,AFFORDABLE
2025-09-26,244.8,248.0,238.75,240.8,788.5,238.0,AFFORDABLE
2025-09-25,259.95,260.0,244.0,245.45,788.5,238.0,AFFORDABLE
2025-09-24,255.15,264.0,252.0,255.15,788.5,238.0,AFFORDABLE
2025-09-23,254.5,254.5,246.0,249.5,788.5,238.0,AFFORDABLE
2025-09-22,259.8,259.8,248.4,249.75,788.5,238.0,AFFORDABLE
2025-09-19,257.6,265.65,253.0,255.55,788.5,238.0,AFFORDABLE
2025-09-18,266.95,266.95,250.7,253.15,788.5,238.0,AFFORDABLE
2025-09-17,271.0,279.9,255.0,259.75,788.5,238.0,AFFORDABLE
2025-09-16,258.0,270.0,255.2,265.8,788.5,238.0,AFFORDABLE
2025-09-15,255.0,258.6,249.3,253.35,788.5,238.0,AFFORDABLE
2025-09-12,242.65,264.15,240.3,254.2,788.5,238.0,AFFORDABLE
2025-09-11,256.75,256.75,238.0,240.15,788.5,238.0,AFFORDABLE
2025-09-10,250.45,273.0,241.85,256.75,788.5,241.85,AFFORDABLE
2025-09-09,261.0,271.2,247.0,249.4,788.5,247.0,AFFORDABLE
2025-09-08,268.35,268.35,258.0,262.2,788.5,258.0,AFFORDABLE
2025-09-05,274.6,274.6,263.35,264.45,788.5,263.35,AFFORDABLE
2025-09-04,271.0,276.6,268.0,270.95,788.5,264.0,AFFORDABLE
2025-09-03,283.0,284.7,269.1,270.95,788.5,264.0,AFFORDABLE
2025-09-02,270.0,293.25,270.0,280.0,788.5,264.0,AFFORDABLE
2025-09-01,270.8,276.0,264.0,266.6,788.5,264.0,AFFORDABLE
2025-08-29,288.0,288.95,268.0,270.8,788.5,268.0,AFFORDABLE
2025-08-28,275.0,300.0,275.0,281.05,788.5,275.0,AFFORDABLE
2025-08-26,356.8,356.8,279.1,279.1,788.5,279.1,AFFORDABLE
2025-08-25,398.7,398.7,344.0,348.85,788.5,344.0,AFFORDABLE
2025-08-22,403.0,403.9,393.0,398.7,788.5,350.0,AFFORDABLE
2025-08-21,404.7,405.0,393.35,396.05,788.5,350.0,AFFORDABLE
2025-08-20,404.65,406.0,392.55,401.35,788.5,350.0,AFFORDABLE
2025-08-19,409.95,409.95,393.8,396.2,788.5,350.0,AFFORDABLE
2025-08-18,399.0,405.0,394.0,396.95,788.5,350.0,AFFORDABLE
2025-08-14,385.0,396.0,384.15,392.1,788.5,350.0,AFFORDABLE
2025-08-13,388.65,396.45,376.1,388.85,788.5,350.0,AFFORDABLE
2025-08-12,389.95,400.0,365.55,392.55,788.5,350.0,AFFORDABLE
2025-08-11,405.0,405.0,381.0,392.3,788.5,350.0,AFFORDABLE
2025-08-08,402.65,407.25,400.05,404.65,788.5,350.0,AFFORDABLE
2025-08-07,380.0,416.4,371.55,401.75,788.5,350.0,AFFORDABLE
2025-08-06,379.1,386.0,368.9,378.55,788.5,350.0,AFFORDABLE
2025-08-05,384.0,394.25,378.15,383.75,788.5,350.0,AFFORDABLE
2025-08-04,391.55,399.15,382.0,389.2,788.5,350.0,AFFORDABLE
2025-08-01,417.0,417.0,381.6,387.65,788.5,350.0,AFFORDABLE
2025-07-31,411.95,418.95,399.55,414.35,788.5,350.0,AFFORDABLE
2025-07-30,416.95,435.0,407.15,411.35,788.5,350.0,AFFORDABLE
2025-07-29,422.0,422.0,405.6,414.9,788.5,350.0,AFFORDABLE
2025-07-28,420.2,420.2,407.25,417.8,788.5,350.0,AFFORDABLE
2025-07-25,426.0,433.95,412.5,420.2,788.5,350.0,AFFORDABLE
2025-07-24,442.1,442.1,425.95,429.5,788.5,350.0,AFFORDABLE
2025-07-23,440.3,442.05,430.05,435.55,788.5,350.0,AFFORDABLE
2025-07-22,457.0,458.45,434.8,435.95,788.5,350.0,AFFORDABLE
2025-07-21,468.1,470.3,448.0,455.25,788.5,350.0,AFFORDABLE
2025-07-18,528.6,528.6,464.05,466.55,788.5,350.0,AFFORDABLE
2025-07-17,519.0,534.4,502.15,523.15,788.5,350.0,AFFORDABLE
2025-07-16,490.55,517.75,486.45,509.1,788.5,350.0,AFFORDABLE
2025-07-15,509.95,509.95,487.95,490.15,788.5,350.0,AFFORDABLE
2025-07-14,499.5,510.0,482.7,496.35,788.5,350.0,AFFORDABLE
2025-07-11,506.95,506.95,490.25,494.55,788.5,350.0,AFFORDABLE
2025-07-10,500.75,514.0,495.55,500.85,788.5,350.0,AFFORDABLE
2025-07-09,508.65,514.9,490.25,497.0,788.5,350.0,AFFORDABLE
2025-07-08,498.0,508.85,485.25,504.85,788.5,350.0,AFFORDABLE
