DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,150.05,152.89,148.6,149.59,189.25,122.78,AHLEAST
2025-10-21,148.55,154.89,148.55,151.84,189.25,122.78,AHLEAST
2025-10-20,150.24,154.4,148.05,152.67,189.25,122.78,AHLEAST
2025-10-17,150.0,151.98,149.2,150.24,196.9,122.78,AHLEAST
2025-10-16,151.19,151.2,148.32,148.46,196.9,122.78,AHLEAST
2025-10-15,150.0,151.75,148.4,151.29,196.9,122.78,AHLEAST
2025-10-14,153.95,153.95,148.05,149.13,196.9,122.78,AHLEAST
2025-10-13,154.9,154.9,150.02,153.21,196.9,122.78,AHLEAST
2025-10-10,155.0,155.0,151.0,151.6,196.9,122.78,AHLEAST
2025-10-09,150.99,154.75,150.25,153.79,196.9,122.78,AHLEAST
2025-10-08,147.03,153.4,147.03,150.24,196.9,122.78,AHLEAST
2025-10-07,148.43,152.0,147.5,149.89,196.9,122.78,AHLEAST
2025-10-06,149.01,152.99,146.15,149.17,196.9,122.78,AHLEAST
2025-10-03,146.6,150.95,142.1,149.96,196.9,122.78,AHLEAST
2025-10-01,148.56,151.99,148.55,148.86,196.9,122.78,AHLEAST
2025-09-30,152.99,152.99,148.01,148.55,196.9,122.78,AHLEAST
2025-09-29,149.25,153.89,147.0,149.46,196.9,122.78,AHLEAST
2025-09-26,149.45,153.0,149.0,150.99,196.9,122.78,AHLEAST
2025-09-25,150.56,154.9,150.5,154.09,196.9,122.78,AHLEAST
2025-09-24,152.96,154.9,151.1,153.05,196.9,122.78,AHLEAST
2025-09-23,154.69,156.89,149.71,153.9,196.9,122.78,AHLEAST
2025-09-22,150.48,154.97,148.01,153.04,196.9,122.78,AHLEAST
2025-09-19,151.66,152.55,148.22,151.34,196.9,122.78,AHLEAST
2025-09-18,149.61,151.98,149.5,150.0,196.9,122.78,AHLEAST
2025-09-17,148.12,153.53,147.69,151.29,196.9,122.78,AHLEAST
2025-09-16,148.5,148.5,145.25,145.44,196.9,122.78,AHLEAST
2025-09-15,147.09,149.0,143.45,145.39,196.9,122.78,AHLEAST
2025-09-12,148.35,150.7,146.75,147.89,196.9,122.78,AHLEAST
2025-09-11,150.99,152.47,146.3,147.28,196.9,122.78,AHLEAST
2025-09-10,152.81,154.5,149.1,150.05,196.9,122.78,AHLEAST
2025-09-09,154.63,159.29,148.91,151.34,196.9,122.78,AHLEAST
2025-09-08,159.9,160.0,152.0,153.87,196.9,122.78,AHLEAST
2025-09-05,163.75,163.75,153.66,156.34,196.9,122.78,AHLEAST
2025-09-04,162.02,166.71,160.52,162.92,196.9,122.78,AHLEAST
2025-09-03,161.99,166.95,159.96,166.74,196.9,122.78,AHLEAST
2025-09-02,155.04,168.0,155.04,161.99,196.9,122.78,AHLEAST
2025-09-01,151.39,157.0,150.1,154.42,196.9,122.78,AHLEAST
2025-08-29,152.58,153.9,149.99,151.81,196.9,122.78,AHLEAST
2025-08-28,154.17,154.17,150.1,150.35,196.9,122.78,AHLEAST
2025-08-26,156.9,156.9,150.91,152.36,196.9,122.78,AHLEAST
2025-08-25,153.62,157.39,152.3,154.32,196.9,122.78,AHLEAST
2025-08-22,158.74,158.74,155.22,155.95,196.9,122.78,AHLEAST
2025-08-21,158.03,160.0,156.01,158.75,196.9,122.78,AHLEAST
2025-08-20,158.65,158.98,156.09,157.62,196.9,122.78,AHLEAST
2025-08-19,160.51,160.51,157.0,157.48,196.9,122.78,AHLEAST
2025-08-18,157.69,162.0,155.35,159.56,196.9,122.78,AHLEAST
2025-08-14,164.7,164.7,157.13,157.63,196.9,122.78,AHLEAST
2025-08-13,153.5,164.7,149.69,159.8,196.9,122.78,AHLEAST
2025-08-12,148.23,152.0,147.0,150.62,196.9,122.78,AHLEAST
2025-08-11,149.61,150.78,146.75,147.22,196.9,122.78,AHLEAST
2025-08-08,147.0,152.0,147.0,151.22,196.9,122.78,AHLEAST
2025-08-07,151.52,151.99,148.77,149.73,196.9,122.78,AHLEAST
2025-08-06,151.09,153.6,148.1,149.87,196.9,122.78,AHLEAST
2025-08-05,155.99,156.4,149.1,151.98,196.9,122.78,AHLEAST
2025-08-04,154.35,158.78,154.35,155.14,196.9,122.78,AHLEAST
2025-08-01,159.74,160.81,155.0,157.5,196.9,122.78,AHLEAST
2025-07-31,155.51,162.4,155.49,159.88,196.9,122.78,AHLEAST
2025-07-30,158.11,161.3,156.21,158.84,196.9,122.78,AHLEAST
2025-07-29,161.0,162.48,156.94,160.39,196.9,122.78,AHLEAST
2025-07-28,160.78,161.81,155.1,157.66,196.9,122.78,AHLEAST
2025-07-25,156.5,161.65,156.5,159.96,196.9,122.78,AHLEAST
2025-07-24,164.0,165.69,160.05,161.36,196.9,122.78,AHLEAST
2025-07-23,162.0,165.0,158.93,164.81,196.9,122.78,AHLEAST
2025-07-22,165.0,165.0,156.5,159.89,196.9,122.78,AHLEAST
2025-07-21,159.99,165.89,159.99,163.46,196.9,122.78,AHLEAST
2025-07-18,157.21,165.35,157.19,162.49,196.9,122.78,AHLEAST
2025-07-17,160.0,165.5,160.0,164.22,196.9,122.78,AHLEAST
2025-07-16,158.76,165.0,157.15,163.43,196.9,122.78,AHLEAST
2025-07-15,158.4,160.0,157.7,158.17,196.9,122.78,AHLEAST
2025-07-14,158.76,163.0,155.0,159.47,196.9,122.78,AHLEAST
2025-07-11,160.0,161.38,157.0,160.67,196.9,122.78,AHLEAST
2025-07-10,165.99,165.99,156.0,160.69,196.9,122.78,AHLEAST
2025-07-09,158.28,165.99,158.28,165.19,196.9,122.78,AHLEAST
2025-07-08,156.59,161.0,154.38,160.09,196.9,122.78,AHLEAST
2025-07-07,158.0,159.9,154.1,155.0,196.9,122.78,AHLEAST
2025-07-04,156.95,159.0,155.11,157.74,196.9,122.78,AHLEAST
2025-07-03,153.26,158.0,152.81,156.38,196.9,122.78,AHLEAST
2025-07-02,157.0,158.59,154.1,155.86,196.9,122.78,AHLEAST
2025-07-01,147.5,158.15,147.5,156.84,196.9,122.78,AHLEAST
2025-06-30,146.88,155.01,145.22,149.72,196.9,122.78,AHLEAST
2025-06-27,147.33,148.7,145.0,145.49,196.9,122.78,AHLEAST
2025-06-26,148.09,148.09,145.51,146.27,196.9,122.78,AHLEAST
2025-06-25,147.64,148.79,146.0,147.68,196.9,122.78,AHLEAST
2025-06-24,145.1,147.9,145.06,145.51,196.9,122.78,AHLEAST
2025-06-23,147.75,147.85,145.0,145.02,196.9,122.78,AHLEAST
2025-06-20,148.7,148.7,145.0,146.88,196.9,122.78,AHLEAST
2025-06-19,149.85,151.0,145.0,147.18,196.9,122.78,AHLEAST
2025-06-18,139.65,147.5,139.65,147.19,196.9,122.78,AHLEAST
2025-06-17,145.9,146.96,142.3,143.92,196.9,122.78,AHLEAST
2025-06-16,147.99,147.99,144.61,145.54,196.9,122.78,AHLEAST
2025-06-13,146.66,148.25,143.63,147.21,196.9,122.78,AHLEAST
2025-06-12,147.76,149.0,144.0,148.02,196.9,122.78,AHLEAST
2025-06-11,143.9,148.04,143.9,147.02,196.9,122.78,AHLEAST
2025-06-10,142.51,151.0,139.99,143.96,196.9,122.78,AHLEAST
2025-06-09,139.99,141.5,139.19,140.8,196.9,122.78,AHLEAST
2025-06-06,141.26,141.26,139.06,139.75,196.9,122.78,AHLEAST
2025-06-05,140.48,141.4,138.75,139.21,196.9,122.78,AHLEAST
2025-06-04,141.97,142.25,138.37,139.08,196.9,122.78,AHLEAST
2025-06-03,142.33,143.0,139.15,139.96,196.9,122.78,AHLEAST
2025-06-02,140.01,142.18,139.0,140.09,196.9,122.78,AHLEAST
2025-05-30,144.99,147.34,141.01,143.73,196.9,122.78,AHLEAST
2025-05-29,143.88,144.0,140.72,143.76,196.9,122.78,AHLEAST
2025-05-28,144.99,144.99,139.33,140.62,196.9,122.78,AHLEAST
2025-05-27,140.97,142.84,140.0,141.83,196.9,122.78,AHLEAST
2025-05-26,140.68,141.91,139.71,140.26,196.9,122.78,AHLEAST
2025-05-23,137.27,141.99,137.27,139.04,196.9,122.78,AHLEAST
2025-05-22,140.24,142.0,138.05,139.52,196.9,122.78,AHLEAST
2025-05-21,140.86,141.01,137.41,139.19,196.9,122.78,AHLEAST
2025-05-20,143.29,143.29,138.01,139.79,196.9,122.78,AHLEAST
2025-05-19,139.03,143.82,139.03,140.72,196.9,122.78,AHLEAST
2025-05-16,143.1,143.72,139.0,140.46,196.9,122.78,AHLEAST
2025-05-15,140.61,141.99,138.81,140.61,196.9,122.78,AHLEAST
2025-05-14,141.78,143.0,138.0,139.49,196.9,122.78,AHLEAST
2025-05-13,139.27,142.09,139.05,140.42,196.9,122.78,AHLEAST
2025-05-12,137.5,140.98,137.5,138.61,196.9,122.78,AHLEAST
2025-05-09,137.83,137.83,132.05,134.17,196.9,122.78,AHLEAST
2025-05-08,137.09,140.68,136.4,137.84,196.9,122.78,AHLEAST
2025-05-07,138.12,139.0,136.22,137.61,196.9,122.78,AHLEAST
2025-05-06,134.95,142.0,134.95,139.24,196.9,122.78,AHLEAST
2025-05-05,132.62,137.98,132.62,137.71,196.9,122.78,AHLEAST
2025-05-02,139.4,139.4,136.0,136.0,196.9,122.78,AHLEAST
2025-04-30,140.49,140.49,136.0,136.94,196.9,122.78,AHLEAST
2025-04-29,143.54,143.54,138.01,138.22,196.9,122.78,AHLEAST
2025-04-28,137.33,142.39,137.33,140.74,196.9,122.78,AHLEAST
2025-04-25,140.32,141.59,135.26,138.11,196.9,122.78,AHLEAST
2025-04-24,140.06,144.4,140.06,144.03,196.9,122.78,AHLEAST
2025-04-23,144.05,144.05,139.75,140.06,196.9,122.78,AHLEAST
2025-04-22,144.01,144.85,141.2,142.73,196.9,122.78,AHLEAST
2025-04-21,137.04,143.98,137.04,143.52,196.9,122.78,AHLEAST
2025-04-17,136.56,139.0,135.5,136.5,196.9,122.78,AHLEAST
2025-04-16,135.64,136.49,133.63,136.0,196.9,122.78,AHLEAST
2025-04-15,135.91,135.91,130.81,134.64,196.9,122.78,AHLEAST
2025-04-11,134.77,134.77,132.11,132.99,196.9,122.78,AHLEAST
2025-04-09,132.35,136.71,131.1,131.6,196.9,122.78,AHLEAST
2025-04-08,137.32,137.5,130.0,132.35,196.9,122.78,AHLEAST
2025-04-07,130.06,133.84,122.78,131.88,196.9,122.78,AHLEAST
2025-04-04,139.87,141.83,135.2,135.74,196.9,124.81,AHLEAST
2025-04-03,141.99,143.39,139.2,140.83,196.9,124.81,AHLEAST
2025-04-02,139.91,140.82,138.5,139.89,196.9,124.81,AHLEAST
2025-04-01,137.15,143.09,137.15,139.69,196.9,124.81,AHLEAST
2025-03-28,144.86,145.98,138.6,141.39,196.9,124.81,AHLEAST
2025-03-27,131.99,149.3,131.99,143.93,196.9,124.81,AHLEAST
2025-03-26,136.33,137.8,134.2,134.99,196.9,124.81,AHLEAST
2025-03-25,137.94,139.0,136.27,136.93,196.9,124.81,AHLEAST
2025-03-24,137.79,139.9,134.51,137.6,196.9,124.81,AHLEAST
2025-03-21,136.38,138.15,135.22,137.45,196.9,124.81,AHLEAST
2025-03-20,139.85,139.85,134.0,135.55,196.9,124.81,AHLEAST
2025-03-19,136.65,136.73,134.26,136.5,196.9,124.81,AHLEAST
2025-03-18,131.99,133.9,131.81,133.37,196.9,124.81,AHLEAST
2025-03-17,135.85,135.85,130.35,133.35,196.9,124.81,AHLEAST
2025-03-13,130.12,134.51,127.81,133.02,196.9,124.81,AHLEAST
2025-03-12,133.14,134.4,130.29,133.79,196.9,124.81,AHLEAST
2025-03-11,130.99,132.5,127.98,132.11,196.9,124.81,AHLEAST
2025-03-10,135.87,135.87,130.0,131.17,196.9,124.81,AHLEAST
2025-03-07,131.97,133.58,131.64,132.82,196.9,124.81,AHLEAST
2025-03-06,131.9,133.01,130.73,131.23,196.9,124.81,AHLEAST
2025-03-05,130.91,131.09,129.71,130.71,196.9,124.81,AHLEAST
2025-03-04,129.77,130.98,128.12,128.69,196.9,124.81,AHLEAST
2025-03-03,132.25,132.25,127.0,129.93,196.9,124.81,AHLEAST
2025-02-28,130.46,130.46,128.16,129.04,196.9,124.81,AHLEAST
2025-02-27,133.2,133.42,128.62,129.1,196.9,124.81,AHLEAST
2025-02-25,130.85,135.52,130.85,133.89,196.9,124.81,AHLEAST
2025-02-24,136.8,136.97,133.0,133.73,196.9,124.81,AHLEAST
2025-02-21,136.9,136.9,134.18,135.49,196.9,124.81,AHLEAST
2025-02-20,135.67,136.52,132.71,135.54,196.9,124.81,AHLEAST
2025-02-19,128.05,134.83,128.05,133.07,196.9,124.81,AHLEAST
2025-02-18,130.5,131.79,128.0,128.53,196.9,124.81,AHLEAST
2025-02-17,135.7,135.7,130.5,131.45,196.9,124.81,AHLEAST
2025-02-14,139.25,139.25,128.0,132.55,196.9,124.81,AHLEAST
2025-02-13,138.45,142.42,135.1,135.93,196.9,124.81,AHLEAST
2025-02-12,135.53,137.6,130.0,135.13,196.9,124.81,AHLEAST
2025-02-11,138.36,138.8,133.0,134.57,196.9,124.81,AHLEAST
2025-02-10,142.75,142.75,137.05,138.99,196.9,124.81,AHLEAST
2025-02-07,137.64,141.0,137.64,140.13,196.9,124.81,AHLEAST
2025-02-06,140.4,140.75,139.02,140.41,196.9,124.81,AHLEAST
2025-02-05,144.99,144.99,138.11,138.91,196.9,124.81,AHLEAST
2025-02-04,136.0,136.9,132.99,136.33,196.9,124.81,AHLEAST
2025-02-03,142.03,142.03,131.99,134.15,196.9,124.81,AHLEAST
2025-02-01,140.91,142.9,139.0,142.04,196.9,124.81,AHLEAST
2025-01-31,143.1,143.1,138.31,139.04,196.9,124.81,AHLEAST
2025-01-30,139.26,143.58,136.41,141.22,196.9,124.81,AHLEAST
2025-01-29,140.0,145.0,136.15,138.07,196.9,124.81,AHLEAST
2025-01-28,139.41,142.2,133.0,137.69,196.9,124.81,AHLEAST
2025-01-27,141.99,147.77,136.95,139.18,196.9,124.81,AHLEAST
2025-01-24,147.33,147.99,143.42,146.23,196.9,124.81,AHLEAST
2025-01-23,147.83,148.45,143.39,145.7,196.9,124.81,AHLEAST
2025-01-22,143.05,148.7,142.12,143.39,196.9,124.81,AHLEAST
2025-01-21,154.58,154.58,141.0,142.74,196.9,124.81,AHLEAST
2025-01-20,157.74,157.74,150.13,154.42,196.9,124.81,AHLEAST
2025-01-17,153.99,154.01,149.95,152.86,196.9,124.81,AHLEAST
2025-01-16,149.37,150.28,146.87,149.94,196.9,124.81,AHLEAST
2025-01-15,141.79,147.4,141.43,145.29,196.9,124.81,AHLEAST
2025-01-14,141.29,146.71,140.22,141.55,196.9,124.81,AHLEAST
2025-01-13,148.0,154.0,135.89,139.22,196.9,124.81,AHLEAST
2025-01-10,153.66,156.99,149.33,150.29,196.9,124.81,AHLEAST
2025-01-09,159.04,161.9,151.05,152.41,196.9,124.81,AHLEAST
2025-01-08,166.1,166.2,157.05,158.58,196.9,124.81,AHLEAST
2025-01-07,172.0,172.0,161.01,165.54,196.9,124.81,AHLEAST
2025-01-06,176.56,176.56,166.0,166.2,196.9,124.81,AHLEAST
