DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,17.4,17.55,17.3,17.43,24.56,14.01,ALOKINDS
2025-10-27,17.57,17.59,17.4,17.44,24.56,14.01,ALOKINDS
2025-10-24,17.68,17.7,17.35,17.55,24.56,14.01,ALOKINDS
2025-10-23,17.84,18.27,17.57,17.71,24.56,14.01,ALOKINDS
2025-10-21,17.1,17.44,17.1,17.34,24.56,14.01,ALOKINDS
2025-10-20,17.14,17.19,16.9,17.1,24.56,14.01,ALOKINDS
2025-10-17,17.7,17.79,17.02,17.24,25.66,14.01,ALOKINDS
2025-10-16,17.83,18.45,17.71,17.9,25.66,14.01,ALOKINDS
2025-10-15,17.18,17.62,17.16,17.43,25.66,14.01,ALOKINDS
2025-10-14,17.38,17.46,17.1,17.18,25.66,14.01,ALOKINDS
2025-10-13,17.3,17.47,17.27,17.36,25.66,14.01,ALOKINDS
2025-10-10,17.31,17.77,17.3,17.49,25.8,14.01,ALOKINDS
2025-10-09,17.32,17.38,17.25,17.31,25.8,14.01,ALOKINDS
2025-10-08,17.48,17.65,17.25,17.32,25.8,14.01,ALOKINDS
2025-10-07,17.69,17.78,17.42,17.48,25.8,14.01,ALOKINDS
2025-10-06,17.85,17.93,17.65,17.69,25.8,14.01,ALOKINDS
2025-10-03,17.37,17.89,17.37,17.82,28.0,14.01,ALOKINDS
2025-10-01,17.49,17.55,17.35,17.44,28.0,14.01,ALOKINDS
2025-09-30,17.4,17.49,17.2,17.32,28.0,14.01,ALOKINDS
2025-09-29,17.48,17.64,17.3,17.35,28.0,14.01,ALOKINDS
2025-09-26,18.0,18.04,17.02,17.36,28.0,14.01,ALOKINDS
2025-09-25,18.18,18.19,17.62,17.89,28.0,14.01,ALOKINDS
2025-09-24,18.25,18.38,17.9,18.0,28.0,14.01,ALOKINDS
2025-09-23,18.45,18.49,18.23,18.3,28.0,14.01,ALOKINDS
2025-09-22,18.89,18.94,18.27,18.45,28.0,14.01,ALOKINDS
2025-09-19,18.94,19.0,18.8,18.87,28.0,14.01,ALOKINDS
2025-09-18,19.04,19.34,18.81,18.88,28.0,14.01,ALOKINDS
2025-09-17,18.91,19.13,18.84,18.92,28.0,14.01,ALOKINDS
2025-09-16,18.78,19.06,18.72,18.82,28.0,14.01,ALOKINDS
2025-09-15,18.55,19.08,18.54,18.71,28.0,14.01,ALOKINDS
2025-09-12,18.81,18.86,18.47,18.53,28.0,14.01,ALOKINDS
2025-09-11,18.62,19.1,18.38,18.76,28.0,14.01,ALOKINDS
