DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,80.4,80.8,79.0,79.16,107.89,65.1,ANDHRSUGAR
2025-10-21,81.2,81.4,80.2,80.39,107.89,65.1,ANDHRSUGAR
2025-10-20,80.23,81.35,78.81,80.65,107.89,65.1,ANDHRSUGAR
2025-10-17,79.02,80.5,78.55,80.23,110.49,65.1,ANDHRSUGAR
2025-10-16,79.01,80.85,78.25,78.86,110.49,65.1,ANDHRSUGAR
2025-10-15,79.39,80.43,77.6,78.77,110.49,65.1,ANDHRSUGAR
2025-10-14,80.3,81.2,77.66,78.68,110.49,65.1,ANDHRSUGAR
2025-10-13,81.74,82.38,79.3,79.7,110.49,65.1,ANDHRSUGAR
2025-10-10,80.3,82.37,80.3,81.78,111.05,65.1,ANDHRSUGAR
2025-10-09,81.0,81.07,79.01,80.48,111.05,65.1,ANDHRSUGAR
2025-10-08,79.28,81.84,79.0,80.29,111.05,65.1,ANDHRSUGAR
2025-10-07,75.3,80.69,74.61,79.21,111.05,65.1,ANDHRSUGAR
2025-10-06,75.02,76.08,74.76,75.11,111.05,65.1,ANDHRSUGAR
2025-10-03,75.64,75.7,74.66,75.02,115.34,65.1,ANDHRSUGAR
2025-10-01,74.2,75.75,74.2,75.64,115.34,65.1,ANDHRSUGAR
2025-09-30,73.91,74.9,73.64,74.7,115.34,65.1,ANDHRSUGAR
2025-09-29,73.95,74.51,73.3,73.91,115.34,65.1,ANDHRSUGAR
2025-09-26,74.85,74.85,73.37,73.95,116.0,65.1,ANDHRSUGAR
2025-09-25,75.64,75.97,74.7,74.88,116.0,65.1,ANDHRSUGAR
2025-09-24,76.0,76.6,75.4,75.57,116.0,65.1,ANDHRSUGAR
2025-09-23,76.59,77.29,76.02,76.24,116.0,65.1,ANDHRSUGAR
2025-09-22,76.1,77.29,76.0,76.58,116.0,65.1,ANDHRSUGAR
2025-09-19,78.6,78.6,76.8,77.05,117.95,65.1,ANDHRSUGAR
2025-09-18,78.76,79.68,77.76,78.33,117.95,65.1,ANDHRSUGAR
2025-09-17,76.8,78.85,76.8,78.37,117.95,65.1,ANDHRSUGAR
2025-09-16,76.24,76.99,76.18,76.89,117.95,65.1,ANDHRSUGAR
2025-09-15,75.57,76.55,75.57,76.24,117.95,65.1,ANDHRSUGAR
2025-09-12,76.08,76.28,75.4,75.57,117.95,65.1,ANDHRSUGAR
2025-09-11,76.57,76.92,75.92,76.28,117.95,65.1,ANDHRSUGAR
2025-09-10,76.43,77.99,76.0,76.31,117.95,65.1,ANDHRSUGAR
2025-09-09,76.5,76.84,75.91,76.05,117.95,65.1,ANDHRSUGAR
2025-09-08,77.01,77.3,75.3,76.24,117.95,65.1,ANDHRSUGAR
2025-09-05,77.64,77.64,76.45,76.69,117.95,65.1,ANDHRSUGAR
2025-09-04,77.9,78.19,77.01,77.3,117.95,65.1,ANDHRSUGAR
