DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,76.01,77.3,72.1,73.14,133.0,60.51,ANIKINDS
2025-11-13,73.73,76.8,73.73,76.24,133.0,60.51,ANIKINDS
2025-11-12,77.5,77.5,73.31,74.57,133.0,60.51,ANIKINDS
2025-11-11,73.38,74.98,72.52,73.99,133.0,60.51,ANIKINDS
2025-11-10,74.54,75.44,73.76,73.99,133.0,60.51,ANIKINDS
2025-11-07,77.0,77.0,73.06,74.91,133.0,60.51,ANIKINDS
2025-11-06,75.0,75.97,73.1,74.35,133.0,60.51,ANIKINDS
2025-11-04,77.0,77.0,74.1,75.37,133.0,60.51,ANIKINDS
2025-11-03,77.45,79.29,74.56,75.11,133.0,60.51,ANIKINDS
2025-10-31,74.7,78.78,74.5,75.41,133.0,60.51,ANIKINDS
2025-10-30,79.8,81.74,76.0,76.46,133.0,60.51,ANIKINDS
2025-10-29,76.57,80.0,74.15,77.23,133.0,60.51,ANIKINDS
2025-10-28,72.52,77.99,72.52,76.01,133.0,60.51,ANIKINDS
2025-10-27,79.01,79.99,72.3,73.98,133.0,60.51,ANIKINDS
2025-10-24,81.55,81.55,74.25,74.91,133.0,60.51,ANIKINDS
2025-10-23,81.45,82.0,77.62,78.27,133.0,60.51,ANIKINDS
2025-10-21,80.8,80.8,77.0,80.12,133.0,60.51,ANIKINDS
2025-10-20,81.55,83.05,78.5,78.69,133.0,60.51,ANIKINDS
2025-10-17,79.16,83.4,76.43,80.48,133.0,60.51,ANIKINDS
2025-10-16,70.98,78.17,68.05,78.15,133.0,60.51,ANIKINDS
2025-10-15,69.65,72.95,69.6,71.07,133.0,60.51,ANIKINDS
2025-10-14,70.29,70.67,67.84,69.66,133.0,60.51,ANIKINDS
2025-10-13,69.69,69.69,66.51,67.53,133.0,60.51,ANIKINDS
2025-10-10,64.22,68.6,64.21,68.23,133.0,60.51,ANIKINDS
2025-10-09,62.54,64.89,62.54,63.96,133.0,60.51,ANIKINDS
2025-10-08,64.0,64.93,61.23,63.82,133.0,60.51,ANIKINDS
2025-10-07,65.8,65.8,60.51,61.46,133.0,60.51,ANIKINDS
2025-10-06,63.23,66.22,63.0,63.66,133.0,61.1,ANIKINDS
2025-10-03,65.36,66.6,64.8,65.93,133.0,61.1,ANIKINDS
2025-10-01,64.9,65.08,61.3,64.13,133.0,61.1,ANIKINDS
2025-09-30,63.0,64.0,61.1,61.99,133.0,61.1,ANIKINDS
2025-09-29,67.79,67.79,62.9,63.39,133.0,62.9,ANIKINDS
2025-09-26,68.0,68.0,64.0,65.37,133.0,64.0,ANIKINDS
2025-09-25,66.0,69.52,65.0,65.53,133.0,64.1,ANIKINDS
2025-09-24,69.0,69.93,65.8,66.21,133.0,64.1,ANIKINDS
2025-09-23,71.98,72.7,67.25,68.6,133.0,64.1,ANIKINDS
2025-09-22,74.89,74.89,69.5,70.03,133.0,64.1,ANIKINDS
2025-09-19,71.08,72.94,69.49,72.94,133.0,64.1,ANIKINDS
2025-09-18,67.98,69.47,64.1,69.47,133.0,64.1,ANIKINDS
2025-09-17,69.57,70.77,65.36,66.17,133.0,65.36,ANIKINDS
2025-09-16,73.01,76.09,68.71,69.57,133.0,68.71,ANIKINDS
2025-09-15,76.99,76.99,72.5,73.14,133.0,72.22,ANIKINDS
2025-09-12,75.07,78.85,73.4,74.25,133.0,72.22,ANIKINDS
2025-09-11,76.69,82.01,73.21,74.91,133.0,72.22,ANIKINDS
2025-09-10,80.24,80.24,72.37,76.44,133.0,72.22,ANIKINDS
2025-09-09,80.0,80.0,75.31,78.62,133.0,72.22,ANIKINDS
