DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,635.45,638.0,627.15,631.7,873.5,627.15,ANTHEM
2025-11-21,645.0,645.5,633.0,635.1,873.5,632.9,ANTHEM
2025-11-20,649.0,660.5,632.9,647.45,873.5,632.9,ANTHEM
2025-11-19,659.0,659.2,640.05,642.85,873.5,640.05,ANTHEM
2025-11-18,670.0,670.0,656.6,659.55,873.5,656.6,ANTHEM
2025-11-17,681.0,682.7,664.05,665.45,873.5,664.05,ANTHEM
2025-11-14,697.0,697.2,677.0,678.9,873.5,668.4,ANTHEM
2025-11-13,690.0,715.5,685.5,698.4,873.5,668.4,ANTHEM
2025-11-12,686.95,691.6,679.85,686.4,873.5,668.4,ANTHEM
2025-11-11,710.0,710.0,676.5,680.6,873.5,668.4,ANTHEM
2025-11-10,696.0,707.9,668.4,704.95,873.5,668.4,ANTHEM
2025-11-07,691.0,699.9,686.0,696.55,873.5,686.0,ANTHEM
2025-11-06,707.25,707.25,691.1,696.6,873.5,690.5,ANTHEM
2025-11-04,703.6,712.25,690.5,702.25,873.5,690.5,ANTHEM
2025-11-03,709.7,711.85,702.0,703.1,873.5,701.9,ANTHEM
2025-10-31,715.6,722.95,708.0,710.1,873.5,701.9,ANTHEM
2025-10-30,729.4,729.4,715.65,717.35,873.5,701.9,ANTHEM
2025-10-29,717.0,729.95,715.05,726.8,873.5,701.9,ANTHEM
2025-10-28,734.8,734.8,710.55,713.9,873.5,701.9,ANTHEM
2025-10-27,722.05,736.7,715.05,731.15,873.5,701.9,ANTHEM
2025-10-24,722.75,732.25,715.9,719.95,873.5,701.9,ANTHEM
2025-10-23,745.55,747.75,715.15,717.8,873.5,701.9,ANTHEM
2025-10-21,739.95,749.0,731.65,742.15,873.5,701.9,ANTHEM
2025-10-20,758.1,762.85,725.05,727.1,873.5,701.9,ANTHEM
2025-10-17,775.8,775.8,753.45,757.6,873.5,701.9,ANTHEM
2025-10-16,775.0,791.4,770.0,772.05,873.5,701.9,ANTHEM
2025-10-15,773.7,779.5,762.55,775.55,873.5,701.9,ANTHEM
2025-10-14,780.4,794.0,771.1,773.7,873.5,701.9,ANTHEM
2025-10-13,793.0,797.6,775.2,784.85,873.5,701.9,ANTHEM
2025-10-10,772.6,806.0,759.0,800.8,873.5,701.9,ANTHEM
2025-10-09,765.5,777.85,765.5,772.75,873.5,701.9,ANTHEM
2025-10-08,778.0,784.5,765.4,771.3,873.5,701.9,ANTHEM
2025-10-07,764.4,780.75,760.4,777.25,873.5,701.9,ANTHEM
2025-10-06,759.65,767.0,745.05,764.4,873.5,701.9,ANTHEM
2025-10-03,772.0,773.0,756.5,759.25,873.5,701.9,ANTHEM
2025-10-01,767.05,772.9,752.2,770.95,873.5,701.9,ANTHEM
2025-09-30,764.7,771.9,759.6,761.2,873.5,701.9,ANTHEM
2025-09-29,782.1,784.6,758.2,765.85,873.5,701.9,ANTHEM
2025-09-26,798.0,798.0,770.4,780.9,873.5,701.9,ANTHEM
2025-09-25,816.0,820.0,801.0,805.0,873.5,701.9,ANTHEM
2025-09-24,819.55,823.0,812.75,820.75,873.5,701.9,ANTHEM
2025-09-23,838.95,838.95,806.0,821.85,873.5,701.9,ANTHEM
2025-09-22,840.7,848.95,827.25,831.25,873.5,701.9,ANTHEM
2025-09-19,856.85,862.9,843.0,846.1,873.5,701.9,ANTHEM
2025-09-18,866.05,873.5,850.5,857.05,873.5,701.9,ANTHEM
2025-09-17,836.0,870.0,835.1,864.5,870.0,701.9,ANTHEM
2025-09-16,838.4,860.0,828.0,831.8,864.9,701.9,ANTHEM
2025-09-15,833.5,840.15,824.0,835.45,864.9,701.9,ANTHEM
2025-09-12,824.95,841.95,818.05,833.5,864.9,701.9,ANTHEM
2025-09-11,815.3,835.3,815.3,820.9,864.9,701.9,ANTHEM
2025-09-10,820.0,832.2,812.5,815.2,864.9,701.9,ANTHEM
2025-09-09,818.95,825.95,813.6,818.9,864.9,701.9,ANTHEM
2025-09-08,829.75,834.8,813.1,816.1,864.9,701.9,ANTHEM
2025-09-05,844.0,847.75,826.25,829.8,864.9,701.9,ANTHEM
2025-09-04,829.0,858.0,828.15,844.0,864.9,701.9,ANTHEM
2025-09-03,809.8,825.0,802.25,823.65,864.9,701.9,ANTHEM
2025-09-02,818.0,821.4,801.2,804.15,864.9,701.9,ANTHEM
2025-09-01,826.0,828.4,811.05,814.3,864.9,701.9,ANTHEM
2025-08-29,820.9,837.5,816.1,818.05,864.9,701.9,ANTHEM
2025-08-28,839.7,845.85,815.2,817.5,864.9,701.9,ANTHEM
2025-08-26,853.95,864.9,830.0,835.85,864.9,701.9,ANTHEM
2025-08-25,828.2,847.85,827.05,843.65,860.8,701.9,ANTHEM
2025-08-22,845.0,850.95,811.15,822.9,860.8,701.9,ANTHEM
2025-08-21,842.2,860.8,836.5,846.35,860.8,701.9,ANTHEM
2025-08-20,818.0,857.3,812.35,840.9,857.3,701.9,ANTHEM
2025-08-19,798.0,823.95,796.25,818.25,836.4,701.9,ANTHEM
2025-08-18,825.0,825.7,791.2,800.65,836.4,701.9,ANTHEM
2025-08-14,780.0,836.4,779.0,824.95,836.4,701.9,ANTHEM
2025-08-13,748.45,761.85,747.0,754.95,801.85,701.9,ANTHEM
2025-08-12,755.0,765.95,741.0,743.45,801.85,701.9,ANTHEM
2025-08-11,730.1,760.0,725.05,753.25,801.85,701.9,ANTHEM
2025-08-08,749.0,755.5,726.4,729.6,801.85,701.9,ANTHEM
2025-08-07,720.05,756.7,716.0,749.65,801.85,701.9,ANTHEM
2025-08-06,735.45,739.95,711.55,724.5,801.85,701.9,ANTHEM
2025-08-05,758.4,762.0,734.0,736.7,801.85,701.9,ANTHEM
2025-08-04,738.4,753.9,734.0,752.3,801.85,701.9,ANTHEM
2025-08-01,759.0,765.8,732.0,738.4,801.85,701.9,ANTHEM
2025-07-31,753.0,774.7,750.0,759.15,801.85,701.9,ANTHEM
2025-07-30,786.5,801.85,763.0,770.65,801.85,701.9,ANTHEM
2025-07-29,747.6,788.35,747.05,782.45,788.35,701.9,ANTHEM
2025-07-28,750.0,759.95,742.25,755.9,770.0,701.9,ANTHEM
2025-07-25,753.0,762.7,737.3,757.35,770.0,701.9,ANTHEM
2025-07-24,766.6,770.0,746.0,758.3,770.0,701.9,ANTHEM
2025-07-23,741.75,765.9,721.0,756.2,765.9,701.9,ANTHEM
2025-07-22,731.15,752.7,701.9,732.5,752.7,701.9,ANTHEM
2025-07-21,723.05,747.0,723.05,730.35,747.0,723.05,ANTHEM
