DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,8690.0,8699.5,8531.5,8566.0,11779.9,4308.05,APARINDS
2025-10-17,8824.0,8874.0,8660.0,8690.0,11779.9,4308.05,APARINDS
2025-10-16,8355.5,8925.0,8335.0,8784.5,11779.9,4308.05,APARINDS
2025-10-15,8505.0,8505.0,8312.0,8355.5,11779.9,4308.05,APARINDS
2025-10-14,8509.0,8620.0,8353.0,8505.0,11779.9,4308.05,APARINDS
2025-10-13,8365.0,8545.0,8261.5,8509.0,11779.9,4308.05,APARINDS
2025-10-10,8437.0,8573.0,8364.0,8385.0,11779.9,4308.05,APARINDS
2025-10-09,8505.5,8530.0,8326.0,8469.0,11779.9,4308.05,APARINDS
2025-10-08,8530.0,8584.5,8380.5,8549.5,11779.9,4308.05,APARINDS
2025-10-07,8481.0,8580.0,8424.0,8530.5,11779.9,4308.05,APARINDS
2025-10-06,8413.5,8490.0,8325.0,8474.5,11779.9,4308.05,APARINDS
2025-10-03,8253.5,8450.0,8204.5,8411.5,11779.9,4308.05,APARINDS
2025-10-01,8154.5,8261.0,8110.0,8216.0,11779.9,4308.05,APARINDS
2025-09-30,8370.0,8398.5,8054.5,8186.0,11779.9,4308.05,APARINDS
2025-09-29,8350.5,8462.5,8256.5,8357.0,11779.9,4308.05,APARINDS
2025-09-26,8630.0,8692.5,8273.5,8360.5,11779.9,4308.05,APARINDS
2025-09-25,8754.0,8832.0,8676.5,8734.5,11779.9,4308.05,APARINDS
2025-09-24,8680.0,8787.0,8610.0,8758.5,11779.9,4308.05,APARINDS
2025-09-23,8725.0,8766.0,8655.0,8676.0,11779.9,4308.05,APARINDS
2025-09-22,8800.0,8916.5,8700.0,8715.5,11779.9,4308.05,APARINDS
2025-09-19,8942.0,8979.0,8705.5,8847.0,11779.9,4308.05,APARINDS
2025-09-18,8944.5,8975.0,8850.0,8943.0,11779.9,4308.05,APARINDS
2025-09-17,8725.0,8989.0,8660.0,8943.0,11779.9,4308.05,APARINDS
2025-09-16,8590.0,8655.0,8548.5,8632.5,11779.9,4308.05,APARINDS
2025-09-15,8640.0,8710.0,8535.5,8575.5,11779.9,4308.05,APARINDS
2025-09-12,8484.0,8648.5,8423.0,8630.0,11779.9,4308.05,APARINDS
2025-09-11,8468.0,8589.5,8385.0,8471.5,11779.9,4308.05,APARINDS
2025-09-10,7981.5,8530.0,7981.5,8493.0,11779.9,4308.05,APARINDS
2025-09-09,7876.5,7973.5,7793.5,7949.5,11779.9,4308.05,APARINDS
2025-09-08,7775.0,7900.0,7710.5,7822.0,11779.9,4308.05,APARINDS
2025-09-05,7926.0,7953.5,7751.0,7775.0,11779.9,4308.05,APARINDS
2025-09-04,7909.5,8019.5,7860.0,7897.0,11779.9,4308.05,APARINDS
2025-09-03,7929.0,7985.0,7840.0,7862.5,11779.9,4308.05,APARINDS
2025-09-02,7857.0,7900.0,7774.5,7875.5,11779.9,4308.05,APARINDS
2025-09-01,7798.0,7820.0,7701.5,7802.0,11779.9,4308.05,APARINDS
2025-08-29,7775.5,7849.0,7692.5,7732.0,11779.9,4308.05,APARINDS
2025-08-28,7830.5,7903.5,7702.5,7730.5,11779.9,4308.05,APARINDS
2025-08-26,8050.0,8099.0,7851.0,7881.5,11779.9,4308.05,APARINDS
2025-08-25,8250.0,8268.5,8059.5,8095.5,11779.9,4308.05,APARINDS
2025-08-22,8277.5,8346.5,8173.0,8194.5,11779.9,4308.05,APARINDS
2025-08-21,8393.0,8540.0,8198.5,8225.5,11779.9,4308.05,APARINDS
2025-08-20,8429.0,8525.0,8330.0,8353.5,11779.9,4308.05,APARINDS
2025-08-19,8499.0,8531.0,8384.5,8428.5,11779.9,4308.05,APARINDS
2025-08-18,8629.5,8683.5,8428.0,8476.5,11779.9,4308.05,APARINDS
2025-08-14,8779.5,8894.5,8525.0,8565.5,11779.9,4308.05,APARINDS
2025-08-13,8840.0,8850.0,8715.5,8748.5,11779.9,4308.05,APARINDS
2025-08-12,8750.0,8845.0,8605.0,8813.5,11779.9,4308.05,APARINDS
