DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,459.0,461.0,445.9,459.45,584.9,370.9,APOLLOTYRE
2025-04-25,472.4,474.35,455.45,461.4,584.9,370.9,APOLLOTYRE
2025-04-24,460.15,472.9,456.65,470.45,584.9,370.9,APOLLOTYRE
2025-04-23,465.55,467.0,457.05,460.15,584.9,370.9,APOLLOTYRE
2025-04-22,461.55,465.85,457.95,462.4,584.9,370.9,APOLLOTYRE
2025-04-21,451.8,462.35,448.2,460.8,584.9,370.9,APOLLOTYRE
2025-04-17,448.9,454.9,443.85,451.75,584.9,370.9,APOLLOTYRE
2025-04-16,439.4,449.0,436.6,448.2,584.9,370.9,APOLLOTYRE
2025-04-15,428.6,439.75,428.6,439.1,584.9,370.9,APOLLOTYRE
2025-04-11,419.9,428.7,411.9,427.75,584.9,370.9,APOLLOTYRE
2025-04-09,399.0,409.3,395.65,407.8,584.9,370.9,APOLLOTYRE
2025-04-08,402.0,405.15,392.5,401.45,584.9,370.9,APOLLOTYRE
2025-04-07,375.0,406.7,375.0,397.45,584.9,370.9,APOLLOTYRE
2025-04-04,425.0,425.5,406.2,407.95,584.9,370.9,APOLLOTYRE
2025-04-03,422.1,427.3,420.05,423.25,584.9,370.9,APOLLOTYRE
2025-04-02,422.0,429.0,417.75,428.25,584.9,370.9,APOLLOTYRE
2025-04-01,425.0,429.35,420.55,422.55,584.9,370.9,APOLLOTYRE
2025-03-28,430.05,433.05,422.75,426.05,584.9,370.9,APOLLOTYRE
2025-03-27,429.6,432.0,420.05,428.0,584.9,370.9,APOLLOTYRE
2025-03-26,431.45,435.3,426.15,429.6,584.9,370.9,APOLLOTYRE
2025-03-25,440.5,440.65,424.6,432.2,584.9,370.9,APOLLOTYRE
2025-03-24,428.7,435.3,422.85,432.95,584.9,370.9,APOLLOTYRE
2025-03-21,426.6,428.7,422.6,425.85,584.9,370.9,APOLLOTYRE
2025-03-20,425.05,428.55,420.55,427.0,584.9,370.9,APOLLOTYRE
2025-03-19,412.1,428.65,410.0,425.05,584.9,370.9,APOLLOTYRE
2025-03-18,404.0,413.95,402.0,410.1,584.9,370.9,APOLLOTYRE
2025-03-17,399.5,404.0,396.2,402.3,584.9,370.9,APOLLOTYRE
2025-03-13,408.0,409.2,399.1,400.95,584.9,370.9,APOLLOTYRE
2025-03-12,404.55,410.9,402.3,407.35,584.9,370.9,APOLLOTYRE
2025-03-11,404.9,407.35,401.05,402.1,584.9,370.9,APOLLOTYRE
2025-03-10,411.5,414.75,406.15,408.8,584.9,370.9,APOLLOTYRE
