DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,157.0,164.6,150.6,154.77,264.9,107.0,APTECHT
2025-04-25,166.0,166.78,156.0,157.53,264.9,107.0,APTECHT
2025-04-24,163.0,175.47,161.0,170.76,264.9,107.0,APTECHT
2025-04-23,131.9,157.52,130.45,157.52,264.9,107.0,APTECHT
2025-04-22,128.95,133.0,126.23,131.27,264.9,107.0,APTECHT
2025-04-21,126.5,130.5,126.01,128.71,264.9,107.0,APTECHT
2025-04-17,124.79,128.48,122.48,125.53,264.9,107.0,APTECHT
2025-04-16,123.3,126.39,123.1,124.49,264.9,107.0,APTECHT
2025-04-15,119.32,123.51,118.31,122.35,264.9,107.0,APTECHT
2025-04-11,116.76,118.9,116.18,117.56,264.9,107.0,APTECHT
2025-04-09,119.91,119.91,114.0,114.76,264.9,107.0,APTECHT
2025-04-08,114.67,121.24,113.15,120.13,264.9,107.0,APTECHT
2025-04-07,113.99,113.99,109.15,111.43,264.9,107.0,APTECHT
2025-04-04,125.75,127.0,115.65,118.64,264.9,107.0,APTECHT
2025-04-03,122.99,129.37,121.66,125.99,264.9,107.0,APTECHT
2025-04-02,123.5,123.98,120.0,122.99,264.9,107.0,APTECHT
2025-04-01,117.12,124.35,116.99,123.7,264.9,107.0,APTECHT
2025-03-28,122.8,127.11,116.1,116.94,264.9,107.0,APTECHT
2025-03-27,117.0,124.99,116.27,122.88,264.9,107.0,APTECHT
2025-03-26,122.4,123.45,115.88,116.54,264.9,107.0,APTECHT
2025-03-25,127.0,128.49,120.93,121.49,264.9,107.0,APTECHT
2025-03-24,127.97,129.27,125.5,126.08,264.9,107.0,APTECHT
2025-03-21,127.05,129.14,124.77,125.95,264.9,107.0,APTECHT
2025-03-20,129.1,133.85,125.2,125.81,264.9,107.0,APTECHT
2025-03-19,123.0,129.9,123.0,128.26,264.9,107.0,APTECHT
2025-03-18,121.48,123.15,120.41,122.01,264.9,107.0,APTECHT
2025-03-17,125.38,126.45,120.0,120.6,264.9,107.0,APTECHT
2025-03-13,122.0,127.5,120.21,124.37,264.9,107.0,APTECHT
2025-03-12,125.14,126.48,118.85,120.47,264.9,107.0,APTECHT
2025-03-11,129.01,129.01,123.35,124.63,264.9,107.0,APTECHT
2025-03-10,131.0,132.48,126.23,129.01,264.9,107.0,APTECHT
2025-03-07,125.6,135.9,125.6,131.78,264.9,107.0,APTECHT
2025-03-06,125.2,131.98,123.07,126.03,264.9,107.0,APTECHT
2025-03-05,110.7,131.0,110.7,127.48,264.9,107.0,APTECHT
2025-03-04,112.5,116.39,109.49,110.5,264.9,107.0,APTECHT
2025-03-03,113.1,116.68,107.0,113.56,264.9,107.0,APTECHT
2025-02-28,115.02,115.11,110.0,111.42,264.9,110.0,APTECHT
2025-02-27,121.21,121.85,115.52,116.21,264.9,113.3,APTECHT
2025-02-25,115.85,128.0,115.85,121.72,264.9,113.3,APTECHT
2025-02-24,121.8,121.99,113.3,115.75,264.9,113.3,APTECHT
2025-02-21,128.8,130.37,122.0,122.71,264.9,116.1,APTECHT
2025-02-20,125.0,128.0,122.92,126.64,264.9,116.1,APTECHT
2025-02-19,118.0,125.9,117.05,124.55,264.9,116.1,APTECHT
2025-02-18,123.5,124.5,116.1,118.45,264.9,116.1,APTECHT
2025-02-17,126.37,128.88,120.15,122.47,264.9,120.15,APTECHT
2025-02-14,138.51,139.24,125.1,126.77,264.9,125.1,APTECHT
2025-02-13,141.7,144.0,136.1,137.0,264.9,136.1,APTECHT
2025-02-12,144.1,147.84,138.0,141.84,264.9,138.0,APTECHT
2025-02-11,152.86,153.47,141.61,144.42,264.9,141.61,APTECHT
2025-02-10,157.0,157.92,151.84,152.86,264.9,151.11,APTECHT
2025-02-07,158.61,159.41,155.0,156.16,274.6,151.11,APTECHT
2025-02-06,161.37,164.0,157.0,158.25,274.6,151.11,APTECHT
2025-02-05,159.8,162.9,159.0,160.13,274.6,151.11,APTECHT
2025-02-04,159.0,159.92,157.0,158.08,274.6,151.11,APTECHT
2025-02-03,158.6,159.63,156.21,157.12,274.6,151.11,APTECHT
2025-02-01,158.8,164.85,158.01,161.3,282.5,151.11,APTECHT
2025-01-31,160.5,161.59,156.15,157.64,282.5,151.11,APTECHT
2025-01-30,161.8,163.8,158.21,159.41,282.5,151.11,APTECHT
2025-01-29,153.2,159.8,153.2,159.05,282.5,151.11,APTECHT
2025-01-28,159.0,161.51,151.11,152.87,282.5,151.11,APTECHT
2025-01-27,168.54,168.54,155.0,157.26,282.5,155.0,APTECHT
2025-01-24,172.11,173.17,168.0,168.54,288.5,157.3,APTECHT
2025-01-23,172.04,175.0,170.41,171.89,288.5,157.3,APTECHT
2025-01-22,178.7,179.02,171.0,172.04,288.5,157.3,APTECHT
2025-01-21,176.95,188.28,175.5,178.73,288.5,157.3,APTECHT
2025-01-20,175.25,179.68,175.0,176.99,288.5,157.3,APTECHT
2025-01-17,171.0,176.99,169.22,174.76,297.5,157.3,APTECHT
2025-01-16,167.9,174.5,166.0,173.27,297.5,157.3,APTECHT
2025-01-15,165.92,167.7,163.8,165.6,297.5,157.3,APTECHT
2025-01-14,160.9,166.67,160.49,164.05,297.5,157.3,APTECHT
2025-01-13,161.0,166.02,157.3,158.5,297.5,157.3,APTECHT
2025-01-10,170.01,170.14,165.35,166.76,297.5,160.01,APTECHT
2025-01-09,169.2,173.0,168.85,169.8,297.5,160.01,APTECHT
2025-01-08,174.9,174.9,168.35,169.82,297.5,160.01,APTECHT
2025-01-07,173.95,177.68,173.54,174.19,297.5,160.01,APTECHT
2025-01-06,183.96,184.45,171.1,172.74,297.5,160.01,APTECHT
2025-01-03,184.9,187.5,183.0,183.47,297.5,160.01,APTECHT
2025-01-02,181.4,188.32,179.11,184.33,297.5,160.01,APTECHT
2025-01-01,181.0,185.0,179.83,180.4,297.5,160.01,APTECHT
2024-12-31,177.65,182.5,172.51,181.05,297.5,160.01,APTECHT
2024-12-30,182.9,183.22,177.1,177.99,297.5,160.01,APTECHT
2024-12-27,189.44,189.58,182.0,182.41,297.5,160.01,APTECHT
2024-12-26,191.8,194.75,187.5,188.44,297.5,160.01,APTECHT
2024-12-24,190.0,196.5,189.99,191.2,297.5,160.01,APTECHT
2024-12-23,185.0,199.4,180.71,191.01,297.5,160.01,APTECHT
2024-12-20,183.89,185.99,180.2,181.43,297.5,160.01,APTECHT
2024-12-19,186.0,188.75,183.99,184.65,297.5,160.01,APTECHT
2024-12-18,193.31,194.64,188.01,188.76,297.5,160.01,APTECHT
2024-12-17,199.0,199.5,193.1,194.33,297.5,160.01,APTECHT
2024-12-16,194.35,202.42,191.35,198.28,297.5,160.01,APTECHT
2024-12-13,176.0,202.5,170.23,195.62,297.5,160.01,APTECHT
2024-12-12,178.0,178.4,175.1,176.3,297.5,160.01,APTECHT
2024-12-11,178.2,180.83,176.11,177.21,297.5,160.01,APTECHT
2024-12-10,182.29,184.03,177.0,177.39,297.5,160.01,APTECHT
2024-12-09,178.2,184.0,177.96,182.19,297.5,160.01,APTECHT
2024-12-06,176.1,178.8,174.01,178.2,297.5,160.01,APTECHT
2024-12-05,175.8,178.9,175.0,175.38,297.5,160.01,APTECHT
2024-12-04,176.8,178.74,174.68,175.09,297.5,160.01,APTECHT
2024-12-03,175.9,177.51,175.1,175.67,297.5,160.01,APTECHT
2024-12-02,176.95,179.01,174.08,175.21,297.5,160.01,APTECHT
2024-11-29,172.9,179.5,171.91,176.9,297.5,160.01,APTECHT
2024-11-28,172.8,174.66,170.34,172.71,297.5,160.01,APTECHT
2024-11-27,167.7,177.87,167.01,172.17,297.5,160.01,APTECHT
2024-11-26,165.0,168.8,163.23,166.69,297.5,160.01,APTECHT
2024-11-25,166.7,168.2,163.92,164.24,297.5,160.01,APTECHT
2024-11-22,160.99,165.55,160.99,164.26,297.5,160.01,APTECHT
2024-11-21,164.5,166.82,160.01,160.99,297.5,160.01,APTECHT
2024-11-19,165.69,169.95,163.6,164.85,297.5,163.6,APTECHT
2024-11-18,166.0,170.0,164.41,165.03,297.5,164.41,APTECHT
2024-11-14,172.85,174.97,165.48,166.48,297.5,165.09,APTECHT
2024-11-13,166.0,176.0,165.09,172.37,297.5,165.09,APTECHT
2024-11-12,172.3,175.8,165.21,166.07,297.5,165.21,APTECHT
2024-11-11,177.21,180.5,169.26,171.4,297.5,166.6,APTECHT
2024-11-08,182.5,182.5,176.5,177.21,297.5,166.6,APTECHT
2024-11-07,186.9,186.9,180.35,181.25,297.5,166.6,APTECHT
2024-11-06,177.0,190.9,177.0,187.43,297.5,166.6,APTECHT
2024-11-05,175.1,178.27,173.29,175.6,297.5,166.6,APTECHT
2024-11-04,176.75,177.34,172.85,175.05,297.5,166.6,APTECHT
2024-11-01,177.45,180.95,175.55,177.39,297.5,166.6,APTECHT
2024-10-31,178.16,178.69,175.0,175.66,297.5,166.6,APTECHT
2024-10-30,172.0,184.0,171.99,178.16,297.5,166.6,APTECHT
2024-10-29,173.99,176.12,171.47,174.53,297.5,166.6,APTECHT
2024-10-28,169.75,176.12,167.58,173.46,297.5,166.6,APTECHT
2024-10-25,175.13,176.68,166.6,168.88,297.5,166.6,APTECHT
2024-10-24,184.0,185.0,173.98,174.95,297.5,173.98,APTECHT
2024-10-23,180.87,185.0,177.0,182.9,297.5,177.0,APTECHT
2024-10-22,196.7,199.44,179.42,180.28,297.5,179.42,APTECHT
2024-10-21,205.0,206.48,196.0,196.92,297.5,196.0,APTECHT
2024-10-18,204.4,207.66,203.0,204.62,297.5,199.35,APTECHT
2024-10-17,209.9,211.08,204.56,205.45,297.5,199.35,APTECHT
2024-10-16,211.9,214.42,208.61,209.32,297.5,199.35,APTECHT
2024-10-15,212.2,217.9,211.11,212.52,297.5,199.35,APTECHT
2024-10-14,214.83,215.76,210.22,210.69,297.5,199.35,APTECHT
2024-10-11,211.65,217.0,211.65,214.83,297.5,199.35,APTECHT
2024-10-10,215.59,219.7,213.38,213.76,297.5,199.35,APTECHT
2024-10-09,211.0,216.0,211.0,214.51,297.5,199.35,APTECHT
2024-10-08,204.0,212.0,203.5,210.12,297.5,199.35,APTECHT
2024-10-07,212.05,214.0,203.1,204.74,297.5,199.35,APTECHT
2024-10-04,210.0,215.69,208.5,211.44,297.5,199.35,APTECHT
2024-10-03,216.0,217.8,209.72,210.58,297.5,199.35,APTECHT
2024-10-01,219.6,220.44,217.85,218.48,297.5,199.35,APTECHT
2024-09-30,216.5,219.65,216.49,218.43,297.5,199.35,APTECHT
2024-09-27,219.55,222.0,216.0,216.7,297.5,199.35,APTECHT
2024-09-26,220.8,222.8,216.8,218.43,297.5,199.35,APTECHT
2024-09-25,216.98,227.65,216.51,220.48,297.5,199.35,APTECHT
2024-09-24,218.5,220.71,216.05,216.49,297.5,199.35,APTECHT
2024-09-23,219.95,223.5,218.0,218.44,297.5,199.35,APTECHT
2024-09-20,220.0,221.89,218.0,218.68,309.25,199.35,APTECHT
2024-09-19,226.65,228.0,214.95,218.64,309.25,199.35,APTECHT
2024-09-18,227.6,229.5,224.1,225.18,309.25,199.35,APTECHT
2024-09-17,232.48,236.5,226.22,227.56,309.25,199.35,APTECHT
2024-09-16,227.0,234.8,226.26,232.17,309.25,199.35,APTECHT
2024-09-13,228.8,231.54,225.0,225.56,318.65,199.35,APTECHT
2024-09-12,227.9,230.34,227.01,227.68,318.65,199.35,APTECHT
2024-09-11,233.99,235.5,225.1,226.43,318.65,199.35,APTECHT
2024-09-10,229.25,236.55,228.25,234.83,318.65,199.35,APTECHT
2024-09-09,230.0,230.0,224.22,228.21,318.65,199.35,APTECHT
2024-09-06,233.9,234.61,228.06,231.35,318.65,199.35,APTECHT
2024-09-05,235.1,240.4,233.01,233.56,318.65,199.35,APTECHT
2024-09-04,227.7,238.4,227.7,233.92,318.65,199.35,APTECHT
2024-09-03,226.0,237.0,226.0,231.6,318.65,199.35,APTECHT
2024-09-02,231.8,232.0,225.0,227.02,318.65,199.35,APTECHT
2024-08-30,231.15,235.5,230.5,231.39,321.6,199.35,APTECHT
2024-08-29,238.0,241.82,228.79,230.87,321.6,199.35,APTECHT
2024-08-28,244.7,247.25,237.0,237.9,321.6,199.35,APTECHT
2024-08-27,244.13,254.0,243.11,244.04,321.6,199.35,APTECHT
2024-08-26,237.0,250.0,237.0,242.22,321.6,199.35,APTECHT
2024-08-23,231.4,240.79,231.11,236.33,324.9,199.35,APTECHT
2024-08-22,234.9,240.0,229.0,230.55,324.9,199.35,APTECHT
2024-08-21,228.0,239.0,227.68,233.74,324.9,199.35,APTECHT
2024-08-20,219.99,234.0,218.01,227.99,324.9,199.35,APTECHT
2024-08-19,214.99,220.9,214.66,218.82,324.9,199.35,APTECHT
2024-08-16,215.9,217.7,213.01,213.99,324.9,199.35,APTECHT
2024-08-14,216.95,218.44,213.46,214.01,324.9,199.35,APTECHT
2024-08-13,214.51,224.5,214.0,215.66,324.9,199.35,APTECHT
2024-08-12,219.46,220.0,213.1,214.52,324.9,199.35,APTECHT
2024-08-09,222.0,222.87,216.81,220.57,338.85,199.35,APTECHT
2024-08-08,213.1,224.73,212.1,219.51,338.85,199.35,APTECHT
2024-08-07,212.0,217.68,209.9,214.1,338.85,199.35,APTECHT
2024-08-06,210.15,219.48,207.49,208.24,338.85,199.35,APTECHT
2024-08-05,215.0,217.5,208.0,209.1,338.85,199.35,APTECHT
2024-08-02,225.6,228.0,221.83,223.32,344.3,199.35,APTECHT
2024-08-01,240.0,240.0,226.0,227.79,344.3,199.35,APTECHT
