DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,91.61,97.87,91.61,96.52,153.0,79.5,ARCHIDPLY
2025-04-25,94.74,96.88,92.95,93.42,153.0,79.5,ARCHIDPLY
2025-04-24,97.0,98.58,93.42,95.34,153.0,79.5,ARCHIDPLY
2025-04-23,101.56,102.8,94.99,96.91,153.0,79.5,ARCHIDPLY
2025-04-22,92.9,111.42,92.9,99.56,153.0,79.5,ARCHIDPLY
2025-04-21,95.01,96.66,92.02,92.85,153.0,79.5,ARCHIDPLY
2025-04-17,91.45,95.73,90.49,94.08,153.0,79.5,ARCHIDPLY
2025-04-16,88.0,91.76,86.93,90.04,153.0,79.5,ARCHIDPLY
2025-04-15,85.8,87.79,85.28,86.04,153.0,79.5,ARCHIDPLY
2025-04-11,84.2,87.18,83.25,84.32,153.0,79.5,ARCHIDPLY
2025-04-09,85.97,86.2,82.55,83.08,153.0,79.5,ARCHIDPLY
2025-04-08,88.0,88.0,83.21,84.45,153.0,79.5,ARCHIDPLY
2025-04-07,85.05,87.0,81.66,85.48,153.0,79.5,ARCHIDPLY
2025-04-04,91.0,91.25,84.92,86.35,153.0,79.5,ARCHIDPLY
2025-04-03,90.0,93.85,88.79,92.85,153.0,79.5,ARCHIDPLY
2025-04-02,84.5,90.95,83.86,89.03,153.0,79.5,ARCHIDPLY
2025-04-01,84.9,86.99,84.52,85.18,153.0,79.5,ARCHIDPLY
2025-03-28,86.7,91.0,82.25,84.07,153.0,79.5,ARCHIDPLY
2025-03-27,86.0,87.78,82.15,86.71,153.0,79.5,ARCHIDPLY
2025-03-26,85.0,88.0,80.61,86.86,153.0,79.5,ARCHIDPLY
2025-03-25,88.3,90.25,82.65,84.71,153.0,79.5,ARCHIDPLY
2025-03-24,88.0,91.5,86.52,87.77,153.0,79.5,ARCHIDPLY
2025-03-21,89.49,89.96,87.5,88.72,153.0,79.5,ARCHIDPLY
2025-03-20,87.0,90.0,86.1,87.01,153.0,79.5,ARCHIDPLY
2025-03-19,89.0,89.0,86.05,87.86,153.0,79.5,ARCHIDPLY
2025-03-18,87.26,88.65,84.03,87.0,153.0,79.5,ARCHIDPLY
2025-03-17,87.0,88.58,85.1,85.61,153.0,79.5,ARCHIDPLY
2025-03-13,88.0,88.0,85.5,86.31,153.0,76.15,ARCHIDPLY
2025-03-12,93.01,93.01,85.25,86.38,153.0,76.15,ARCHIDPLY
2025-03-11,94.3,94.3,85.5,90.48,153.0,76.15,ARCHIDPLY
2025-03-10,93.01,94.45,91.75,92.54,153.0,76.15,ARCHIDPLY
2025-03-07,94.02,95.47,91.02,93.01,153.0,76.15,ARCHIDPLY
2025-03-06,90.4,93.94,88.88,93.78,153.0,76.15,ARCHIDPLY
2025-03-05,84.08,88.34,83.01,87.01,153.0,76.15,ARCHIDPLY
2025-03-04,81.15,86.5,81.15,84.0,153.0,76.15,ARCHIDPLY
2025-03-03,81.2,85.01,81.11,82.22,153.0,76.15,ARCHIDPLY
2025-02-28,86.0,86.96,79.5,80.99,153.0,76.15,ARCHIDPLY
2025-02-27,91.6,92.53,83.2,84.57,153.0,76.15,ARCHIDPLY
2025-02-25,92.98,95.39,90.61,91.93,153.0,76.15,ARCHIDPLY
2025-02-24,94.8,94.8,90.88,91.69,153.0,76.15,ARCHIDPLY
2025-02-21,87.91,93.0,86.69,92.2,153.0,76.15,ARCHIDPLY
2025-02-20,91.88,95.66,87.5,87.91,153.0,76.15,ARCHIDPLY
2025-02-19,85.92,94.53,85.92,91.88,153.0,76.15,ARCHIDPLY
2025-02-18,91.01,91.14,84.25,85.87,153.0,76.15,ARCHIDPLY
2025-02-17,90.99,94.58,90.85,92.04,153.0,76.15,ARCHIDPLY
2025-02-14,103.0,105.48,88.35,90.99,153.0,76.15,ARCHIDPLY
2025-02-13,104.8,104.8,98.21,98.69,153.0,76.15,ARCHIDPLY
