DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,995.0,999.0,990.5,994.55,1422.0,832.3,ARE&M
2025-10-16,992.0,1003.1,990.25,996.65,1422.0,832.3,ARE&M
2025-10-15,999.0,1005.9,985.1,991.95,1422.0,832.3,ARE&M
2025-10-14,999.95,1003.45,984.0,1000.25,1422.0,832.3,ARE&M
2025-10-13,1003.55,1003.55,989.0,997.55,1422.0,832.3,ARE&M
2025-10-10,997.7,1007.0,992.75,1005.65,1422.55,832.3,ARE&M
2025-10-09,1006.0,1015.6,992.0,997.7,1422.55,832.3,ARE&M
2025-10-08,1007.0,1011.0,995.35,1006.0,1422.55,832.3,ARE&M
2025-10-07,1007.75,1012.0,1000.0,1006.7,1422.55,832.3,ARE&M
2025-10-06,1008.8,1012.05,990.35,1005.8,1422.55,832.3,ARE&M
2025-10-03,999.0,1002.6,990.15,999.05,1444.0,832.3,ARE&M
2025-10-01,989.25,997.15,985.0,993.5,1444.0,832.3,ARE&M
2025-09-30,992.2,992.2,981.6,989.35,1444.0,832.3,ARE&M
2025-09-29,986.6,1001.05,978.1,992.2,1444.0,832.3,ARE&M
2025-09-26,981.55,983.35,968.0,977.75,1444.0,832.3,ARE&M
2025-09-25,997.0,999.6,976.05,981.55,1444.0,832.3,ARE&M
2025-09-24,1008.65,1018.55,993.0,1002.7,1444.0,832.3,ARE&M
2025-09-23,1002.9,1027.25,997.95,1008.65,1444.0,832.3,ARE&M
2025-09-22,1015.05,1023.55,1000.2,1003.8,1444.0,832.3,ARE&M
2025-09-19,1034.9,1039.75,1013.0,1019.55,1444.0,832.3,ARE&M
2025-09-18,1034.8,1037.1,1023.65,1030.95,1444.0,832.3,ARE&M
2025-09-17,1041.95,1044.0,1024.75,1031.2,1444.0,832.3,ARE&M
2025-09-16,1034.65,1057.85,1033.65,1036.75,1444.0,832.3,ARE&M
2025-09-15,1031.9,1053.7,1029.0,1034.55,1444.0,832.3,ARE&M
2025-09-12,1055.0,1057.35,1026.0,1029.45,1453.0,832.3,ARE&M
2025-09-11,1036.9,1055.0,1028.2,1051.7,1453.0,832.3,ARE&M
2025-09-10,1030.0,1037.9,1021.8,1034.45,1453.0,832.3,ARE&M
2025-09-09,1040.0,1042.0,1020.0,1022.45,1453.0,832.3,ARE&M
2025-09-08,1018.35,1043.0,1013.5,1036.45,1453.0,832.3,ARE&M
2025-09-05,1009.8,1032.8,1001.1,1018.3,1530.0,832.3,ARE&M
2025-09-04,1033.7,1034.5,999.5,1001.6,1530.0,832.3,ARE&M
2025-09-03,1018.0,1032.45,1001.0,1021.65,1530.0,832.3,ARE&M
2025-09-02,1016.65,1034.2,1012.35,1018.5,1530.0,832.3,ARE&M
2025-09-01,991.0,1023.3,984.0,1011.7,1530.0,832.3,ARE&M
2025-08-29,967.7,993.2,967.0,990.25,1610.0,832.3,ARE&M
2025-08-28,969.0,972.7,961.05,967.7,1610.0,832.3,ARE&M
2025-08-26,986.0,987.65,968.45,975.85,1610.0,832.3,ARE&M
2025-08-25,987.0,996.0,976.0,986.55,1610.0,832.3,ARE&M
2025-08-22,990.3,996.7,984.95,987.75,1610.0,832.3,ARE&M
2025-08-21,995.45,1004.0,984.1,990.3,1610.0,832.3,ARE&M
2025-08-20,989.1,1010.0,983.25,988.2,1610.0,832.3,ARE&M
2025-08-19,964.05,1004.55,954.1,990.5,1610.0,832.3,ARE&M
2025-08-18,960.0,964.25,946.65,957.5,1610.0,832.3,ARE&M
2025-08-14,959.8,963.15,943.9,952.6,1638.95,832.3,ARE&M
2025-08-13,955.4,960.0,944.05,957.95,1638.95,832.3,ARE&M
2025-08-12,960.95,961.0,947.75,955.4,1638.95,832.3,ARE&M
2025-08-11,936.0,957.4,928.0,955.2,1638.95,832.3,ARE&M
2025-08-08,941.5,941.8,925.6,934.9,1638.95,832.3,ARE&M
2025-08-07,929.95,941.0,918.4,937.25,1638.95,832.3,ARE&M
2025-08-06,953.95,961.3,926.8,930.4,1638.95,832.3,ARE&M
2025-08-05,959.0,969.8,945.15,951.55,1638.95,832.3,ARE&M
2025-08-04,961.0,962.05,950.15,957.6,1638.95,832.3,ARE&M
2025-08-01,965.1,968.25,951.0,953.9,1696.75,832.3,ARE&M
2025-07-31,975.0,975.1,960.35,963.6,1696.75,832.3,ARE&M
2025-07-30,1000.55,1000.95,974.1,979.8,1696.75,832.3,ARE&M
2025-07-29,965.6,1001.8,963.45,993.0,1696.75,832.3,ARE&M
