DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,1719.0,1719.0,1646.1,1661.9,1834.6,1109.95,ARMANFIN
2025-10-27,1658.0,1715.0,1654.8,1696.4,1834.6,1109.95,ARMANFIN
2025-10-24,1671.1,1690.9,1652.5,1664.8,1834.6,1109.95,ARMANFIN
2025-10-23,1685.0,1695.0,1611.1,1674.6,1834.6,1109.95,ARMANFIN
2025-10-21,1680.0,1697.0,1664.7,1690.1,1834.6,1109.95,ARMANFIN
2025-10-20,1614.9,1668.0,1614.9,1660.3,1834.6,1109.95,ARMANFIN
2025-10-17,1654.0,1654.0,1566.6,1632.1,1834.6,1109.95,ARMANFIN
2025-10-16,1606.8,1669.0,1596.0,1656.8,1834.6,1109.95,ARMANFIN
2025-10-15,1627.1,1633.2,1582.0,1594.0,1834.6,1109.95,ARMANFIN
2025-10-14,1663.9,1689.0,1588.1,1643.5,1834.6,1109.95,ARMANFIN
2025-10-13,1625.0,1668.9,1582.4,1659.1,1834.6,1109.95,ARMANFIN
2025-10-10,1565.5,1635.1,1565.5,1630.5,1834.6,1109.95,ARMANFIN
2025-10-09,1570.0,1570.8,1515.8,1565.5,1834.6,1109.95,ARMANFIN
2025-10-08,1558.5,1561.1,1531.0,1551.4,1834.6,1109.95,ARMANFIN
2025-10-07,1527.3,1580.0,1510.3,1558.5,1834.6,1109.95,ARMANFIN
2025-10-06,1506.0,1528.0,1495.1,1512.3,1834.6,1109.95,ARMANFIN
2025-10-03,1503.9,1532.6,1483.0,1508.7,1834.6,1109.95,ARMANFIN
2025-10-01,1452.3,1521.0,1450.5,1511.5,1834.6,1109.95,ARMANFIN
2025-09-30,1458.9,1489.7,1436.6,1444.1,1834.6,1109.95,ARMANFIN
2025-09-29,1470.0,1505.8,1451.0,1458.8,1834.6,1109.95,ARMANFIN
2025-09-26,1497.4,1515.0,1465.0,1476.0,1860.0,1109.95,ARMANFIN
2025-09-25,1525.0,1525.0,1482.6,1497.5,1860.0,1109.95,ARMANFIN
2025-09-24,1454.8,1565.6,1446.9,1529.7,1860.0,1109.95,ARMANFIN
2025-09-23,1465.5,1465.5,1436.9,1454.2,1860.0,1109.95,ARMANFIN
2025-09-22,1454.5,1495.0,1436.1,1451.0,1860.0,1109.95,ARMANFIN
2025-09-19,1425.5,1460.0,1422.0,1446.3,1864.4,1109.95,ARMANFIN
2025-09-18,1446.9,1460.0,1419.5,1425.5,1864.4,1109.95,ARMANFIN
2025-09-17,1430.0,1455.7,1419.2,1446.9,1864.4,1109.95,ARMANFIN
2025-09-16,1460.0,1472.2,1425.0,1428.4,1864.4,1109.95,ARMANFIN
