DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,266.25,272.65,262.6,264.05,350.0,143.05,ARTEMISMED
2025-04-25,276.2,278.4,263.0,266.0,350.0,143.05,ARTEMISMED
2025-04-24,280.5,280.5,270.9,277.0,350.0,143.05,ARTEMISMED
2025-04-23,285.95,287.0,275.7,278.15,350.0,143.05,ARTEMISMED
2025-04-22,285.5,289.1,280.5,284.7,350.0,143.05,ARTEMISMED
2025-04-21,282.1,285.85,278.2,281.1,350.0,143.05,ARTEMISMED
2025-04-17,282.3,285.3,276.55,278.7,350.0,143.05,ARTEMISMED
2025-04-16,282.7,286.4,278.45,281.9,350.0,143.05,ARTEMISMED
2025-04-15,286.7,290.2,280.3,281.85,350.0,143.05,ARTEMISMED
2025-04-11,281.05,291.1,278.1,281.15,350.0,143.05,ARTEMISMED
2025-04-09,287.1,287.1,275.0,276.35,350.0,143.05,ARTEMISMED
2025-04-08,283.8,293.0,278.7,289.7,350.0,143.05,ARTEMISMED
2025-04-07,240.0,282.0,240.0,277.95,350.0,143.05,ARTEMISMED
2025-04-04,296.7,306.15,275.6,287.35,350.0,143.05,ARTEMISMED
2025-04-03,268.5,284.85,268.45,278.75,350.0,143.05,ARTEMISMED
2025-04-02,274.7,274.7,263.1,268.45,350.0,143.05,ARTEMISMED
2025-04-01,273.45,273.45,266.25,271.6,350.0,143.05,ARTEMISMED
2025-03-28,259.8,280.26,258.86,273.46,350.0,143.05,ARTEMISMED
2025-03-27,260.8,269.73,257.19,261.75,350.0,143.05,ARTEMISMED
2025-03-26,263.8,273.87,252.42,263.17,350.0,143.05,ARTEMISMED
2025-03-25,254.0,264.35,251.36,261.15,350.0,143.05,ARTEMISMED
2025-03-24,261.2,262.81,255.34,256.05,350.0,143.05,ARTEMISMED
2025-03-21,257.38,261.2,253.16,259.83,350.0,143.05,ARTEMISMED
2025-03-20,250.2,265.77,243.39,257.38,350.0,143.05,ARTEMISMED
2025-03-19,237.8,254.9,232.25,250.24,350.0,143.05,ARTEMISMED
2025-03-18,239.0,242.27,229.0,236.59,350.0,143.05,ARTEMISMED
2025-03-17,226.4,245.24,224.0,239.04,350.0,143.05,ARTEMISMED
2025-03-13,236.6,236.6,225.35,229.68,350.0,141.3,ARTEMISMED
2025-03-12,240.12,242.0,230.15,234.86,350.0,141.3,ARTEMISMED
2025-03-11,229.0,240.9,225.0,240.12,350.0,141.3,ARTEMISMED
2025-03-10,236.01,239.3,225.02,231.13,350.0,141.3,ARTEMISMED
2025-03-07,236.9,242.15,235.12,238.12,350.0,141.3,ARTEMISMED
2025-03-06,232.5,244.99,230.81,236.08,350.0,141.3,ARTEMISMED
2025-03-05,217.8,238.58,216.09,232.47,350.0,141.3,ARTEMISMED
2025-03-04,222.7,227.0,215.0,218.35,350.0,141.3,ARTEMISMED
2025-03-03,228.2,228.47,207.71,221.62,350.0,141.3,ARTEMISMED
2025-02-28,250.0,253.7,225.65,231.65,350.0,141.3,ARTEMISMED
2025-02-27,265.55,265.6,249.7,250.95,350.0,141.3,ARTEMISMED
2025-02-25,262.6,267.6,258.55,264.6,350.0,141.3,ARTEMISMED
2025-02-24,267.0,268.55,257.1,264.85,350.0,141.3,ARTEMISMED
2025-02-21,274.45,278.35,266.8,268.75,350.0,141.3,ARTEMISMED
2025-02-20,271.95,276.65,269.05,274.25,350.0,141.3,ARTEMISMED
2025-02-19,256.6,273.0,256.6,271.35,350.0,141.3,ARTEMISMED
2025-02-18,256.1,263.45,251.65,260.5,350.0,141.3,ARTEMISMED
2025-02-17,252.0,264.0,250.65,257.75,350.0,141.3,ARTEMISMED
2025-02-14,275.1,275.5,255.6,261.05,350.0,141.3,ARTEMISMED
2025-02-13,260.0,279.95,257.55,275.1,350.0,141.3,ARTEMISMED
2025-02-12,266.5,266.5,243.7,259.7,350.0,141.3,ARTEMISMED
2025-02-11,270.8,270.85,260.15,265.15,350.0,141.3,ARTEMISMED
2025-02-10,283.95,283.95,267.55,273.3,350.0,141.3,ARTEMISMED
2025-02-07,293.0,294.8,281.0,283.9,350.0,141.3,ARTEMISMED
2025-02-06,292.0,297.8,283.55,290.7,350.0,141.3,ARTEMISMED
2025-02-05,320.05,335.0,288.35,296.25,350.0,141.3,ARTEMISMED
2025-02-04,314.35,322.65,314.35,317.6,350.0,141.3,ARTEMISMED
2025-02-03,314.8,322.0,306.8,315.05,350.0,141.3,ARTEMISMED
2025-02-01,317.0,321.7,309.8,315.05,350.0,141.3,ARTEMISMED
2025-01-31,307.6,323.4,303.9,316.0,350.0,141.3,ARTEMISMED
2025-01-30,306.7,309.8,302.95,306.0,350.0,141.3,ARTEMISMED
2025-01-29,288.65,313.4,286.5,308.35,350.0,141.3,ARTEMISMED
2025-01-28,292.05,298.0,270.0,291.0,350.0,141.3,ARTEMISMED
2025-01-27,296.5,297.1,277.5,291.6,350.0,141.3,ARTEMISMED
2025-01-24,311.0,311.0,295.05,297.7,350.0,141.3,ARTEMISMED
2025-01-23,298.25,312.9,297.45,311.0,350.0,141.3,ARTEMISMED
2025-01-22,307.0,309.0,294.5,303.65,350.0,141.3,ARTEMISMED
2025-01-21,313.2,319.7,298.35,308.5,350.0,141.3,ARTEMISMED
2025-01-20,322.0,322.0,307.4,312.0,350.0,141.3,ARTEMISMED
2025-01-17,315.65,322.2,313.0,319.3,350.0,141.3,ARTEMISMED
2025-01-16,306.0,322.9,304.7,318.75,350.0,141.3,ARTEMISMED
2025-01-15,306.9,308.85,300.15,302.85,350.0,141.3,ARTEMISMED
2025-01-14,306.65,309.0,301.65,304.05,350.0,141.3,ARTEMISMED
2025-01-13,317.45,317.6,294.8,305.1,350.0,141.3,ARTEMISMED
2025-01-10,333.0,336.0,318.0,320.25,350.0,141.3,ARTEMISMED
2025-01-09,336.5,339.0,333.4,334.55,350.0,141.3,ARTEMISMED
2025-01-08,344.75,346.7,329.0,335.25,350.0,141.3,ARTEMISMED
2025-01-07,321.2,345.85,321.2,339.8,350.0,141.3,ARTEMISMED
2025-01-06,322.85,338.3,315.0,319.55,350.0,141.3,ARTEMISMED
2025-01-03,327.5,329.5,318.0,322.9,350.0,141.3,ARTEMISMED
2025-01-02,315.0,324.15,313.15,320.95,350.0,141.3,ARTEMISMED
2025-01-01,316.45,319.95,313.55,315.95,350.0,141.3,ARTEMISMED
2024-12-31,312.15,315.9,310.15,314.8,350.0,141.3,ARTEMISMED
