DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,552.55,552.55,536.0,537.3,819.6,395.5,ASAL
2025-10-15,533.85,561.3,530.1,546.55,819.6,395.5,ASAL
2025-10-14,549.95,558.7,530.6,536.5,819.6,395.5,ASAL
2025-10-13,562.0,572.85,542.0,548.3,819.6,395.5,ASAL
2025-10-10,564.1,573.45,558.65,561.75,819.6,395.5,ASAL
2025-10-09,586.0,588.65,560.6,563.3,819.6,395.5,ASAL
2025-10-08,597.0,599.4,582.55,585.0,819.6,395.5,ASAL
2025-10-07,577.0,612.0,571.6,594.9,819.6,395.5,ASAL
2025-10-06,586.65,589.95,569.0,577.05,819.6,395.5,ASAL
2025-10-03,590.05,606.2,581.6,586.35,819.6,395.5,ASAL
2025-10-01,591.0,609.55,584.0,593.25,819.6,395.5,ASAL
2025-09-30,596.9,620.2,575.0,594.15,819.6,395.5,ASAL
2025-09-29,594.95,627.7,580.0,601.7,819.6,395.5,ASAL
2025-09-26,542.7,654.65,526.9,600.75,819.6,395.5,ASAL
2025-09-25,567.9,570.5,541.6,546.0,819.6,395.5,ASAL
2025-09-24,558.95,597.85,540.1,567.9,819.6,395.5,ASAL
2025-09-23,496.75,578.0,492.85,562.2,819.6,395.5,ASAL
2025-09-22,497.9,505.0,487.6,492.3,819.6,395.5,ASAL
2025-09-19,496.0,500.65,494.2,498.9,819.6,395.5,ASAL
2025-09-18,505.9,513.0,493.1,496.0,819.6,395.5,ASAL
2025-09-17,505.0,513.0,501.1,503.75,819.6,395.5,ASAL
2025-09-16,506.45,515.0,500.0,503.95,819.6,395.5,ASAL
2025-09-15,489.0,515.7,488.6,505.45,819.6,395.5,ASAL
2025-09-12,483.0,489.65,482.65,483.95,862.3,395.5,ASAL
2025-09-11,485.0,491.4,481.75,483.75,862.3,395.5,ASAL
2025-09-10,479.95,492.9,479.95,485.65,862.3,395.5,ASAL
2025-09-09,483.9,489.9,478.25,479.85,862.3,395.5,ASAL
2025-09-08,490.35,495.0,480.0,483.85,862.3,395.5,ASAL
2025-09-05,482.7,490.4,482.7,485.5,862.3,395.5,ASAL
2025-09-04,499.9,499.9,480.0,482.75,862.3,395.5,ASAL
2025-09-03,489.3,495.25,487.75,492.7,862.3,395.5,ASAL
2025-09-02,484.4,495.05,484.05,489.3,862.3,395.5,ASAL
2025-09-01,478.55,490.8,478.55,484.4,862.3,395.5,ASAL
2025-08-29,492.35,492.35,481.05,482.0,907.7,395.5,ASAL
2025-08-28,485.85,495.55,477.6,490.25,907.7,395.5,ASAL
2025-08-26,496.95,496.95,483.7,485.85,907.7,395.5,ASAL
2025-08-25,488.25,502.55,488.25,497.35,907.7,395.5,ASAL
2025-08-22,499.6,499.6,490.0,493.2,907.7,395.5,ASAL
2025-08-21,497.55,502.0,497.5,500.1,907.7,395.5,ASAL
2025-08-20,506.75,509.45,495.05,497.55,907.7,395.5,ASAL
2025-08-19,477.15,514.0,474.75,506.85,907.7,395.5,ASAL
2025-08-18,478.25,481.55,472.25,476.35,907.7,395.5,ASAL
2025-08-14,471.65,479.05,470.0,476.8,907.7,395.5,ASAL
2025-08-13,471.7,475.25,468.0,471.3,907.7,395.5,ASAL
2025-08-12,462.4,475.4,462.25,471.25,907.7,395.5,ASAL
2025-08-11,458.0,465.95,454.2,462.85,907.7,395.5,ASAL
2025-08-08,479.7,479.7,454.0,457.2,1009.85,395.5,ASAL
2025-08-07,468.15,475.15,460.6,471.05,1009.85,395.5,ASAL
2025-08-06,484.0,488.4,468.0,470.8,1009.85,395.5,ASAL
