DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,295.0,301.95,286.0,287.3,395.7,247.8,ASHIANA
2025-10-21,290.95,294.95,290.95,293.2,395.7,247.8,ASHIANA
2025-10-20,302.05,302.9,288.1,290.95,395.7,247.8,ASHIANA
2025-10-17,293.9,301.7,290.0,299.3,395.7,247.8,ASHIANA
2025-10-16,290.65,297.7,285.65,294.1,395.7,247.8,ASHIANA
2025-10-15,287.0,298.8,281.35,289.5,395.7,247.8,ASHIANA
2025-10-14,297.0,297.0,289.35,290.0,395.7,247.8,ASHIANA
2025-10-13,298.0,298.0,294.0,294.85,395.7,247.8,ASHIANA
2025-10-10,298.0,300.75,296.05,297.45,395.7,247.8,ASHIANA
2025-10-09,296.65,303.7,292.8,297.4,395.7,247.8,ASHIANA
2025-10-08,299.25,300.6,294.2,296.25,395.7,247.8,ASHIANA
2025-10-07,298.45,305.2,298.0,298.65,395.7,247.8,ASHIANA
2025-10-06,302.3,303.9,298.0,298.45,395.7,247.8,ASHIANA
2025-10-03,306.65,306.65,299.0,302.25,395.7,247.8,ASHIANA
2025-10-01,299.8,307.7,297.65,303.65,395.7,247.8,ASHIANA
2025-09-30,294.4,300.75,291.05,299.35,395.7,247.8,ASHIANA
2025-09-29,295.55,296.8,288.05,292.55,395.7,247.8,ASHIANA
2025-09-26,300.9,300.9,292.0,295.55,395.7,247.8,ASHIANA
2025-09-25,303.0,305.8,298.0,299.05,395.7,247.8,ASHIANA
2025-09-24,308.6,310.4,300.6,302.6,395.7,247.8,ASHIANA
2025-09-23,308.25,310.3,306.9,308.6,395.7,247.8,ASHIANA
2025-09-22,308.15,313.15,306.0,308.75,395.7,247.8,ASHIANA
2025-09-19,310.05,312.9,304.0,310.3,395.7,247.8,ASHIANA
2025-09-18,311.9,314.0,306.1,309.2,395.7,247.8,ASHIANA
2025-09-17,314.05,314.6,310.75,311.9,395.7,247.8,ASHIANA
2025-09-16,311.2,316.0,309.3,312.1,395.7,247.8,ASHIANA
2025-09-15,314.9,315.1,306.35,309.45,395.7,247.8,ASHIANA
2025-09-12,311.65,316.2,310.0,313.5,395.7,247.8,ASHIANA
2025-09-11,314.0,314.0,310.0,311.3,395.7,247.8,ASHIANA
2025-09-10,313.2,314.4,311.0,312.05,395.7,247.8,ASHIANA
2025-09-09,314.95,315.0,308.6,311.25,395.7,247.8,ASHIANA
2025-09-08,314.95,315.0,311.0,312.9,395.7,247.8,ASHIANA
2025-09-05,312.15,316.15,310.05,313.55,395.7,247.8,ASHIANA
2025-09-04,314.3,318.0,308.65,314.9,395.7,247.8,ASHIANA
2025-09-03,312.55,315.15,310.0,311.5,395.7,247.8,ASHIANA
2025-09-02,309.0,318.0,308.3,314.25,395.7,247.8,ASHIANA
2025-09-01,308.2,316.45,306.6,310.5,395.7,247.8,ASHIANA
2025-08-29,313.7,315.65,307.65,310.95,395.7,247.8,ASHIANA
2025-08-28,318.0,321.1,313.15,315.7,395.7,247.8,ASHIANA
2025-08-26,309.05,336.0,308.6,322.95,395.7,247.8,ASHIANA
2025-08-25,313.1,313.95,308.0,310.7,395.7,247.8,ASHIANA
