DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,24.0,24.2,23.76,24.11,24.2,8.65,ATALREAL
2025-10-15,23.2,24.0,22.83,23.95,24.0,8.65,ATALREAL
2025-10-14,22.9,23.22,22.3,22.84,23.5,8.65,ATALREAL
2025-10-13,22.3,22.72,22.3,22.52,23.5,8.65,ATALREAL
2025-10-10,23.09,23.09,22.24,22.6,23.5,8.02,ATALREAL
2025-10-09,22.99,23.12,22.46,22.97,23.5,8.02,ATALREAL
2025-10-08,22.41,22.8,21.95,22.74,23.5,8.02,ATALREAL
2025-10-07,22.02,22.92,21.69,22.41,23.5,8.02,ATALREAL
2025-10-06,22.98,23.5,22.4,23.18,23.5,8.02,ATALREAL
2025-10-03,22.95,23.0,22.2,22.98,23.0,8.02,ATALREAL
2025-10-01,22.72,22.9,21.9,22.77,22.9,8.02,ATALREAL
2025-09-30,21.06,22.89,20.91,22.52,22.89,8.02,ATALREAL
2025-09-29,21.0,21.43,20.41,21.06,21.87,8.02,ATALREAL
2025-09-26,21.25,21.79,20.3,21.35,21.87,8.0,ATALREAL
2025-09-25,21.09,21.47,20.7,21.16,21.87,8.0,ATALREAL
2025-09-24,21.3,21.87,20.26,21.09,21.87,8.0,ATALREAL
2025-09-23,20.6,21.5,20.6,21.25,21.5,8.0,ATALREAL
2025-09-22,20.06,21.48,20.06,20.6,21.48,8.0,ATALREAL
2025-06-17,19.5,20.0,19.39,19.78,20.0,6.71,ATALREAL
2025-06-16,19.6,19.95,18.57,19.33,19.95,6.71,ATALREAL
2025-06-13,18.45,19.6,18.11,19.39,19.6,6.71,ATALREAL
2025-06-12,19.0,19.1,18.2,18.84,19.4,6.71,ATALREAL
2025-06-11,18.4,19.4,17.79,18.86,19.4,6.71,ATALREAL
2025-06-10,17.21,18.63,17.15,18.19,18.63,6.71,ATALREAL
2025-06-09,16.75,17.78,16.7,17.15,17.78,6.71,ATALREAL
2025-06-06,15.94,16.98,15.63,16.65,16.98,6.71,ATALREAL
2025-06-05,15.4,16.21,15.12,15.63,16.65,6.71,ATALREAL
2025-06-04,15.9,15.91,15.31,15.47,16.65,6.71,ATALREAL
2025-06-03,15.87,16.14,15.52,15.89,16.65,6.71,ATALREAL
2025-06-02,16.13,16.36,15.81,16.02,16.65,6.71,ATALREAL
2025-05-30,16.55,16.55,15.89,16.03,16.65,6.71,ATALREAL
2025-05-29,16.43,16.63,15.87,16.29,16.65,6.71,ATALREAL
2025-05-28,16.33,16.65,15.65,16.24,16.65,6.71,ATALREAL
2025-05-27,14.79,16.25,14.79,16.01,16.35,6.71,ATALREAL
2025-05-26,15.31,15.65,14.66,14.94,16.35,6.71,ATALREAL
2025-05-23,14.99,15.9,14.8,15.31,16.35,6.71,ATALREAL
2025-05-22,15.14,15.29,14.73,14.84,16.35,6.71,ATALREAL
2025-05-21,15.25,15.34,14.95,15.14,16.35,6.71,ATALREAL
2025-05-20,14.64,15.25,14.64,15.08,16.35,6.71,ATALREAL
2025-05-19,15.0,15.02,14.7,14.87,16.35,6.71,ATALREAL
2025-05-16,15.14,15.19,14.62,15.0,16.35,6.71,ATALREAL
2025-05-15,14.68,15.25,14.68,15.09,16.35,6.71,ATALREAL
2025-05-14,14.88,15.02,14.55,14.89,16.35,6.71,ATALREAL
2025-05-13,14.37,15.02,14.37,14.78,16.35,6.71,ATALREAL
2025-05-12,13.72,14.79,13.7,14.58,16.35,6.71,ATALREAL
2025-05-09,13.33,13.95,13.26,13.72,16.35,6.71,ATALREAL
2025-05-08,14.6,14.75,13.36,14.08,16.35,6.71,ATALREAL
2025-05-07,13.81,14.94,13.74,14.48,16.35,6.71,ATALREAL
2025-05-06,14.41,14.65,13.63,14.34,16.35,6.71,ATALREAL
2025-05-05,14.95,15.0,14.2,14.67,16.35,6.71,ATALREAL
2025-05-02,14.94,15.39,14.58,14.95,16.35,6.71,ATALREAL
2025-04-30,14.91,15.48,14.42,14.94,16.35,6.71,ATALREAL
2025-04-29,15.5,15.5,14.61,15.32,16.35,6.71,ATALREAL
2025-04-28,15.28,15.99,14.53,15.47,16.35,6.71,ATALREAL
2025-04-25,15.9,15.9,14.82,15.15,16.35,6.71,ATALREAL
2025-04-24,15.7,16.05,15.55,15.9,16.35,6.71,ATALREAL
2025-04-23,16.0,16.0,15.53,15.87,16.35,6.71,ATALREAL
2025-04-22,16.0,16.0,15.5,15.92,16.35,6.71,ATALREAL
2025-04-21,15.99,16.1,15.42,15.93,16.35,6.71,ATALREAL
2025-04-17,14.66,16.35,14.66,15.69,16.35,6.71,ATALREAL
2025-04-16,15.55,15.7,14.61,14.96,16.19,6.71,ATALREAL
2025-04-15,15.78,16.1,15.47,15.66,16.19,6.71,ATALREAL
2025-04-11,16.0,16.11,15.52,15.67,16.19,6.71,ATALREAL
2025-04-09,15.3,16.0,15.19,15.83,16.19,6.71,ATALREAL
2025-04-08,15.11,16.19,14.51,15.59,16.19,6.71,ATALREAL
2025-04-07,15.3,15.69,13.92,14.95,15.69,6.71,ATALREAL
2025-04-04,14.9,15.4,14.4,15.34,15.4,6.71,ATALREAL
2025-04-03,14.16,14.86,13.71,14.69,15.15,6.71,ATALREAL
2025-04-02,14.1,14.32,13.82,14.16,15.15,6.71,ATALREAL
2025-04-01,13.65,14.2,13.5,14.07,15.15,6.71,ATALREAL
2025-03-28,13.85,13.89,13.24,13.69,16.1,6.71,ATALREAL
2025-03-27,13.19,13.75,12.71,13.62,16.1,6.71,ATALREAL
2025-03-26,13.31,13.59,12.77,13.31,16.1,6.71,ATALREAL
2025-03-25,13.5,13.75,13.02,13.4,16.1,6.71,ATALREAL
2025-03-24,13.58,13.79,13.31,13.49,16.1,6.71,ATALREAL
2025-03-21,13.49,13.9,13.11,13.46,16.5,6.71,ATALREAL
