DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,697.0,701.1,665.0,672.8,790.0,288.15,ATHERENERG
2025-11-21,696.95,713.0,686.45,695.9,790.0,288.15,ATHERENERG
2025-11-20,685.0,704.0,670.15,697.0,790.0,288.15,ATHERENERG
2025-11-19,676.4,688.0,665.35,685.0,790.0,288.15,ATHERENERG
2025-11-18,646.55,679.9,645.55,668.45,790.0,288.15,ATHERENERG
2025-11-17,656.0,657.0,636.15,648.45,790.0,288.15,ATHERENERG
2025-11-14,641.45,662.0,623.2,649.6,790.0,288.15,ATHERENERG
2025-11-13,643.05,659.9,619.05,639.15,790.0,288.15,ATHERENERG
2025-11-12,658.0,659.3,624.0,628.55,790.0,288.15,ATHERENERG
2025-11-11,640.0,664.15,625.0,659.8,790.0,288.15,ATHERENERG
2025-11-10,653.1,653.85,615.1,625.7,790.0,288.15,ATHERENERG
2025-11-07,632.6,663.0,625.0,654.65,790.0,288.15,ATHERENERG
2025-11-06,665.05,665.05,582.05,633.85,790.0,288.15,ATHERENERG
2025-11-04,691.0,708.0,660.75,667.15,790.0,288.15,ATHERENERG
2025-11-03,700.05,700.05,686.9,691.65,790.0,288.15,ATHERENERG
2025-10-31,714.0,722.05,686.0,691.95,790.0,288.15,ATHERENERG
2025-10-30,708.35,721.0,677.45,707.3,790.0,288.15,ATHERENERG
2025-10-29,740.0,742.0,700.2,706.2,790.0,288.15,ATHERENERG
2025-10-28,748.9,765.9,731.0,736.35,790.0,288.15,ATHERENERG
2025-10-27,705.0,749.45,705.0,734.35,790.0,288.15,ATHERENERG
2025-10-24,738.85,747.45,693.3,706.3,790.0,288.15,ATHERENERG
2025-10-23,770.0,773.5,713.7,733.4,790.0,288.15,ATHERENERG
2025-10-21,735.0,790.0,726.2,765.85,790.0,288.15,ATHERENERG
2025-10-20,688.0,730.45,683.0,722.2,730.45,288.15,ATHERENERG
2025-10-17,680.0,703.0,672.0,693.3,703.0,288.15,ATHERENERG
2025-10-16,638.0,694.9,637.95,688.55,694.9,288.15,ATHERENERG
2025-10-15,618.0,661.7,612.45,635.5,679.0,288.15,ATHERENERG
2025-10-14,614.0,627.35,603.8,615.0,679.0,288.15,ATHERENERG
2025-10-13,596.55,623.4,595.85,611.45,679.0,288.15,ATHERENERG
2025-10-10,625.75,625.75,592.0,594.85,679.0,288.15,ATHERENERG
2025-10-09,640.0,644.85,621.35,624.05,679.0,288.15,ATHERENERG
2025-10-08,630.0,679.0,624.0,639.15,679.0,288.15,ATHERENERG
2025-10-07,621.0,639.9,615.5,630.05,639.9,288.15,ATHERENERG
2025-10-06,591.8,624.9,582.0,620.85,624.9,288.15,ATHERENERG
2025-10-03,589.5,609.5,585.55,593.0,614.4,288.15,ATHERENERG
2025-10-01,568.0,598.8,565.45,587.2,614.4,288.15,ATHERENERG
2025-09-30,579.75,580.45,556.5,565.5,614.4,288.15,ATHERENERG
2025-09-29,545.9,587.95,542.5,580.5,614.4,288.15,ATHERENERG
2025-09-26,552.05,565.75,537.45,539.9,614.4,288.15,ATHERENERG
2025-09-25,581.5,581.5,534.5,557.2,614.4,288.15,ATHERENERG
2025-09-24,572.6,592.0,568.5,581.85,614.4,288.15,ATHERENERG
2025-09-23,593.9,594.45,566.0,572.6,614.4,288.15,ATHERENERG
2025-09-22,583.6,614.4,580.35,591.55,614.4,288.15,ATHERENERG
2025-09-19,560.0,589.0,557.1,584.5,603.0,288.15,ATHERENERG
2025-09-18,573.0,573.0,557.0,562.5,603.0,288.15,ATHERENERG
2025-09-17,561.85,587.0,559.95,570.0,603.0,288.15,ATHERENERG
2025-09-16,550.0,559.5,548.5,556.3,603.0,288.15,ATHERENERG
2025-09-15,546.05,560.75,542.8,546.95,603.0,288.15,ATHERENERG
2025-09-12,544.95,551.75,537.55,542.55,603.0,288.15,ATHERENERG
2025-09-11,545.1,554.8,529.2,541.95,603.0,288.15,ATHERENERG
2025-09-10,576.15,578.8,522.05,541.55,603.0,288.15,ATHERENERG
2025-09-09,525.4,603.0,522.0,573.25,603.0,288.15,ATHERENERG
2025-09-08,501.5,549.65,492.7,520.25,549.65,288.15,ATHERENERG
2025-09-05,489.9,508.8,488.35,499.35,512.8,288.15,ATHERENERG
2025-09-04,504.9,507.3,485.0,487.05,512.8,288.15,ATHERENERG
2025-09-03,499.1,510.35,491.9,500.6,512.8,288.15,ATHERENERG
2025-09-02,491.9,500.0,481.1,496.7,512.8,288.15,ATHERENERG
2025-09-01,465.05,512.8,445.3,486.8,512.8,288.15,ATHERENERG
2025-08-29,430.0,459.0,421.6,450.15,459.0,288.15,ATHERENERG
2025-08-28,434.85,438.6,426.4,430.2,451.0,288.15,ATHERENERG
2025-08-26,417.95,451.0,413.3,431.5,451.0,288.15,ATHERENERG
2025-08-25,425.0,430.8,415.15,417.7,450.0,288.15,ATHERENERG
2025-08-22,417.8,431.4,414.5,417.25,450.0,288.15,ATHERENERG
2025-08-21,420.75,424.7,407.7,416.1,450.0,288.15,ATHERENERG
2025-08-20,436.05,436.05,412.85,416.65,450.0,288.15,ATHERENERG
2025-08-19,417.2,450.0,412.05,435.95,450.0,288.15,ATHERENERG
2025-08-18,426.75,426.75,412.0,414.35,433.55,288.15,ATHERENERG
2025-08-14,415.75,426.0,412.8,416.45,433.55,288.15,ATHERENERG
2025-08-13,405.0,421.0,404.05,412.3,433.55,288.15,ATHERENERG
2025-08-12,420.05,420.05,398.2,401.1,433.55,288.15,ATHERENERG
2025-08-11,427.05,427.95,414.05,421.5,433.55,288.15,ATHERENERG
2025-08-08,401.0,433.55,398.05,426.35,433.55,288.15,ATHERENERG
2025-08-07,385.9,400.75,382.35,398.05,414.65,288.15,ATHERENERG
2025-08-06,393.0,393.9,380.0,385.45,414.65,288.15,ATHERENERG
2025-08-05,400.95,410.0,380.75,391.75,414.65,288.15,ATHERENERG
2025-08-04,353.55,414.65,349.35,395.95,414.65,288.15,ATHERENERG
2025-08-01,352.0,355.2,345.35,347.3,358.25,288.15,ATHERENERG
2025-07-31,344.25,351.7,337.4,350.35,358.25,288.15,ATHERENERG
2025-07-30,353.8,358.25,336.55,345.8,358.25,288.15,ATHERENERG
2025-07-29,338.9,347.4,336.35,344.75,357.45,288.15,ATHERENERG
2025-07-28,334.45,341.0,329.2,338.9,357.45,288.15,ATHERENERG
2025-07-25,333.0,342.05,330.0,334.3,357.45,288.15,ATHERENERG
2025-07-24,337.7,337.7,329.5,330.6,357.45,288.15,ATHERENERG
2025-07-23,337.0,338.75,333.15,335.45,357.45,288.15,ATHERENERG
2025-07-22,337.75,341.4,334.65,337.0,357.45,288.15,ATHERENERG
2025-07-21,342.0,343.1,332.55,336.9,357.45,288.15,ATHERENERG
2025-07-18,351.3,352.35,340.4,341.3,357.45,288.15,ATHERENERG
2025-07-17,349.7,357.45,343.85,351.3,357.45,288.15,ATHERENERG
2025-07-16,344.7,348.4,338.55,339.85,354.9,288.15,ATHERENERG
2025-07-15,346.85,349.0,342.0,343.25,354.9,288.15,ATHERENERG
2025-07-14,335.0,354.9,330.1,344.0,354.9,288.15,ATHERENERG
2025-07-11,329.25,333.95,325.55,332.4,344.45,288.15,ATHERENERG
2025-07-10,331.4,337.45,328.35,330.9,344.45,288.15,ATHERENERG
2025-07-09,330.0,330.45,318.6,328.55,344.45,288.15,ATHERENERG
2025-07-08,329.8,331.7,320.45,329.75,344.45,288.15,ATHERENERG
2025-07-07,328.0,332.35,326.5,329.8,344.45,288.15,ATHERENERG
2025-07-04,330.0,333.85,326.1,328.25,344.45,288.15,ATHERENERG
2025-07-03,336.8,338.7,323.6,327.1,344.45,288.15,ATHERENERG
2025-07-02,334.55,344.0,332.2,336.85,344.45,288.15,ATHERENERG
2025-07-01,334.0,343.2,329.0,332.9,344.45,288.15,ATHERENERG
2025-06-30,336.7,336.7,328.85,332.3,344.45,288.15,ATHERENERG
2025-06-27,336.0,341.95,331.4,332.6,344.45,288.15,ATHERENERG
2025-06-26,337.95,342.75,332.75,336.0,344.45,288.15,ATHERENERG
2025-06-25,320.45,344.45,320.45,340.9,344.45,288.15,ATHERENERG
2025-06-24,319.0,322.1,315.75,320.05,343.0,288.15,ATHERENERG
2025-06-23,316.0,320.65,314.4,317.75,343.0,288.15,ATHERENERG
2025-06-20,318.1,321.5,314.15,320.65,343.0,288.15,ATHERENERG
2025-06-19,323.7,324.75,315.5,319.2,343.0,288.15,ATHERENERG
2025-06-18,321.45,331.15,318.2,323.7,343.0,288.15,ATHERENERG
2025-06-17,320.0,323.8,318.35,320.95,343.0,288.15,ATHERENERG
2025-06-16,314.0,321.0,312.2,319.6,343.0,288.15,ATHERENERG
2025-06-13,311.0,316.95,306.25,314.0,343.0,288.15,ATHERENERG
2025-06-12,314.7,315.2,310.55,313.8,343.0,288.15,ATHERENERG
2025-06-11,320.15,321.95,310.1,311.9,343.0,288.15,ATHERENERG
2025-06-10,314.45,326.25,314.1,319.55,343.0,288.15,ATHERENERG
2025-06-09,311.8,315.8,310.6,313.0,343.0,288.15,ATHERENERG
2025-06-06,309.55,311.95,307.2,309.0,343.0,288.15,ATHERENERG
2025-06-05,309.45,312.0,306.15,308.65,343.0,288.15,ATHERENERG
2025-06-04,315.0,316.15,306.0,307.2,343.0,288.15,ATHERENERG
2025-06-03,315.05,320.1,314.05,314.6,343.0,288.15,ATHERENERG
2025-06-02,313.0,319.9,301.0,318.1,343.0,288.15,ATHERENERG
2025-05-30,314.7,316.4,310.6,313.0,343.0,288.15,ATHERENERG
2025-05-29,315.45,318.3,312.0,313.75,343.0,288.15,ATHERENERG
2025-05-28,320.05,322.65,313.3,315.45,343.0,288.15,ATHERENERG
2025-05-27,317.0,323.5,314.0,321.7,343.0,288.15,ATHERENERG
2025-05-26,318.8,326.05,316.0,319.4,343.0,288.15,ATHERENERG
2025-05-23,315.0,321.0,312.15,318.85,343.0,288.15,ATHERENERG
2025-05-22,316.0,321.55,310.35,313.15,343.0,288.15,ATHERENERG
2025-05-21,319.0,343.0,312.0,314.0,343.0,288.15,ATHERENERG
2025-05-20,317.95,321.5,313.35,320.9,333.0,288.15,ATHERENERG
2025-05-19,317.0,329.25,309.0,313.9,333.0,288.15,ATHERENERG
2025-05-16,304.2,320.0,303.4,315.1,333.0,288.15,ATHERENERG
2025-05-15,302.1,315.0,302.1,303.85,333.0,288.15,ATHERENERG
2025-05-14,305.0,306.9,298.2,304.05,333.0,288.15,ATHERENERG
