DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,0.57,0.58,0.55,0.55,1.41,0.45,AURIGROW
2025-10-27,0.58,0.59,0.56,0.57,1.41,0.45,AURIGROW
2025-10-24,0.59,0.59,0.57,0.57,1.41,0.45,AURIGROW
2025-10-23,0.58,0.59,0.57,0.58,1.41,0.45,AURIGROW
2025-10-21,0.58,0.59,0.57,0.58,1.41,0.45,AURIGROW
2025-10-20,0.59,0.6,0.56,0.57,1.41,0.45,AURIGROW
2025-10-17,0.58,0.58,0.57,0.58,1.41,0.45,AURIGROW
2025-10-16,0.54,0.56,0.54,0.56,1.41,0.45,GODHA
2025-10-15,0.56,0.56,0.54,0.54,1.41,0.45,GODHA
2025-10-14,0.56,0.56,0.54,0.55,1.41,0.45,GODHA
2025-10-13,0.57,0.57,0.55,0.55,1.41,0.45,GODHA
2025-07-10,0.77,0.77,0.7,0.7,1.41,0.45,GODHA
2025-07-09,0.74,0.74,0.74,0.74,1.41,0.45,GODHA
2025-07-08,0.71,0.71,0.7,0.71,1.41,0.45,GODHA
2025-07-07,0.67,0.68,0.66,0.68,1.41,0.45,GODHA
2025-07-04,0.64,0.65,0.63,0.65,1.41,0.45,GODHA
2025-07-03,0.61,0.64,0.58,0.62,1.41,0.45,GODHA
2025-07-02,0.6,0.61,0.59,0.61,1.41,0.45,GODHA
2025-07-01,0.58,0.59,0.57,0.59,1.41,0.45,GODHA
2025-06-30,0.56,0.57,0.56,0.57,1.41,0.45,GODHA
2025-06-27,0.54,0.56,0.53,0.55,1.41,0.45,GODHA
2025-06-26,0.58,0.58,0.53,0.54,1.41,0.45,GODHA
2025-06-25,0.56,0.56,0.55,0.56,1.41,0.45,GODHA
2025-06-24,0.54,0.54,0.53,0.54,1.41,0.45,GODHA
2025-06-23,0.51,0.52,0.5,0.52,1.41,0.45,GODHA
2025-06-20,0.49,0.5,0.47,0.5,1.41,0.45,GODHA
2025-06-19,0.51,0.52,0.48,0.48,1.41,0.45,GODHA
2025-06-18,0.52,0.52,0.5,0.51,1.41,0.45,GODHA
2025-06-17,0.48,0.5,0.48,0.5,1.41,0.45,GODHA
2025-06-16,0.48,0.49,0.47,0.48,1.41,0.45,GODHA
2025-06-13,0.47,0.49,0.46,0.48,1.41,0.45,GODHA
2025-06-12,0.48,0.49,0.47,0.47,1.41,0.45,GODHA
2025-06-11,0.51,0.51,0.48,0.48,1.41,0.45,GODHA
2025-06-10,0.5,0.51,0.5,0.5,1.41,0.45,GODHA
2025-06-09,0.5,0.51,0.49,0.5,1.41,0.45,GODHA
2025-06-06,0.49,0.5,0.46,0.49,1.41,0.45,GODHA
2025-06-05,0.47,0.48,0.45,0.48,1.41,0.45,GODHA
2025-06-04,0.49,0.5,0.46,0.46,1.41,0.46,GODHA
2025-06-03,0.53,0.53,0.49,0.49,1.41,0.47,GODHA
2025-06-02,0.52,0.53,0.51,0.52,1.41,0.47,GODHA
2025-05-30,0.51,0.52,0.5,0.51,1.41,0.47,GODHA
2025-05-29,0.51,0.51,0.49,0.5,1.41,0.47,GODHA
2025-05-28,0.49,0.51,0.48,0.5,1.41,0.47,GODHA
2025-05-27,0.5,0.52,0.47,0.49,1.41,0.47,GODHA
2025-05-26,0.55,0.55,0.5,0.5,1.41,0.5,GODHA
2025-05-23,0.51,0.54,0.51,0.53,1.41,0.51,GODHA
2025-05-22,0.57,0.57,0.52,0.52,1.41,0.51,GODHA
2025-05-21,0.53,0.56,0.51,0.55,1.41,0.51,GODHA
2025-05-20,0.54,0.56,0.54,0.54,1.41,0.52,GODHA
2025-05-19,0.57,0.57,0.56,0.57,1.41,0.52,GODHA
2025-05-16,0.53,0.56,0.52,0.55,1.41,0.52,GODHA
2025-05-15,0.56,0.57,0.54,0.54,1.41,0.54,GODHA
2025-05-14,0.6,0.61,0.57,0.57,1.41,0.57,GODHA
2025-05-13,0.66,0.67,0.6,0.6,1.41,0.57,GODHA
2025-05-12,0.65,0.65,0.64,0.64,1.41,0.57,GODHA
2025-05-09,0.57,0.63,0.57,0.62,1.41,0.57,GODHA
2025-05-08,0.65,0.65,0.6,0.6,1.41,0.6,GODHA
2025-05-07,0.65,0.68,0.64,0.64,1.41,0.64,GODHA
2025-05-06,0.73,0.74,0.68,0.68,1.41,0.65,GODHA
2025-05-05,0.75,0.79,0.72,0.72,1.41,0.65,GODHA
2024-11-13,0.91,0.92,0.87,0.87,1.19,0.5,GODHA
2024-11-12,0.93,0.94,0.91,0.91,1.19,0.5,GODHA
2024-11-11,1.05,1.06,0.96,0.96,1.19,0.5,GODHA
2024-11-08,1.02,1.02,1.01,1.02,1.19,0.45,GODHA
2024-11-07,0.97,0.98,0.96,0.98,1.19,0.45,GODHA
2024-11-06,0.92,0.94,0.91,0.94,1.19,0.45,GODHA
2024-11-05,0.89,0.91,0.88,0.9,1.19,0.45,GODHA
2024-11-04,0.91,0.91,0.85,0.87,1.19,0.45,GODHA
2024-11-01,0.88,0.88,0.87,0.88,1.19,0.45,GODHA
2024-10-31,0.81,0.84,0.8,0.84,1.19,0.45,GODHA
2024-10-30,0.8,0.81,0.79,0.8,1.19,0.45,GODHA
2024-10-29,0.79,0.81,0.78,0.79,1.19,0.45,GODHA
2024-10-28,0.8,0.8,0.78,0.79,1.19,0.45,GODHA
2024-10-25,0.82,0.82,0.77,0.78,1.19,0.45,GODHA
2024-10-24,0.83,0.83,0.8,0.81,1.19,0.45,GODHA
2024-10-23,0.81,0.83,0.8,0.82,1.19,0.45,GODHA
2024-10-22,0.84,0.88,0.8,0.8,1.19,0.45,GODHA
2024-10-21,0.85,0.86,0.82,0.84,1.19,0.45,GODHA
2024-10-18,0.84,0.85,0.83,0.84,1.19,0.45,GODHA
2024-10-17,0.84,0.85,0.83,0.84,1.19,0.45,GODHA
2024-10-16,0.85,0.86,0.83,0.84,1.19,0.45,GODHA
