DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,275.0,278.92,274.65,278.22,287.31,197.07,AUTOBEES
2025-10-15,274.3,275.06,273.42,274.51,287.31,197.07,AUTOBEES
2025-10-14,273.94,275.99,271.33,273.35,287.31,197.07,AUTOBEES
2025-10-13,278.44,278.44,272.91,273.94,287.31,197.07,AUTOBEES
2025-10-10,281.62,281.62,272.17,274.74,287.31,197.07,AUTOBEES
2025-10-09,273.0,274.73,270.82,273.42,287.31,197.07,AUTOBEES
2025-10-08,276.65,278.32,272.5,272.88,287.31,197.07,AUTOBEES
2025-10-07,275.8,277.97,272.75,276.65,287.31,197.07,AUTOBEES
2025-10-06,278.42,278.42,273.27,275.8,287.31,197.07,AUTOBEES
2025-10-03,276.78,276.81,272.18,275.26,287.31,197.07,AUTOBEES
2025-10-01,273.94,275.75,271.86,275.41,287.31,197.07,AUTOBEES
2025-09-30,271.99,280.0,270.36,273.94,287.31,197.07,AUTOBEES
2025-09-29,278.54,284.39,270.85,271.24,287.31,197.07,AUTOBEES
2025-09-26,280.0,280.0,271.0,271.75,287.31,197.07,AUTOBEES
2025-09-25,277.2,278.58,274.12,274.63,287.31,197.07,AUTOBEES
2025-09-24,280.91,282.15,276.9,277.52,287.31,197.07,AUTOBEES
2025-09-23,281.97,284.48,280.11,280.9,287.31,197.07,AUTOBEES
2025-09-22,280.99,281.3,278.5,279.25,287.31,197.07,AUTOBEES
2025-09-19,281.18,282.38,279.34,280.35,287.31,197.07,AUTOBEES
2025-09-18,282.67,283.99,279.57,281.18,287.31,197.07,AUTOBEES
2025-09-17,278.85,280.94,278.85,280.72,287.31,197.07,AUTOBEES
2025-09-16,275.42,279.0,274.91,278.85,287.31,197.07,AUTOBEES
2025-09-15,280.0,284.39,275.0,275.41,287.31,197.07,AUTOBEES
2025-09-12,267.5,277.91,267.5,276.41,287.31,197.07,AUTOBEES
2025-09-11,276.0,279.87,273.0,274.36,287.31,197.07,AUTOBEES
2025-09-10,281.43,287.31,275.05,276.12,287.31,197.07,AUTOBEES
2025-09-09,286.85,286.85,277.0,278.94,286.85,197.07,AUTOBEES
2025-09-08,269.49,280.49,269.49,279.86,285.0,197.07,AUTOBEES
2025-09-05,267.49,271.5,259.47,270.96,285.0,197.07,AUTOBEES
2025-09-04,265.49,274.28,265.49,267.49,285.0,197.07,AUTOBEES
