DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,28.2,28.9,28.2,28.82,28.9,19.72,AUTOIETF
2025-11-28,28.42,28.58,28.35,28.55,28.71,19.72,AUTOIETF
2025-11-27,28.62,28.62,28.26,28.36,28.71,19.72,AUTOIETF
2025-11-26,28.25,28.53,28.2,28.48,28.71,19.72,AUTOIETF
2025-11-25,28.29,28.31,28.11,28.19,28.71,19.72,AUTOIETF
2025-11-24,28.35,28.45,28.12,28.2,28.71,19.72,AUTOIETF
2025-11-21,28.34,28.45,28.21,28.27,28.71,19.72,AUTOIETF
2025-11-20,28.27,28.36,28.2,28.28,28.71,19.72,AUTOIETF
2025-11-19,28.09,28.26,28.01,28.18,28.71,19.72,AUTOIETF
2025-11-18,28.42,28.42,28.01,28.08,28.71,19.72,AUTOIETF
2025-11-17,27.98,28.25,27.85,28.18,28.71,19.72,AUTOIETF
2025-11-14,28.24,28.26,27.81,27.98,28.71,19.72,AUTOIETF
2025-11-13,28.35,28.35,27.92,28.1,28.71,19.72,AUTOIETF
2025-11-12,27.99,28.24,27.84,28.2,28.71,19.72,AUTOIETF
2025-11-11,27.7,27.91,27.44,27.87,28.71,19.72,AUTOIETF
2025-11-10,27.68,27.72,27.45,27.57,28.71,19.72,AUTOIETF
2025-11-07,27.34,27.6,27.0,27.53,28.71,19.72,AUTOIETF
2025-11-06,27.49,27.64,27.27,27.34,28.71,19.72,AUTOIETF
2025-11-04,27.72,27.72,27.32,27.35,28.71,19.72,AUTOIETF
2025-11-03,27.65,27.74,27.47,27.6,28.71,19.72,AUTOIETF
2025-10-31,27.6,27.83,27.52,27.55,28.71,19.72,AUTOIETF
2025-10-30,27.75,27.87,27.5,27.54,28.71,19.72,AUTOIETF
2025-10-29,27.86,28.1,27.6,27.75,28.71,19.72,AUTOIETF
2025-10-28,28.16,28.17,27.8,27.86,28.71,19.72,AUTOIETF
2025-10-27,27.9,28.09,27.86,28.03,28.71,19.72,AUTOIETF
2025-10-24,28.42,28.6,27.73,27.8,28.71,19.72,AUTOIETF
2025-10-23,28.06,28.29,27.75,27.91,28.71,19.72,AUTOIETF
2025-10-21,28.24,28.31,27.82,28.01,28.71,19.72,AUTOIETF
2025-10-20,27.09,28.19,27.09,27.9,28.71,19.72,AUTOIETF
2025-10-17,27.84,28.03,27.73,27.93,28.71,19.72,AUTOIETF
2025-10-16,27.6,27.84,27.48,27.77,28.71,19.72,AUTOIETF
2025-10-15,27.48,28.03,27.35,27.47,28.71,19.72,AUTOIETF
2025-10-14,27.41,27.52,26.88,27.35,28.71,19.72,AUTOIETF
