DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,576.0,578.0,561.3,569.65,810.0,545.5,AWFIS
2025-10-15,579.2,583.0,567.15,570.7,810.0,545.5,AWFIS
2025-10-14,591.45,595.0,563.95,575.85,810.0,545.5,AWFIS
2025-10-13,593.0,597.8,584.1,586.9,810.0,545.5,AWFIS
2025-10-10,600.0,604.0,590.1,593.25,810.0,545.5,AWFIS
2025-10-09,603.0,605.9,592.5,597.25,810.0,545.5,AWFIS
2025-10-08,589.0,599.9,584.0,596.45,810.0,545.5,AWFIS
2025-10-07,585.5,590.7,583.45,587.75,810.0,545.5,AWFIS
2025-10-06,592.5,595.25,582.1,585.4,810.0,545.5,AWFIS
2025-10-03,576.1,603.0,572.3,590.1,810.0,545.5,AWFIS
2025-10-01,571.95,576.0,562.15,572.9,810.0,545.5,AWFIS
2025-09-30,571.0,579.0,557.0,569.8,810.0,545.5,AWFIS
2025-09-29,572.3,577.3,564.2,570.0,810.0,545.5,AWFIS
2025-09-26,588.15,591.6,563.3,565.55,810.0,545.5,AWFIS
2025-09-25,590.55,600.0,567.5,586.3,810.0,545.5,AWFIS
2025-09-24,609.8,610.0,585.15,589.3,810.0,545.5,AWFIS
2025-09-23,609.8,609.8,595.3,603.05,810.0,545.5,AWFIS
2025-09-22,621.0,622.4,600.65,603.8,810.0,545.5,AWFIS
2025-09-19,597.0,623.0,588.6,618.5,810.0,545.5,AWFIS
2025-09-18,596.0,596.0,575.35,584.35,810.0,545.5,AWFIS
2025-09-17,575.0,592.5,571.3,590.3,810.0,545.5,AWFIS
2025-09-16,580.0,581.0,568.55,570.8,810.0,545.5,AWFIS
2025-09-15,567.0,579.6,567.0,574.3,810.0,545.5,AWFIS
2025-09-12,574.0,576.35,560.4,565.9,810.0,545.5,AWFIS
2025-09-11,571.0,584.55,568.6,573.55,810.0,545.5,AWFIS
2025-09-10,569.0,579.95,566.6,568.6,810.0,545.5,AWFIS
2025-09-09,574.45,587.45,565.0,572.45,810.0,545.5,AWFIS
2025-09-08,578.65,597.65,566.05,569.9,810.0,545.5,AWFIS
2025-09-05,582.9,582.9,570.3,576.1,825.0,545.5,AWFIS
2025-09-04,578.0,587.05,569.0,580.5,825.0,545.5,AWFIS
2025-09-03,572.3,579.5,567.35,577.7,825.0,545.5,AWFIS
2025-09-02,569.4,575.6,566.5,570.0,825.0,545.5,AWFIS
2025-09-01,567.4,573.35,565.65,566.95,825.0,545.5,AWFIS
2025-08-29,569.95,575.0,561.8,566.65,888.0,545.5,AWFIS
2025-08-28,570.0,576.0,561.3,569.95,888.0,545.5,AWFIS
2025-08-26,587.0,587.0,570.25,575.65,888.0,545.5,AWFIS
2025-08-25,579.6,596.4,578.1,586.9,888.0,545.5,AWFIS
2025-08-22,575.9,579.1,566.0,576.05,946.0,545.5,AWFIS
2025-08-21,587.7,591.0,572.2,574.5,946.0,545.5,AWFIS
2025-08-20,580.0,589.45,575.7,586.0,946.0,545.5,AWFIS
2025-08-19,584.25,590.5,569.9,580.4,946.0,545.5,AWFIS
2025-08-18,570.95,590.4,566.85,581.3,946.0,545.5,AWFIS
2025-08-14,589.1,589.1,557.0,561.05,946.0,545.5,AWFIS
2025-08-13,580.0,592.05,577.15,589.35,946.0,545.5,AWFIS
2025-08-12,619.65,624.0,566.3,574.0,946.0,545.5,AWFIS
2025-08-11,562.8,575.0,555.0,558.55,946.0,545.5,AWFIS
2025-08-08,571.0,581.0,560.0,563.2,946.0,545.5,AWFIS
2025-08-07,569.0,577.4,560.4,563.4,946.0,545.5,AWFIS
2025-08-06,585.1,593.15,568.2,572.0,946.0,545.5,AWFIS
2025-08-05,595.45,598.45,585.1,589.8,946.0,545.5,AWFIS
2025-08-04,590.0,599.1,579.45,595.0,946.0,545.5,AWFIS
2025-08-01,595.0,599.15,581.15,583.05,946.0,545.5,AWFIS
2025-07-31,594.9,604.75,586.1,595.4,946.0,545.5,AWFIS
2025-07-30,602.45,616.7,588.95,592.05,946.0,545.5,AWFIS
2025-07-29,594.0,601.4,582.05,598.1,946.0,545.5,AWFIS
2025-07-28,606.9,606.9,581.6,585.3,946.0,545.5,AWFIS
2025-07-25,611.95,620.0,605.25,607.65,946.0,545.5,AWFIS
2025-07-24,635.3,636.65,609.0,609.95,946.0,545.5,AWFIS
2025-07-23,636.9,637.7,628.0,634.65,946.0,545.5,AWFIS
2025-07-22,647.6,649.2,633.0,635.4,946.0,545.5,AWFIS
2025-07-21,649.65,656.0,642.0,645.1,946.0,545.5,AWFIS
2025-07-18,655.9,659.2,643.0,647.1,946.0,545.5,AWFIS
2025-07-17,649.0,666.1,645.45,656.95,946.0,545.5,AWFIS
2025-07-16,633.9,647.0,630.1,644.35,946.0,545.5,AWFIS
2025-07-15,628.0,645.4,624.45,635.75,946.0,545.5,AWFIS
2025-07-14,640.35,640.35,622.05,624.45,946.0,545.5,AWFIS
2025-07-11,641.9,647.05,629.3,634.0,946.0,521.95,AWFIS
2025-07-10,645.55,653.35,634.05,642.5,946.0,521.95,AWFIS
2025-07-09,615.1,648.9,610.0,645.55,946.0,521.95,AWFIS
2025-07-08,629.9,629.9,608.85,611.0,946.0,521.95,AWFIS
2025-07-07,630.0,633.0,625.55,629.95,946.0,521.95,AWFIS
2025-07-04,616.0,632.65,611.9,629.0,946.0,501.0,AWFIS
2025-07-03,628.0,628.3,608.1,610.5,946.0,501.0,AWFIS
2025-07-02,640.2,641.55,624.9,628.3,946.0,501.0,AWFIS
2025-07-01,641.1,647.8,633.3,639.35,946.0,501.0,AWFIS
2025-06-30,652.4,654.5,632.65,642.65,946.0,501.0,AWFIS
2025-06-27,656.8,656.8,641.75,652.45,946.0,474.7,AWFIS
2025-06-26,645.5,655.0,638.9,651.45,946.0,474.7,AWFIS
2025-06-25,655.0,662.3,640.6,646.45,946.0,474.7,AWFIS
2025-06-24,669.9,671.6,651.05,654.95,946.0,474.7,AWFIS
2025-06-23,651.55,669.2,644.2,664.4,946.0,474.7,AWFIS
2025-06-20,648.7,662.8,642.0,655.75,946.0,473.2,AWFIS
2025-06-19,663.9,663.9,642.6,645.05,946.0,473.2,AWFIS
2025-06-18,665.0,668.9,656.1,661.65,946.0,473.2,AWFIS
2025-06-17,683.1,696.0,650.3,659.9,946.0,473.2,AWFIS
2025-06-16,645.45,685.55,637.2,679.75,946.0,473.2,AWFIS
2025-06-13,645.05,656.65,641.0,643.7,946.0,433.25,AWFIS
2025-06-12,669.9,677.2,655.55,657.75,946.0,433.25,AWFIS
