DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,490.3,501.8,488.2,496.85,902.0,407.95,AWHCL
2025-04-25,513.9,514.15,487.35,496.55,902.0,407.95,AWHCL
2025-04-24,512.0,526.0,509.4,511.0,902.0,407.95,AWHCL
2025-04-23,525.25,525.25,511.0,512.5,902.0,407.95,AWHCL
2025-04-22,520.65,525.25,512.4,514.85,902.0,407.95,AWHCL
2025-04-21,520.05,526.0,508.85,520.65,902.0,407.95,AWHCL
2025-04-17,514.5,524.25,510.3,515.4,902.0,407.95,AWHCL
2025-04-16,528.6,529.0,509.2,514.2,902.0,407.95,AWHCL
2025-04-15,515.7,540.2,508.55,520.8,902.0,407.95,AWHCL
2025-04-11,522.95,522.95,505.0,508.1,902.0,407.95,AWHCL
2025-04-09,510.0,513.4,492.0,499.2,902.0,407.95,AWHCL
2025-04-08,503.05,513.75,499.05,508.6,902.0,407.95,AWHCL
2025-04-07,480.0,502.6,475.0,498.65,902.0,407.95,AWHCL
2025-04-04,540.7,544.2,515.6,521.3,902.0,407.95,AWHCL
2025-04-03,534.45,553.4,534.45,540.7,902.0,407.95,AWHCL
2025-04-02,540.8,553.15,528.45,542.6,902.0,407.95,AWHCL
2025-04-01,534.45,547.5,531.1,540.8,902.0,407.95,AWHCL
2025-03-28,534.35,566.75,530.6,534.45,902.0,407.95,AWHCL
2025-03-27,499.7,529.35,499.7,523.95,902.0,407.95,AWHCL
2025-03-26,515.0,519.0,498.5,499.7,902.0,407.95,AWHCL
2025-03-25,519.9,528.7,505.95,511.25,902.0,407.95,AWHCL
2025-03-24,520.0,533.0,512.0,514.35,902.0,407.95,AWHCL
2025-03-21,516.0,531.0,513.4,517.75,902.0,407.95,AWHCL
2025-03-20,526.25,529.8,515.4,516.7,902.0,407.95,AWHCL
2025-03-19,500.4,522.85,498.9,513.4,902.0,407.95,AWHCL
2025-03-18,492.55,500.45,488.5,496.8,902.0,407.95,AWHCL
2025-03-17,499.55,504.3,485.0,486.45,902.0,407.95,AWHCL
2025-03-13,509.9,510.0,499.2,499.55,902.0,407.95,AWHCL
2025-03-12,507.5,519.4,499.2,500.75,902.0,407.95,AWHCL
2025-03-11,530.0,530.0,503.0,506.95,902.0,407.95,AWHCL
2025-03-10,538.3,551.8,521.8,524.75,902.0,407.95,AWHCL
2025-03-07,539.25,552.0,459.7,538.3,902.0,407.95,AWHCL
2025-03-06,538.0,543.55,528.25,538.15,902.0,407.95,AWHCL
2025-03-05,514.0,538.4,511.0,529.5,902.0,407.95,AWHCL
2025-03-04,516.1,527.05,506.75,509.5,902.0,407.95,AWHCL
2025-03-03,530.95,536.5,513.5,516.1,902.0,407.95,AWHCL
2025-02-28,542.75,542.75,512.35,529.8,902.0,407.95,AWHCL
2025-02-27,552.55,562.75,537.0,542.75,902.0,407.95,AWHCL
2025-02-25,547.75,562.45,547.75,554.65,902.0,407.95,AWHCL
2025-02-24,550.0,559.0,540.1,547.75,902.0,407.95,AWHCL
2025-02-21,559.0,570.15,549.95,552.05,902.0,407.95,AWHCL
2025-02-20,531.7,559.9,531.7,557.05,902.0,407.95,AWHCL
2025-02-19,528.0,547.05,517.05,533.7,902.0,407.95,AWHCL
2025-02-18,533.75,543.6,522.55,529.55,902.0,407.95,AWHCL
2025-02-17,556.0,570.9,522.5,533.75,902.0,407.95,AWHCL
2025-02-14,576.0,590.45,550.0,556.05,902.0,407.95,AWHCL
2025-02-13,577.0,587.15,565.25,569.8,902.0,407.95,AWHCL
2025-02-12,582.3,586.8,553.15,571.5,902.0,407.95,AWHCL
2025-02-11,598.9,610.0,573.0,576.05,902.0,407.95,AWHCL
2025-02-10,609.0,612.75,595.45,598.9,902.0,407.95,AWHCL
2025-02-07,628.65,628.65,601.75,604.7,902.0,407.95,AWHCL
