DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-12-30,640.45,655.2,630.85,639.9,850.0,420.9,AXISCADES
2024-12-27,632.7,658.8,611.8,641.8,850.0,420.9,AXISCADES
2024-12-26,645.05,654.45,624.05,633.45,850.0,420.9,AXISCADES
2024-12-24,594.0,637.5,583.05,628.0,850.0,420.9,AXISCADES
2024-12-23,585.8,597.0,577.0,588.6,850.0,420.9,AXISCADES
2024-12-20,595.6,622.0,580.0,585.8,850.0,420.9,AXISCADES
2024-12-19,581.0,594.9,578.0,592.6,850.0,420.9,AXISCADES
2024-12-18,599.0,602.0,587.0,593.5,850.0,420.9,AXISCADES
2024-12-17,571.8,596.8,565.85,594.45,850.0,420.9,AXISCADES
2024-12-16,575.0,579.3,565.55,568.4,850.0,420.9,AXISCADES
2024-12-13,566.85,571.0,548.05,566.45,850.0,420.9,AXISCADES
2024-12-12,562.35,587.4,555.6,567.05,850.0,420.9,AXISCADES
2024-12-11,564.9,569.5,555.55,561.45,850.0,420.9,AXISCADES
2024-12-10,579.05,582.8,559.7,563.25,850.0,420.9,AXISCADES
2024-12-09,569.0,580.0,556.3,576.5,850.0,420.9,AXISCADES
2024-12-06,515.0,579.0,515.0,549.6,850.0,420.9,AXISCADES
2024-12-05,490.8,510.15,485.0,506.1,850.0,420.9,AXISCADES
2024-12-04,500.15,504.9,482.3,490.8,850.0,420.9,AXISCADES
2024-12-03,469.0,512.0,469.0,500.1,850.0,420.9,AXISCADES
2024-12-02,443.8,495.9,438.5,466.45,850.0,420.9,AXISCADES
2024-11-29,447.6,451.5,440.9,442.8,850.0,420.9,AXISCADES
2024-11-28,448.05,453.3,436.0,445.9,850.0,420.9,AXISCADES
2024-11-27,431.1,452.45,431.1,445.25,850.0,420.9,AXISCADES
2024-11-26,450.45,457.4,420.9,430.2,850.0,420.9,AXISCADES
2024-11-25,459.75,468.3,435.6,449.1,850.0,432.55,AXISCADES
2024-11-22,457.65,462.4,448.05,454.1,850.0,432.55,AXISCADES
2024-11-21,476.3,484.65,449.1,451.55,850.0,432.55,AXISCADES
2024-11-19,482.5,497.45,473.9,476.3,850.0,432.55,AXISCADES
2024-11-18,509.5,511.2,481.05,483.4,850.0,432.55,AXISCADES
2024-11-14,459.0,518.9,455.0,509.1,850.0,432.55,AXISCADES
2024-11-13,468.0,486.0,445.0,452.35,850.0,432.55,AXISCADES
2024-11-12,495.5,507.75,493.0,494.5,850.0,432.55,AXISCADES
2024-11-11,511.7,511.95,490.9,493.25,850.0,432.55,AXISCADES
2024-11-08,515.0,528.0,506.05,519.45,850.0,432.55,AXISCADES
2024-11-07,521.95,529.0,514.25,516.85,850.0,432.55,AXISCADES
2024-11-06,503.4,524.5,503.4,518.55,850.0,432.55,AXISCADES
2024-11-05,500.75,515.0,496.0,509.25,850.0,432.55,AXISCADES
2024-11-04,507.0,510.5,491.5,498.35,850.0,432.55,AXISCADES
2024-11-01,499.1,504.85,487.25,498.75,850.0,432.55,AXISCADES
2024-10-31,492.8,501.6,490.0,497.25,850.0,432.55,AXISCADES
2024-10-30,486.3,501.0,485.45,492.85,850.0,432.55,AXISCADES
2024-10-29,494.0,499.45,482.75,485.15,850.0,432.55,AXISCADES
2024-10-28,485.0,497.9,485.0,492.75,850.0,432.55,AXISCADES
2024-10-25,489.0,494.2,469.25,487.95,850.0,432.55,AXISCADES
2024-10-24,488.65,499.05,484.0,489.7,850.0,432.55,AXISCADES
2024-10-23,479.7,518.8,473.05,486.65,850.0,432.55,AXISCADES
2024-10-22,515.0,515.6,474.0,479.7,850.0,432.55,AXISCADES
2024-10-21,521.9,525.5,507.1,510.3,850.0,432.55,AXISCADES
2024-10-18,520.25,525.45,507.65,520.3,850.0,432.55,AXISCADES
2024-10-17,535.0,535.0,519.15,521.85,850.0,432.55,AXISCADES
2024-10-16,529.6,534.3,524.4,529.75,850.0,432.55,AXISCADES
2024-10-15,526.0,536.8,520.0,533.15,850.0,432.55,AXISCADES
2024-10-14,529.85,536.35,521.0,528.9,850.0,432.55,AXISCADES
2024-10-11,530.0,533.5,516.4,521.85,850.0,432.55,AXISCADES
2024-10-10,534.85,539.75,519.85,523.15,850.0,432.55,AXISCADES
2024-10-09,525.25,540.5,520.0,532.7,850.0,432.55,AXISCADES
2024-10-08,526.4,533.45,515.6,522.15,850.0,432.55,AXISCADES
2024-10-07,555.0,561.8,515.35,524.25,850.0,432.55,AXISCADES
2024-10-04,560.95,572.0,550.0,556.35,850.0,432.55,AXISCADES
2024-10-03,580.0,580.0,555.0,559.2,850.0,432.55,AXISCADES
2024-10-01,598.95,605.0,579.15,581.55,850.0,432.55,AXISCADES
2024-09-30,582.45,599.9,574.1,596.8,850.0,432.55,AXISCADES
2024-09-27,591.0,605.0,576.2,582.45,850.0,432.55,AXISCADES
2024-09-26,584.4,594.0,570.7,589.35,850.0,432.55,AXISCADES
2024-09-25,583.0,594.35,580.3,582.15,850.0,432.55,AXISCADES
2024-09-24,582.0,596.0,574.35,581.55,850.0,432.55,AXISCADES
2024-09-23,566.05,596.75,560.5,581.8,850.0,432.55,AXISCADES
2024-09-20,539.95,568.4,533.45,559.1,850.0,432.55,AXISCADES
2024-09-19,549.95,549.95,525.75,533.4,850.0,432.55,AXISCADES
2024-09-18,550.65,551.95,539.75,540.45,850.0,432.55,AXISCADES
2024-09-17,564.95,564.95,547.9,550.2,850.0,432.55,AXISCADES
2024-09-16,565.0,573.0,555.1,559.8,850.0,432.55,AXISCADES
2024-09-13,560.0,569.8,555.0,557.8,850.0,432.55,AXISCADES
2024-09-12,540.9,561.0,540.05,554.1,850.0,432.55,AXISCADES
2024-09-11,554.2,557.25,534.0,536.35,850.0,432.55,AXISCADES
2024-09-10,556.3,562.4,551.0,552.05,850.0,432.55,AXISCADES
2024-09-09,566.8,566.8,543.1,552.0,850.0,432.55,AXISCADES
2024-09-06,578.15,580.65,565.6,569.1,850.0,432.55,AXISCADES
2024-09-05,576.45,589.8,573.05,578.15,850.0,432.55,AXISCADES
2024-09-04,586.8,602.85,568.5,571.15,850.0,432.55,AXISCADES
2024-09-03,641.0,648.0,575.6,586.25,850.0,432.55,AXISCADES
2024-09-02,644.8,665.0,631.15,662.1,850.0,432.55,AXISCADES
2024-08-30,654.0,673.45,640.0,644.7,850.0,432.55,AXISCADES
2024-08-29,621.0,651.0,619.25,646.85,850.0,432.55,AXISCADES
2024-08-28,654.9,665.0,622.35,624.45,850.0,432.55,AXISCADES
2024-08-27,649.0,658.0,632.85,646.65,850.0,432.55,AXISCADES
2024-08-26,619.0,648.0,618.25,643.5,850.0,432.55,AXISCADES
2024-08-23,605.0,615.0,597.25,611.5,850.0,432.55,AXISCADES
2024-08-22,562.9,590.8,562.0,587.85,850.0,432.55,AXISCADES
2024-08-21,555.15,569.35,548.6,562.9,850.0,432.55,AXISCADES
2024-08-20,540.95,576.8,537.0,552.15,850.0,432.55,AXISCADES
2024-08-19,515.8,546.0,515.8,542.6,850.0,432.55,AXISCADES
2024-08-16,510.95,524.65,508.0,510.85,850.0,432.55,AXISCADES
2024-08-14,520.0,528.85,504.25,505.5,850.0,432.55,AXISCADES
2024-08-13,528.05,532.25,515.9,517.8,850.0,432.55,AXISCADES
2024-08-12,525.0,540.5,520.35,524.85,850.0,432.55,AXISCADES
2024-08-09,529.0,537.95,523.7,530.1,850.0,432.55,AXISCADES
2024-08-08,540.95,544.6,513.5,522.65,850.0,432.55,AXISCADES
2024-08-07,530.95,546.0,521.0,541.8,850.0,432.55,AXISCADES
2024-08-06,505.0,554.95,502.5,508.35,850.0,432.55,AXISCADES
2024-08-05,530.05,545.1,501.8,505.35,850.0,432.55,AXISCADES
2024-08-02,549.0,561.45,548.0,553.75,850.0,432.55,AXISCADES
2024-08-01,565.1,573.75,558.9,561.95,850.0,432.55,AXISCADES
2024-07-31,587.45,587.45,560.55,563.35,850.0,432.55,AXISCADES
2024-07-30,561.0,595.0,560.55,583.25,850.0,432.55,AXISCADES
2024-07-29,572.0,575.05,559.25,562.8,850.0,432.55,AXISCADES
2024-07-26,571.95,578.0,565.0,571.45,850.0,432.55,AXISCADES
2024-07-25,564.95,576.8,560.8,570.1,850.0,432.55,AXISCADES
2024-07-24,556.0,577.2,554.05,569.65,850.0,432.55,AXISCADES
2024-07-23,550.0,568.9,521.0,559.95,850.0,432.55,AXISCADES
2024-07-22,535.0,559.95,524.75,549.3,850.0,432.55,AXISCADES
2024-07-19,559.9,563.9,532.0,534.95,850.0,432.55,AXISCADES
2024-07-18,585.0,585.9,557.2,559.3,850.0,432.55,AXISCADES
2024-07-16,584.0,593.0,578.0,581.95,850.0,432.55,AXISCADES
2024-07-15,579.9,590.9,566.75,580.35,850.0,432.55,AXISCADES
2024-07-12,584.9,602.75,574.0,576.8,850.0,432.55,AXISCADES
2024-07-11,574.25,593.1,574.25,582.35,850.0,432.55,AXISCADES
2024-07-10,593.0,598.5,556.05,571.1,850.0,432.55,AXISCADES
2024-07-09,616.0,621.7,586.9,592.35,850.0,432.55,AXISCADES
2024-07-08,615.75,631.55,610.05,615.4,850.0,432.55,AXISCADES
2024-07-05,584.8,632.0,576.95,611.95,850.0,432.55,AXISCADES
2024-07-04,596.65,599.65,580.7,584.8,850.0,432.55,AXISCADES
2024-07-03,581.95,599.05,581.95,594.25,850.0,432.55,AXISCADES
2024-07-02,598.8,603.45,565.5,581.05,850.0,432.55,AXISCADES
2024-07-01,525.75,605.0,518.05,596.0,850.0,432.55,AXISCADES
2024-06-28,533.85,538.2,519.05,523.25,850.0,432.55,AXISCADES
2024-06-27,550.95,553.75,525.0,530.2,850.0,432.55,AXISCADES
2024-06-26,556.0,575.7,546.0,549.3,850.0,432.55,AXISCADES
2024-06-25,569.95,580.0,549.05,554.55,850.0,432.55,AXISCADES
2024-06-24,573.05,583.95,557.5,567.45,850.0,432.55,AXISCADES
2024-06-21,585.45,593.75,573.35,575.5,850.0,391.35,AXISCADES
2024-06-20,599.9,606.95,574.8,582.35,850.0,391.35,AXISCADES
2024-06-19,622.2,622.7,582.2,599.5,850.0,391.35,AXISCADES
2024-06-18,533.4,626.0,532.0,617.55,850.0,391.35,AXISCADES
2024-06-14,480.0,538.9,479.45,527.35,850.0,357.25,AXISCADES
2024-06-13,484.95,496.2,475.05,479.15,850.0,357.25,AXISCADES
2024-06-12,498.0,504.3,477.0,478.9,850.0,357.25,AXISCADES
2024-06-11,508.5,510.0,485.75,495.4,850.0,357.25,AXISCADES
2024-06-10,489.0,534.0,489.0,496.6,850.0,357.25,AXISCADES
2024-06-07,470.4,484.5,463.55,478.65,850.0,357.25,AXISCADES
2024-06-06,465.3,494.55,463.8,467.15,850.0,357.25,AXISCADES
2024-06-05,476.2,476.2,432.55,458.0,850.0,357.25,AXISCADES
2024-06-04,504.5,508.0,440.45,450.05,850.0,357.25,AXISCADES
2024-06-03,514.0,530.0,495.0,500.5,850.0,357.25,AXISCADES
2024-05-31,491.95,494.4,474.2,476.4,850.0,346.05,AXISCADES
2024-05-30,504.45,508.8,484.2,487.15,850.0,346.05,AXISCADES
2024-05-29,510.0,518.75,499.4,502.2,850.0,346.05,AXISCADES
2024-05-28,517.0,538.85,507.15,512.15,850.0,346.05,AXISCADES
2024-05-27,527.7,527.7,502.55,506.15,850.0,346.05,AXISCADES
2024-05-24,525.65,525.65,509.0,511.7,850.0,346.05,AXISCADES
2024-05-23,507.0,530.0,507.0,520.7,850.0,346.05,AXISCADES
2024-05-22,539.85,545.0,501.0,505.05,850.0,346.05,AXISCADES
2024-05-21,605.0,605.0,537.45,539.85,850.0,346.05,AXISCADES
2024-05-18,609.95,617.0,600.0,609.9,850.0,314.2,AXISCADES
2024-05-17,607.1,615.0,599.0,602.15,850.0,314.2,AXISCADES
2024-05-16,610.05,620.0,599.55,603.75,850.0,314.2,AXISCADES
2024-05-15,600.2,619.95,600.2,608.55,850.0,314.2,AXISCADES
2024-05-14,590.95,604.0,590.95,594.25,850.0,314.2,AXISCADES
2024-05-13,613.8,619.85,575.1,585.2,850.0,314.2,AXISCADES
2024-05-10,598.0,620.0,598.0,612.25,850.0,314.2,AXISCADES
2024-05-09,627.25,633.25,589.2,598.6,850.0,314.2,AXISCADES
2024-05-08,617.0,636.4,604.35,622.85,850.0,314.2,AXISCADES
2024-05-07,641.3,646.95,609.25,617.35,850.0,314.2,AXISCADES
2024-05-06,666.0,668.5,638.0,641.3,850.0,314.2,AXISCADES
2024-05-03,669.0,674.95,650.1,661.6,850.0,301.0,AXISCADES
2024-05-02,640.35,666.0,640.0,661.8,850.0,301.0,AXISCADES
2024-04-30,662.15,684.85,631.0,634.95,850.0,301.0,AXISCADES
2024-04-29,638.5,660.0,636.3,655.55,850.0,301.0,AXISCADES
2024-04-26,628.8,652.95,627.95,635.95,850.0,295.1,AXISCADES
2024-04-25,620.45,649.75,619.0,626.15,850.0,295.1,AXISCADES
2024-04-24,629.45,641.45,618.8,620.45,850.0,295.1,AXISCADES
2024-04-23,626.5,633.25,619.95,624.35,850.0,295.1,AXISCADES
2024-04-22,615.0,631.9,612.95,624.85,850.0,295.1,AXISCADES
2024-04-19,618.55,620.0,600.7,613.55,850.0,290.6,AXISCADES
2024-04-18,625.0,655.0,619.0,624.8,850.0,290.6,AXISCADES
2024-04-16,593.8,629.9,589.15,624.2,850.0,290.6,AXISCADES
2024-04-15,600.25,605.2,573.55,594.65,850.0,290.6,AXISCADES
2024-04-12,616.35,624.65,605.0,606.35,850.0,288.2,AXISCADES
2024-04-10,618.55,624.9,601.95,613.2,850.0,288.2,AXISCADES
2024-04-09,635.0,643.5,612.0,615.4,850.0,288.2,AXISCADES
2024-04-08,640.0,646.9,628.0,629.8,850.0,288.2,AXISCADES
2024-04-05,635.0,648.25,628.5,641.55,850.0,275.0,AXISCADES
2024-04-04,635.1,652.0,626.55,633.9,850.0,275.0,AXISCADES
2024-04-03,631.6,644.4,628.2,634.15,850.0,275.0,AXISCADES
2024-04-02,628.15,644.15,619.6,635.4,850.0,275.0,AXISCADES
2024-04-01,555.0,663.75,555.0,622.85,850.0,275.0,AXISCADES
2024-03-28,547.0,567.0,547.0,553.15,850.0,248.05,AXISCADES
2024-03-27,550.0,562.45,541.0,546.1,850.0,248.05,AXISCADES
2024-03-26,566.0,571.7,536.6,544.55,850.0,248.05,AXISCADES
2024-03-22,577.5,584.2,563.5,566.3,850.0,248.05,AXISCADES
2024-03-21,568.3,594.55,568.25,577.5,850.0,248.05,AXISCADES
2024-03-20,568.05,587.95,564.05,567.25,850.0,248.05,AXISCADES
2024-03-19,572.0,590.1,559.9,563.25,850.0,248.05,AXISCADES
2024-03-18,560.0,583.95,543.75,577.15,850.0,248.05,AXISCADES
2024-03-15,536.05,567.95,515.05,561.7,850.0,248.05,AXISCADES
2024-03-14,503.85,557.0,501.75,536.5,850.0,248.05,AXISCADES
2024-03-13,570.0,573.45,499.95,504.8,850.0,248.05,AXISCADES
2024-03-12,591.0,591.0,562.5,566.1,850.0,248.05,AXISCADES
2024-03-11,620.0,621.4,586.1,591.1,850.0,248.05,AXISCADES
2024-03-07,630.2,643.15,613.0,619.6,850.0,248.05,AXISCADES
2024-03-06,640.0,646.75,615.55,627.0,850.0,248.05,AXISCADES
2024-03-05,650.0,650.55,628.1,640.55,850.0,248.05,AXISCADES
2024-03-04,657.4,665.95,640.25,645.15,850.0,248.05,AXISCADES
2024-03-02,671.0,671.85,646.0,657.4,850.0,248.05,AXISCADES
2024-03-01,633.0,664.95,633.0,658.65,850.0,248.05,AXISCADES
2024-02-29,654.95,664.0,630.4,639.25,850.0,248.05,AXISCADES
2024-02-28,676.1,679.75,647.45,651.6,850.0,248.05,AXISCADES
2024-02-27,696.4,700.35,671.0,676.1,850.0,248.05,AXISCADES
2024-02-26,677.85,734.0,676.0,694.5,850.0,248.05,AXISCADES
2024-02-23,678.55,687.9,670.4,674.4,850.0,248.05,AXISCADES
2024-02-22,683.5,694.9,665.05,675.15,850.0,248.05,AXISCADES
2024-02-21,695.0,700.85,673.0,683.5,850.0,248.05,AXISCADES
2024-02-20,695.0,705.0,691.0,697.8,850.0,248.05,AXISCADES
2024-02-19,720.85,730.0,685.0,687.3,850.0,248.05,AXISCADES
2024-02-16,733.5,764.4,713.65,717.25,850.0,248.05,AXISCADES
2024-02-15,701.05,751.95,681.35,722.65,850.0,248.05,AXISCADES
2024-02-14,715.1,737.8,710.85,720.45,850.0,248.05,AXISCADES
2024-02-13,754.65,763.9,709.55,728.15,850.0,248.05,AXISCADES
2024-02-12,776.75,781.7,741.9,756.15,850.0,248.05,AXISCADES
2024-02-09,780.75,793.65,767.05,776.75,850.0,248.05,AXISCADES
2024-02-08,784.9,802.6,771.05,780.45,850.0,248.05,AXISCADES
2024-02-07,786.0,796.0,763.5,774.0,850.0,248.05,AXISCADES
2024-02-06,770.25,790.0,757.55,770.95,850.0,248.05,AXISCADES
2024-02-05,788.2,800.95,760.0,770.25,850.0,248.05,AXISCADES
2024-02-02,800.0,850.0,775.1,784.3,850.0,248.05,AXISCADES
2024-02-01,798.95,807.6,791.25,794.45,850.0,248.05,AXISCADES
2024-01-31,804.0,807.0,793.0,798.45,850.0,248.05,AXISCADES
2024-01-30,802.0,814.7,797.0,800.35,850.0,248.05,AXISCADES
2024-01-29,803.05,819.7,786.0,799.4,850.0,248.05,AXISCADES
2024-01-25,805.9,819.7,784.65,798.2,850.0,248.05,AXISCADES
2024-01-24,805.0,821.2,795.0,801.1,850.0,248.05,AXISCADES
2024-01-23,801.9,818.0,792.2,804.7,850.0,248.05,AXISCADES
2024-01-20,812.1,822.95,799.55,801.9,850.0,248.05,AXISCADES
2024-01-19,833.0,833.0,802.35,810.45,850.0,248.05,AXISCADES
2024-01-18,795.1,838.9,775.05,826.7,850.0,248.05,AXISCADES
2024-01-17,792.0,832.05,773.05,803.15,850.0,248.05,AXISCADES
2024-01-16,787.85,799.0,772.0,792.75,850.0,248.05,AXISCADES
2024-01-15,807.9,807.95,768.5,783.2,850.0,248.05,AXISCADES
2024-01-12,810.0,821.6,783.0,799.65,850.0,248.05,AXISCADES
2024-01-11,800.2,850.0,790.0,809.25,850.0,248.05,AXISCADES
2024-01-10,760.0,783.95,745.0,773.55,793.75,248.05,AXISCADES
2024-01-09,735.0,765.0,730.1,748.3,793.75,248.05,AXISCADES
2024-01-08,727.8,748.0,718.3,731.65,793.75,248.05,AXISCADES
2024-01-05,718.0,793.75,710.0,728.3,793.75,248.05,AXISCADES
2024-01-04,759.85,759.85,710.3,721.7,759.85,248.05,AXISCADES
2024-01-03,707.95,747.25,692.5,747.25,747.25,248.05,AXISCADES
2024-01-02,670.0,699.4,642.05,679.35,699.4,248.05,AXISCADES
2024-01-01,642.25,670.0,642.25,663.95,691.65,248.05,AXISCADES
2023-12-29,660.0,670.0,622.05,637.45,691.65,248.05,AXISCADES
2023-12-28,668.0,690.0,660.1,663.9,691.65,248.05,AXISCADES
2023-12-27,678.75,688.4,662.0,666.85,691.65,248.05,AXISCADES
2023-12-26,690.05,691.65,662.0,675.45,691.65,248.05,AXISCADES
2023-12-22,615.4,675.0,615.4,675.0,675.0,248.05,AXISCADES
2023-12-21,587.7,623.0,581.15,613.65,650.0,248.05,AXISCADES
2023-12-20,630.0,636.95,587.05,601.3,650.0,248.05,AXISCADES
2023-12-19,618.0,642.0,614.55,624.7,650.0,248.05,AXISCADES
2023-12-18,610.0,619.95,602.55,614.55,650.0,248.05,AXISCADES
2023-12-15,600.0,615.0,593.95,608.85,650.0,248.05,AXISCADES
2023-12-14,589.95,600.65,578.0,594.25,650.0,248.05,AXISCADES
2023-12-13,589.95,600.0,575.0,579.5,650.0,248.05,AXISCADES
2023-12-12,622.0,628.0,580.0,586.25,650.0,248.05,AXISCADES
2023-12-11,615.0,641.0,606.6,619.5,650.0,248.05,AXISCADES
2023-12-08,628.0,650.0,608.0,610.6,650.0,248.05,AXISCADES
2023-12-07,584.95,618.75,564.5,618.75,618.75,248.05,AXISCADES
2023-12-06,550.0,562.5,538.0,562.5,608.4,248.05,AXISCADES
2023-12-05,550.0,555.0,531.15,535.75,608.4,248.05,AXISCADES
2023-12-04,555.0,558.3,549.05,550.65,608.4,248.05,AXISCADES
2023-12-01,551.0,559.0,549.4,552.45,608.4,248.05,AXISCADES
2023-11-30,556.0,559.05,540.7,544.4,608.4,248.05,AXISCADES
2023-11-29,552.6,561.95,545.4,549.3,608.4,248.05,AXISCADES
2023-11-28,550.0,564.5,547.2,550.55,608.4,248.05,AXISCADES
2023-11-24,565.0,576.0,556.6,561.05,608.4,248.05,AXISCADES
2023-11-23,588.05,608.4,564.95,566.05,608.4,248.05,AXISCADES
2023-11-22,562.0,586.35,559.05,586.1,603.25,248.05,AXISCADES
2023-11-21,565.0,565.05,554.0,558.45,603.25,248.05,AXISCADES
2023-11-20,560.95,561.0,541.2,557.45,603.25,248.05,AXISCADES
