DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,88.5,90.7,87.01,87.13,90.7,66.4,AXSENSEX
2025-10-21,87.38,89.19,87.37,88.17,90.0,66.4,AXSENSEX
2025-10-20,87.38,87.9,86.44,87.35,90.0,66.4,AXSENSEX
2025-10-17,85.75,86.55,85.75,86.44,90.0,66.4,AXSENSEX
2025-10-16,83.65,86.0,83.65,85.75,90.0,66.4,AXSENSEX
2025-10-15,84.83,85.68,84.5,84.79,90.0,66.4,AXSENSEX
2025-10-14,86.88,86.88,83.5,84.82,90.0,66.4,AXSENSEX
2025-10-13,84.01,85.45,84.0,84.77,90.0,66.4,AXSENSEX
2025-10-10,84.73,84.94,84.65,84.65,90.0,66.4,AXSENSEX
2025-10-09,84.26,84.51,83.65,84.31,90.0,66.4,AXSENSEX
2025-10-08,82.74,84.98,82.74,84.27,90.0,66.4,AXSENSEX
2025-10-07,84.19,84.51,84.02,84.05,90.0,66.4,AXSENSEX
2025-10-06,84.06,85.0,83.39,83.94,90.0,66.4,AXSENSEX
2025-10-03,82.02,84.9,82.02,83.65,98.0,66.4,AXSENSEX
2025-10-01,84.1,84.1,82.72,83.43,98.0,66.4,AXSENSEX
2025-09-30,83.27,83.27,82.5,82.72,98.0,66.4,AXSENSEX
2025-09-29,83.23,83.23,82.8,82.88,98.0,66.4,AXSENSEX
2025-09-26,83.66,83.66,82.8,82.95,98.0,66.4,AXSENSEX
2025-09-25,84.2,84.2,83.48,83.63,98.0,66.4,AXSENSEX
2025-09-24,84.33,84.43,84.09,84.09,98.0,66.4,AXSENSEX
2025-09-23,84.6,84.94,83.69,84.56,98.0,66.4,AXSENSEX
2025-09-22,85.1,85.1,84.26,84.37,98.0,66.4,AXSENSEX
2025-09-19,85.2,85.2,84.92,85.1,98.0,66.4,AXSENSEX
2025-09-18,85.22,85.45,85.03,85.45,98.0,66.4,AXSENSEX
2025-09-17,84.24,85.14,84.24,84.8,98.0,66.4,AXSENSEX
2025-09-16,84.5,84.87,83.23,84.24,98.0,66.4,AXSENSEX
2025-09-15,84.15,84.15,83.79,84.13,98.0,66.4,AXSENSEX
2025-09-12,84.12,84.48,84.12,84.15,98.0,66.4,AXSENSEX
2025-09-11,83.59,83.85,83.54,83.68,98.0,66.4,AXSENSEX
2025-09-10,83.92,83.92,83.5,83.56,98.0,66.4,AXSENSEX
2025-09-09,83.37,83.37,83.1,83.36,98.0,66.4,AXSENSEX
2025-09-08,82.96,83.6,82.96,83.32,98.0,66.4,AXSENSEX
2025-09-05,83.0,83.35,82.48,82.96,98.0,66.4,AXSENSEX
2025-09-04,83.26,83.57,82.89,83.0,98.0,66.4,AXSENSEX
2025-09-03,84.3,84.3,82.19,82.81,98.0,66.4,AXSENSEX
2025-09-02,82.88,83.23,82.34,83.17,98.0,66.4,AXSENSEX
2025-09-01,82.26,82.81,82.21,82.81,98.0,66.4,AXSENSEX
2025-08-29,82.61,82.74,82.0,82.0,98.0,66.4,AXSENSEX
2025-08-28,83.23,83.23,81.99,82.51,98.0,66.4,AXSENSEX
2025-08-26,84.63,84.63,83.2,83.25,98.0,66.4,AXSENSEX
2025-08-25,84.21,84.51,83.65,84.21,98.0,66.4,AXSENSEX
2025-08-22,83.69,84.2,83.65,83.8,98.0,66.4,AXSENSEX
2025-08-21,82.3,84.54,82.3,84.11,98.0,66.4,AXSENSEX
2025-08-20,84.2,84.2,83.71,83.75,98.0,66.4,AXSENSEX
2025-08-19,83.9,84.0,83.59,83.79,98.0,66.4,AXSENSEX
2025-08-18,83.81,84.18,83.36,83.64,98.0,66.4,AXSENSEX
2025-08-14,83.0,83.0,82.66,82.94,98.0,66.4,AXSENSEX
2025-08-13,82.85,82.85,82.47,82.78,98.0,66.4,AXSENSEX
2025-08-12,82.92,82.92,82.47,82.54,98.0,66.4,AXSENSEX
2025-08-11,82.36,82.52,82.05,82.51,98.0,66.4,AXSENSEX
2025-08-08,82.57,82.89,81.2,82.18,98.0,66.4,AXSENSEX
2025-08-07,82.57,82.7,82.22,82.57,98.0,66.4,AXSENSEX
2025-08-06,83.17,83.17,82.41,82.87,98.0,66.4,AXSENSEX
2025-08-05,82.98,83.16,82.68,83.08,98.0,66.4,AXSENSEX
2025-08-04,82.97,83.31,82.7,83.31,98.0,66.4,AXSENSEX
2025-08-01,84.38,84.38,82.28,82.56,98.0,66.4,AXSENSEX
2025-07-31,83.31,83.93,82.99,83.48,98.0,66.4,AXSENSEX
2025-07-30,83.33,83.95,83.33,83.78,98.0,66.4,AXSENSEX
2025-07-29,83.3,83.4,82.62,83.29,98.0,66.4,AXSENSEX
2025-07-28,83.31,84.08,82.89,83.22,98.0,66.4,AXSENSEX
2025-07-25,84.81,85.28,83.17,83.31,98.0,66.4,AXSENSEX
2025-07-24,84.9,84.9,84.09,84.39,98.0,66.4,AXSENSEX
2025-07-23,84.39,84.81,84.39,84.78,98.0,66.4,AXSENSEX
2025-07-22,83.89,85.0,83.89,84.39,98.0,66.4,AXSENSEX
2025-07-21,83.49,84.78,83.49,84.31,98.0,66.4,AXSENSEX
2025-07-18,84.43,84.44,83.74,83.9,98.0,66.4,AXSENSEX
2025-07-17,84.91,84.91,84.37,84.37,98.0,66.4,AXSENSEX
2025-07-16,84.78,84.8,84.4,84.59,98.0,66.4,AXSENSEX
2025-07-15,84.67,84.81,84.4,84.49,98.0,66.4,AXSENSEX
2025-07-14,86.0,86.0,83.0,84.25,98.0,66.4,AXSENSEX
2025-07-11,85.48,86.1,84.39,84.47,98.0,66.4,AXSENSEX
2025-07-10,85.58,85.58,85.24,85.33,98.0,66.4,AXSENSEX
2025-07-09,85.66,85.93,85.3,85.7,98.0,66.4,AXSENSEX
2025-07-08,86.06,86.06,85.46,85.66,98.0,66.4,AXSENSEX
2025-07-07,86.8,86.8,85.2,85.58,98.0,66.4,AXSENSEX
2025-07-04,83.59,86.1,83.59,85.13,98.0,66.4,AXSENSEX
2025-07-03,86.28,86.28,85.29,85.3,98.0,66.4,AXSENSEX
