DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,6.58,6.85,6.55,6.81,12.2,5.31,BAGFILMS
2025-11-13,6.56,6.75,6.55,6.58,12.2,5.31,BAGFILMS
2025-11-12,6.66,6.83,6.55,6.61,12.2,5.31,BAGFILMS
2025-11-11,6.55,6.79,6.55,6.66,12.2,5.31,BAGFILMS
2025-11-10,6.68,6.8,6.6,6.65,12.2,5.31,BAGFILMS
2025-11-07,6.63,6.79,6.6,6.75,12.2,5.31,BAGFILMS
2025-11-06,6.82,7.08,6.62,6.75,12.2,5.31,BAGFILMS
2025-11-04,6.91,7.08,6.91,6.92,12.2,5.31,BAGFILMS
2025-11-03,7.0,7.26,6.86,6.99,12.2,5.31,BAGFILMS
2025-10-31,7.15,7.27,6.95,7.0,12.2,5.31,BAGFILMS
2025-10-30,7.16,7.24,7.0,7.02,12.2,5.31,BAGFILMS
2025-10-29,7.26,7.5,7.0,7.17,12.2,5.31,BAGFILMS
2025-10-28,7.2,7.4,6.95,7.08,12.2,5.31,BAGFILMS
2025-10-27,7.5,7.58,7.16,7.27,12.2,5.31,BAGFILMS
2025-10-24,7.94,7.94,7.26,7.45,12.2,5.31,BAGFILMS
2025-10-23,6.94,8.0,6.8,7.74,12.2,5.31,BAGFILMS
2025-10-21,6.71,6.96,6.66,6.86,12.2,5.31,BAGFILMS
2025-10-20,6.81,6.98,6.62,6.71,12.2,5.31,BAGFILMS
2025-10-17,6.73,6.97,6.67,6.81,12.95,5.31,BAGFILMS
2025-10-16,6.77,6.96,6.69,6.87,12.95,5.31,BAGFILMS
2025-10-15,6.89,6.98,6.51,6.69,12.95,5.31,BAGFILMS
2025-10-14,6.85,7.1,6.85,6.89,12.95,5.31,BAGFILMS
2025-10-13,7.0,7.08,6.93,6.97,12.95,5.31,BAGFILMS
2025-10-10,7.02,7.17,7.0,7.05,13.24,5.31,BAGFILMS
2025-10-09,7.15,7.23,7.02,7.08,13.24,5.31,BAGFILMS
2025-10-08,7.29,7.66,7.01,7.23,13.24,5.31,BAGFILMS
2025-10-07,7.03,7.18,7.01,7.05,13.24,5.31,BAGFILMS
2025-10-06,7.01,7.27,7.01,7.11,13.24,5.31,BAGFILMS
2025-10-03,7.14,7.14,6.93,7.07,13.99,5.31,BAGFILMS
2025-10-01,6.96,7.1,6.75,7.02,13.99,5.31,BAGFILMS
2025-09-30,6.62,6.9,6.62,6.87,13.99,5.31,BAGFILMS
2025-09-29,6.87,6.87,6.62,6.8,13.99,5.31,BAGFILMS
2025-09-26,6.79,6.95,6.63,6.66,13.99,5.31,BAGFILMS
2025-09-25,6.92,7.14,6.67,6.78,13.99,5.31,BAGFILMS
2025-09-24,6.88,7.1,6.71,6.97,13.99,5.31,BAGFILMS
2025-09-23,6.94,6.99,6.56,6.77,13.99,5.31,BAGFILMS
2025-09-22,6.86,7.1,6.5,6.88,13.99,5.31,BAGFILMS
2025-09-19,7.22,7.22,6.94,7.08,13.99,5.31,BAGFILMS
2025-09-18,7.38,7.5,7.01,7.1,13.99,5.31,BAGFILMS
2025-09-17,6.96,7.18,6.56,7.18,13.99,5.31,BAGFILMS
2025-09-16,6.43,6.57,6.3,6.53,13.99,5.31,BAGFILMS
2025-09-15,6.37,6.54,6.2,6.3,13.99,5.31,BAGFILMS
2025-09-12,6.36,6.44,6.31,6.37,13.99,5.31,BAGFILMS
2025-09-11,6.49,6.55,6.34,6.35,13.99,5.31,BAGFILMS
2025-09-10,6.52,6.55,6.34,6.42,13.99,5.31,BAGFILMS
2025-09-09,6.32,6.59,6.32,6.51,13.99,5.31,BAGFILMS
2025-09-08,6.36,6.53,6.3,6.35,13.99,5.31,BAGFILMS
2025-09-05,6.53,6.6,6.28,6.35,13.99,5.31,BAGFILMS
2025-09-04,6.5,6.7,6.5,6.53,13.99,5.31,BAGFILMS
2025-09-03,6.56,6.58,6.42,6.51,13.99,5.31,BAGFILMS
2025-09-02,6.59,6.62,6.42,6.47,13.99,5.31,BAGFILMS
2025-09-01,6.31,6.75,6.18,6.4,13.99,5.31,BAGFILMS
2025-08-29,6.32,6.44,6.3,6.31,13.99,5.31,BAGFILMS
2025-08-28,6.22,6.49,6.22,6.32,13.99,5.31,BAGFILMS
