DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,187.54,188.99,181.36,184.18,307.8,146.41,BAJEL
2025-11-07,187.9,189.95,180.0,187.54,307.8,146.41,BAJEL
2025-11-06,188.25,189.96,183.0,187.9,307.8,146.41,BAJEL
2025-11-04,189.44,191.1,184.55,185.41,307.8,146.41,BAJEL
2025-11-03,192.88,193.01,188.0,188.42,307.8,146.41,BAJEL
2025-10-31,191.95,196.4,190.11,191.39,307.8,146.41,BAJEL
2025-10-30,190.25,193.63,190.25,191.45,307.8,146.41,BAJEL
2025-10-29,191.55,193.0,190.0,190.92,307.8,146.41,BAJEL
2025-10-28,194.65,194.93,190.6,191.5,307.8,146.41,BAJEL
2025-10-27,191.78,194.7,189.75,193.72,307.8,146.41,BAJEL
2025-10-24,191.7,193.24,189.0,190.35,307.8,146.41,BAJEL
2025-10-23,195.0,195.0,191.0,191.69,307.8,146.41,BAJEL
2025-10-21,191.9,195.8,191.56,193.28,307.8,146.41,BAJEL
2025-10-20,191.7,193.41,188.12,190.6,307.8,146.41,BAJEL
2025-10-17,196.0,196.65,184.92,190.38,307.8,146.41,BAJEL
2025-10-16,196.6,199.9,195.86,196.41,307.8,146.41,BAJEL
2025-10-15,196.69,196.98,195.1,195.52,307.8,146.41,BAJEL
2025-10-14,198.45,199.36,193.52,196.33,307.8,146.41,BAJEL
2025-10-13,199.1,199.61,196.09,197.48,307.8,146.41,BAJEL
2025-10-10,199.74,203.7,199.02,199.58,307.8,146.41,BAJEL
2025-10-09,199.99,202.0,197.01,198.93,307.8,146.41,BAJEL
2025-10-08,203.99,206.36,198.6,199.29,307.8,146.41,BAJEL
2025-10-07,206.24,206.8,201.02,201.86,307.8,146.41,BAJEL
2025-10-06,213.0,219.64,204.66,205.87,307.8,146.41,BAJEL
2025-10-03,207.9,210.09,205.43,209.19,307.8,146.41,BAJEL
2025-10-01,206.0,208.7,202.5,207.15,307.8,146.41,BAJEL
2025-09-30,205.0,207.14,201.45,202.93,307.8,146.41,BAJEL
2025-09-29,205.7,205.92,200.0,204.18,307.8,146.41,BAJEL
2025-09-26,213.82,214.77,202.54,202.54,307.8,146.41,BAJEL
2025-09-25,213.75,218.53,212.0,213.2,307.8,146.41,BAJEL
2025-09-24,214.0,216.9,210.53,212.12,307.8,146.41,BAJEL
2025-09-23,216.0,217.89,212.7,213.41,307.8,146.41,BAJEL
2025-09-22,224.52,224.52,214.5,215.85,307.8,146.41,BAJEL
2025-09-19,216.0,226.69,214.22,224.57,307.8,146.41,BAJEL
2025-09-18,215.2,220.04,215.0,215.9,307.8,146.41,BAJEL
2025-09-17,222.0,222.4,212.1,214.4,307.8,146.41,BAJEL
2025-09-16,218.0,223.82,209.51,218.3,307.8,146.41,BAJEL
2025-09-15,213.17,213.17,213.17,213.17,307.8,146.41,BAJEL
2025-09-12,197.95,203.02,194.44,203.02,307.8,146.41,BAJEL
2025-09-11,195.69,204.72,185.55,193.36,307.8,146.41,BAJEL
2025-09-10,196.1,198.5,193.51,194.98,307.8,146.41,BAJEL
2025-09-09,200.25,203.94,196.0,197.25,307.8,146.41,BAJEL
2025-06-16,217.2,220.91,213.86,218.95,330.0,146.41,BAJEL
2025-06-13,219.0,221.9,212.99,217.19,330.0,146.41,BAJEL
2025-06-12,226.32,232.9,220.0,222.76,330.0,146.41,BAJEL
2025-06-11,226.15,228.97,224.0,226.45,330.0,146.41,BAJEL
2025-06-10,224.8,234.49,223.28,225.2,330.0,146.41,BAJEL
2025-06-09,216.0,227.59,216.0,222.65,330.0,146.41,BAJEL
2025-06-06,217.2,218.57,212.41,215.56,330.0,146.41,BAJEL
2025-06-05,213.55,222.84,213.55,216.27,330.0,146.41,BAJEL
2025-06-04,214.2,215.47,210.51,214.98,330.0,146.41,BAJEL
2025-06-03,217.24,218.82,211.11,215.15,330.0,146.41,BAJEL
2025-06-02,212.03,218.5,212.03,216.7,330.0,146.41,BAJEL
2025-05-30,214.6,214.6,210.02,211.88,330.0,146.41,BAJEL
2025-05-29,213.85,215.54,211.0,214.6,330.0,146.41,BAJEL
2025-05-28,212.65,218.85,210.6,212.89,330.0,146.41,BAJEL
2025-05-27,215.0,215.0,210.5,212.54,330.0,146.41,BAJEL
2025-05-26,212.49,215.46,211.02,212.31,330.0,146.41,BAJEL
2025-05-23,212.36,214.96,204.41,208.95,330.0,146.41,BAJEL
2025-05-22,220.0,224.0,201.0,212.09,330.0,146.41,BAJEL
2025-05-21,204.75,225.8,200.0,222.85,330.0,146.41,BAJEL
2025-05-20,206.98,208.56,202.35,204.03,330.0,146.41,BAJEL
2025-05-19,204.55,208.0,201.0,205.03,330.0,146.41,BAJEL
2025-05-16,200.0,208.5,197.0,205.2,330.0,146.41,BAJEL
2025-05-15,197.2,202.6,195.01,199.21,330.0,146.41,BAJEL
2025-05-14,177.77,200.0,175.49,194.19,330.0,146.41,BAJEL
2025-05-13,171.2,177.21,171.2,176.01,330.0,146.41,BAJEL
2025-05-12,168.95,174.0,166.05,172.9,330.0,146.41,BAJEL
2025-05-09,160.32,163.99,160.01,163.11,330.0,146.41,BAJEL
2025-05-08,171.3,173.64,159.8,163.12,330.0,146.41,BAJEL
2025-05-07,159.48,179.17,159.48,171.36,330.0,146.41,BAJEL
2025-05-06,173.7,173.7,163.8,164.59,330.0,146.41,BAJEL
2025-05-05,168.0,173.19,166.81,172.64,330.0,146.41,BAJEL
2025-05-02,170.01,172.74,168.15,168.89,330.0,146.41,BAJEL
2025-04-30,179.2,179.2,169.95,171.51,330.0,146.41,BAJEL
2025-04-29,177.95,180.85,174.5,178.92,330.0,146.41,BAJEL
2025-04-28,173.9,177.94,173.9,176.49,330.0,146.41,BAJEL
2025-04-25,182.05,182.64,173.66,175.65,330.0,146.41,BAJEL
2025-04-24,179.9,183.99,178.71,182.05,330.0,146.41,BAJEL
2025-04-23,181.05,183.8,175.37,179.74,330.0,146.41,BAJEL
2025-04-22,180.0,181.5,175.72,180.51,330.0,146.41,BAJEL
2025-04-21,172.05,179.62,171.04,177.17,330.0,146.41,BAJEL
2025-04-17,172.95,174.59,171.32,172.01,330.0,146.41,BAJEL
2025-04-16,172.0,175.0,170.01,172.27,330.0,146.41,BAJEL
2025-04-15,168.49,172.53,165.33,170.8,330.0,146.41,BAJEL
2025-04-11,155.1,163.85,155.1,161.88,330.0,146.41,BAJEL
2025-04-09,153.1,156.19,151.51,152.95,330.0,146.41,BAJEL
2025-04-08,157.99,158.89,152.6,155.78,330.0,146.41,BAJEL
2025-04-07,150.0,154.71,146.41,151.62,330.0,146.41,BAJEL
2025-04-04,168.46,168.49,157.1,158.53,330.0,151.38,BAJEL
2025-04-03,168.99,173.5,166.0,168.47,330.0,151.38,BAJEL
