DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,77.14,77.61,73.01,73.44,95.75,49.02,BALAJITELE
2025-04-25,82.0,82.23,76.11,77.05,95.75,49.02,BALAJITELE
2025-04-24,83.0,86.0,81.22,82.48,95.75,49.02,BALAJITELE
2025-04-23,88.59,89.18,81.9,82.57,95.75,49.02,BALAJITELE
2025-04-22,86.8,89.4,84.64,88.05,95.75,49.02,BALAJITELE
2025-04-21,84.95,87.9,81.7,85.61,95.75,49.02,BALAJITELE
2025-04-17,80.77,85.13,79.21,82.48,95.75,49.02,BALAJITELE
2025-04-16,76.89,81.9,76.89,79.61,95.75,49.02,BALAJITELE
2025-04-15,73.5,78.75,73.0,76.89,95.75,49.02,BALAJITELE
2025-04-11,68.13,73.59,68.13,72.37,95.75,49.02,BALAJITELE
2025-04-09,68.81,69.74,67.35,67.98,95.75,49.02,BALAJITELE
2025-04-08,69.5,70.9,68.12,68.81,95.75,49.02,BALAJITELE
2025-04-07,67.62,69.43,64.25,67.42,95.75,49.02,BALAJITELE
2025-04-04,69.79,72.71,68.91,71.23,95.75,49.02,BALAJITELE
2025-04-03,65.9,69.25,63.97,69.25,95.75,49.02,BALAJITELE
2025-04-02,64.0,66.58,62.49,65.96,95.75,49.02,BALAJITELE
2025-04-01,60.45,63.44,60.45,63.41,95.75,49.02,BALAJITELE
2025-03-28,56.6,60.42,56.6,60.42,95.75,49.02,BALAJITELE
2025-03-27,58.47,58.89,55.67,57.55,95.75,49.02,BALAJITELE
2025-03-26,58.47,60.6,56.95,58.6,95.75,49.02,BALAJITELE
2025-03-25,57.74,60.0,57.49,58.53,95.75,49.02,BALAJITELE
2024-12-30,80.34,80.34,76.25,77.44,143.7,54.35,BALAJITELE
2024-12-27,80.85,81.65,77.5,79.12,143.7,54.35,BALAJITELE
2024-12-26,82.1,83.6,79.82,80.35,143.7,54.35,BALAJITELE
2024-12-24,84.5,85.25,82.11,82.65,143.7,54.35,BALAJITELE
2024-12-23,82.95,88.29,81.22,84.34,143.7,54.35,BALAJITELE
2024-12-20,87.71,87.95,78.94,79.8,143.7,54.35,BALAJITELE
2024-12-19,86.2,91.89,85.5,88.79,143.7,54.35,BALAJITELE
2024-12-18,87.6,91.0,86.11,87.66,143.7,54.35,BALAJITELE
2024-12-17,94.99,94.99,87.0,87.78,143.7,54.35,BALAJITELE
2024-12-16,82.5,95.75,82.2,94.18,143.7,54.35,BALAJITELE
2024-12-13,79.8,84.0,79.4,82.96,143.7,54.35,BALAJITELE
2024-12-12,80.09,83.04,78.1,81.16,143.7,54.35,BALAJITELE
2024-12-11,74.3,80.4,74.3,79.8,143.7,54.35,BALAJITELE
2024-12-10,75.92,76.95,73.12,75.19,143.7,54.35,BALAJITELE
2024-12-09,70.9,77.0,70.9,75.89,143.7,54.35,BALAJITELE
2024-12-06,73.0,73.05,71.1,71.6,143.7,54.35,BALAJITELE
2024-12-05,68.75,74.0,68.55,73.06,143.7,54.35,BALAJITELE
2024-12-04,69.7,71.22,68.41,68.59,143.7,54.35,BALAJITELE
2024-12-03,70.82,70.99,69.2,69.58,143.7,54.35,BALAJITELE
2024-12-02,71.4,73.4,69.07,70.77,143.7,54.35,BALAJITELE
2024-11-29,64.25,72.59,63.84,71.09,143.7,54.35,BALAJITELE
2024-11-28,63.9,64.29,62.62,63.98,143.7,54.35,BALAJITELE
2024-11-27,62.35,63.74,62.12,63.34,143.7,54.35,BALAJITELE
2024-11-26,63.49,63.74,61.51,62.2,143.7,54.35,BALAJITELE
2024-11-25,63.99,64.74,61.82,62.24,143.7,54.35,BALAJITELE
2024-11-22,63.11,63.95,62.01,62.81,143.7,54.35,BALAJITELE
2024-11-21,65.99,66.58,62.44,63.08,143.7,54.35,BALAJITELE
2024-11-19,60.4,66.6,60.32,64.79,143.7,54.35,BALAJITELE
2024-11-18,60.8,62.9,59.25,59.71,143.7,54.35,BALAJITELE
2024-08-13,68.35,72.9,67.2,70.17,143.7,53.2,BALAJITELE
2024-08-12,67.12,69.35,67.12,68.47,143.7,53.2,BALAJITELE
2024-08-09,70.6,71.24,68.06,69.03,143.7,48.5,BALAJITELE
2024-08-08,69.4,72.85,68.28,70.25,143.7,48.5,BALAJITELE
2024-08-07,68.1,70.14,67.47,68.82,143.7,48.5,BALAJITELE
2024-08-06,68.0,70.53,66.11,66.64,143.7,48.5,BALAJITELE
2024-08-05,69.8,71.31,67.0,67.27,143.7,48.5,BALAJITELE
