DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,471.9,472.0,462.0,464.6,674.0,419.05,BALRAMCHIN
2025-10-16,470.0,476.25,464.5,467.7,674.0,419.05,BALRAMCHIN
2025-10-15,463.95,472.35,463.95,469.6,674.0,419.05,BALRAMCHIN
2025-10-14,474.95,474.95,458.95,463.3,674.0,419.05,BALRAMCHIN
2025-10-13,478.2,478.2,469.0,472.4,674.0,419.05,BALRAMCHIN
2025-10-10,482.4,482.4,475.4,478.2,674.0,419.05,BALRAMCHIN
2025-10-09,482.0,482.0,474.8,479.7,674.0,419.05,BALRAMCHIN
2025-10-08,483.0,484.7,475.6,479.45,674.0,419.05,BALRAMCHIN
2025-10-07,471.6,483.0,469.05,481.35,674.0,419.05,BALRAMCHIN
2025-10-06,469.55,481.5,466.3,475.6,674.0,419.05,BALRAMCHIN
2025-10-03,457.0,466.8,456.1,464.9,691.8,419.05,BALRAMCHIN
2025-10-01,458.7,458.7,450.65,456.95,691.8,419.05,BALRAMCHIN
2025-09-30,453.0,456.55,449.35,455.65,691.8,419.05,BALRAMCHIN
2025-09-29,452.0,461.7,449.3,451.5,691.8,419.05,BALRAMCHIN
2025-09-26,475.65,478.85,447.55,451.9,691.8,419.05,BALRAMCHIN
2025-09-25,467.0,477.5,465.9,473.65,691.8,419.05,BALRAMCHIN
2025-09-24,496.0,497.95,466.6,469.7,691.8,419.05,BALRAMCHIN
2025-09-23,507.45,507.45,494.0,496.25,691.8,419.05,BALRAMCHIN
2025-09-22,506.0,507.9,501.1,504.3,691.8,419.05,BALRAMCHIN
2025-09-19,517.95,517.95,508.0,509.75,691.8,419.05,BALRAMCHIN
2025-09-18,517.25,527.3,514.1,516.25,691.8,419.05,BALRAMCHIN
2025-09-17,519.8,520.65,513.0,515.85,691.8,419.05,BALRAMCHIN
2025-09-16,520.5,522.2,516.5,517.7,691.8,419.05,BALRAMCHIN
2025-09-15,517.5,525.65,516.2,519.3,691.8,419.05,BALRAMCHIN
2025-09-12,517.65,523.9,514.6,516.05,691.8,419.05,BALRAMCHIN
2025-09-11,526.95,528.95,513.4,515.65,691.8,419.05,BALRAMCHIN
2025-09-10,520.0,528.4,519.6,525.45,691.8,419.05,BALRAMCHIN
2025-09-09,538.5,541.85,517.0,519.6,691.8,419.05,BALRAMCHIN
2025-09-08,549.2,557.0,534.5,536.15,691.8,419.05,BALRAMCHIN
2025-09-05,554.0,558.6,548.1,549.45,691.8,419.05,BALRAMCHIN
2025-09-04,564.0,564.8,549.05,554.0,691.8,419.05,BALRAMCHIN
2025-09-03,569.95,569.95,555.05,559.55,691.8,419.05,BALRAMCHIN
2025-09-02,568.85,584.0,561.55,566.85,691.8,419.05,BALRAMCHIN
2025-09-01,534.0,550.0,533.95,541.65,691.8,419.05,BALRAMCHIN
2025-08-29,550.1,551.9,533.0,536.2,691.8,419.05,BALRAMCHIN
2025-08-28,549.0,557.7,543.65,549.95,691.8,419.05,BALRAMCHIN
2025-08-26,584.1,590.75,551.4,558.7,691.8,419.05,BALRAMCHIN
2025-08-25,582.0,593.9,581.2,590.25,691.8,419.05,BALRAMCHIN
2025-08-22,587.35,597.55,578.2,584.85,691.8,419.05,BALRAMCHIN
2025-08-21,586.0,586.5,580.0,584.5,691.8,419.05,BALRAMCHIN
2025-08-20,574.8,586.0,571.05,583.75,691.8,419.05,BALRAMCHIN
2025-08-19,564.9,578.0,558.0,572.75,691.8,419.05,BALRAMCHIN
2025-08-18,568.0,570.0,551.05,558.25,691.8,419.05,BALRAMCHIN
2025-08-14,547.1,568.0,544.05,565.4,691.8,419.05,BALRAMCHIN
2025-08-13,540.0,550.95,540.0,548.3,691.8,419.05,BALRAMCHIN
2025-08-12,555.0,567.9,537.55,560.85,691.8,419.05,BALRAMCHIN
2025-08-11,545.1,555.0,540.4,551.8,691.8,419.05,BALRAMCHIN
2025-08-08,552.8,557.35,542.5,545.2,691.8,419.05,BALRAMCHIN
2025-08-07,548.0,552.4,538.8,550.15,691.8,419.05,BALRAMCHIN
2025-08-06,569.0,571.6,537.3,548.25,691.8,419.05,BALRAMCHIN
2025-08-05,571.45,574.45,560.45,569.05,691.8,419.05,BALRAMCHIN
2025-08-04,567.95,572.8,559.15,570.45,691.8,419.05,BALRAMCHIN
2025-08-01,589.0,591.85,559.05,563.15,691.8,419.05,BALRAMCHIN
2025-07-31,589.9,595.0,582.1,587.05,691.8,419.05,BALRAMCHIN
2025-07-30,590.9,595.45,585.8,591.35,691.8,419.05,BALRAMCHIN
2025-07-29,588.0,594.0,578.5,590.15,691.8,419.05,BALRAMCHIN
2025-07-28,586.3,590.1,581.0,586.1,691.8,419.05,BALRAMCHIN
2025-07-25,597.8,598.75,584.0,589.2,691.8,419.05,BALRAMCHIN
2025-07-24,606.7,619.2,592.95,594.85,691.8,419.05,BALRAMCHIN
2025-07-23,614.95,615.2,605.25,606.65,691.8,419.05,BALRAMCHIN
2025-07-22,616.2,619.8,610.6,612.25,691.8,419.05,BALRAMCHIN
2025-07-21,617.3,623.0,611.3,613.05,691.8,419.05,BALRAMCHIN
2025-07-18,617.6,624.7,608.1,617.75,691.8,419.05,BALRAMCHIN
2025-07-17,619.9,621.75,613.0,615.2,691.8,419.05,BALRAMCHIN
2025-07-16,622.8,627.8,615.0,619.9,691.8,419.05,BALRAMCHIN
2025-07-15,611.25,625.0,611.25,622.8,691.8,419.05,BALRAMCHIN
2025-07-14,616.1,622.0,602.0,610.5,691.8,419.05,BALRAMCHIN
2025-07-11,612.5,623.0,612.0,616.1,691.8,419.05,BALRAMCHIN
2025-07-10,601.5,618.0,601.5,612.5,691.8,419.05,BALRAMCHIN
2025-07-09,597.25,604.0,590.15,601.5,691.8,419.05,BALRAMCHIN
2025-07-08,603.0,611.0,594.8,597.25,691.8,419.05,BALRAMCHIN
2025-07-07,590.0,608.0,587.75,602.8,691.8,419.05,BALRAMCHIN
2025-07-04,588.25,600.5,584.7,590.0,691.8,419.05,BALRAMCHIN
2025-07-03,586.45,590.5,584.2,588.25,691.8,419.05,BALRAMCHIN
2025-07-02,586.2,592.9,582.5,586.85,691.8,419.05,BALRAMCHIN
2025-07-01,593.85,600.5,585.0,586.0,691.8,419.05,BALRAMCHIN
2025-06-30,592.05,594.9,587.8,593.85,691.8,419.05,BALRAMCHIN
2025-06-27,590.05,596.2,587.4,590.05,691.8,419.05,BALRAMCHIN
2025-06-26,599.3,601.7,586.0,589.0,691.8,419.05,BALRAMCHIN
2025-06-25,599.3,609.0,593.2,597.25,691.8,419.05,BALRAMCHIN
2025-06-24,596.0,605.0,587.85,595.2,691.8,419.05,BALRAMCHIN
2025-06-23,590.0,595.2,586.1,590.55,691.8,419.05,BALRAMCHIN
2025-06-20,588.0,597.8,584.8,594.65,691.8,419.05,BALRAMCHIN
2025-06-19,589.25,598.0,584.65,589.15,691.8,419.05,BALRAMCHIN
2025-06-18,608.0,614.0,587.0,589.45,691.8,419.05,BALRAMCHIN
2025-06-17,610.0,618.45,604.2,606.85,691.8,419.05,BALRAMCHIN
2025-06-16,610.0,612.9,596.65,609.05,691.8,419.05,BALRAMCHIN
2025-06-13,605.0,611.75,598.25,610.3,691.8,393.35,BALRAMCHIN
2025-06-12,621.9,626.2,608.5,614.0,691.8,393.35,BALRAMCHIN
2025-06-11,619.0,625.8,615.15,621.2,691.8,393.35,BALRAMCHIN
2025-06-10,618.5,621.5,613.05,616.65,691.8,393.35,BALRAMCHIN
2025-06-09,615.0,620.4,609.0,616.15,691.8,393.35,BALRAMCHIN
2025-06-06,610.0,619.0,606.0,611.65,691.8,352.0,BALRAMCHIN
2025-06-05,595.65,611.0,595.65,604.5,691.8,352.0,BALRAMCHIN
2025-06-04,594.0,597.95,576.15,595.65,691.8,352.0,BALRAMCHIN
2025-06-03,594.7,608.35,585.1,594.25,691.8,352.0,BALRAMCHIN
2025-06-02,590.3,596.0,581.1,592.35,691.8,352.0,BALRAMCHIN
2025-05-30,586.0,595.45,580.0,590.3,691.8,352.0,BALRAMCHIN
2025-05-29,583.5,589.0,578.0,585.15,691.8,352.0,BALRAMCHIN
2025-05-28,558.2,585.9,558.2,579.4,691.8,352.0,BALRAMCHIN
2025-05-27,566.3,566.3,551.5,558.15,691.8,352.0,BALRAMCHIN
2025-05-26,554.0,567.95,553.5,566.3,691.8,352.0,BALRAMCHIN
2025-05-23,558.3,558.3,547.5,553.1,691.8,352.0,BALRAMCHIN
2025-05-22,553.25,556.7,548.0,554.6,691.8,352.0,BALRAMCHIN
2025-05-21,548.0,558.4,544.95,553.25,691.8,352.0,BALRAMCHIN
2025-05-20,561.3,564.75,548.2,550.2,691.8,352.0,BALRAMCHIN
2025-05-19,558.7,573.25,550.1,558.9,691.8,352.0,BALRAMCHIN
2025-05-16,561.0,564.9,549.3,558.7,691.8,352.0,BALRAMCHIN
2025-05-15,563.2,572.0,558.0,561.0,691.8,352.0,BALRAMCHIN
2025-05-14,554.0,565.25,554.0,559.0,691.8,352.0,BALRAMCHIN
2025-05-13,555.6,561.7,549.9,554.0,691.8,352.0,BALRAMCHIN
2025-05-12,543.95,562.4,540.35,558.3,691.8,352.0,BALRAMCHIN
2025-05-09,522.0,548.9,514.0,525.45,691.8,352.0,BALRAMCHIN
2025-05-08,563.0,563.0,531.5,539.95,691.8,352.0,BALRAMCHIN
2025-05-07,549.95,570.0,546.45,558.55,691.8,352.0,BALRAMCHIN
2025-05-06,552.3,557.6,544.1,553.85,691.8,352.0,BALRAMCHIN
2025-05-05,547.6,557.55,543.3,552.3,691.8,352.0,BALRAMCHIN
2025-05-02,545.0,559.9,542.1,547.65,691.8,352.0,BALRAMCHIN
2025-04-30,565.8,566.9,547.1,550.9,691.8,352.0,BALRAMCHIN
2025-04-29,576.15,581.95,561.9,565.8,691.8,352.0,BALRAMCHIN
2025-04-28,572.0,578.8,562.4,576.15,691.8,352.0,BALRAMCHIN
2025-04-25,601.0,605.25,568.1,571.95,691.8,352.0,BALRAMCHIN
2025-04-24,585.0,603.9,583.0,600.6,691.8,352.0,BALRAMCHIN
2025-04-23,595.1,596.45,573.35,589.75,691.8,352.0,BALRAMCHIN
2025-04-22,571.5,595.1,570.6,591.6,691.8,352.0,BALRAMCHIN
2025-04-21,555.2,568.45,550.1,566.05,691.8,352.0,BALRAMCHIN
2025-04-17,564.15,564.5,552.2,554.2,691.8,352.0,BALRAMCHIN
2025-04-16,555.0,567.8,555.0,564.8,691.8,352.0,BALRAMCHIN
2025-04-15,538.3,555.2,531.25,551.2,691.8,352.0,BALRAMCHIN
2025-04-11,531.1,538.5,515.4,529.9,691.8,352.0,BALRAMCHIN
2025-04-09,525.0,529.7,511.55,520.65,691.8,352.0,BALRAMCHIN
2025-04-08,551.75,556.0,524.0,527.0,691.8,352.0,BALRAMCHIN
2025-04-07,529.75,543.0,510.9,536.1,691.8,352.0,BALRAMCHIN
2025-04-04,561.85,563.65,545.5,551.95,691.8,352.0,BALRAMCHIN
2025-04-03,548.0,571.5,547.55,568.05,691.8,352.0,BALRAMCHIN
2025-04-02,556.95,570.0,550.0,555.4,691.8,352.0,BALRAMCHIN
2025-04-01,552.0,560.0,545.05,556.95,691.8,352.0,BALRAMCHIN
2025-03-28,535.7,552.0,532.0,547.5,691.8,352.0,BALRAMCHIN
2025-03-27,522.25,542.0,521.85,535.7,691.8,352.0,BALRAMCHIN
2025-03-26,534.15,535.0,513.65,529.7,691.8,352.0,BALRAMCHIN
2025-03-25,539.0,545.8,522.55,538.1,691.8,352.0,BALRAMCHIN
2025-03-24,536.0,543.0,530.3,534.75,691.8,352.0,BALRAMCHIN
2025-03-21,536.5,544.75,532.0,534.65,691.8,352.0,BALRAMCHIN
2025-03-20,537.1,547.25,530.2,541.05,691.8,352.0,BALRAMCHIN
2025-03-19,513.0,560.0,512.95,539.9,691.8,352.0,BALRAMCHIN
2025-03-18,475.0,510.0,475.0,503.75,691.8,352.0,BALRAMCHIN
2025-03-17,473.05,479.75,465.25,477.0,691.8,352.0,BALRAMCHIN
2025-03-13,478.1,479.75,470.6,472.95,691.8,343.5,BALRAMCHIN
2025-03-12,453.0,497.15,453.0,486.95,691.8,343.5,BALRAMCHIN
2025-03-11,448.0,458.2,442.75,450.6,691.8,343.5,BALRAMCHIN
2025-03-10,465.0,471.35,450.2,453.15,691.8,343.5,BALRAMCHIN
2025-03-07,461.0,470.0,458.2,465.5,691.8,343.5,BALRAMCHIN
2025-03-06,452.0,467.3,452.0,458.85,691.8,343.5,BALRAMCHIN
2025-03-05,436.55,451.7,436.55,449.3,691.8,343.5,BALRAMCHIN
2025-03-04,435.5,451.0,435.5,440.9,691.8,343.5,BALRAMCHIN
2025-03-03,450.0,454.75,430.2,445.25,691.8,343.5,BALRAMCHIN
2025-02-28,440.3,446.65,433.7,444.25,691.8,343.5,BALRAMCHIN
2025-02-27,451.1,457.0,430.7,447.0,691.8,343.5,BALRAMCHIN
2025-02-25,468.0,473.0,448.0,451.7,691.8,343.5,BALRAMCHIN
