DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,38.58,39.27,38.0,38.65,68.9,34.5,BCLIND
2025-04-25,40.99,41.0,38.48,38.74,68.9,34.5,BCLIND
2025-04-24,40.31,41.25,40.3,40.78,68.9,34.5,BCLIND
2025-04-23,40.79,41.13,39.52,40.31,68.9,34.5,BCLIND
2025-04-22,40.17,41.0,39.62,40.57,68.9,34.5,BCLIND
2025-04-21,40.0,40.42,39.2,40.08,68.9,34.5,BCLIND
2025-04-17,39.05,40.59,38.86,39.63,68.9,34.5,BCLIND
2025-04-16,38.6,39.65,38.59,39.12,68.9,34.5,BCLIND
2025-04-15,37.5,38.9,37.5,38.45,68.9,34.5,BCLIND
2025-04-11,37.3,37.8,36.55,36.91,68.9,34.5,BCLIND
2025-04-09,36.82,37.0,35.96,36.47,68.9,34.5,BCLIND
2025-04-08,36.8,37.4,36.21,36.73,68.9,34.5,BCLIND
2025-04-07,34.99,36.3,34.8,35.94,68.9,34.5,BCLIND
2025-04-04,39.22,39.22,37.2,37.69,68.9,34.5,BCLIND
2025-04-03,37.75,39.4,37.46,39.22,68.9,34.5,BCLIND
2025-04-02,37.7,38.1,36.42,37.95,68.9,34.5,BCLIND
2025-04-01,35.74,37.61,35.74,37.41,68.9,34.5,BCLIND
2025-03-28,36.14,37.61,35.5,35.74,68.9,34.5,BCLIND
2025-03-27,36.9,36.9,35.71,36.1,68.9,34.5,BCLIND
2025-03-26,37.09,38.12,36.07,36.47,68.9,34.5,BCLIND
2025-03-25,39.4,40.19,35.92,37.3,68.9,34.5,BCLIND
2025-03-24,39.26,39.95,39.0,39.07,68.9,34.5,BCLIND
2025-03-21,38.58,39.39,38.33,39.26,68.9,34.5,BCLIND
2025-03-20,38.22,39.8,37.62,38.59,68.9,34.5,BCLIND
2025-03-19,37.05,38.25,37.04,37.91,68.9,34.5,BCLIND
2025-03-18,36.17,37.5,36.17,36.99,68.9,34.5,BCLIND
2025-03-17,37.89,37.9,36.0,36.12,68.9,34.5,BCLIND
2025-03-13,38.1,38.24,37.31,37.63,68.9,34.5,BCLIND
2025-03-12,38.21,38.5,37.62,37.88,68.9,34.5,BCLIND
2025-03-11,35.76,39.35,35.76,38.13,68.9,34.5,BCLIND
2025-03-10,40.06,40.82,38.6,38.92,68.9,34.5,BCLIND
2025-03-07,40.7,41.77,40.1,40.53,75.75,34.5,BCLIND
2025-03-06,39.9,40.31,39.1,39.86,75.75,34.5,BCLIND
2025-03-05,37.48,39.09,37.19,38.79,75.75,34.5,BCLIND
2025-03-04,35.0,37.69,34.86,36.99,75.75,34.5,BCLIND
2025-03-03,36.22,36.69,34.59,35.13,75.75,34.5,BCLIND
2025-02-28,36.75,36.87,35.55,36.22,81.35,34.5,BCLIND
2025-02-27,38.17,38.4,36.85,36.97,81.35,34.5,BCLIND
2025-02-25,38.5,38.9,38.0,38.14,81.35,34.5,BCLIND
2025-02-24,38.85,38.96,37.5,38.53,81.35,34.5,BCLIND
2025-02-21,39.75,40.74,39.21,39.42,84.6,34.5,BCLIND
2025-02-20,38.19,41.39,37.61,39.94,84.6,34.5,BCLIND
2025-02-19,35.0,37.27,34.6,36.67,84.6,34.5,BCLIND
2025-02-18,39.4,39.4,34.5,34.69,84.6,34.5,BCLIND
2025-02-17,37.8,37.8,34.92,36.29,84.6,34.92,BCLIND
2025-02-14,40.95,41.25,36.41,37.38,86.3,36.41,BCLIND
2025-02-13,44.0,44.79,40.65,41.16,86.3,40.65,BCLIND
2025-02-12,44.17,44.5,41.6,43.41,86.3,41.6,BCLIND
2025-02-11,45.32,45.58,43.61,44.17,86.3,43.12,BCLIND
2025-02-10,46.79,47.07,44.9,45.32,86.3,43.12,BCLIND
2025-02-07,48.0,48.0,46.27,46.79,86.3,43.12,BCLIND
2025-02-06,47.67,48.4,47.07,47.42,86.3,43.12,BCLIND
2025-02-05,47.29,48.0,47.08,47.62,86.3,43.12,BCLIND
2025-02-04,46.01,47.4,46.0,46.95,86.3,43.12,BCLIND
2025-02-03,47.6,47.74,45.48,46.01,86.3,43.12,BCLIND
2025-02-01,47.05,48.17,46.3,47.59,86.3,43.12,BCLIND
2025-01-31,45.48,47.01,45.11,46.82,86.3,43.12,BCLIND
2025-01-30,46.0,46.0,44.9,45.1,86.3,43.12,BCLIND
2025-01-29,44.21,46.01,44.21,45.49,86.3,43.12,BCLIND
