DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,1398.0,1508.6,1398.0,1486.5,2958.0,890.0,BDL
2025-04-25,1435.0,1439.9,1373.0,1413.6,2958.0,890.0,BDL
2025-04-24,1427.0,1459.4,1411.1,1429.6,2958.0,890.0,BDL
2025-04-23,1421.0,1439.0,1387.8,1427.3,2958.0,890.0,BDL
2025-04-22,1429.5,1439.2,1405.0,1409.9,2958.0,890.0,BDL
2025-04-21,1398.6,1460.0,1395.6,1427.4,2958.0,890.0,BDL
2025-04-17,1397.7,1414.4,1376.8,1393.2,2958.0,890.0,BDL
2025-04-16,1411.0,1443.0,1393.3,1399.3,2958.0,890.0,BDL
2025-04-15,1335.0,1415.0,1335.0,1404.9,2958.0,890.0,BDL
2025-04-11,1320.0,1333.35,1298.8,1325.1,2958.0,890.0,BDL
2025-04-09,1280.0,1307.3,1252.0,1285.8,2958.0,890.0,BDL
2025-04-08,1289.0,1309.0,1260.1,1287.5,2958.0,890.0,BDL
2025-04-07,1152.2,1275.0,1141.2,1255.45,2958.0,890.0,BDL
2025-04-04,1347.95,1350.0,1270.1,1337.85,2958.0,890.0,BDL
2025-04-03,1305.0,1384.65,1291.15,1343.5,2958.0,890.0,BDL
2025-04-02,1251.8,1325.0,1222.2,1293.55,2958.0,890.0,BDL
2025-04-01,1280.0,1321.3,1231.2,1245.15,2958.0,890.0,BDL
2025-03-28,1288.05,1318.95,1275.0,1281.4,2958.0,890.0,BDL
2025-03-27,1327.0,1340.0,1261.55,1281.65,2958.0,890.0,BDL
2025-03-26,1315.6,1357.7,1304.75,1326.75,2958.0,890.0,BDL
2025-03-25,1370.0,1375.1,1297.55,1315.6,2958.0,890.0,BDL
2025-03-24,1308.9,1368.4,1287.6,1359.65,2958.0,890.0,BDL
2025-03-21,1270.0,1317.65,1265.25,1293.1,2958.0,890.0,BDL
2025-03-20,1210.0,1254.0,1189.0,1247.0,2958.0,890.0,BDL
2025-03-19,1128.0,1223.05,1128.0,1198.0,2958.0,890.0,BDL
2025-03-18,1116.9,1130.95,1111.2,1126.8,2958.0,890.0,BDL
2025-03-17,1100.0,1137.4,1100.0,1107.15,2958.0,890.0,BDL
2025-03-13,1106.85,1152.4,1088.0,1108.25,2958.0,890.0,BDL
2025-03-12,1120.0,1138.45,1090.0,1093.7,2958.0,890.0,BDL
2025-03-11,1120.0,1129.95,1103.0,1116.6,2958.0,890.0,BDL
2025-03-10,1135.2,1164.2,1115.35,1143.4,2958.0,890.0,BDL
2025-03-07,1061.9,1148.6,1057.3,1135.2,2958.0,890.0,BDL
2025-03-06,1070.0,1084.9,1051.0,1065.65,2958.0,890.0,BDL
2025-03-05,1048.5,1068.95,1030.35,1063.5,2958.0,890.0,BDL
2025-03-04,975.0,1055.0,958.75,1049.3,2958.0,890.0,BDL
2025-03-03,975.4,997.35,907.0,979.75,2958.0,890.0,BDL
2025-02-28,999.0,1018.0,966.15,975.4,2958.0,890.0,BDL
2025-02-27,1015.0,1025.45,995.25,1017.4,2958.0,890.0,BDL
2025-02-25,1011.55,1037.6,1000.1,1023.7,2958.0,890.0,BDL
2025-02-24,1000.6,1034.0,974.65,1011.55,2958.0,890.0,BDL
2025-02-21,1033.4,1069.55,1005.4,1009.6,2958.0,890.0,BDL
2025-02-20,1040.0,1054.8,1030.7,1033.4,2958.0,890.0,BDL
2025-02-19,1006.5,1103.3,993.55,1048.3,2958.0,890.0,BDL
2025-02-18,1068.1,1083.7,1002.0,1009.85,2958.0,890.0,BDL
2025-02-17,1090.0,1109.5,1058.3,1071.9,2958.0,890.0,BDL
2025-02-14,1169.95,1187.2,1094.0,1102.55,2958.0,890.0,BDL
2025-02-13,1129.1,1194.7,1129.1,1166.7,2958.0,890.0,BDL
2025-02-12,1131.5,1147.25,1048.0,1136.6,2958.0,890.0,BDL
2025-02-11,1193.0,1196.45,1106.8,1137.1,2958.0,890.0,BDL
2025-02-10,1200.0,1224.0,1173.5,1199.4,2958.0,890.0,BDL
2025-02-07,1209.0,1223.0,1181.05,1200.4,2958.0,890.0,BDL
2025-02-06,1213.0,1260.5,1195.25,1212.45,2958.0,890.0,BDL
2025-02-05,1191.75,1233.85,1188.55,1215.15,2958.0,890.0,BDL
2025-02-04,1179.5,1219.95,1179.45,1191.45,2958.0,890.0,BDL
2025-02-03,1228.35,1238.0,1133.55,1178.05,2958.0,890.0,BDL
2025-02-01,1316.0,1345.0,1198.0,1253.35,2958.0,890.0,BDL
2025-01-31,1275.0,1325.0,1267.3,1305.0,2958.0,890.0,BDL
2025-01-30,1230.0,1292.0,1229.05,1267.35,2958.0,890.0,BDL
2025-01-29,1218.5,1256.0,1208.05,1229.45,2958.0,890.0,BDL
2025-01-28,1200.0,1243.9,1136.5,1212.05,2958.0,890.0,BDL
2025-01-27,1215.6,1218.75,1173.1,1204.55,2958.0,890.0,BDL
2025-01-24,1294.0,1300.55,1235.05,1241.2,2958.0,890.0,BDL
2025-01-23,1208.0,1303.25,1191.55,1290.7,2958.0,890.0,BDL
2025-01-22,1276.0,1280.3,1196.65,1217.1,2958.0,890.0,BDL
2025-01-21,1335.25,1340.85,1272.5,1280.4,2958.0,890.0,BDL
2025-01-20,1290.0,1345.8,1283.1,1329.25,2958.0,890.0,BDL
2025-01-17,1201.4,1289.5,1194.2,1276.25,2958.0,890.0,BDL
2025-01-16,1140.0,1229.0,1140.0,1201.45,2958.0,890.0,BDL
2025-01-15,1159.4,1165.0,1128.1,1134.0,2958.0,890.0,BDL
2025-01-14,1117.45,1159.0,1096.2,1152.35,2958.0,890.0,BDL
2025-01-13,1175.05,1186.45,1091.9,1116.35,2958.0,890.0,BDL
2025-01-10,1191.0,1206.95,1150.55,1200.45,2958.0,890.0,BDL
2025-01-09,1177.0,1215.0,1167.1,1203.25,2958.0,890.0,BDL
2025-01-08,1185.0,1190.0,1158.85,1181.85,2958.0,890.0,BDL
2025-01-07,1113.15,1188.7,1113.15,1184.75,2958.0,890.0,BDL
2025-01-06,1143.65,1149.45,1103.65,1132.15,2958.0,890.0,BDL
