DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,1500.9,1511.4,1487.6,1504.9,2096.6,890.0,BDL
2025-10-15,1490.0,1521.9,1485.1,1500.9,2096.6,890.0,BDL
2025-10-14,1515.0,1531.0,1480.7,1488.8,2096.6,890.0,BDL
2025-10-13,1524.9,1528.3,1500.0,1509.4,2096.6,890.0,BDL
2025-10-10,1524.2,1545.3,1511.0,1537.1,2096.6,890.0,BDL
2025-10-09,1500.0,1525.9,1483.0,1520.3,2096.6,890.0,BDL
2025-10-08,1532.0,1534.8,1492.0,1495.3,2096.6,890.0,BDL
2025-10-07,1558.0,1565.0,1522.3,1529.6,2096.6,890.0,BDL
2025-10-06,1568.4,1578.7,1550.1,1559.1,2096.6,890.0,BDL
2025-10-03,1541.8,1578.1,1526.7,1560.9,2096.6,890.0,BDL
2025-10-01,1493.2,1545.2,1486.1,1541.8,2096.6,890.0,BDL
2025-09-30,1500.0,1515.9,1461.8,1493.2,2096.6,890.0,BDL
2025-09-29,1505.2,1529.0,1492.5,1498.9,2096.6,890.0,BDL
2025-09-26,1554.9,1554.9,1495.0,1497.8,2096.6,890.0,BDL
2025-09-25,1556.0,1604.0,1550.1,1555.9,2096.6,890.0,BDL
2025-09-24,1590.0,1605.1,1556.0,1566.4,2096.6,890.0,BDL
2025-09-23,1625.0,1633.5,1570.9,1595.4,2096.6,890.0,BDL
2025-09-22,1630.0,1654.0,1613.1,1627.7,2096.6,890.0,BDL
2025-09-19,1609.0,1644.1,1606.1,1631.6,2096.6,890.0,BDL
2025-09-18,1627.0,1636.4,1600.5,1610.2,2096.6,890.0,BDL
2025-09-17,1607.1,1636.6,1607.1,1624.6,2096.6,890.0,BDL
2025-09-16,1602.9,1622.2,1587.4,1605.0,2096.6,890.0,BDL
2025-09-15,1578.7,1609.9,1554.6,1604.7,2096.6,890.0,BDL
2025-09-12,1481.6,1577.3,1481.6,1566.5,2096.6,890.0,BDL
2025-09-11,1502.3,1513.1,1470.3,1481.6,2096.6,890.0,BDL
2025-09-10,1426.0,1502.0,1425.1,1496.7,2096.6,890.0,BDL
