DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,183.3,188.55,182.27,185.57,330.55,122.23,BHARATWIRE
2025-04-25,196.0,197.5,183.61,186.08,330.55,122.23,BHARATWIRE
2025-04-24,187.4,204.0,186.03,196.48,330.55,122.23,BHARATWIRE
2025-04-23,193.0,194.68,185.75,186.82,330.55,122.23,BHARATWIRE
2025-04-22,185.49,193.25,182.8,192.23,330.55,122.23,BHARATWIRE
2025-04-21,180.1,187.21,179.72,184.68,330.55,122.23,BHARATWIRE
2025-04-17,181.15,182.09,178.0,180.09,330.55,122.23,BHARATWIRE
2025-04-16,183.55,185.21,178.32,180.41,330.55,122.23,BHARATWIRE
2025-04-15,183.4,184.1,179.0,182.8,330.55,122.23,BHARATWIRE
2025-04-11,178.4,184.0,177.76,181.2,330.55,122.23,BHARATWIRE
2025-04-09,176.51,180.7,173.26,175.69,330.55,122.23,BHARATWIRE
2025-04-08,184.2,186.39,174.64,176.71,330.55,122.23,BHARATWIRE
2025-04-07,183.49,183.49,170.25,179.77,330.55,122.23,BHARATWIRE
2025-04-04,202.0,204.8,191.62,194.09,330.55,122.23,BHARATWIRE
2025-04-03,191.5,204.2,188.61,202.4,330.55,122.23,BHARATWIRE
2025-04-02,190.98,194.25,186.08,192.18,330.55,122.23,BHARATWIRE
2025-04-01,191.85,194.5,187.81,188.74,330.55,122.23,BHARATWIRE
2025-03-28,181.94,194.9,179.0,192.45,330.55,122.23,BHARATWIRE
2025-03-27,177.7,182.39,171.5,180.84,330.55,122.23,BHARATWIRE
2025-03-26,182.0,185.9,173.15,175.02,330.55,122.23,BHARATWIRE
2025-03-25,186.55,197.0,180.16,181.86,330.55,122.23,BHARATWIRE
2025-03-24,191.0,193.4,187.0,187.37,330.55,122.23,BHARATWIRE
2025-03-21,183.96,191.4,178.02,190.19,330.55,122.23,BHARATWIRE
2025-03-20,166.0,177.0,165.0,175.2,330.55,122.23,BHARATWIRE
2025-03-19,161.1,169.43,159.5,163.32,330.55,122.23,BHARATWIRE
2025-03-18,163.85,166.64,158.85,160.53,330.55,122.23,BHARATWIRE
2025-03-17,171.0,174.95,161.35,163.81,330.55,122.23,BHARATWIRE
2025-03-13,170.5,174.77,168.4,173.56,330.55,122.23,BHARATWIRE
2025-03-12,176.62,177.0,170.0,171.16,330.55,122.23,BHARATWIRE
2025-03-11,179.9,180.28,172.21,175.13,330.55,122.23,BHARATWIRE
2025-03-10,172.0,184.38,168.1,181.08,330.55,122.23,BHARATWIRE
2025-03-07,172.81,179.8,167.61,174.01,330.55,122.23,BHARATWIRE
2025-03-06,150.5,179.6,149.48,175.11,330.55,122.23,BHARATWIRE
2025-03-05,132.03,156.0,132.0,151.9,330.55,122.23,BHARATWIRE
2025-03-04,125.01,134.74,122.23,132.5,330.55,122.23,BHARATWIRE
2025-03-03,140.45,141.9,125.1,128.35,330.55,125.1,BHARATWIRE
2025-02-28,138.0,143.85,135.22,142.6,330.55,134.9,BHARATWIRE
2025-02-27,147.99,147.99,134.9,140.31,330.55,134.9,BHARATWIRE
2025-02-25,150.6,153.0,144.1,145.23,330.55,144.1,BHARATWIRE
2025-02-24,156.05,156.05,148.78,149.89,330.55,145.11,BHARATWIRE
2025-02-21,155.5,160.34,152.05,157.64,344.6,145.11,BHARATWIRE
2025-02-20,151.85,156.99,150.13,153.78,344.6,145.11,BHARATWIRE
2025-02-19,147.22,155.82,147.05,151.16,344.6,145.11,BHARATWIRE
2025-02-18,154.8,157.62,145.11,148.37,344.6,145.11,BHARATWIRE
2025-02-17,160.9,162.04,150.25,154.83,344.6,150.25,BHARATWIRE
2025-02-14,170.75,170.75,155.5,158.5,346.0,155.4,BHARATWIRE
2025-02-13,167.05,172.99,164.0,171.14,346.0,155.4,BHARATWIRE
2025-02-12,163.49,170.0,155.4,167.23,346.0,155.4,BHARATWIRE
2025-02-11,173.2,173.2,160.0,163.03,346.0,160.0,BHARATWIRE
2025-02-10,174.85,174.85,168.0,171.57,346.0,165.5,BHARATWIRE
2025-02-07,175.0,177.92,170.56,175.55,350.95,165.5,BHARATWIRE
2025-02-06,177.35,177.95,172.1,172.95,350.95,165.5,BHARATWIRE
2025-02-05,175.0,185.0,173.32,174.73,350.95,165.5,BHARATWIRE
2025-02-04,169.99,177.19,165.5,172.88,350.95,165.5,BHARATWIRE
2025-02-03,182.59,182.85,173.2,176.47,350.95,166.42,BHARATWIRE
2025-02-01,189.88,191.01,180.99,183.94,369.95,166.42,BHARATWIRE
2025-01-31,188.7,193.0,186.05,189.22,369.95,166.42,BHARATWIRE
2025-01-30,185.61,191.39,185.25,187.1,369.95,166.42,BHARATWIRE
2025-01-29,170.64,194.4,170.64,187.18,369.95,166.42,BHARATWIRE
2025-01-28,179.9,179.9,166.42,172.33,369.95,166.42,BHARATWIRE
2025-01-27,189.97,189.97,176.0,177.64,369.95,176.0,BHARATWIRE
2025-01-24,191.5,191.5,183.25,187.87,388.0,183.25,BHARATWIRE
2025-01-23,193.75,193.75,188.06,190.33,388.0,184.02,BHARATWIRE
2025-01-22,198.1,198.1,184.02,190.9,388.0,184.02,BHARATWIRE
2025-01-21,197.0,203.77,195.0,196.15,388.0,184.42,BHARATWIRE
2025-01-20,198.84,198.84,194.1,196.31,388.0,184.42,BHARATWIRE
2025-01-17,196.78,199.81,191.0,196.3,399.7,184.42,BHARATWIRE
2025-01-16,194.78,197.04,192.19,195.06,399.7,184.42,BHARATWIRE
2025-01-15,192.75,198.75,187.81,191.69,399.7,184.42,BHARATWIRE
2025-01-14,189.2,193.18,184.42,189.38,399.7,184.42,BHARATWIRE
2025-01-13,203.3,203.3,185.5,186.38,399.7,185.5,BHARATWIRE
2025-01-10,209.0,212.34,200.05,201.34,400.6,200.05,BHARATWIRE
2025-01-09,211.74,215.0,208.65,210.07,400.6,208.35,BHARATWIRE
2025-01-08,220.05,220.49,212.0,213.72,400.6,208.35,BHARATWIRE
2025-01-07,212.5,219.9,210.51,218.74,400.6,208.35,BHARATWIRE
2025-01-06,221.4,224.3,208.35,209.37,400.6,208.35,BHARATWIRE
2025-01-03,219.75,226.89,217.62,218.68,400.6,209.9,BHARATWIRE
2025-01-02,213.08,218.0,213.02,217.42,400.6,209.9,BHARATWIRE
2025-01-01,213.9,216.58,209.9,212.45,400.6,209.9,BHARATWIRE
2024-12-31,214.2,215.14,211.1,211.64,400.6,210.0,BHARATWIRE
2024-12-30,218.9,218.9,213.0,215.16,400.6,210.0,BHARATWIRE
2024-12-27,214.03,219.0,214.03,216.55,400.6,210.0,BHARATWIRE
2024-12-26,219.0,219.66,214.41,215.92,400.6,210.0,BHARATWIRE
2024-12-24,216.95,220.95,215.07,218.67,400.6,210.0,BHARATWIRE
2024-12-23,219.01,221.2,215.1,216.08,400.6,210.0,BHARATWIRE
2024-12-20,223.05,225.0,218.6,220.01,400.6,210.0,BHARATWIRE
2024-12-19,226.0,226.35,222.25,223.04,400.6,210.0,BHARATWIRE
2024-12-18,227.4,230.84,224.0,226.73,400.6,210.0,BHARATWIRE
2024-12-17,231.0,232.74,226.0,226.72,400.6,210.0,BHARATWIRE
2024-12-16,236.45,238.3,229.99,230.87,400.6,210.0,BHARATWIRE
2024-12-13,236.0,241.1,231.41,234.8,400.6,210.0,BHARATWIRE
2024-12-12,243.95,244.16,236.21,238.42,400.6,210.0,BHARATWIRE
2024-12-11,236.9,245.0,236.9,243.94,400.6,210.0,BHARATWIRE
2024-12-10,238.0,239.76,234.98,236.77,400.6,210.0,BHARATWIRE
2024-12-09,239.7,241.02,236.01,237.63,400.6,210.0,BHARATWIRE
2024-12-06,237.8,239.35,235.65,238.0,400.6,210.0,BHARATWIRE
2024-12-05,236.83,243.12,234.01,236.07,400.6,210.0,BHARATWIRE
2024-12-04,235.7,238.0,232.55,234.22,400.6,210.0,BHARATWIRE
2024-12-03,231.25,238.5,231.25,235.76,400.6,210.0,BHARATWIRE
2024-12-02,232.32,238.0,231.25,233.51,400.6,210.0,BHARATWIRE
2024-11-29,235.68,239.39,231.64,234.54,400.6,210.0,BHARATWIRE
2024-11-28,225.0,244.69,224.05,235.68,400.6,210.0,BHARATWIRE
2024-11-27,221.0,224.0,219.69,223.22,400.6,210.0,BHARATWIRE
2024-11-26,221.0,222.9,218.0,218.78,400.6,210.0,BHARATWIRE
2024-11-25,220.35,224.0,218.26,220.16,400.6,210.0,BHARATWIRE
2024-11-22,216.43,223.39,216.43,219.55,400.6,210.0,BHARATWIRE
2024-11-21,222.0,222.06,214.48,218.31,400.6,210.0,BHARATWIRE
2024-11-19,216.35,226.0,215.46,222.88,400.6,210.0,BHARATWIRE
2024-11-18,212.0,215.26,210.0,213.72,400.6,210.0,BHARATWIRE
2024-11-14,210.21,219.55,210.21,213.74,400.6,210.21,BHARATWIRE
2024-11-13,224.05,226.75,212.42,213.39,400.6,212.42,BHARATWIRE
2024-11-12,228.25,233.0,220.0,223.43,400.6,217.95,BHARATWIRE
2024-11-11,232.15,232.78,226.35,227.58,400.6,217.95,BHARATWIRE
2024-11-08,242.0,242.95,231.0,232.15,400.6,217.95,BHARATWIRE
2024-11-07,237.95,244.15,237.0,241.97,400.6,217.95,BHARATWIRE
2024-11-06,232.0,241.8,232.0,237.38,400.6,217.95,BHARATWIRE
2024-11-05,233.5,233.78,226.7,228.7,400.6,217.95,BHARATWIRE
2024-11-04,243.39,246.8,230.25,231.65,400.6,217.95,BHARATWIRE
2024-11-01,240.59,242.0,238.05,240.6,400.6,217.95,BHARATWIRE
2024-10-31,241.8,241.8,235.6,238.05,400.6,217.95,BHARATWIRE
2024-10-30,229.5,239.95,227.6,237.45,400.6,217.95,BHARATWIRE
2024-10-29,225.2,228.95,217.95,228.05,400.6,217.95,BHARATWIRE
2024-10-28,234.0,242.0,224.0,229.25,400.6,223.65,BHARATWIRE
2024-10-25,236.5,241.95,227.0,234.95,400.6,223.65,BHARATWIRE
2024-10-24,238.45,240.1,235.0,236.5,400.6,223.65,BHARATWIRE
2024-10-23,234.5,245.15,230.25,238.45,400.6,223.65,BHARATWIRE
2024-10-22,248.0,250.4,225.0,230.65,400.6,223.65,BHARATWIRE
2024-10-21,251.75,254.5,244.35,246.8,400.6,223.65,BHARATWIRE
2024-10-18,250.3,257.0,245.4,248.95,400.6,223.65,BHARATWIRE
2024-10-17,257.4,258.15,249.75,250.8,400.6,223.65,BHARATWIRE
2024-10-16,261.9,264.7,254.8,256.6,400.6,223.65,BHARATWIRE
2024-10-15,265.2,266.9,258.55,261.6,400.6,223.65,BHARATWIRE
2024-10-14,273.75,276.1,260.6,264.95,400.6,223.65,BHARATWIRE
2024-10-11,266.9,276.9,264.05,272.8,400.6,223.65,BHARATWIRE
