DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,16.45,16.45,15.83,15.99,24.95,13.1,BLBLIMITED
2025-10-21,15.67,16.4,15.67,16.11,24.95,13.1,BLBLIMITED
2025-10-20,15.86,16.3,15.61,16.01,24.95,13.1,BLBLIMITED
2025-10-17,16.08,16.08,15.7,15.85,24.95,13.1,BLBLIMITED
2025-10-16,16.01,16.48,15.65,15.92,24.95,13.1,BLBLIMITED
2025-10-15,15.8,16.2,15.61,15.88,24.95,13.1,BLBLIMITED
2025-10-14,16.09,16.31,15.5,15.79,24.95,13.1,BLBLIMITED
2025-10-13,15.66,16.51,15.66,16.01,24.95,13.1,BLBLIMITED
2025-10-10,16.92,16.92,15.81,15.96,24.95,13.1,BLBLIMITED
2025-10-09,16.04,16.39,15.75,16.05,24.95,13.1,BLBLIMITED
2025-10-08,15.61,16.48,15.57,16.03,24.95,13.1,BLBLIMITED
2025-10-07,15.51,16.7,15.51,15.89,24.95,13.1,BLBLIMITED
2025-10-06,15.91,16.3,15.35,15.88,24.95,13.1,BLBLIMITED
2025-10-03,16.95,16.97,16.39,16.57,24.95,13.1,BLBLIMITED
2025-10-01,17.3,17.3,16.61,16.97,24.95,13.1,BLBLIMITED
2025-09-30,16.2,17.49,16.01,16.77,24.95,13.1,BLBLIMITED
2025-09-29,15.56,16.25,15.56,16.0,24.95,13.1,BLBLIMITED
2025-09-26,15.46,16.0,15.46,15.87,24.95,13.1,BLBLIMITED
2025-09-25,15.71,16.21,15.41,15.74,24.95,13.1,BLBLIMITED
2025-09-24,15.8,16.05,15.61,15.88,24.95,13.1,BLBLIMITED
2025-09-23,15.45,16.0,15.33,15.8,24.95,13.1,BLBLIMITED
2025-09-22,15.85,15.85,15.36,15.45,24.95,13.1,BLBLIMITED
2025-09-19,16.0,16.0,15.62,15.71,24.95,13.1,BLBLIMITED
2025-09-18,15.57,16.15,15.5,15.65,24.95,13.1,BLBLIMITED
2025-09-17,15.4,16.0,15.37,15.57,24.95,13.1,BLBLIMITED
2025-09-16,15.98,15.98,14.94,15.56,24.95,13.1,BLBLIMITED
2025-09-15,15.3,15.83,15.3,15.64,24.95,13.1,BLBLIMITED
2025-09-12,15.96,15.96,15.25,15.36,24.95,13.1,BLBLIMITED
2025-09-11,15.85,15.85,15.4,15.43,24.95,13.1,BLBLIMITED
2025-09-10,15.63,15.95,15.36,15.5,24.95,13.1,BLBLIMITED
2025-09-09,15.54,16.5,15.45,15.52,24.95,13.1,BLBLIMITED
2025-09-08,15.92,16.08,15.37,15.63,24.95,13.1,BLBLIMITED
