DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,1757.6,1781.0,1706.5,1771.6,2417.0,1521.0,BLUESTARCO
2025-11-07,1790.0,1790.0,1712.1,1752.7,2417.0,1521.0,BLUESTARCO
2025-11-06,1934.0,2021.4,1776.0,1785.5,2417.0,1521.0,BLUESTARCO
2025-11-04,1912.6,1931.9,1886.1,1917.6,2417.0,1521.0,BLUESTARCO
2025-11-03,1937.4,1955.0,1901.3,1934.4,2417.0,1521.0,BLUESTARCO
2025-10-31,1965.0,1988.0,1932.0,1937.4,2417.0,1521.0,BLUESTARCO
2025-10-30,1965.0,1967.0,1937.0,1961.8,2417.0,1521.0,BLUESTARCO
2025-10-29,1952.8,1972.8,1939.0,1965.1,2417.0,1521.0,BLUESTARCO
2025-10-28,2007.5,2007.5,1942.7,1951.6,2417.0,1521.0,BLUESTARCO
2025-10-27,2025.0,2030.4,1975.0,1979.6,2417.0,1521.0,BLUESTARCO
2025-10-24,1974.9,2032.9,1973.0,2006.0,2417.0,1521.0,BLUESTARCO
2025-10-23,1963.9,1981.7,1951.0,1972.2,2417.0,1521.0,BLUESTARCO
2025-10-21,1987.0,1987.0,1951.1,1963.0,2417.0,1521.0,BLUESTARCO
2025-10-20,1979.9,1983.7,1949.4,1971.3,2417.0,1521.0,BLUESTARCO
2025-10-17,1954.9,1985.0,1941.0,1971.4,2417.0,1521.0,BLUESTARCO
2025-10-16,1913.3,1968.6,1913.0,1957.6,2417.0,1521.0,BLUESTARCO
2025-10-15,1876.0,1923.6,1870.3,1913.3,2417.0,1521.0,BLUESTARCO
2025-10-14,1911.8,1923.5,1873.5,1880.6,2417.0,1521.0,BLUESTARCO
2025-10-13,1939.0,1939.0,1893.3,1911.7,2417.0,1521.0,BLUESTARCO
2025-10-10,1940.0,1965.9,1902.2,1949.1,2417.0,1521.0,BLUESTARCO
2025-10-09,1891.0,1899.0,1862.0,1892.3,2417.0,1521.0,BLUESTARCO
2025-10-08,1920.0,1920.0,1864.0,1892.4,2417.0,1521.0,BLUESTARCO
2025-10-07,1895.0,1927.6,1880.4,1912.2,2417.0,1521.0,BLUESTARCO
2025-10-06,1895.1,1959.2,1881.8,1892.8,2417.0,1521.0,BLUESTARCO
2025-10-03,1877.8,1900.1,1862.1,1899.2,2417.0,1521.0,BLUESTARCO
2025-10-01,1872.6,1885.0,1836.3,1877.8,2417.0,1521.0,BLUESTARCO
2025-09-30,1900.6,1908.0,1870.0,1881.0,2417.0,1521.0,BLUESTARCO
