DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,134.55,135.38,132.11,133.41,256.4,117.5,BOMDYEING
2025-04-25,139.19,139.97,132.2,134.55,256.4,117.5,BOMDYEING
2025-04-24,140.37,142.45,138.15,138.85,256.4,117.5,BOMDYEING
2025-04-23,141.25,142.39,136.2,140.52,256.4,117.5,BOMDYEING
2025-04-22,138.0,141.46,136.27,140.1,256.4,117.5,BOMDYEING
2025-04-21,136.5,139.25,135.5,137.8,256.4,117.5,BOMDYEING
2025-04-17,134.61,137.27,134.4,135.57,256.4,117.5,BOMDYEING
2025-04-16,132.5,135.59,131.9,134.61,256.4,117.5,BOMDYEING
2025-04-15,129.3,133.25,128.61,132.39,256.4,117.5,BOMDYEING
2025-04-11,127.5,128.3,125.76,126.91,256.4,117.5,BOMDYEING
2025-04-09,126.39,127.99,122.27,123.86,256.4,117.5,BOMDYEING
2025-04-08,127.0,128.5,124.16,126.93,256.4,117.5,BOMDYEING
2025-04-07,117.51,125.5,117.5,124.42,256.4,117.5,BOMDYEING
2025-04-04,138.1,140.75,129.0,130.93,256.4,120.0,BOMDYEING
2025-04-03,134.9,141.68,134.5,140.57,256.4,120.0,BOMDYEING
2025-04-02,134.64,139.2,130.61,136.43,256.4,120.0,BOMDYEING
2025-04-01,129.0,135.49,128.8,134.64,256.4,120.0,BOMDYEING
2025-03-28,134.5,136.86,129.15,129.72,256.4,120.0,BOMDYEING
2025-03-27,130.0,134.91,128.94,132.97,256.4,120.0,BOMDYEING
2025-03-26,134.45,135.09,128.7,129.44,256.4,120.0,BOMDYEING
2025-03-25,140.0,141.56,133.15,134.03,256.4,120.0,BOMDYEING
2025-03-24,140.01,141.78,138.05,138.54,256.4,120.0,BOMDYEING
2025-03-21,134.59,139.86,133.85,138.88,256.4,120.0,BOMDYEING
2025-03-20,136.14,137.23,133.1,134.03,256.4,120.0,BOMDYEING
2025-03-19,130.5,135.9,130.5,134.92,256.4,120.0,BOMDYEING
2025-03-18,126.5,131.35,126.2,129.87,256.4,120.0,BOMDYEING
2025-03-17,128.25,128.98,125.3,125.64,256.4,120.0,BOMDYEING
2025-03-13,129.0,129.86,126.25,127.32,256.4,120.0,BOMDYEING
2025-03-12,130.5,131.5,127.0,128.22,256.4,120.0,BOMDYEING
2025-03-11,129.81,131.81,127.36,130.18,256.4,120.0,BOMDYEING
2025-03-10,140.59,143.0,132.1,132.6,256.4,120.0,BOMDYEING
2025-03-07,134.0,142.2,134.0,140.55,256.4,120.0,BOMDYEING
2025-03-06,133.25,136.55,133.25,134.32,256.4,120.0,BOMDYEING
2025-03-05,126.1,132.93,126.1,132.26,256.4,120.0,BOMDYEING
2025-03-04,121.51,128.51,120.27,126.63,256.4,120.0,BOMDYEING
2025-03-03,127.0,129.29,120.0,123.43,256.4,120.0,BOMDYEING
2025-02-28,130.96,131.0,125.2,126.9,256.4,125.2,BOMDYEING
2025-02-27,139.1,139.37,131.0,132.43,256.4,131.0,BOMDYEING
2025-02-25,139.6,141.94,137.55,138.14,256.4,134.1,BOMDYEING
2025-02-24,141.15,141.37,136.1,139.31,256.4,134.1,BOMDYEING
2025-02-21,144.59,147.62,140.5,141.46,256.4,134.1,BOMDYEING
2025-02-20,140.98,145.6,140.83,144.31,256.4,134.1,BOMDYEING
2025-02-19,135.96,143.59,134.5,142.88,256.4,134.1,BOMDYEING
2025-02-18,141.0,141.84,134.5,136.92,256.4,134.1,BOMDYEING
2025-02-17,137.85,141.37,134.23,140.04,256.4,134.1,BOMDYEING
2025-02-14,147.55,148.76,134.51,137.82,256.4,134.1,BOMDYEING
2025-02-13,149.1,151.46,146.05,147.8,256.4,134.1,BOMDYEING
