DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-24,40.94,40.94,39.55,40.24,40.94,33.0,BSE500IETF
2025-10-23,40.23,40.53,40.0,40.14,40.83,33.0,BSE500IETF
2025-10-21,39.96,40.35,39.44,40.23,40.83,33.0,BSE500IETF
2025-10-20,39.96,40.14,39.84,39.96,40.83,33.0,BSE500IETF
2025-10-17,39.64,39.9,39.64,39.77,40.83,33.0,BSE500IETF
2025-10-16,39.65,39.87,39.47,39.64,40.83,33.0,BSE500IETF
2025-10-15,39.45,39.49,39.07,39.46,40.83,33.0,BSE500IETF
2025-10-14,39.56,39.75,38.95,39.07,40.83,33.0,BSE500IETF
2025-10-13,39.23,39.42,39.14,39.37,40.83,33.0,BSE500IETF
2025-10-10,39.31,39.47,39.23,39.32,40.83,33.0,BSE500IETF
2025-10-09,39.09,39.38,38.98,39.3,40.83,33.0,BSE500IETF
2025-10-08,39.35,39.35,39.04,39.09,40.83,33.0,BSE500IETF
2025-10-07,39.13,39.49,38.98,39.34,40.83,33.0,BSE500IETF
2025-10-06,38.94,39.2,38.86,39.13,40.83,33.0,BSE500IETF
2025-10-03,39.71,39.71,38.61,38.94,42.93,33.0,BSE500IETF
2025-10-01,38.92,38.92,38.43,38.75,42.93,33.0,BSE500IETF
2025-09-30,38.38,38.76,38.28,38.42,42.93,33.0,BSE500IETF
2025-09-29,38.44,38.96,38.36,38.46,42.93,33.0,BSE500IETF
2025-09-26,39.06,39.17,38.32,38.48,42.93,33.0,BSE500IETF
2025-09-25,39.48,40.77,38.94,39.05,42.93,33.0,BSE500IETF
2025-09-24,39.78,39.78,39.1,39.15,42.93,33.0,BSE500IETF
2025-09-23,39.69,39.69,39.31,39.45,42.93,33.0,BSE500IETF
2025-09-22,40.79,40.79,39.29,39.5,42.93,33.0,BSE500IETF
2025-09-19,39.68,40.39,39.58,39.8,42.93,33.0,BSE500IETF
2025-09-18,39.39,39.68,39.39,39.61,42.93,33.0,BSE500IETF
2025-09-17,39.61,39.61,39.41,39.49,42.93,33.0,BSE500IETF
2025-09-16,39.13,39.57,39.05,39.42,42.93,33.0,BSE500IETF
2025-09-15,39.16,39.17,39.03,39.13,42.93,33.0,BSE500IETF
2025-09-12,39.09,39.15,39.0,39.07,42.93,33.0,BSE500IETF
2025-09-11,38.91,39.1,38.87,39.05,42.93,33.0,BSE500IETF
2025-09-10,38.95,39.0,38.78,38.9,42.93,33.0,BSE500IETF
2025-09-09,38.79,38.91,38.62,38.78,42.93,33.0,BSE500IETF
2025-09-08,38.6,38.86,38.53,38.66,42.93,33.0,BSE500IETF
2025-09-05,38.78,38.91,38.42,38.62,42.93,33.0,BSE500IETF
2025-09-04,38.66,38.96,38.46,38.59,42.93,33.0,BSE500IETF
2025-09-03,38.65,38.65,38.37,38.53,42.93,33.0,BSE500IETF
2025-09-02,37.35,38.54,37.35,38.46,42.93,33.0,BSE500IETF
2025-09-01,38.98,38.98,37.7,38.31,42.93,33.0,BSE500IETF
2025-08-29,39.1,39.1,37.75,38.03,47.6,33.0,BSE500IETF
2025-08-28,38.5,38.78,38.12,38.15,47.6,33.0,BSE500IETF
2025-08-26,39.94,39.94,38.4,38.5,47.6,33.0,BSE500IETF
2025-08-25,38.81,39.17,37.83,38.97,47.6,33.0,BSE500IETF
2025-08-22,39.96,39.96,38.01,38.81,47.6,33.0,BSE500IETF
2025-08-21,38.98,39.16,38.97,38.99,47.6,33.0,BSE500IETF
2025-08-20,38.9,39.03,38.71,38.97,47.6,33.0,BSE500IETF
2025-08-19,37.57,38.88,37.57,38.86,47.6,33.0,BSE500IETF
2025-08-18,39.4,39.4,38.25,38.54,47.6,33.0,BSE500IETF
2025-08-14,38.59,38.59,38.2,38.25,47.6,33.0,BSE500IETF
2025-08-13,38.19,38.31,38.12,38.24,47.6,33.0,BSE500IETF
2025-08-12,38.32,38.32,37.95,38.02,47.6,33.0,BSE500IETF
2025-08-11,38.3,38.81,37.74,38.13,47.6,33.0,BSE500IETF
2025-08-08,38.45,38.45,37.86,37.9,47.6,33.0,BSE500IETF
2025-08-07,37.33,40.29,37.33,38.45,47.6,33.0,BSE500IETF
2025-08-06,38.67,38.67,38.13,38.29,47.6,33.0,BSE500IETF
2025-08-05,38.75,38.75,38.4,38.52,47.6,33.0,BSE500IETF
2025-08-04,38.34,38.63,38.1,38.61,47.6,33.0,BSE500IETF
2025-08-01,38.86,38.86,38.29,38.34,47.6,33.0,BSE500IETF
2025-07-31,38.81,38.97,38.03,38.74,47.6,33.0,BSE500IETF
