DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,137.0,139.75,134.6,135.19,226.0,115.82,BSHSL
2025-04-25,141.8,142.51,131.15,136.23,227.0,115.82,BSHSL
2025-04-24,139.1,146.55,139.0,140.91,227.0,115.82,BSHSL
2025-04-23,149.0,149.0,138.6,141.15,227.0,115.82,BSHSL
2025-04-22,154.7,154.7,145.25,148.92,227.0,115.82,BSHSL
2025-04-21,140.0,158.34,136.15,156.13,227.0,115.82,BSHSL
2025-04-17,121.0,135.0,121.0,131.95,228.85,115.82,BSHSL
2025-04-16,124.83,125.5,121.12,122.59,228.85,115.82,BSHSL
2025-04-15,118.02,122.64,118.02,120.46,228.85,115.82,BSHSL
2025-04-11,122.84,122.84,117.11,117.78,245.5,115.82,BSHSL
2025-04-09,118.25,119.78,115.82,117.38,245.5,115.82,BSHSL
2025-04-08,125.99,125.99,117.03,120.06,245.5,115.82,BSHSL
2025-04-07,120.0,122.75,115.82,119.76,245.5,115.82,BSHSL
2025-04-04,126.7,126.7,121.31,123.75,266.3,120.1,BSHSL
2025-04-03,123.95,125.93,123.41,124.29,266.3,120.1,BSHSL
2025-04-02,125.95,125.95,123.01,123.79,266.3,120.1,BSHSL
2025-04-01,122.5,126.85,122.01,123.71,266.3,120.1,BSHSL
2025-03-28,123.16,125.77,120.1,120.86,266.3,120.1,BSHSL
2025-03-27,123.0,126.0,123.0,123.57,266.3,122.22,BSHSL
2025-03-26,126.0,131.59,123.16,124.35,266.3,122.22,BSHSL
2025-03-25,128.9,129.0,122.9,123.51,266.3,122.22,BSHSL
2025-03-24,126.05,128.95,125.29,126.26,266.3,122.22,BSHSL
2025-03-21,129.5,129.55,125.75,125.94,266.3,122.22,BSHSL
2025-03-20,129.49,130.94,128.05,128.71,266.3,122.22,BSHSL
2025-03-19,129.49,131.99,122.61,128.65,266.3,122.22,BSHSL
2025-03-18,123.64,129.0,122.22,126.73,266.3,122.22,BSHSL
