DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,384.0,388.9,378.6,384.0,624.35,331.0,BSOFT
2025-11-21,388.25,388.25,380.25,381.4,624.35,331.0,BSOFT
2025-11-20,393.25,393.45,386.0,388.8,624.35,331.0,BSOFT
2025-11-19,378.4,398.75,377.95,391.3,624.35,331.0,BSOFT
2025-11-18,388.0,389.0,377.7,379.85,624.35,331.0,BSOFT
2025-11-17,388.0,392.0,380.1,390.85,624.35,331.0,BSOFT
2025-11-14,393.9,394.6,384.3,388.7,624.35,331.0,BSOFT
2025-11-13,403.0,408.0,392.9,395.9,624.35,331.0,BSOFT
2025-11-12,385.0,401.0,383.3,397.1,624.35,331.0,BSOFT
2025-11-11,377.0,384.0,368.75,382.65,624.35,331.0,BSOFT
2025-11-10,379.0,381.5,373.05,374.45,624.35,331.0,BSOFT
2025-11-07,374.45,379.85,355.5,378.25,624.35,331.0,BSOFT
2025-11-06,372.0,375.75,363.05,372.95,624.35,331.0,BSOFT
2025-11-04,372.95,376.0,367.0,370.4,624.35,331.0,BSOFT
2025-11-03,370.55,373.7,368.2,372.7,624.35,331.0,BSOFT
2025-10-31,375.5,378.0,370.8,371.6,624.35,331.0,BSOFT
2025-10-30,376.0,380.2,372.1,376.4,624.35,331.0,BSOFT
2025-10-29,376.8,377.8,372.1,375.3,624.35,331.0,BSOFT
2025-10-28,387.85,387.85,375.1,377.15,624.35,331.0,BSOFT
2025-10-27,383.5,395.5,378.2,386.7,624.35,331.0,BSOFT
2025-10-24,375.85,386.0,366.25,381.45,624.35,331.0,BSOFT
2025-10-23,354.5,388.4,354.5,378.1,624.35,331.0,BSOFT
2025-10-21,340.0,353.65,340.0,351.05,624.35,331.0,BSOFT
2025-10-20,341.0,341.0,336.05,338.95,624.35,331.0,BSOFT
2025-10-17,345.4,345.5,338.2,341.0,624.35,331.0,BSOFT
2025-10-16,342.7,346.35,341.65,344.65,624.35,331.0,BSOFT
2025-10-15,346.9,346.9,340.1,342.05,624.35,331.0,BSOFT
2025-10-14,351.2,351.7,343.55,344.25,624.35,331.0,BSOFT
2025-10-13,356.0,357.0,347.15,348.55,624.35,331.0,BSOFT
2025-10-10,361.25,363.7,358.5,359.45,624.35,331.0,BSOFT
2025-10-09,356.7,360.75,355.0,359.85,624.35,331.0,BSOFT
2025-10-08,355.4,364.0,352.8,355.95,624.35,331.0,BSOFT
2025-10-07,358.1,358.5,353.85,355.4,624.35,331.0,BSOFT
2025-10-06,352.2,358.65,350.55,357.9,624.35,331.0,BSOFT
2025-10-03,350.3,351.2,346.5,350.0,624.35,331.0,BSOFT
2025-10-01,354.6,354.6,345.35,350.3,635.55,331.0,BSOFT
2025-09-30,346.0,355.5,345.55,352.95,635.55,331.0,BSOFT
2025-09-29,360.0,360.75,345.25,347.9,635.55,331.0,BSOFT
2025-09-26,365.0,365.0,355.05,361.15,637.2,331.0,BSOFT
2025-09-25,372.0,372.0,364.0,365.25,638.0,331.0,BSOFT
2025-09-24,373.25,374.05,368.5,369.25,638.0,331.0,BSOFT
2025-09-23,373.45,377.55,371.1,372.35,653.85,331.0,BSOFT
2025-09-22,370.55,378.65,370.55,372.25,653.85,331.0,BSOFT
2025-09-19,388.5,388.5,381.0,381.45,653.85,331.0,BSOFT
2025-09-18,385.95,392.4,383.7,388.25,665.6,331.0,BSOFT
2025-09-17,379.9,387.8,378.35,381.0,665.6,331.0,BSOFT
2025-09-16,378.0,382.0,375.45,378.35,665.6,331.0,BSOFT
2025-09-15,375.6,378.45,373.2,376.55,665.6,331.0,BSOFT
2025-09-12,378.05,379.0,371.25,373.6,665.6,331.0,BSOFT
2025-09-11,384.95,384.95,374.95,375.55,665.6,331.0,BSOFT
2025-09-10,376.0,389.55,375.15,382.7,676.2,331.0,BSOFT
2025-09-09,374.95,380.5,373.0,373.85,676.2,331.0,BSOFT
2025-09-08,376.0,378.25,372.0,372.8,676.2,331.0,BSOFT
2025-09-05,373.8,381.0,373.15,375.6,678.95,331.0,BSOFT
2025-09-04,378.95,381.7,372.0,373.8,678.95,331.0,BSOFT
2025-09-03,377.0,379.3,373.4,377.05,689.15,331.0,BSOFT
2025-09-02,377.0,379.3,373.15,376.9,689.15,331.0,BSOFT
2025-09-01,369.0,376.95,369.0,375.0,689.15,331.0,BSOFT
2025-08-29,370.0,373.4,365.15,368.1,689.15,331.0,BSOFT
2025-08-28,369.0,374.0,362.8,369.75,689.15,331.0,BSOFT
2025-08-26,378.95,380.05,368.0,369.6,689.15,331.0,BSOFT
2025-08-25,377.95,388.55,377.3,379.4,689.15,331.0,BSOFT
2025-08-22,381.2,384.4,374.0,375.4,689.15,331.0,BSOFT
2025-08-21,384.2,388.95,379.65,381.2,689.15,331.0,BSOFT
2025-08-20,372.1,384.9,371.1,383.65,689.15,331.0,BSOFT
2025-08-19,370.0,373.45,369.45,372.15,689.15,331.0,BSOFT
2025-08-18,371.0,374.7,368.15,370.0,689.15,331.0,BSOFT
2025-08-14,371.9,378.25,368.0,369.15,689.15,331.0,BSOFT
2025-08-13,374.0,375.9,369.9,370.8,689.15,331.0,BSOFT
2025-08-12,375.15,379.55,369.3,371.15,689.15,331.0,BSOFT
2025-08-11,372.2,376.85,368.25,373.3,689.15,331.0,BSOFT
2025-08-08,381.5,381.5,367.65,372.2,689.15,331.0,BSOFT
2025-08-07,383.0,387.2,376.0,381.95,689.15,331.0,BSOFT
2025-08-06,393.95,395.4,384.4,386.0,689.15,331.0,BSOFT
2025-08-05,405.7,406.45,391.8,393.25,689.15,331.0,BSOFT
2025-08-04,400.1,405.0,392.5,403.95,689.15,331.0,BSOFT
2025-08-01,391.5,404.55,391.5,400.85,715.55,331.0,BSOFT
2025-07-31,412.0,412.1,389.0,391.5,722.85,331.0,BSOFT
2025-07-30,407.75,422.35,406.4,414.75,733.75,331.0,BSOFT
2025-07-29,384.65,412.8,383.9,409.75,733.75,331.0,BSOFT
2025-07-28,394.1,399.15,382.0,385.25,733.75,331.0,BSOFT
2025-07-25,396.45,400.8,391.5,395.8,733.75,331.0,BSOFT
2025-07-24,406.9,406.9,395.5,396.2,733.75,331.0,BSOFT
2025-07-23,406.0,409.85,400.0,403.85,733.75,331.0,BSOFT
2025-07-22,418.0,418.3,403.05,404.3,760.45,331.0,BSOFT
2025-07-21,419.75,421.95,415.2,416.65,760.45,331.0,BSOFT
2025-07-18,431.1,433.4,418.1,419.75,760.45,331.0,BSOFT
2025-07-17,435.0,436.4,430.9,432.25,760.45,331.0,BSOFT
2025-07-16,430.0,435.75,426.35,433.45,760.45,331.0,BSOFT
2025-07-15,418.6,432.5,418.55,430.05,760.45,331.0,BSOFT
2025-07-14,418.9,421.05,413.8,418.6,760.45,331.0,BSOFT
2025-07-11,423.0,428.85,416.0,418.95,760.45,331.0,BSOFT
2025-07-10,430.25,431.4,422.45,427.95,760.45,331.0,BSOFT
2025-07-09,433.95,434.2,428.3,429.35,760.45,331.0,BSOFT
2025-07-08,433.2,436.85,431.3,434.25,760.45,331.0,BSOFT
2025-07-07,436.75,438.8,432.0,433.15,760.45,331.0,BSOFT
2025-07-04,438.5,441.45,433.1,435.25,760.45,331.0,BSOFT
2025-07-03,443.05,445.0,437.45,438.3,760.45,331.0,BSOFT
2025-07-02,438.5,446.0,437.55,442.1,760.45,331.0,BSOFT
2025-07-01,434.7,439.8,431.45,438.25,760.45,331.0,BSOFT
2025-06-30,434.4,437.1,428.9,433.5,760.45,331.0,BSOFT
2025-06-27,446.0,452.0,431.15,432.2,760.45,331.0,BSOFT
2025-06-26,446.0,447.5,436.25,442.2,760.45,331.0,BSOFT
2025-06-25,426.9,445.5,424.3,443.65,760.45,331.0,BSOFT
