DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-24,126.5,126.93,124.73,125.7,130.14,78.6,CANBK
2025-10-23,127.6,127.88,125.82,126.24,130.14,78.6,CANBK
2025-10-21,128.24,128.8,126.45,127.12,130.14,78.6,CANBK
2025-10-20,126.2,129.45,126.11,127.59,130.14,78.6,CANBK
2025-10-17,127.37,127.55,124.6,125.49,130.14,78.6,CANBK
2025-10-16,128.99,130.14,127.19,127.37,130.14,78.6,CANBK
2025-10-15,125.8,128.8,125.6,128.41,128.8,78.6,CANBK
2025-10-14,127.35,127.8,124.6,125.22,128.6,78.6,CANBK
2025-10-13,127.3,128.39,126.36,127.64,128.6,78.6,CANBK
2025-10-10,126.5,128.6,126.35,127.39,128.6,78.6,CANBK
2025-10-09,126.49,126.99,125.51,126.17,128.55,78.6,CANBK
2025-10-08,128.5,128.55,124.7,126.04,128.55,78.6,CANBK
2025-10-07,126.86,128.5,125.75,128.06,128.5,78.6,CANBK
2025-10-06,126.0,127.95,125.87,126.76,127.95,78.6,CANBK
2025-10-03,123.77,126.42,123.32,125.9,126.42,78.6,CANBK
2025-10-01,124.3,124.5,121.17,123.76,124.55,78.6,CANBK
2025-09-30,121.25,124.45,120.92,123.71,124.55,78.6,CANBK
2025-09-29,118.58,121.4,118.26,120.48,124.55,78.6,CANBK
2025-09-26,121.35,121.55,117.5,118.08,124.55,78.6,CANBK
2025-09-25,122.9,123.33,121.21,121.44,124.55,78.6,CANBK
2025-09-24,122.7,124.55,122.25,122.91,124.55,78.6,CANBK
2025-09-23,118.77,122.09,116.93,121.9,122.09,78.6,CANBK
2025-09-22,117.64,119.72,117.3,118.87,119.72,78.6,CANBK
2025-09-19,115.7,118.4,115.55,117.76,119.3,78.6,CANBK
2025-09-18,116.9,117.7,114.7,115.41,119.3,78.6,CANBK
2025-09-17,113.44,116.39,113.01,116.25,119.3,78.6,CANBK
2025-09-16,113.45,113.86,112.51,113.23,119.3,78.6,CANBK
2025-09-15,111.49,113.0,111.21,112.51,119.3,78.6,CANBK
2025-09-12,112.88,112.89,110.79,110.96,119.3,78.6,CANBK
2025-09-11,111.07,113.4,110.64,112.07,119.3,78.6,CANBK
2025-09-10,108.25,111.25,108.25,110.64,119.3,78.6,CANBK
2025-09-09,108.11,108.8,107.36,108.04,119.3,78.6,CANBK
2025-09-08,107.49,108.65,107.12,108.11,119.3,78.6,CANBK
2025-09-05,106.3,107.63,105.61,107.14,119.3,78.6,CANBK
2025-09-04,108.9,109.2,105.94,106.08,119.3,78.6,CANBK
2025-09-03,106.45,108.48,106.11,108.33,119.3,78.6,CANBK
2025-09-02,105.4,107.0,104.75,106.16,119.3,78.6,CANBK
2025-09-01,104.0,105.26,104.0,105.14,119.3,78.6,CANBK
2025-08-29,104.44,105.18,103.55,103.83,119.3,78.6,CANBK
2025-08-28,106.05,106.49,104.5,104.63,119.3,78.6,CANBK
2025-08-26,108.82,109.06,105.83,106.01,119.3,78.6,CANBK
2025-08-25,110.0,110.98,108.51,108.82,119.3,78.6,CANBK
2025-08-22,111.06,111.78,109.8,109.93,119.3,78.6,CANBK
2025-08-21,112.7,113.0,110.98,111.07,119.3,78.6,CANBK
2025-08-20,112.0,112.71,111.7,112.28,119.3,78.6,CANBK
2025-08-19,109.5,111.9,109.05,111.67,119.3,78.6,CANBK
2025-08-18,110.0,110.42,108.9,109.34,119.3,78.6,CANBK
2025-08-14,109.5,109.88,108.63,109.26,119.3,78.6,CANBK
2025-08-13,109.8,110.49,108.55,108.99,119.3,78.6,CANBK
2025-08-12,109.69,110.25,109.04,109.55,119.3,78.6,CANBK
2025-08-11,107.8,109.89,107.3,109.48,119.3,78.6,CANBK
2025-08-08,108.8,109.02,107.54,107.89,119.3,78.6,CANBK
2025-08-07,108.5,109.19,106.75,108.8,119.3,78.6,CANBK
2025-08-06,107.99,110.0,106.11,108.77,119.3,78.6,CANBK
2025-08-05,107.75,108.3,106.9,107.46,119.3,78.6,CANBK
2025-08-04,106.0,107.94,106.0,107.75,119.3,78.6,CANBK
2025-08-01,107.25,107.4,105.75,105.89,119.3,78.6,CANBK
2025-07-31,107.05,108.36,106.1,107.25,119.3,78.6,CANBK
2025-07-30,110.46,110.54,108.1,108.2,119.3,78.6,CANBK
2025-07-29,110.01,111.39,109.53,110.09,119.3,78.6,CANBK
2025-07-28,110.7,112.84,109.89,110.41,119.3,78.6,CANBK
2025-07-25,113.86,115.7,110.5,110.76,119.3,78.6,CANBK
2025-07-24,108.5,113.99,107.2,113.51,119.3,78.6,CANBK
2025-07-23,108.05,108.33,106.3,107.8,119.3,78.6,CANBK
2025-07-22,112.69,112.7,107.71,108.05,119.3,78.6,CANBK
2025-07-21,114.67,114.7,111.4,112.03,119.3,78.6,CANBK
2025-07-18,115.5,116.1,114.25,114.45,119.3,78.6,CANBK
2025-07-17,117.5,117.5,114.91,115.53,119.3,78.6,CANBK
2025-07-16,114.85,117.35,114.61,117.03,119.3,78.6,CANBK
2025-07-15,113.79,115.8,113.63,114.87,119.3,78.6,CANBK
2025-07-14,111.99,115.3,111.9,113.67,119.3,78.6,CANBK
2025-07-11,112.38,113.49,111.21,111.92,119.3,78.6,CANBK
2025-07-10,113.95,114.5,111.7,112.39,119.3,78.6,CANBK
2025-07-09,113.6,114.45,113.4,113.96,119.3,78.6,CANBK
