DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,119.5,121.9,115.53,120.31,128.2,106.0,CANHLIFE
2025-11-13,121.0,122.9,120.0,120.99,128.2,106.0,CANHLIFE
2025-11-12,121.04,123.4,120.75,121.39,128.2,106.0,CANHLIFE
2025-11-11,121.0,122.13,120.53,121.04,128.2,106.0,CANHLIFE
2025-11-10,122.8,128.2,120.13,121.04,128.2,106.0,CANHLIFE
2025-11-07,119.87,125.79,119.87,122.86,125.99,106.0,CANHLIFE
2025-11-06,120.15,122.0,118.2,121.51,125.99,106.0,CANHLIFE
2025-11-04,119.0,123.65,117.52,118.46,125.99,106.0,CANHLIFE
2025-11-03,116.36,118.72,114.56,117.72,125.99,106.0,CANHLIFE
2025-10-31,118.0,119.59,115.41,116.36,125.99,106.0,CANHLIFE
2025-10-30,117.0,119.74,117.0,118.14,125.99,106.0,CANHLIFE
2025-10-29,120.0,120.73,115.3,117.32,125.99,106.0,CANHLIFE
2025-10-28,120.95,124.0,116.5,120.47,125.99,106.0,CANHLIFE
2025-10-27,121.7,123.8,119.05,121.54,125.99,106.0,CANHLIFE
2025-10-24,113.0,125.99,111.37,121.73,125.99,106.0,CANHLIFE
2025-10-23,108.0,113.8,107.1,113.05,113.8,106.0,CANHLIFE
2025-10-21,110.1,110.1,108.0,108.62,112.8,106.0,CANHLIFE
2025-10-20,112.02,112.7,106.61,110.4,112.8,106.0,CANHLIFE
2025-10-17,106.0,112.8,106.0,111.42,112.8,106.0,CANHLIFE
