DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,4024.0,4074.2,3965.1,3986.4,4438.0,2343.05,CEATLTD
2025-11-13,4090.0,4148.3,3967.6,4005.1,4438.0,2343.05,CEATLTD
2025-11-12,4128.0,4128.1,4018.0,4071.0,4438.0,2343.05,CEATLTD
2025-11-11,4114.8,4149.0,4059.0,4087.3,4438.0,2343.05,CEATLTD
2025-11-10,4036.0,4136.0,4010.0,4114.8,4438.0,2343.05,CEATLTD
2025-11-07,3955.1,4060.0,3903.5,4026.0,4438.0,2343.05,CEATLTD
2025-11-06,4008.0,4055.6,3942.0,3970.6,4438.0,2343.05,CEATLTD
2025-11-04,4051.9,4199.0,3979.6,4003.4,4438.0,2343.05,CEATLTD
2025-11-03,4056.0,4132.0,4021.0,4028.7,4438.0,2343.05,CEATLTD
2025-10-31,4105.8,4153.8,4013.5,4032.7,4438.0,2343.05,CEATLTD
2025-10-30,4034.0,4165.0,4004.8,4104.1,4438.0,2343.05,CEATLTD
2025-10-29,4109.0,4109.9,3940.0,4014.8,4438.0,2343.05,CEATLTD
2025-10-28,4103.9,4148.6,4051.8,4079.2,4438.0,2343.05,CEATLTD
2025-10-27,4141.0,4215.7,4019.9,4052.6,4438.0,2343.05,CEATLTD
2025-10-24,4262.5,4299.0,4111.7,4140.9,4438.0,2343.05,CEATLTD
2025-10-23,4250.1,4438.0,4236.0,4302.7,4438.0,2343.05,CEATLTD
2025-10-21,4179.1,4350.6,4122.9,4289.7,4350.6,2343.05,CEATLTD
2025-10-20,3758.0,4255.0,3728.7,4203.9,4255.0,2343.05,CEATLTD
2025-10-17,3710.0,3775.0,3655.9,3732.4,4044.0,2343.05,CEATLTD
2025-10-16,3580.0,3722.0,3555.5,3699.0,4044.0,2343.05,CEATLTD
2025-10-15,3473.1,3569.0,3445.5,3555.3,4044.0,2343.05,CEATLTD
2025-10-14,3599.0,3604.0,3455.0,3473.1,4044.0,2343.05,CEATLTD
2025-10-13,3537.0,3590.0,3501.0,3578.6,4044.0,2343.05,CEATLTD
2025-10-10,3503.9,3568.0,3503.9,3539.9,4044.0,2343.05,CEATLTD
2025-10-09,3499.3,3521.9,3472.0,3503.6,4044.0,2343.05,CEATLTD
2025-10-08,3460.0,3560.0,3425.8,3506.6,4044.0,2343.05,CEATLTD
2025-10-07,3470.0,3489.7,3447.5,3470.8,4044.0,2343.05,CEATLTD
2025-10-06,3511.1,3511.1,3435.0,3470.2,4044.0,2343.05,CEATLTD
2025-10-03,3479.1,3519.7,3467.3,3511.1,4044.0,2343.05,CEATLTD
2025-10-01,3384.7,3495.0,3363.6,3488.4,4044.0,2343.05,CEATLTD
2025-09-30,3376.5,3450.0,3353.6,3383.4,4044.0,2343.05,CEATLTD
2025-09-29,3408.0,3420.4,3340.1,3354.0,4044.0,2343.05,CEATLTD
2025-09-26,3449.0,3449.0,3370.0,3399.5,4044.0,2343.05,CEATLTD
2025-09-25,3435.2,3482.0,3412.0,3453.0,4044.0,2343.05,CEATLTD
2025-09-24,3474.6,3509.3,3428.0,3454.9,4044.0,2343.05,CEATLTD
2025-09-23,3499.8,3585.0,3461.1,3474.6,4044.0,2343.05,CEATLTD
2025-09-22,3399.0,3487.0,3386.2,3470.6,4044.0,2343.05,CEATLTD
2025-09-19,3440.6,3452.6,3375.0,3396.2,4044.0,2343.05,CEATLTD
2025-09-18,3431.9,3450.0,3409.7,3440.6,4044.0,2343.05,CEATLTD
2025-09-17,3445.0,3500.0,3416.0,3430.1,4044.0,2343.05,CEATLTD
2025-09-16,3340.1,3456.0,3317.0,3445.9,4044.0,2343.05,CEATLTD
2025-09-15,3304.7,3364.0,3285.0,3345.0,4044.0,2343.05,CEATLTD
2025-09-12,3305.4,3328.0,3273.2,3280.4,4044.0,2343.05,CEATLTD
2025-09-11,3378.0,3378.0,3295.0,3305.4,4044.0,2343.05,CEATLTD
2025-09-10,3398.5,3398.5,3350.1,3378.4,4044.0,2343.05,CEATLTD
2025-09-09,3399.9,3399.9,3342.0,3376.7,4044.0,2343.05,CEATLTD
2025-09-08,3409.9,3417.4,3355.0,3384.5,4044.0,2343.05,CEATLTD
2025-09-05,3368.6,3368.6,3303.2,3350.7,4044.0,2343.05,CEATLTD
2025-09-04,3452.0,3459.1,3321.2,3344.3,4044.0,2343.05,CEATLTD
2025-09-03,3376.0,3379.5,3282.0,3319.0,4044.0,2343.05,CEATLTD
2025-09-02,3219.7,3394.8,3219.3,3376.0,4044.0,2343.05,CEATLTD
