DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,620.15,627.95,612.05,625.4,861.2,494.75,CELLO
2025-11-13,613.95,630.9,612.2,623.8,861.2,494.75,CELLO
2025-11-12,621.45,625.0,605.15,611.3,861.2,494.75,CELLO
2025-11-11,595.0,621.0,582.05,618.05,861.2,494.75,CELLO
2025-11-10,638.45,651.2,617.05,631.9,861.2,494.75,CELLO
2025-11-07,641.0,644.45,625.4,635.3,870.15,494.75,CELLO
2025-11-06,636.9,656.7,630.65,643.2,870.15,494.75,CELLO
2025-11-04,647.0,647.7,630.45,636.9,870.15,494.75,CELLO
2025-11-03,654.95,664.2,643.6,648.1,870.15,494.75,CELLO
2025-10-31,661.0,663.5,652.3,654.65,870.15,494.75,CELLO
2025-10-30,666.75,673.8,655.0,659.3,870.15,494.75,CELLO
2025-10-29,625.8,668.0,624.0,660.6,870.15,494.75,CELLO
2025-10-28,645.0,648.9,619.05,623.75,870.15,494.75,CELLO
2025-10-27,635.0,652.0,629.5,646.35,870.15,494.75,CELLO
2025-10-24,632.0,645.0,625.05,630.7,872.4,494.75,CELLO
2025-10-23,619.0,641.9,604.0,629.6,872.4,494.75,CELLO
2025-10-21,611.05,619.05,610.3,614.85,872.4,494.75,CELLO
2025-10-20,604.55,615.85,595.3,611.3,872.4,494.75,CELLO
2025-10-17,602.05,611.0,595.0,600.85,899.0,494.75,CELLO
2025-10-16,604.0,609.1,598.0,602.05,899.0,494.75,CELLO
2025-10-15,603.75,613.5,597.5,604.95,899.0,494.75,CELLO
2025-10-14,608.0,608.0,595.0,603.75,899.0,494.75,CELLO
2025-10-13,600.5,624.0,600.5,603.6,899.0,494.75,CELLO
2025-10-10,602.0,613.0,596.3,600.1,900.0,494.75,CELLO
2025-10-09,591.1,605.75,584.8,602.25,900.0,494.75,CELLO
2025-10-08,595.95,596.5,583.4,592.15,900.0,494.75,CELLO
2025-10-07,583.95,597.8,581.65,593.25,900.0,494.75,CELLO
2025-10-06,596.75,599.4,578.35,583.6,900.0,494.75,CELLO
2025-10-03,576.9,598.75,569.1,596.7,922.4,494.75,CELLO
2025-10-01,576.0,578.3,569.6,574.5,922.4,494.75,CELLO
2025-09-30,570.0,580.0,567.0,576.0,922.4,494.75,CELLO
2025-09-29,566.5,580.5,562.1,568.05,922.4,494.75,CELLO
2025-09-26,585.0,587.95,565.55,566.5,922.4,494.75,CELLO
2025-09-25,595.0,599.15,583.1,586.15,922.4,494.75,CELLO
2025-09-24,610.05,611.95,596.2,597.85,922.4,494.75,CELLO
2025-09-23,619.0,619.0,609.25,611.95,922.4,494.75,CELLO
2025-09-22,612.0,622.9,611.9,618.05,922.4,494.75,CELLO
2025-09-19,623.25,624.8,610.0,611.7,924.95,494.75,CELLO
2025-09-18,628.5,628.5,617.6,624.25,924.95,494.75,CELLO
2025-09-17,626.05,629.0,615.2,624.75,924.95,494.75,CELLO
2025-09-16,638.8,642.0,623.35,626.15,924.95,494.75,CELLO
2025-09-15,624.0,638.7,623.05,634.5,924.95,494.75,CELLO
2025-09-12,629.0,629.9,617.3,623.7,927.0,494.75,CELLO
2025-09-11,612.35,629.45,612.35,626.4,927.0,494.75,CELLO
2025-09-10,612.35,619.9,605.6,615.1,927.0,494.75,CELLO
2025-09-09,621.0,621.05,604.0,606.35,927.0,494.75,CELLO
2025-09-08,610.0,623.95,605.0,613.45,927.0,494.75,CELLO
2025-09-05,585.05,610.9,585.0,604.0,927.0,494.75,CELLO
2025-09-04,585.0,593.5,578.8,584.55,927.0,494.75,CELLO
2025-09-03,569.9,579.7,561.3,575.85,927.0,494.75,CELLO
2025-09-02,538.0,573.95,531.5,568.75,927.0,494.75,CELLO
2025-09-01,540.6,545.4,531.6,535.0,927.0,494.75,CELLO
2025-08-29,532.5,542.2,532.5,539.45,927.0,494.75,CELLO
2025-08-28,543.35,547.0,534.55,536.0,927.0,494.75,CELLO
2025-08-26,534.3,550.0,523.1,543.35,927.0,494.75,CELLO
2025-08-25,545.0,550.5,533.55,535.45,927.0,494.75,CELLO
2025-08-22,544.05,547.2,538.0,539.6,927.6,494.75,CELLO
2025-08-21,555.3,555.3,539.15,541.8,927.6,494.75,CELLO
2025-08-20,540.95,563.0,540.95,549.3,927.6,494.75,CELLO
2025-08-19,530.95,541.65,527.95,539.4,927.6,494.75,CELLO
2025-08-18,538.35,540.0,527.2,529.75,927.6,494.75,CELLO
2025-08-14,544.85,545.7,528.05,530.4,927.6,494.75,CELLO
2025-08-13,564.75,568.05,538.3,541.9,927.6,494.75,CELLO
2025-08-12,567.0,568.35,551.95,563.35,927.6,494.75,CELLO
2025-08-11,569.7,571.0,556.0,569.1,927.6,494.75,CELLO
2025-08-08,575.0,578.2,567.5,570.45,941.45,494.75,CELLO
2025-08-07,570.0,579.9,566.55,578.05,941.45,494.75,CELLO
2025-08-06,583.95,586.9,570.0,573.8,941.45,494.75,CELLO
2025-08-05,580.4,585.3,576.8,580.5,941.45,494.75,CELLO
2025-08-04,592.1,594.05,579.0,580.35,941.45,494.75,CELLO
2025-08-01,592.0,599.65,590.1,591.85,980.0,494.75,CELLO
2025-07-31,589.9,595.9,580.7,594.85,980.0,494.75,CELLO
2025-07-30,594.85,600.0,588.95,591.3,980.0,494.75,CELLO
2025-07-29,594.95,598.0,586.0,592.1,980.0,494.75,CELLO
2025-07-28,598.55,600.35,587.5,590.55,980.0,494.75,CELLO
2025-07-25,612.95,612.95,587.35,595.35,980.0,494.75,CELLO
2025-07-24,604.7,613.15,604.7,608.55,980.0,494.75,CELLO
2025-07-23,611.4,612.45,602.95,604.65,980.0,494.75,CELLO
2025-07-22,613.1,618.8,608.2,609.9,980.0,494.75,CELLO
2025-07-21,623.0,627.05,610.95,612.9,980.0,494.75,CELLO
2025-07-18,635.9,637.3,618.05,620.95,1014.35,494.75,CELLO
2025-07-17,627.55,643.7,624.15,632.75,1014.35,494.75,CELLO
2025-07-16,637.0,642.9,624.85,627.55,1014.35,494.75,CELLO
2025-07-15,625.0,643.0,625.0,638.4,1014.35,494.75,CELLO
2025-07-14,625.7,631.6,623.3,627.05,1014.35,494.75,CELLO
2025-07-11,636.15,637.35,623.05,625.65,1014.35,494.75,CELLO
2025-07-10,639.8,641.95,627.5,638.65,1014.35,494.75,CELLO
2025-07-09,642.35,647.3,631.9,635.2,1014.35,494.75,CELLO
2025-07-08,649.0,651.25,636.05,642.75,1014.35,494.75,CELLO
2025-07-07,641.4,650.7,628.9,647.95,1014.35,494.75,CELLO
2025-07-04,620.9,655.0,616.6,641.4,1025.0,494.75,CELLO
2025-07-03,607.95,627.9,600.95,620.9,1025.0,494.75,CELLO
2025-07-02,603.75,611.0,599.2,607.95,1025.0,494.75,CELLO
2025-07-01,609.0,611.9,594.0,605.6,1025.0,494.75,CELLO
2025-06-30,605.0,612.0,600.75,610.25,1025.0,494.75,CELLO
2025-06-27,609.8,613.7,595.55,601.65,1025.0,494.75,CELLO
2025-06-26,581.3,614.1,581.3,606.15,1025.0,494.75,CELLO
2025-06-25,579.45,587.45,575.4,580.2,1025.0,494.75,CELLO
2025-06-24,580.0,587.7,570.3,573.75,1025.0,494.75,CELLO
2025-06-23,565.0,580.35,564.0,577.2,1025.0,494.75,CELLO
2025-06-20,585.0,591.65,566.65,571.25,1025.0,494.75,CELLO
2025-06-19,601.0,605.9,582.1,584.2,1025.0,494.75,CELLO
2025-06-18,603.0,607.7,595.05,603.4,1025.0,494.75,CELLO
2025-06-17,610.95,610.95,596.5,598.9,1025.0,494.75,CELLO
2025-06-16,600.0,611.8,595.1,606.6,1025.0,494.75,CELLO
2025-06-13,596.45,610.95,591.55,600.45,1025.0,494.75,CELLO
2025-06-12,624.8,626.95,606.05,608.6,1025.0,494.75,CELLO
2025-06-11,621.2,631.0,621.2,624.75,1025.0,494.75,CELLO
2025-06-10,611.95,623.0,611.95,621.2,1025.0,494.75,CELLO
2025-06-09,616.05,618.1,608.15,611.1,1025.0,494.75,CELLO
2025-06-06,608.8,616.0,604.2,610.9,1025.0,494.75,CELLO
2025-06-05,605.9,611.95,603.05,606.65,1025.0,494.75,CELLO
2025-06-04,604.0,605.5,591.6,601.9,1025.0,494.75,CELLO
2025-06-03,625.1,625.1,599.0,601.1,1025.0,494.75,CELLO
2025-06-02,616.05,629.15,613.0,624.5,1025.0,494.75,CELLO
2025-05-30,641.9,648.0,612.7,616.05,1025.0,494.75,CELLO
2025-05-29,621.5,647.0,621.5,641.5,1025.0,494.75,CELLO
2025-05-28,634.0,634.45,620.0,622.5,1025.0,494.75,CELLO
2025-05-27,624.35,638.0,617.1,630.5,1025.0,494.75,CELLO
2025-05-26,620.0,630.35,607.2,623.15,1025.0,494.75,CELLO
2025-05-23,619.95,619.95,608.6,614.3,1025.0,494.75,CELLO
2025-05-22,608.45,619.0,603.55,613.8,1025.0,494.75,CELLO
2025-05-21,601.4,615.45,594.85,606.8,1025.0,494.75,CELLO
2025-05-20,621.6,634.45,600.5,603.85,1025.0,494.75,CELLO
2025-05-19,602.05,626.1,599.0,621.4,1025.0,494.75,CELLO
2025-05-16,603.0,607.0,590.1,600.2,1025.0,494.75,CELLO
2025-05-15,593.5,602.0,590.0,598.35,1025.0,494.75,CELLO
2025-05-14,571.3,588.0,568.95,586.2,1025.0,494.75,CELLO
2025-05-13,558.65,572.0,556.4,569.0,1025.0,494.75,CELLO
2025-05-12,557.0,565.0,549.65,558.65,1025.0,494.75,CELLO
2025-05-09,535.0,538.4,527.0,534.35,1025.0,494.75,CELLO
2025-05-08,554.9,568.05,536.3,537.9,1025.0,494.75,CELLO
2025-05-07,540.0,557.9,535.6,554.45,1025.0,494.75,CELLO
2025-05-06,570.0,580.8,549.7,552.7,1025.0,494.75,CELLO
2025-05-05,539.0,573.0,536.35,568.3,1025.0,494.75,CELLO
2025-05-02,549.7,556.45,540.45,541.15,1025.0,494.75,CELLO
2025-04-30,555.0,557.05,546.85,549.7,1025.0,494.75,CELLO
2025-04-29,558.0,565.2,555.55,558.0,1025.0,494.75,CELLO
2025-04-28,563.05,565.95,553.75,559.75,1025.0,494.75,CELLO
2025-04-25,580.1,584.95,558.0,563.05,1025.0,494.75,CELLO
2025-04-24,578.6,587.05,576.15,582.9,1025.0,494.75,CELLO
2025-04-23,585.55,588.55,575.3,581.65,1025.0,494.75,CELLO
2025-04-22,587.05,593.85,578.05,584.85,1025.0,494.75,CELLO
2025-04-21,598.0,598.0,581.55,584.3,1025.0,494.75,CELLO
2025-04-17,579.0,603.45,570.4,590.95,1025.0,494.75,CELLO
2025-04-16,545.0,563.95,543.65,562.05,1025.0,494.75,CELLO
2025-04-15,530.0,550.85,526.0,545.35,1025.0,494.75,CELLO
2025-04-11,530.0,537.65,517.0,523.75,1025.0,494.75,CELLO
2025-04-09,521.75,529.95,515.5,519.4,1025.0,494.75,CELLO
2025-04-08,527.65,528.55,512.55,524.45,1025.0,494.75,CELLO
2025-04-07,499.0,520.5,494.75,517.5,1025.0,494.75,CELLO
2025-04-04,543.95,545.35,525.0,532.5,1025.0,523.95,CELLO
2025-04-03,542.15,546.6,540.0,543.95,1025.0,523.95,CELLO
2025-04-02,546.5,548.7,540.05,544.95,1025.0,523.95,CELLO
2025-04-01,540.0,555.5,540.0,546.0,1025.0,523.95,CELLO
2025-03-28,565.9,574.75,538.85,546.25,1025.0,523.95,CELLO
2025-03-27,550.0,580.05,547.5,562.9,1025.0,523.95,CELLO
2025-03-26,555.85,561.75,547.2,557.75,1025.0,523.95,CELLO
2025-03-25,574.0,579.9,548.75,550.35,1025.0,523.95,CELLO
2025-03-24,587.0,589.9,568.5,572.7,1025.0,523.95,CELLO
2025-03-21,549.4,597.95,533.3,577.9,1025.0,523.95,CELLO
2025-03-20,550.25,563.4,543.0,544.5,1025.0,523.95,CELLO
2025-03-19,547.55,553.0,545.6,550.1,1025.0,523.95,CELLO
2025-03-18,536.15,559.75,533.85,543.35,1025.0,523.95,CELLO
2025-03-17,538.0,544.6,532.5,535.0,1025.0,523.95,CELLO
2025-03-13,540.25,546.0,531.25,537.55,1025.0,523.95,CELLO
2025-03-12,538.0,547.0,531.0,536.1,1025.0,523.95,CELLO
2025-03-11,535.0,541.7,527.2,536.9,1025.0,523.95,CELLO
2025-03-10,551.4,558.1,535.9,541.75,1025.0,523.95,CELLO
2025-03-07,544.3,556.95,540.4,550.35,1025.0,523.95,CELLO
2025-03-06,566.0,571.6,546.1,547.3,1025.0,523.95,CELLO
2025-03-05,572.5,582.0,554.55,561.7,1025.0,523.95,CELLO
2025-03-04,538.2,580.95,523.95,564.05,1025.0,523.95,CELLO
2025-03-03,561.05,565.0,538.3,540.85,1025.0,538.3,CELLO
2025-02-28,560.95,565.7,550.05,553.9,1025.0,550.05,CELLO
2025-02-27,584.5,589.2,557.9,560.55,1025.0,557.9,CELLO
2025-02-25,590.0,597.0,575.9,579.2,1025.0,575.9,CELLO
2025-02-24,587.0,593.7,580.55,588.5,1025.0,580.55,CELLO
2025-02-21,598.1,611.0,595.7,599.05,1025.0,591.75,CELLO
2025-02-20,605.55,617.95,598.6,601.65,1025.0,591.75,CELLO
2025-02-19,607.95,612.4,598.55,605.45,1025.0,591.75,CELLO
2025-02-18,622.2,629.9,603.25,614.1,1025.0,591.75,CELLO
2025-02-17,617.9,625.0,591.75,620.4,1025.0,591.75,CELLO
2025-02-14,618.8,620.1,597.0,612.15,1025.0,596.0,CELLO
2025-02-13,619.0,627.25,612.45,617.05,1025.0,596.0,CELLO
2025-02-12,605.0,630.9,596.0,618.4,1025.0,596.0,CELLO
2025-02-11,630.05,632.55,616.1,619.75,1025.0,615.75,CELLO
