DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,781.1,819.75,781.1,811.15,1230.0,500.45,CHEMFAB
2025-04-25,848.0,848.0,780.05,785.75,1230.0,500.45,CHEMFAB
2025-04-24,857.8,857.8,830.6,834.6,1230.0,500.45,CHEMFAB
2025-04-23,884.95,885.05,850.75,856.15,1230.0,500.45,CHEMFAB
2025-04-22,829.85,881.0,819.55,870.6,1230.0,500.45,CHEMFAB
2025-04-21,863.85,887.0,826.65,833.6,1230.0,500.45,CHEMFAB
2025-04-17,855.75,871.7,845.7,863.85,1230.0,500.45,CHEMFAB
2025-04-16,808.8,875.0,808.8,860.95,1230.0,500.45,CHEMFAB
2025-04-15,835.5,869.8,808.5,815.95,1230.0,500.45,CHEMFAB
2025-04-11,806.8,850.15,795.0,835.5,1230.0,500.45,CHEMFAB
2025-04-09,765.0,824.0,748.05,812.3,1230.0,500.45,CHEMFAB
2025-04-08,829.95,834.95,761.2,773.45,1230.0,500.45,CHEMFAB
2025-04-07,668.4,827.95,650.05,796.5,1230.0,500.45,CHEMFAB
2025-04-04,715.5,724.35,701.5,708.4,1230.0,500.45,CHEMFAB
2025-04-03,730.75,740.95,717.0,724.35,1230.0,500.45,CHEMFAB
2025-04-02,749.55,749.55,722.15,728.95,1230.0,500.45,CHEMFAB
2025-04-01,700.0,761.95,700.0,743.55,1230.0,500.45,CHEMFAB
2025-03-28,722.5,729.4,700.0,701.95,1230.0,500.45,CHEMFAB
2025-03-27,709.0,737.45,709.0,722.5,1230.0,500.45,CHEMFAB
2025-03-26,741.0,752.9,705.45,729.0,1230.0,500.45,CHEMFAB
2025-03-25,761.85,761.85,733.1,747.9,1230.0,500.45,CHEMFAB
2025-03-24,773.5,782.2,730.45,746.95,1230.0,500.45,CHEMFAB
2025-03-21,783.6,783.6,756.6,762.2,1230.0,500.45,CHEMFAB
2025-03-20,778.45,791.95,761.05,763.6,1230.0,500.45,CHEMFAB
2025-03-19,764.0,781.85,751.05,768.1,1230.0,500.45,CHEMFAB
2025-03-18,750.1,778.8,740.75,753.45,1230.0,500.45,CHEMFAB
2025-03-17,732.05,766.65,732.05,752.7,1230.0,500.45,CHEMFAB
2025-03-13,740.3,756.25,729.95,739.5,1230.0,500.45,CHEMFAB
2025-03-12,742.8,765.0,731.0,740.3,1230.0,500.45,CHEMFAB
2025-03-11,756.6,815.8,724.6,743.85,1230.0,500.45,CHEMFAB
2025-03-10,794.4,811.2,764.45,776.6,1230.0,500.45,CHEMFAB
2025-03-07,809.15,809.15,769.95,784.4,1230.0,500.45,CHEMFAB
2025-03-06,770.3,803.85,770.3,793.35,1230.0,500.45,CHEMFAB
2025-03-05,766.75,775.7,743.0,770.3,1230.0,500.45,CHEMFAB
2025-03-04,767.2,775.0,738.75,751.8,1230.0,500.45,CHEMFAB
2025-03-03,785.65,790.65,746.2,752.25,1230.0,500.45,CHEMFAB
2025-02-28,787.9,804.0,763.6,785.6,1230.0,500.45,CHEMFAB
2025-02-27,798.15,805.7,776.05,781.8,1230.0,500.45,CHEMFAB
2025-02-25,827.9,843.8,790.0,798.15,1230.0,500.45,CHEMFAB
2025-02-24,831.6,856.75,814.8,837.45,1230.0,500.45,CHEMFAB
2025-02-21,847.75,868.4,825.1,854.7,1230.0,413.55,CHEMFAB
2025-02-20,848.7,848.7,823.05,840.2,1230.0,413.55,CHEMFAB
2025-02-19,847.1,853.8,816.9,832.1,1230.0,413.55,CHEMFAB
2025-02-18,896.65,914.95,816.05,826.4,1230.0,413.55,CHEMFAB
2025-02-17,909.0,909.0,855.05,879.1,1230.0,413.55,CHEMFAB
2025-02-14,906.4,906.95,868.1,897.8,1230.0,398.05,CHEMFAB
2025-02-13,926.5,941.4,910.0,915.7,1230.0,398.05,CHEMFAB
2025-02-12,942.9,944.0,885.0,925.7,1230.0,398.05,CHEMFAB
2025-02-11,948.35,952.45,928.7,941.25,1230.0,398.05,CHEMFAB
2025-02-10,950.05,961.4,926.7,952.15,1230.0,398.05,CHEMFAB
2025-02-07,935.35,999.0,934.35,955.7,1230.0,385.6,CHEMFAB
2025-02-06,956.1,966.5,940.0,940.6,1230.0,385.6,CHEMFAB
2025-02-05,936.3,969.55,927.05,952.3,1230.0,385.6,CHEMFAB
2025-02-04,929.45,975.7,892.65,950.6,1230.0,385.6,CHEMFAB
2025-02-03,935.35,949.3,905.0,920.45,1230.0,385.6,CHEMFAB
2025-02-01,988.75,991.45,939.0,945.5,1230.0,385.6,CHEMFAB
2025-01-31,882.0,996.65,882.0,990.35,1230.0,385.6,CHEMFAB
2025-01-30,1016.0,1023.2,930.3,951.55,1230.0,385.6,CHEMFAB
2025-01-29,995.0,1052.7,904.1,1017.75,1230.0,385.6,CHEMFAB
2025-01-28,928.5,955.55,869.95,877.25,1230.0,385.6,CHEMFAB
2025-01-27,940.0,948.5,900.05,923.65,1230.0,385.6,CHEMFAB
2025-01-24,956.8,976.75,945.0,948.65,1230.0,380.45,CHEMFAB
2025-01-23,970.7,982.9,951.9,956.8,1230.0,380.45,CHEMFAB
2025-01-22,987.7,996.9,950.0,972.75,1230.0,380.45,CHEMFAB
2025-01-21,1011.55,1020.75,985.0,987.25,1230.0,380.45,CHEMFAB
2025-01-20,952.15,1012.95,952.15,1007.65,1230.0,380.45,CHEMFAB
2025-01-17,1001.85,1014.75,964.8,971.65,1230.0,380.45,CHEMFAB
2025-01-16,960.7,1011.0,953.85,997.2,1230.0,380.45,CHEMFAB
2025-01-15,997.9,998.0,955.0,958.65,1230.0,380.45,CHEMFAB
2025-01-14,984.1,1009.45,972.0,975.45,1230.0,380.45,CHEMFAB
2025-01-13,981.0,1025.95,970.0,986.8,1230.0,380.45,CHEMFAB
2025-01-10,1043.2,1043.2,1002.05,1021.8,1230.0,380.45,CHEMFAB
2025-01-09,1015.4,1063.75,1015.4,1037.7,1230.0,380.45,CHEMFAB
2025-01-08,1032.0,1035.0,1008.1,1024.7,1230.0,380.45,CHEMFAB
2025-01-07,1008.75,1037.95,1006.8,1026.55,1230.0,380.45,CHEMFAB
2025-01-06,1033.05,1033.05,985.25,1010.9,1230.0,380.45,CHEMFAB
2025-01-03,1036.0,1068.8,1026.05,1030.0,1230.0,370.25,CHEMFAB
2025-01-02,1034.9,1048.8,1018.1,1037.45,1230.0,370.25,CHEMFAB
2025-01-01,1017.0,1065.9,1017.0,1031.8,1230.0,370.25,CHEMFAB
2024-12-31,1021.7,1031.0,1011.3,1025.9,1230.0,370.25,CHEMFAB
2024-12-30,1043.95,1048.2,1013.0,1031.05,1230.0,370.25,CHEMFAB
2024-12-27,1020.25,1099.0,1009.55,1045.05,1230.0,366.3,CHEMFAB
2024-12-26,1050.0,1089.55,1013.05,1020.25,1230.0,366.3,CHEMFAB
2024-12-24,1071.3,1073.7,1035.0,1051.25,1230.0,366.3,CHEMFAB
2024-12-23,1074.75,1078.0,1050.75,1072.6,1230.0,366.3,CHEMFAB
2024-12-20,1098.15,1098.15,1054.95,1074.75,1230.0,353.6,CHEMFAB
2024-12-19,1070.6,1096.05,1060.0,1081.9,1230.0,353.6,CHEMFAB
2024-12-18,1098.0,1108.0,1061.95,1080.4,1230.0,353.6,CHEMFAB
2024-12-17,1090.05,1095.9,1070.05,1082.8,1230.0,353.6,CHEMFAB
2024-12-16,1135.0,1135.0,1072.4,1090.15,1230.0,353.6,CHEMFAB
2024-12-13,1135.0,1135.0,1101.0,1125.45,1230.0,353.6,CHEMFAB
2024-12-12,1174.0,1174.0,1104.8,1122.5,1230.0,353.6,CHEMFAB
2024-12-11,1060.25,1135.95,1031.1,1124.15,1230.0,353.6,CHEMFAB
2024-12-10,1060.0,1095.65,1030.05,1040.3,1230.0,353.6,CHEMFAB
2024-12-09,1100.0,1113.4,1062.65,1072.0,1230.0,353.6,CHEMFAB
2024-12-06,1090.0,1194.0,1061.0,1121.5,1230.0,353.6,CHEMFAB
2024-12-05,922.0,1011.65,911.4,1011.65,1230.0,353.6,CHEMFAB
2024-12-04,914.05,940.0,910.0,919.7,1230.0,353.6,CHEMFAB
2024-12-03,908.0,934.05,904.0,911.75,1230.0,353.6,CHEMFAB
2024-12-02,937.1,937.1,913.5,918.05,1230.0,353.6,CHEMFAB
2024-11-29,923.0,944.6,911.75,937.1,1230.0,353.6,CHEMFAB
2024-11-28,929.8,934.55,904.6,923.95,1230.0,353.6,CHEMFAB
2024-11-27,928.6,928.6,899.95,901.2,1230.0,353.6,CHEMFAB
2024-11-26,911.0,938.95,900.0,905.95,1230.0,353.6,CHEMFAB
2024-11-25,926.8,943.75,891.05,910.9,1230.0,353.6,CHEMFAB
2024-11-22,944.25,946.15,912.05,926.8,1230.0,353.6,CHEMFAB
2024-11-21,959.95,979.7,921.0,930.3,1230.0,353.6,CHEMFAB
2024-11-19,984.0,986.0,949.95,957.9,1230.0,353.6,CHEMFAB
2024-11-18,982.15,999.0,955.5,967.1,1230.0,353.6,CHEMFAB
2024-11-14,970.55,994.0,957.0,981.15,1230.0,353.6,CHEMFAB
2024-11-13,1025.0,1025.0,957.6,970.55,1230.0,353.6,CHEMFAB
2024-11-12,1010.0,1034.6,978.0,990.4,1230.0,353.6,CHEMFAB
2024-11-11,1007.0,1019.75,981.05,1000.1,1230.0,353.6,CHEMFAB
2024-11-08,1050.0,1050.0,1010.1,1014.65,1230.0,348.3,CHEMFAB
2024-11-07,1049.0,1049.0,1015.05,1022.25,1230.0,348.3,CHEMFAB
2024-11-06,1009.95,1044.1,1005.05,1030.55,1230.0,348.3,CHEMFAB
2024-11-05,1063.0,1070.0,1000.0,1014.45,1230.0,348.3,CHEMFAB
2024-11-04,1130.0,1130.0,1090.0,1110.45,1230.0,348.3,CHEMFAB
2024-11-01,1102.3,1150.0,1100.0,1132.85,1230.0,337.6,CHEMFAB
2024-10-31,1089.05,1110.0,1061.75,1082.3,1230.0,337.6,CHEMFAB
2024-10-30,1064.95,1115.0,1064.65,1102.7,1230.0,337.6,CHEMFAB
2024-10-29,1068.9,1093.6,1050.0,1069.05,1230.0,337.6,CHEMFAB
2024-10-28,1104.55,1104.55,1026.0,1061.15,1230.0,337.6,CHEMFAB
2024-10-25,1108.0,1108.0,1026.2,1085.95,1230.0,337.45,CHEMFAB
2024-10-24,1121.6,1121.6,1070.0,1099.85,1230.0,337.45,CHEMFAB
2024-10-23,1108.0,1119.65,1080.35,1101.6,1230.0,337.45,CHEMFAB
2024-10-22,1134.65,1151.0,1050.0,1095.3,1230.0,337.45,CHEMFAB
2024-10-21,1118.3,1174.95,1110.0,1130.8,1230.0,337.45,CHEMFAB
2024-10-18,1151.6,1183.5,1110.0,1118.45,1230.0,337.45,CHEMFAB
2024-10-17,1180.75,1191.9,1135.0,1147.85,1230.0,337.45,CHEMFAB
2024-10-16,1187.2,1223.95,1158.05,1180.75,1230.0,337.45,CHEMFAB
2024-10-15,1120.0,1230.0,1104.4,1183.5,1230.0,337.45,CHEMFAB
2024-10-14,1138.0,1148.0,1099.55,1119.35,1148.0,337.45,CHEMFAB
2024-10-11,1118.7,1120.8,1080.0,1115.6,1143.0,337.45,CHEMFAB
2024-10-10,1094.0,1143.0,1066.2,1115.9,1143.0,337.45,CHEMFAB
2024-10-09,1047.6,1097.0,1041.0,1081.3,1106.4,337.45,CHEMFAB
2024-10-08,976.0,1050.0,976.0,1044.4,1106.4,337.45,CHEMFAB
2024-10-07,1015.0,1032.25,970.5,975.55,1106.4,337.45,CHEMFAB
2024-10-04,1035.0,1049.0,1000.0,1017.45,1106.4,337.45,CHEMFAB
2024-10-03,1038.8,1040.0,997.45,1034.55,1106.4,337.45,CHEMFAB
2024-10-01,1052.25,1074.65,1020.0,1049.55,1106.4,337.45,CHEMFAB
2024-09-30,1015.0,1058.3,996.05,1042.45,1106.4,337.45,CHEMFAB
2024-09-27,988.25,1028.05,987.05,1024.95,1106.4,337.45,CHEMFAB
2024-09-26,1024.0,1024.0,971.0,979.1,1106.4,337.45,CHEMFAB
2024-09-25,1036.0,1036.0,975.0,998.6,1106.4,337.45,CHEMFAB
