DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,1522.1,1563.0,1485.1,1525.8,1682.0,1161.15,CHOLAFIN
2025-04-25,1562.0,1579.9,1517.7,1543.5,1682.0,1125.5,CHOLAFIN
2025-04-24,1567.0,1570.9,1536.7,1547.9,1682.0,1125.5,CHOLAFIN
2025-04-23,1595.0,1620.0,1559.2,1566.8,1682.0,1125.5,CHOLAFIN
2025-04-22,1648.9,1649.0,1557.4,1566.4,1682.0,1125.5,CHOLAFIN
2025-04-21,1609.3,1682.0,1595.0,1659.8,1682.0,1125.5,CHOLAFIN
2025-04-17,1605.0,1609.8,1561.9,1587.3,1652.0,1100.5,CHOLAFIN
2025-04-16,1570.0,1629.9,1543.0,1611.9,1652.0,1100.5,CHOLAFIN
2025-04-15,1520.0,1579.0,1487.9,1560.3,1652.0,1100.5,CHOLAFIN
2025-04-11,1473.0,1498.6,1457.05,1475.7,1652.0,1100.5,CHOLAFIN
2025-04-09,1475.0,1475.0,1390.0,1430.6,1652.0,1100.5,CHOLAFIN
2025-04-08,1414.0,1470.0,1412.05,1463.3,1652.0,1100.5,CHOLAFIN
2025-04-07,1445.0,1445.0,1358.65,1386.1,1652.0,1100.5,CHOLAFIN
2025-04-04,1445.0,1462.65,1433.05,1453.3,1652.0,1100.5,CHOLAFIN
2025-04-03,1454.0,1472.6,1426.25,1445.45,1652.0,1100.5,CHOLAFIN
2025-04-02,1471.0,1479.6,1452.6,1460.25,1652.0,1100.5,CHOLAFIN
2025-04-01,1523.0,1523.9,1460.0,1468.25,1652.0,1100.5,CHOLAFIN
2025-03-28,1536.0,1536.0,1511.0,1519.95,1652.0,1077.5,CHOLAFIN
2025-03-27,1515.0,1536.0,1507.2,1531.7,1652.0,1077.5,CHOLAFIN
2025-03-26,1534.7,1551.0,1510.0,1522.25,1652.0,1077.5,CHOLAFIN
2025-03-25,1560.0,1560.0,1508.1,1529.05,1652.0,1077.5,CHOLAFIN
2025-03-24,1554.85,1580.0,1522.0,1529.3,1652.0,1077.5,CHOLAFIN
2025-03-21,1502.0,1550.0,1500.8,1538.5,1652.0,1026.65,CHOLAFIN
2025-03-20,1517.0,1538.0,1476.2,1493.2,1652.0,1026.65,CHOLAFIN
2025-03-19,1520.0,1530.4,1497.25,1513.25,1652.0,1026.65,CHOLAFIN
2025-03-18,1465.0,1521.35,1455.45,1515.25,1652.0,1026.65,CHOLAFIN
2025-03-17,1438.1,1466.0,1433.1,1455.6,1652.0,1026.65,CHOLAFIN
2025-03-13,1456.55,1466.95,1437.0,1444.7,1652.0,1026.65,CHOLAFIN
2025-03-12,1457.0,1457.0,1425.55,1451.5,1652.0,1026.65,CHOLAFIN
2025-03-11,1417.0,1455.0,1408.75,1448.75,1652.0,1026.65,CHOLAFIN
2025-03-10,1460.0,1476.35,1411.0,1419.55,1652.0,1026.65,CHOLAFIN
2025-03-07,1467.55,1474.0,1449.65,1457.35,1652.0,1011.2,CHOLAFIN
2025-03-06,1469.0,1500.0,1450.0,1458.6,1652.0,1011.2,CHOLAFIN
2025-03-05,1458.0,1461.9,1394.05,1446.9,1652.0,1011.2,CHOLAFIN
2025-03-04,1414.8,1454.25,1387.3,1449.6,1652.0,1011.2,CHOLAFIN
2025-03-03,1408.0,1427.95,1400.0,1419.75,1652.0,1011.2,CHOLAFIN
2025-02-28,1434.1,1438.65,1395.3,1400.75,1652.0,1011.2,CHOLAFIN
2025-02-27,1406.15,1443.5,1400.5,1438.65,1652.0,1011.2,CHOLAFIN
2025-02-25,1379.95,1403.65,1363.25,1367.8,1652.0,1011.2,CHOLAFIN
2025-02-24,1375.0,1382.5,1338.0,1377.25,1652.0,1011.2,CHOLAFIN
2025-02-21,1394.45,1406.75,1370.5,1384.15,1652.0,1011.2,CHOLAFIN
2025-02-20,1370.0,1399.0,1358.4,1395.25,1652.0,1011.2,CHOLAFIN
2025-02-19,1350.0,1380.85,1343.45,1375.4,1652.0,1011.2,CHOLAFIN
2025-02-18,1351.1,1362.4,1333.05,1350.4,1652.0,1011.2,CHOLAFIN
2025-02-17,1365.05,1377.45,1336.45,1356.95,1652.0,1011.2,CHOLAFIN
2025-02-14,1391.0,1403.5,1357.0,1376.0,1652.0,1011.2,CHOLAFIN
2025-02-13,1355.0,1414.5,1355.0,1390.8,1652.0,1011.2,CHOLAFIN
2025-02-12,1313.8,1358.5,1302.0,1351.85,1652.0,1011.2,CHOLAFIN
2025-02-11,1347.75,1356.0,1300.6,1310.3,1652.0,1011.2,CHOLAFIN
2025-02-10,1374.1,1390.0,1322.55,1347.75,1652.0,1011.2,CHOLAFIN
2025-02-07,1384.9,1395.0,1356.05,1380.15,1652.0,1011.2,CHOLAFIN
2025-02-06,1381.5,1401.1,1365.2,1381.9,1652.0,1011.2,CHOLAFIN
2025-02-05,1400.0,1401.45,1372.2,1388.0,1652.0,1011.2,CHOLAFIN
2025-02-04,1348.0,1399.5,1342.05,1394.9,1652.0,1011.2,CHOLAFIN
2025-02-03,1269.0,1340.4,1239.1,1337.65,1652.0,1011.2,CHOLAFIN
2025-02-01,1296.25,1296.3,1225.35,1265.5,1652.0,1011.2,CHOLAFIN
2025-01-31,1284.0,1321.8,1247.45,1285.85,1652.0,1011.2,CHOLAFIN
2025-01-30,1295.5,1308.6,1265.05,1279.4,1652.0,1011.2,CHOLAFIN
2025-01-29,1235.0,1304.5,1230.05,1296.55,1652.0,1011.2,CHOLAFIN
2025-01-28,1205.0,1292.85,1196.0,1241.7,1652.0,1011.2,CHOLAFIN
2025-01-27,1220.0,1220.0,1169.8,1175.35,1652.0,1011.2,CHOLAFIN
2025-01-24,1247.5,1252.35,1215.65,1223.05,1652.0,1011.2,CHOLAFIN
2025-01-23,1251.0,1258.35,1221.0,1246.05,1652.0,1011.2,CHOLAFIN
2025-01-22,1248.0,1278.0,1231.45,1257.1,1652.0,1011.2,CHOLAFIN
2025-01-21,1245.1,1269.5,1238.3,1240.5,1652.0,1011.2,CHOLAFIN
2025-01-20,1259.5,1269.3,1228.8,1246.9,1652.0,1011.2,CHOLAFIN
2025-01-17,1290.0,1290.0,1241.2,1257.4,1652.0,1011.2,CHOLAFIN
2025-01-16,1268.85,1297.95,1265.1,1282.1,1652.0,1011.2,CHOLAFIN
2025-01-15,1290.95,1290.95,1251.0,1253.85,1652.0,1011.2,CHOLAFIN
2025-01-14,1226.8,1277.05,1226.8,1270.7,1652.0,1011.2,CHOLAFIN
2025-01-13,1230.0,1259.4,1215.25,1222.55,1652.0,1011.2,CHOLAFIN
2025-01-10,1294.0,1296.25,1238.55,1255.05,1652.0,1011.2,CHOLAFIN
2025-01-09,1280.0,1292.3,1266.65,1288.2,1652.0,1011.2,CHOLAFIN
2025-01-08,1268.0,1278.95,1253.2,1275.25,1652.0,1011.2,CHOLAFIN
2025-01-07,1295.0,1300.25,1270.3,1276.0,1652.0,1011.2,CHOLAFIN
2025-01-06,1324.0,1343.15,1285.9,1294.2,1652.0,1011.2,CHOLAFIN
2025-01-03,1279.0,1330.6,1270.55,1320.25,1652.0,1011.2,CHOLAFIN
2025-01-02,1184.0,1276.0,1183.05,1271.5,1652.0,1011.2,CHOLAFIN
2025-01-01,1190.0,1194.9,1175.1,1184.35,1652.0,1011.2,CHOLAFIN
2024-12-31,1200.0,1215.0,1183.0,1185.95,1652.0,1011.2,CHOLAFIN
2024-12-30,1217.0,1232.5,1203.4,1212.4,1652.0,1011.2,CHOLAFIN
2024-12-27,1198.6,1216.6,1190.5,1193.85,1652.0,1011.2,CHOLAFIN
2024-12-26,1195.45,1196.0,1180.65,1189.35,1652.0,1011.2,CHOLAFIN
2024-12-24,1168.05,1191.2,1168.0,1185.45,1652.0,1011.2,CHOLAFIN
2024-12-23,1192.5,1199.95,1168.1,1171.1,1652.0,1011.2,CHOLAFIN
2024-12-20,1215.95,1229.7,1182.8,1189.55,1652.0,1011.2,CHOLAFIN
2024-12-19,1219.0,1226.7,1203.25,1213.75,1652.0,1011.2,CHOLAFIN
2024-12-18,1245.15,1259.0,1232.7,1242.75,1652.0,1011.2,CHOLAFIN
2024-12-17,1286.0,1287.85,1241.05,1246.8,1652.0,1011.2,CHOLAFIN
2024-12-16,1305.7,1312.2,1278.0,1285.7,1652.0,1011.2,CHOLAFIN
