DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,34.18,35.5,33.51,34.65,44.5,29.25,CIFL
2025-11-28,34.9,35.68,29.25,34.15,44.5,29.25,CIFL
2025-11-27,33.93,34.7,33.53,34.26,44.5,30.7,CIFL
2025-11-26,31.99,34.0,31.31,33.63,44.5,30.7,CIFL
2025-11-25,31.95,32.16,30.83,31.26,44.5,30.7,CIFL
2025-11-24,31.49,32.26,30.82,31.55,44.5,30.7,CIFL
2025-11-21,32.19,32.19,30.7,30.82,44.5,30.7,CIFL
2025-11-20,32.62,32.62,31.3,31.91,44.5,31.3,CIFL
2025-11-19,33.7,33.7,31.82,32.63,44.5,31.55,CIFL
2025-11-18,34.3,34.4,32.3,33.02,44.5,31.55,CIFL
2025-11-17,34.4,34.4,33.47,34.05,44.5,31.55,CIFL
2025-11-14,34.6,34.68,33.7,34.18,44.5,31.55,CIFL
2025-11-13,34.47,34.6,33.86,34.33,44.5,31.55,CIFL
2025-11-12,34.46,34.61,33.9,34.01,44.5,31.55,CIFL
2025-11-11,34.79,35.03,34.0,34.2,44.5,31.55,CIFL
2025-11-10,34.97,35.48,34.26,34.41,44.5,31.55,CIFL
2025-11-07,34.5,35.23,33.79,34.56,44.5,31.55,CIFL
2025-11-06,35.57,35.57,33.8,34.04,44.5,31.55,CIFL
2025-11-04,35.7,35.7,34.77,35.05,44.5,31.55,CIFL
2025-11-03,35.79,35.99,35.05,35.38,44.5,31.55,CIFL
2025-10-31,36.23,36.7,34.9,35.19,44.5,31.55,CIFL
2025-10-30,34.79,35.95,34.4,35.53,44.5,31.55,CIFL
2025-10-29,35.4,35.68,34.1,34.39,44.5,31.55,CIFL
2025-10-28,35.35,35.48,34.32,35.09,44.5,31.55,CIFL
2025-10-27,34.89,35.55,34.46,35.01,44.5,31.55,CIFL
2025-10-24,35.95,35.95,34.0,34.54,44.5,31.55,CIFL
2025-10-23,35.79,35.95,34.5,35.5,44.5,31.55,CIFL
2025-10-21,35.45,35.45,34.21,34.94,44.5,31.55,CIFL
2025-10-20,35.67,36.0,34.25,34.52,44.5,31.55,CIFL
2025-10-17,35.39,35.84,34.11,35.21,44.5,31.55,CIFL
2025-10-16,35.79,35.94,34.6,34.88,44.5,31.55,CIFL
2025-10-15,35.41,36.1,35.01,35.43,44.5,31.55,CIFL
2025-10-14,34.75,35.94,34.5,35.28,44.5,31.55,CIFL
2025-10-13,35.1,35.68,34.88,35.15,44.5,31.55,CIFL
2025-10-10,35.45,35.45,34.95,35.01,44.5,31.55,CIFL
2025-10-09,36.39,36.45,34.95,35.27,44.5,31.55,CIFL
2025-10-08,35.6,36.36,34.75,35.68,44.5,31.55,CIFL
2025-10-07,37.45,38.95,34.31,34.9,44.5,31.55,CIFL
2025-10-06,36.9,38.0,36.07,36.73,44.5,31.55,CIFL
2025-10-03,36.29,37.47,35.35,36.71,44.5,31.55,CIFL
2025-10-01,34.3,35.99,34.3,35.84,44.5,31.55,CIFL
2025-09-30,35.99,35.99,34.1,34.56,44.5,31.55,CIFL
