DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,86.29,87.25,84.25,86.04,148.7,73.64,CINELINE
2025-10-15,84.85,90.77,84.85,86.73,148.7,73.64,CINELINE
2025-10-14,87.75,88.79,85.0,85.97,148.7,73.64,CINELINE
2025-10-13,86.65,88.99,85.55,86.22,148.7,73.64,CINELINE
2025-10-10,87.36,89.12,86.52,87.1,148.7,73.64,CINELINE
2025-10-09,89.18,89.57,84.93,85.9,148.7,73.64,CINELINE
2025-10-08,92.87,92.87,87.9,88.89,148.7,73.64,CINELINE
2025-10-07,89.87,90.67,88.82,90.36,148.7,73.64,CINELINE
2025-10-06,89.0,91.9,88.61,89.09,148.7,73.64,CINELINE
2025-10-03,91.5,91.5,88.25,90.27,148.7,73.64,CINELINE
2025-10-01,88.7,92.0,87.35,90.84,148.7,73.64,CINELINE
2025-09-30,86.99,91.0,85.72,89.77,148.7,73.64,CINELINE
2025-09-29,85.78,89.24,85.78,87.61,148.7,73.64,CINELINE
2025-09-26,87.3,89.9,85.55,85.64,148.7,73.64,CINELINE
2025-09-25,88.3,91.98,88.17,89.1,148.7,73.64,CINELINE
2025-09-24,90.0,91.77,88.63,90.92,148.7,73.64,CINELINE
2025-09-23,87.62,91.95,85.38,90.44,148.7,73.64,CINELINE
2025-09-22,84.5,89.78,83.01,87.24,148.7,73.64,CINELINE
2025-09-19,82.57,85.79,82.57,84.99,148.7,73.64,CINELINE
2025-09-18,84.1,86.28,80.95,82.77,148.7,73.64,CINELINE
2025-09-17,84.64,84.99,82.5,82.84,148.7,73.64,CINELINE
2025-09-16,84.07,84.3,82.05,83.67,148.7,73.64,CINELINE
2025-09-15,87.35,87.35,80.95,84.28,148.7,73.64,CINELINE
2025-09-12,87.4,87.4,82.55,83.15,148.7,73.64,CINELINE
2025-09-11,85.68,87.4,84.5,85.27,148.7,73.64,CINELINE
2025-09-10,85.32,86.39,84.57,85.91,148.7,73.64,CINELINE
2025-09-09,88.12,88.8,84.05,85.19,148.7,73.64,CINELINE
2025-09-08,84.01,90.0,84.01,89.07,148.7,73.64,CINELINE
2025-09-05,86.39,87.99,86.39,86.92,148.7,73.64,CINELINE
2025-09-04,89.99,89.99,84.81,85.83,148.7,73.64,CINELINE
2025-09-03,87.77,89.0,85.58,88.74,148.7,73.64,CINELINE
2025-09-02,87.08,87.08,85.82,86.91,148.7,73.64,CINELINE
2025-09-01,88.11,88.11,86.21,87.19,148.7,73.64,CINELINE
2025-08-29,90.49,90.99,86.81,87.87,148.7,73.64,CINELINE
2025-08-28,89.5,91.18,88.51,89.59,148.7,73.64,CINELINE
2025-08-26,90.1,92.19,89.56,90.07,148.7,73.64,CINELINE
2025-08-25,91.99,92.99,90.2,92.09,148.7,73.64,CINELINE
2025-08-22,92.22,93.06,91.3,91.76,148.7,73.64,CINELINE
2025-08-21,90.05,93.72,90.0,92.61,148.7,73.64,CINELINE
2025-08-20,92.84,92.84,90.0,90.09,148.7,73.64,CINELINE
2025-08-19,92.6,97.5,89.5,90.86,148.7,73.64,CINELINE
