DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,39.48,39.48,36.99,37.62,324.19,33.61,COASTCORP
2025-04-25,39.78,39.78,38.21,38.84,324.19,33.61,COASTCORP
2025-04-24,39.0,40.0,38.41,39.78,324.19,33.61,COASTCORP
2025-04-23,40.38,40.6,38.01,38.96,324.19,33.61,COASTCORP
2025-04-22,40.49,41.91,39.1,39.67,324.19,33.61,COASTCORP
2025-04-21,40.79,41.48,39.8,40.19,324.19,33.61,COASTCORP
2025-04-17,40.86,41.03,40.04,40.79,324.19,33.61,COASTCORP
2025-04-16,39.5,40.44,39.23,40.15,324.19,33.61,COASTCORP
2025-04-15,37.15,39.5,37.15,39.04,324.19,33.61,COASTCORP
2025-04-11,35.0,37.0,35.0,36.59,324.19,33.61,COASTCORP
2025-04-09,34.31,34.65,33.91,34.04,324.19,33.61,COASTCORP
2025-04-08,35.0,36.33,34.1,35.17,324.19,33.61,COASTCORP
2025-04-07,35.69,35.9,33.61,34.49,324.19,33.61,COASTCORP
2025-04-04,36.4,37.99,35.6,37.08,324.19,34.7,COASTCORP
2025-04-03,38.4,38.95,34.7,35.87,324.19,34.7,COASTCORP
2025-04-02,37.34,39.99,36.32,39.53,324.19,34.74,COASTCORP
2025-04-01,35.44,38.45,35.0,37.34,324.19,34.74,COASTCORP
2025-03-28,36.0,36.5,35.07,35.44,324.19,34.74,COASTCORP
2025-03-27,36.24,38.75,34.74,35.04,324.19,34.74,COASTCORP
2025-03-26,38.53,40.35,35.8,36.24,324.19,35.8,COASTCORP
2025-03-25,40.0,40.79,37.0,38.05,324.19,36.01,COASTCORP
2025-03-24,42.01,42.45,39.0,39.72,324.19,36.01,COASTCORP
2025-03-21,40.88,41.73,40.45,41.62,324.19,36.01,COASTCORP
2025-03-20,40.51,41.5,40.05,40.65,324.19,36.01,COASTCORP
2025-03-19,40.98,41.73,39.0,40.2,324.19,36.01,COASTCORP
2025-03-18,39.49,41.7,39.22,40.28,324.19,36.01,COASTCORP
2025-03-17,37.94,39.66,36.01,38.85,324.19,36.01,COASTCORP
2025-03-13,40.0,40.75,37.0,37.54,324.19,37.0,COASTCORP
2025-03-12,44.2,44.2,37.62,40.0,324.19,37.62,COASTCORP
2025-03-11,44.8,45.97,42.9,43.8,324.19,40.91,COASTCORP
2025-03-10,46.0,46.8,41.31,46.19,324.19,40.91,COASTCORP
2025-03-07,46.04,47.05,44.6,46.0,324.19,40.91,COASTCORP
2025-03-06,46.2,46.99,45.47,46.04,324.19,40.91,COASTCORP
2025-03-05,45.95,47.79,43.95,46.91,324.19,40.91,COASTCORP
2025-03-04,41.99,47.9,40.91,46.47,324.19,40.91,COASTCORP
2025-03-03,215.9,221.0,201.01,206.64,324.19,201.01,COASTCORP
2025-02-28,219.9,220.0,202.99,208.97,324.19,202.99,COASTCORP
2025-02-27,227.6,227.6,218.0,220.04,324.19,207.1,COASTCORP
2025-02-25,224.9,227.96,220.81,223.28,324.19,207.1,COASTCORP
2025-02-24,222.0,223.95,215.21,222.21,324.19,207.1,COASTCORP
2025-02-21,223.1,228.73,217.0,219.6,324.19,207.1,COASTCORP
2025-02-20,214.45,230.17,214.45,225.34,324.19,207.1,COASTCORP
2025-02-19,211.0,215.0,208.1,214.56,324.19,207.1,COASTCORP
2025-02-18,212.37,213.09,208.0,210.46,324.19,207.1,COASTCORP
2025-02-17,218.0,218.0,207.1,210.43,324.19,207.1,COASTCORP
2025-02-14,230.0,230.0,211.0,216.41,324.19,208.5,COASTCORP
2025-02-13,233.57,233.57,221.99,228.26,324.19,208.5,COASTCORP
2025-02-12,223.09,229.08,216.05,227.22,324.19,208.5,COASTCORP
2025-02-11,232.33,233.27,223.37,224.93,324.19,208.5,COASTCORP
2025-02-10,236.97,238.47,229.96,230.36,324.19,208.5,COASTCORP
2025-02-07,240.0,240.17,232.8,234.92,324.19,208.5,COASTCORP
2025-02-06,246.9,246.9,236.1,237.6,324.19,208.5,COASTCORP
2025-02-05,244.4,244.4,239.99,242.56,324.19,208.5,COASTCORP
2025-02-04,238.66,243.0,237.43,241.21,324.19,208.5,COASTCORP
2025-02-03,243.8,246.8,233.0,234.18,324.19,208.5,COASTCORP
2025-02-01,243.9,254.09,237.32,244.06,328.8,208.5,COASTCORP
2025-01-31,238.65,241.0,236.0,238.6,328.8,208.5,COASTCORP
2025-01-30,228.0,240.15,228.0,235.8,328.8,208.5,COASTCORP
2025-01-29,224.0,233.85,224.0,230.15,328.8,208.5,COASTCORP
2025-01-28,234.05,234.1,223.9,225.95,328.8,208.5,COASTCORP
2025-01-27,235.0,235.65,225.7,229.55,328.8,208.5,COASTCORP
2025-01-24,238.8,244.65,236.0,239.2,328.8,208.5,COASTCORP
2025-01-23,234.75,242.3,232.0,238.8,328.8,208.5,COASTCORP
2025-01-22,238.9,238.95,230.05,231.0,328.8,208.5,COASTCORP
2025-01-21,239.4,240.65,233.2,234.05,328.8,208.5,COASTCORP
2025-01-20,237.4,241.95,236.85,238.55,328.8,208.5,COASTCORP
2025-01-17,235.35,239.4,235.35,236.45,345.0,208.5,COASTCORP
2025-01-16,238.85,240.9,235.25,237.3,345.0,208.5,COASTCORP
2025-01-15,236.2,239.05,229.55,233.7,345.0,208.5,COASTCORP
2025-01-14,231.2,237.4,231.2,235.65,345.0,208.5,COASTCORP
2025-01-13,242.0,247.9,230.0,233.4,345.0,208.5,COASTCORP
2025-01-10,244.85,244.85,236.15,242.4,354.15,208.5,COASTCORP
2025-01-09,249.0,255.0,241.55,243.8,354.15,208.5,COASTCORP
2025-01-08,258.5,258.5,246.25,249.95,354.15,208.5,COASTCORP
2025-01-07,252.0,259.0,251.65,253.5,354.15,208.5,COASTCORP
2025-01-06,267.8,267.8,251.0,252.3,354.15,208.5,COASTCORP
2025-01-03,267.0,273.9,263.7,269.35,354.15,208.5,COASTCORP
2025-01-02,271.65,275.0,265.3,267.55,354.15,208.5,COASTCORP
2025-01-01,265.9,274.0,258.95,272.95,354.15,208.5,COASTCORP
2024-12-31,245.9,274.19,245.63,265.31,354.15,208.5,COASTCORP
2024-12-30,247.85,250.97,243.92,245.71,354.15,208.5,COASTCORP
2024-12-27,246.03,251.77,246.03,247.13,354.15,208.5,COASTCORP
2024-12-26,258.0,263.88,245.42,246.96,354.15,208.5,COASTCORP
2024-12-24,259.61,264.46,256.31,258.99,354.15,208.5,COASTCORP
2024-12-23,259.25,275.08,252.95,262.42,354.15,208.5,COASTCORP
2024-12-20,267.5,269.39,255.05,256.95,354.15,208.5,COASTCORP
2024-12-19,255.0,276.67,255.0,269.47,354.15,208.5,COASTCORP
2024-12-18,264.38,264.38,250.82,251.25,354.15,208.5,COASTCORP
2024-12-17,262.65,266.0,255.4,260.1,354.15,208.5,COASTCORP
2024-12-16,258.99,268.7,255.0,261.72,354.15,208.5,COASTCORP
2024-12-13,256.21,262.0,251.05,256.67,354.15,208.5,COASTCORP
2024-12-12,257.0,263.01,253.33,258.53,354.15,208.5,COASTCORP
2024-12-11,261.97,264.65,251.25,253.21,354.15,208.5,COASTCORP
2024-12-10,250.0,264.1,247.0,260.21,354.15,208.5,COASTCORP
2024-12-09,244.0,255.16,242.86,246.18,354.15,208.5,COASTCORP
2024-12-06,239.0,247.0,239.0,241.75,354.15,208.5,COASTCORP
2024-12-05,241.8,248.67,238.1,240.31,354.15,208.5,COASTCORP
2024-12-04,244.84,246.4,239.22,240.38,354.15,208.5,COASTCORP
