DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,128.92,129.17,128.3,128.69,133.81,101.23,CONSUMIETF
2025-11-28,128.59,128.97,128.43,128.63,133.81,101.23,CONSUMIETF
2025-11-27,128.8,129.75,128.04,128.59,133.81,101.23,CONSUMIETF
2025-11-26,127.92,129.02,127.52,128.74,133.81,101.23,CONSUMIETF
2025-11-25,127.71,128.41,127.71,127.85,133.81,101.23,CONSUMIETF
2025-11-24,128.57,129.11,127.52,127.92,133.81,101.23,CONSUMIETF
2025-11-21,128.33,129.2,128.33,128.73,133.81,101.23,CONSUMIETF
2025-11-20,129.43,129.43,128.72,128.72,133.81,101.23,CONSUMIETF
2025-11-19,128.57,128.95,128.06,128.79,133.81,101.23,CONSUMIETF
2025-11-18,128.54,128.75,127.9,128.07,133.81,101.23,CONSUMIETF
2025-11-17,128.43,128.7,128.0,128.54,133.81,101.23,CONSUMIETF
2025-11-14,128.22,128.22,126.93,127.8,133.81,101.23,CONSUMIETF
2025-11-13,128.54,128.55,127.21,127.59,133.81,101.23,CONSUMIETF
2025-11-12,127.53,128.7,127.19,127.91,133.81,101.23,CONSUMIETF
2025-11-11,126.34,127.53,125.81,127.26,133.81,101.23,CONSUMIETF
2025-11-10,126.95,126.95,126.07,126.33,133.81,101.23,CONSUMIETF
2025-11-07,126.73,128.16,125.6,126.94,133.81,101.23,CONSUMIETF
2025-11-06,128.29,128.59,126.87,127.12,133.81,101.23,CONSUMIETF
2025-11-04,128.43,128.5,127.43,127.62,133.81,101.23,CONSUMIETF
2025-11-03,128.06,128.49,127.54,128.15,133.81,101.23,CONSUMIETF
2025-10-31,129.31,129.4,127.8,128.06,133.81,101.23,CONSUMIETF
2025-10-30,129.0,129.49,128.65,128.67,133.81,101.23,CONSUMIETF
2025-10-29,129.55,129.99,129.24,129.48,133.81,101.23,CONSUMIETF
2025-10-28,130.33,130.99,128.82,129.7,133.81,101.23,CONSUMIETF
2025-10-27,129.19,130.02,129.18,129.79,133.81,101.23,CONSUMIETF
2025-10-24,129.51,130.81,127.42,128.84,133.81,101.23,CONSUMIETF
2025-10-23,133.81,133.81,129.28,129.36,133.81,101.23,CONSUMIETF
2025-10-21,130.5,131.17,129.28,130.55,131.29,101.23,CONSUMIETF
2025-10-20,130.38,131.0,130.0,130.17,131.29,101.23,CONSUMIETF
2025-10-17,129.16,130.48,128.71,129.94,131.29,101.23,CONSUMIETF
2025-10-16,127.75,129.17,127.75,128.88,131.29,101.23,CONSUMIETF
2025-10-15,126.34,127.47,126.09,127.2,131.29,101.23,CONSUMIETF
2025-10-14,126.55,126.78,125.62,126.21,131.29,101.23,CONSUMIETF
2025-10-13,126.72,127.19,126.1,126.66,131.29,101.23,CONSUMIETF
2025-10-10,126.28,127.0,126.14,126.53,131.29,101.23,CONSUMIETF
2025-10-09,125.83,126.09,125.65,125.95,131.29,101.23,CONSUMIETF
2025-10-08,126.68,126.68,125.68,126.0,131.29,101.23,CONSUMIETF
2025-10-07,126.11,126.55,125.7,126.34,154.0,101.23,CONSUMIETF
2025-10-06,125.89,126.28,124.64,126.11,154.0,101.23,CONSUMIETF
2025-10-03,125.0,126.9,124.15,125.61,154.0,101.23,CONSUMIETF
2025-10-01,126.37,126.9,124.2,125.55,154.0,101.23,CONSUMIETF
2025-09-30,125.01,130.0,124.25,126.61,154.0,101.23,CONSUMIETF
2025-09-29,125.17,125.57,124.39,125.12,154.0,101.23,CONSUMIETF
2025-09-26,126.0,126.21,124.4,124.55,154.0,101.23,CONSUMIETF
2025-09-25,127.47,127.59,126.11,126.37,154.0,101.23,CONSUMIETF
2025-09-24,128.2,128.45,126.9,127.15,154.0,101.23,CONSUMIETF
2025-09-23,129.0,129.58,127.64,127.74,154.0,101.23,CONSUMIETF
2025-09-22,129.53,129.97,128.09,129.07,154.0,101.23,CONSUMIETF
2025-09-19,128.95,129.09,128.22,128.64,154.0,101.23,CONSUMIETF
2025-09-18,129.32,129.32,128.14,128.94,154.0,101.23,CONSUMIETF
2025-09-17,129.06,129.12,128.02,128.68,154.0,101.23,CONSUMIETF
2025-09-16,127.7,128.36,127.42,128.18,154.0,101.23,CONSUMIETF
2025-09-15,127.81,131.29,127.51,127.7,154.0,101.23,CONSUMIETF
2025-09-12,128.2,128.53,127.77,127.99,154.0,101.23,CONSUMIETF
2025-09-11,125.11,129.35,125.11,128.07,154.0,101.23,CONSUMIETF
2025-09-10,128.52,128.77,127.94,128.32,154.0,101.23,CONSUMIETF
2025-09-09,128.23,128.87,127.79,128.52,154.0,101.23,CONSUMIETF
2025-09-08,127.35,129.71,127.23,128.87,154.0,101.23,CONSUMIETF
2025-09-05,128.2,128.47,127.51,127.99,154.0,101.23,CONSUMIETF
2025-09-04,130.61,130.61,127.2,127.82,154.0,101.23,CONSUMIETF
2025-09-03,126.39,126.98,126.21,126.81,154.0,101.23,CONSUMIETF
2025-09-02,126.42,126.83,125.73,126.39,154.0,101.23,CONSUMIETF
2025-09-01,124.77,126.15,124.38,125.8,154.0,101.23,CONSUMIETF
2025-08-29,124.67,125.0,123.88,124.77,154.0,101.23,CONSUMIETF
2025-08-28,126.15,126.15,124.21,124.69,154.0,101.23,CONSUMIETF
2025-08-26,125.88,126.53,125.13,125.46,154.0,101.23,CONSUMIETF
2025-08-25,128.48,128.48,125.55,125.93,154.0,101.23,CONSUMIETF
2025-08-22,127.09,127.09,125.58,126.02,154.0,101.23,CONSUMIETF
2025-08-21,130.43,130.43,125.8,126.19,154.0,101.23,CONSUMIETF
2025-08-20,125.8,126.9,125.68,126.63,154.0,101.23,CONSUMIETF
2025-08-19,125.89,125.89,123.62,125.6,154.0,101.23,CONSUMIETF
2025-08-18,124.0,125.52,124.0,124.73,154.0,101.23,CONSUMIETF
2025-08-14,122.45,122.54,121.85,122.23,154.0,101.23,CONSUMIETF
2025-08-13,121.84,122.63,121.44,122.45,154.0,101.23,CONSUMIETF
2025-08-12,121.45,122.12,120.91,121.09,154.0,101.23,CONSUMIETF
2025-08-11,120.15,121.84,119.78,121.12,154.0,101.23,CONSUMIETF
2025-08-08,121.28,121.41,120.0,120.14,154.0,101.23,CONSUMIETF
2025-08-07,121.0,121.5,120.06,121.2,154.0,101.23,CONSUMIETF
2025-08-06,122.21,122.21,120.76,121.0,154.0,101.23,CONSUMIETF
2025-08-05,121.54,121.77,120.74,121.48,154.0,101.23,CONSUMIETF
2025-08-04,120.62,121.84,120.0,121.51,154.0,101.23,CONSUMIETF
2025-08-01,121.62,122.11,120.33,120.4,154.0,101.23,CONSUMIETF
2025-07-31,120.28,121.46,119.84,120.91,154.0,101.23,CONSUMIETF
2025-07-30,120.3,120.61,119.98,120.46,154.0,101.23,CONSUMIETF
2025-07-29,119.69,120.56,119.21,120.2,154.0,101.23,CONSUMIETF
