DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,2206.0,2253.0,2190.7,2237.5,2270.5,1170.0,COROMANDEL
2025-04-25,2241.2,2250.9,2181.3,2201.5,2270.5,1071.9,COROMANDEL
2025-04-24,2220.0,2254.0,2213.9,2232.6,2270.5,1071.9,COROMANDEL
2025-04-23,2173.8,2234.5,2157.5,2205.6,2270.5,1071.9,COROMANDEL
2025-04-22,2204.6,2204.6,2159.8,2172.2,2270.5,1071.9,COROMANDEL
2025-04-21,2147.6,2228.9,2136.1,2197.9,2270.5,1071.9,COROMANDEL
2025-04-17,2130.0,2172.5,2101.4,2118.3,2270.5,1071.9,COROMANDEL
2025-04-16,2175.0,2227.6,2106.6,2133.6,2270.5,1071.9,COROMANDEL
2025-04-15,2079.8,2270.5,2051.0,2194.1,2270.5,1071.9,COROMANDEL
2025-04-11,2029.2,2175.0,2028.65,2060.0,2175.0,1071.9,COROMANDEL
2025-04-09,2063.45,2099.2,1981.05,2004.7,2125.0,1071.9,COROMANDEL
2025-04-08,2015.0,2118.0,1976.3,2063.45,2125.0,1071.9,COROMANDEL
2025-04-07,1870.0,2009.0,1855.05,1968.7,2125.0,1071.9,COROMANDEL
2025-04-04,2060.5,2069.85,1997.0,2015.35,2125.0,1071.9,COROMANDEL
2025-04-03,2049.85,2125.0,2020.0,2060.5,2125.0,1071.9,COROMANDEL
2025-04-02,2049.05,2058.9,2005.0,2049.85,2069.0,1071.9,COROMANDEL
2025-04-01,1987.9,2069.0,1982.1,2049.05,2069.0,1071.9,COROMANDEL
2025-03-28,1986.2,2020.9,1967.9,1982.1,2034.45,1040.0,COROMANDEL
2025-03-27,1966.0,2022.4,1946.4,1970.45,2034.45,1040.0,COROMANDEL
2025-03-26,1981.1,2026.2,1967.0,1979.55,2034.45,1040.0,COROMANDEL
2025-03-25,2002.9,2014.7,1954.0,1978.6,2034.45,1040.0,COROMANDEL
2025-03-24,1993.0,2034.45,1972.65,1986.0,2034.45,1040.0,COROMANDEL
