DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,117.9,122.0,114.1,120.06,260.0,108.54,CPCAP
2025-11-13,117.9,118.13,115.0,116.08,260.0,108.54,CPCAP
2025-11-12,115.27,120.29,115.11,116.42,260.0,108.54,CPCAP
2025-11-11,118.9,118.9,115.11,116.55,260.0,108.54,CPCAP
2025-11-10,121.0,121.18,116.1,117.06,260.0,108.54,CPCAP
2025-11-07,119.8,122.84,115.22,119.76,260.0,108.54,CPCAP
2025-11-06,119.25,122.89,117.25,118.01,260.0,108.54,CPCAP
2025-11-04,122.42,122.69,119.05,119.81,260.0,108.54,CPCAP
2025-11-03,124.57,124.84,121.11,122.1,260.0,108.54,CPCAP
2025-10-31,127.85,127.85,122.1,124.06,260.0,108.54,CPCAP
2025-10-30,127.89,128.39,124.21,124.93,260.0,108.54,CPCAP
2025-10-29,125.0,129.59,123.28,124.98,260.0,108.54,CPCAP
2025-10-28,122.95,128.84,120.27,123.57,260.0,108.54,CPCAP
2025-10-27,119.99,120.95,117.61,119.96,260.0,108.54,CPCAP
2025-10-24,124.9,127.0,113.71,116.91,260.0,108.54,CPCAP
2025-10-23,115.9,133.9,114.0,123.04,260.0,108.54,CPCAP
2025-10-21,115.0,117.9,112.5,113.94,260.0,108.54,CPCAP
2025-10-20,115.21,115.21,111.22,113.78,260.0,108.54,CPCAP
2025-10-17,113.2,113.2,109.05,110.0,260.0,108.54,CPCAP
2025-10-16,114.85,115.16,110.2,111.49,260.0,108.54,CPCAP
2025-10-15,109.01,115.89,109.01,112.99,260.0,108.54,CPCAP
2025-10-14,120.3,120.3,108.54,111.01,260.0,108.54,CPCAP
2025-10-13,122.0,122.0,118.01,119.2,260.0,117.61,CPCAP
2025-10-10,123.99,127.6,117.61,121.47,260.0,117.61,CPCAP
2025-10-09,125.04,127.59,122.1,124.73,260.0,122.1,CPCAP
2025-10-08,124.97,126.55,122.97,124.0,260.0,122.97,CPCAP
2025-10-07,128.0,129.49,124.01,124.83,260.0,124.01,CPCAP
2025-10-06,131.4,132.0,127.04,127.72,260.0,125.0,CPCAP
2025-10-03,129.9,131.8,128.11,128.56,260.0,125.0,CPCAP
2025-10-01,125.8,128.88,125.75,127.18,260.0,125.0,CPCAP
2025-09-30,126.46,128.78,125.0,125.11,260.0,125.0,CPCAP
2025-09-29,133.8,133.8,125.07,126.46,260.0,125.06,CPCAP
2025-09-26,134.73,136.78,125.06,129.1,260.0,125.06,CPCAP
2025-09-25,137.85,138.9,134.3,134.73,260.0,134.3,CPCAP
2025-09-24,138.6,138.6,135.0,135.88,260.0,135.0,CPCAP
2025-09-23,141.74,141.75,136.0,136.6,260.0,135.63,CPCAP
2025-09-22,141.5,141.78,136.05,138.78,260.0,135.63,CPCAP
2025-09-19,142.9,144.4,139.1,139.87,260.0,135.63,CPCAP
2025-09-18,143.9,143.9,140.22,141.06,260.0,135.63,CPCAP
2025-09-17,141.0,142.9,140.0,142.0,260.0,135.63,CPCAP
2025-09-16,144.26,144.26,139.7,141.93,260.0,135.63,CPCAP
