DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,1409.8,1433.5,1398.0,1419.4,1476.0,1015.0,CPPLUS
2025-10-17,1391.5,1405.1,1381.5,1397.1,1476.0,1015.0,CPPLUS
2025-10-16,1423.3,1426.0,1370.9,1384.6,1476.0,1015.0,CPPLUS
2025-10-15,1354.0,1439.8,1353.5,1423.3,1476.0,1015.0,CPPLUS
2025-10-14,1368.6,1374.4,1312.2,1355.6,1476.0,1015.0,CPPLUS
2025-10-13,1388.1,1403.9,1355.0,1362.5,1476.0,1015.0,CPPLUS
2025-10-10,1366.2,1403.0,1353.8,1391.2,1476.0,1015.0,CPPLUS
2025-10-09,1401.8,1405.6,1340.5,1360.8,1476.0,1015.0,CPPLUS
2025-10-08,1425.0,1449.0,1393.0,1401.8,1476.0,1015.0,CPPLUS
2025-10-07,1380.0,1447.6,1380.0,1423.0,1476.0,1015.0,CPPLUS
2025-10-06,1363.4,1412.8,1356.8,1378.7,1476.0,1015.0,CPPLUS
2025-10-03,1345.0,1369.0,1332.0,1357.3,1476.0,1015.0,CPPLUS
2025-10-01,1329.7,1358.7,1300.0,1330.5,1476.0,1015.0,CPPLUS
2025-09-30,1294.9,1332.0,1271.0,1319.3,1476.0,1015.0,CPPLUS
2025-09-29,1260.0,1285.6,1227.0,1276.1,1476.0,1015.0,CPPLUS
2025-09-26,1324.8,1327.8,1254.7,1254.7,1476.0,1015.0,CPPLUS
2025-09-25,1372.1,1373.8,1311.1,1320.7,1476.0,1015.0,CPPLUS
2025-09-24,1394.0,1395.0,1362.6,1375.4,1476.0,1015.0,CPPLUS
2025-09-23,1429.9,1433.1,1384.7,1394.6,1476.0,1015.0,CPPLUS
2025-09-22,1398.9,1428.3,1380.2,1422.2,1476.0,1015.0,CPPLUS
2025-09-19,1448.0,1452.3,1395.4,1403.3,1476.0,1015.0,CPPLUS
2025-09-18,1464.9,1474.0,1435.0,1445.9,1476.0,1015.0,CPPLUS
2025-09-17,1430.9,1476.0,1430.0,1464.3,1476.0,1015.0,CPPLUS
2025-09-16,1445.0,1452.8,1413.3,1425.1,1469.9,1015.0,CPPLUS
2025-09-15,1449.0,1469.9,1433.0,1441.8,1469.9,1015.0,CPPLUS
2025-09-12,1410.9,1462.0,1398.4,1435.0,1462.0,1015.0,CPPLUS
2025-09-11,1354.8,1414.8,1351.2,1398.4,1425.5,1015.0,CPPLUS
2025-09-10,1360.0,1363.7,1325.1,1349.5,1425.5,1015.0,CPPLUS
2025-09-09,1372.0,1374.0,1334.0,1347.9,1425.5,1015.0,CPPLUS
2025-09-08,1383.7,1423.8,1352.1,1356.8,1425.5,1015.0,CPPLUS
2025-09-05,1389.9,1401.6,1356.3,1368.2,1425.5,1015.0,CPPLUS
2025-09-04,1384.0,1425.5,1361.6,1386.5,1425.5,1015.0,CPPLUS
2025-09-03,1322.0,1376.1,1281.6,1357.7,1385.0,1015.0,CPPLUS
2025-09-02,1260.0,1310.6,1257.0,1310.6,1385.0,1015.0,CPPLUS
2025-09-01,1262.7,1262.7,1200.8,1248.2,1385.0,1015.0,CPPLUS
2025-08-29,1250.3,1303.0,1244.9,1264.0,1385.0,1015.0,CPPLUS
2025-08-28,1283.0,1285.65,1232.0,1250.3,1385.0,1015.0,CPPLUS
2025-08-26,1316.85,1325.95,1261.1,1283.0,1385.0,1015.0,CPPLUS
2025-08-25,1354.0,1354.0,1292.45,1319.75,1385.0,1015.0,CPPLUS
2025-08-22,1293.35,1385.0,1267.2,1360.45,1385.0,1015.0,CPPLUS
2025-08-21,1275.0,1320.0,1187.0,1288.95,1320.0,1015.0,CPPLUS
2025-08-20,1124.95,1223.75,1086.15,1223.75,1224.0,1015.0,CPPLUS
2025-08-19,1095.9,1159.2,1093.6,1112.5,1224.0,1015.0,CPPLUS
2025-08-18,1069.9,1098.95,1059.0,1090.55,1224.0,1015.0,CPPLUS
2025-08-14,1071.0,1080.0,1046.65,1057.05,1224.0,1015.0,CPPLUS
2025-08-13,1065.0,1085.0,1051.1,1066.6,1224.0,1015.0,CPPLUS
2025-08-12,1063.0,1078.95,1045.55,1061.55,1224.0,1015.0,CPPLUS
2025-08-11,1094.0,1122.5,1047.85,1063.55,1224.0,1015.0,CPPLUS
2025-08-08,1150.0,1224.0,1071.05,1090.85,1224.0,1015.0,CPPLUS
2025-08-07,1060.0,1167.8,1042.5,1134.3,1167.8,1015.0,CPPLUS
2025-08-06,1070.0,1091.15,1026.0,1065.9,1104.0,1015.0,CPPLUS
2025-08-05,1015.0,1104.0,1015.0,1082.65,1104.0,1015.0,CPPLUS
