DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,773.5,775.45,743.65,749.0,1075.0,601.1,CREATIVE
2025-04-25,755.0,790.4,721.95,773.5,1075.0,601.1,CREATIVE
2025-04-24,742.0,778.95,726.55,766.5,1075.0,601.1,CREATIVE
2025-04-23,757.9,763.1,722.6,732.6,1075.0,601.1,CREATIVE
2025-04-22,755.0,758.3,746.35,749.55,1075.0,601.1,CREATIVE
2025-04-21,767.0,770.65,745.0,754.6,1075.0,601.1,CREATIVE
2025-04-17,764.55,770.6,745.0,753.1,1075.0,601.1,CREATIVE
2025-04-16,734.0,779.7,734.0,764.75,1075.0,601.1,CREATIVE
2025-04-15,720.0,748.8,712.85,742.05,1075.0,601.1,CREATIVE
2025-04-11,714.9,740.6,703.15,715.9,1075.0,601.1,CREATIVE
2025-04-09,670.25,719.7,666.1,714.15,1075.0,601.1,CREATIVE
2025-04-08,709.0,709.0,672.55,682.35,1075.0,601.1,CREATIVE
2025-04-07,709.0,709.0,665.3,680.55,1075.0,601.1,CREATIVE
2025-04-04,750.7,770.9,712.85,717.4,1075.0,601.1,CREATIVE
2025-04-03,773.95,779.55,756.0,762.4,1075.0,601.1,CREATIVE
2025-04-02,767.25,786.0,757.1,775.5,1075.0,601.1,CREATIVE
2025-04-01,743.65,792.3,743.65,776.15,1075.0,601.1,CREATIVE
2025-03-28,778.45,795.25,746.1,754.95,1075.0,601.1,CREATIVE
2025-03-27,707.95,825.0,699.0,790.3,1075.0,601.1,CREATIVE
2025-03-26,662.6,729.0,658.05,713.3,1075.0,601.1,CREATIVE
2025-03-25,666.9,677.95,656.45,667.4,1075.0,601.1,CREATIVE
2025-03-24,675.0,689.65,661.15,663.6,1075.0,601.1,CREATIVE
2025-03-21,662.05,690.0,662.0,673.9,1075.0,601.1,CREATIVE
2025-03-20,676.5,683.85,651.15,660.35,1075.0,601.1,CREATIVE
2025-03-19,656.6,684.0,655.15,669.8,1075.0,601.1,CREATIVE
2025-03-18,685.0,696.85,647.85,651.5,1075.0,601.1,CREATIVE
2025-03-17,665.0,705.0,665.0,685.15,1075.0,601.1,CREATIVE
2025-03-13,690.2,703.1,675.0,684.5,1075.0,601.1,CREATIVE
2025-03-12,690.45,705.1,686.0,697.0,1075.0,601.1,CREATIVE
2025-03-11,679.25,706.45,668.35,697.5,1075.0,601.1,CREATIVE
2025-03-10,709.0,709.0,680.1,681.15,1075.0,601.1,CREATIVE
2025-03-07,718.0,718.0,694.15,699.25,1075.0,601.1,CREATIVE
2025-03-06,699.3,711.15,694.15,701.15,1075.0,601.1,CREATIVE
2025-03-05,710.0,719.0,685.5,693.8,1075.0,601.1,CREATIVE
2025-03-04,680.1,713.45,665.9,690.0,1075.0,601.1,CREATIVE
2025-03-03,716.5,724.4,676.4,688.55,1075.0,601.1,CREATIVE
2025-02-28,727.6,736.45,708.4,716.5,1075.0,601.1,CREATIVE
2025-02-27,741.45,742.55,731.0,738.65,1075.0,601.1,CREATIVE
2025-02-25,739.0,762.6,737.85,748.95,1075.0,601.1,CREATIVE
2025-02-24,760.3,760.3,728.75,736.85,1075.0,601.1,CREATIVE
2025-02-21,776.4,793.0,739.25,760.3,1075.0,601.1,CREATIVE
2025-02-20,765.95,790.0,765.2,775.8,1075.0,601.1,CREATIVE
2025-02-19,762.25,792.6,752.95,782.95,1075.0,601.1,CREATIVE
2025-02-18,777.55,804.95,758.15,765.05,1075.0,601.1,CREATIVE
2025-02-17,816.1,820.05,779.0,789.4,1075.0,601.1,CREATIVE
2025-02-14,845.0,859.55,815.4,828.55,1075.0,601.1,CREATIVE
2025-02-13,840.0,860.9,834.05,850.65,1075.0,601.1,CREATIVE
2025-02-12,870.5,874.4,832.55,849.2,1075.0,601.1,CREATIVE
2025-02-11,888.0,888.0,859.9,877.95,1075.0,601.1,CREATIVE
2025-02-10,940.0,950.0,875.0,885.05,1075.0,601.1,CREATIVE
2025-02-07,932.1,950.75,903.75,923.35,1075.0,601.1,CREATIVE
2025-02-06,967.85,967.85,914.95,923.1,1075.0,601.1,CREATIVE
2025-02-05,964.3,969.9,955.1,964.95,1075.0,601.1,CREATIVE
2025-02-04,933.0,1001.2,931.6,961.5,1075.0,601.1,CREATIVE
2025-02-03,979.0,979.0,925.25,938.8,1075.0,601.1,CREATIVE
2025-02-01,960.15,1014.0,935.25,978.65,1075.0,601.1,CREATIVE
2025-01-31,878.5,985.0,878.5,963.65,1075.0,601.1,CREATIVE
2025-01-30,882.55,891.8,875.0,875.75,1075.0,601.1,CREATIVE
2025-01-29,854.2,919.7,850.1,879.65,1075.0,601.1,CREATIVE
2025-01-28,898.4,898.4,842.0,856.0,1075.0,601.1,CREATIVE
2025-01-27,952.75,952.75,880.0,893.7,1075.0,601.1,CREATIVE
2025-01-24,930.45,978.35,924.1,957.9,1075.0,601.1,CREATIVE
